Datetime,Open,High,Low,Close,Volume
2024-01-10,51.61,51.87,49.69,50.14,202616
2024-01-11,50.6,51.45,48.88,49.29,193805
2024-01-12,50.45,54.8,50.45,52.28,514895
2024-01-15,52.61,54.01,52.35,53.09,575238
2024-01-16,52.95,53.82,50.59,51.37,207138
2024-01-17,50.22,52.52,49.97,50.83,459412
2024-01-18,51.03,51.16,48.75,50.15,402753
2024-01-19,49.4,51.96,49.4,51.13,142285
2024-01-20,51.42,53.81,50.64,52.67,201155
2024-01-23,53.08,57.74,52.72,53.24,1829768
2024-01-24,53.9,55.61,52.15,54.23,567064
2024-01-25,55.06,55.42,53.9,54.59,347348
2024-01-29,54.4,58.15,53.9,56.73,730821
2024-01-30,57.48,58.73,56.86,57.51,776645
2024-01-31,57.51,60.54,55.89,58.29,1118793
2024-02-01,56.95,56.95,53.53,54.53,467761
2024-02-02,54.65,55.66,53.71,53.91,421106
2024-02-05,54.07,55.08,52.58,53.14,399789
2024-02-06,53.53,56.6,53.18,55.24,366337
2024-02-07,55.83,57.89,54.78,56.66,444607
2024-02-08,52.68,54.2,50.78,51.13,1132077
2024-02-09,52.05,52.05,46.42,47.63,319695
2024-02-12,47.41,49.02,45.47,45.67,424209
2024-02-13,45.7,46.13,43.12,45.43,617970
2024-02-14,44.8,47.19,44.53,46.63,334333
2024-02-15,47.1,52.58,46.99,52.11,507834
2024-02-16,52.46,52.57,49.93,50.36,285378
2024-02-19,51.08,51.08,49.84,50.35,145094
2024-02-20,50.21,51.26,49.36,49.7,205732
2024-02-21,50.11,50.24,48.17,48.58,140746
2024-02-22,48.7,49.57,47.84,49.41,160188
2024-02-23,48.76,49.93,48.76,49.39,88143
2024-02-26,50.93,50.93,47.51,47.91,210897
2024-02-27,47.85,48.67,47.27,47.53,111342
2024-02-28,46.58,48.54,45.85,46.32,295412
2024-02-29,45.48,47.08,44.85,46.17,229318
2024-03-01,45.81,47.52,45.81,46.61,241912
2024-03-02,45.72,47.6,45.72,46.79,26294
2024-03-04,46.85,47.17,45.05,45.34,245022
2024-03-05,45.5,45.86,44.48,44.64,85484
2024-03-06,44.48,45.05,42.55,43.6,203202
2024-03-07,44.37,44.51,42.91,43.28,159540
2024-03-11,43.33,44.09,39.74,40.56,154301
2024-03-12,41.14,41.4,38.84,41.01,158313
2024-03-13,41.76,41.76,36.56,36.97,398171
2024-03-14,37.71,41.44,37.18,40.54,257484
2024-03-15,39.9,41.11,38.16,38.78,209442
2024-03-18,38.93,39.65,38.18,38.8,390182
2024-03-19,38.91,39.08,38.08,38.26,267620
2024-03-20,38.32,38.96,37.37,37.77,456700
2024-03-21,38.06,40.09,38.06,39.47,138910
2024-03-22,39.31,40.23,38.7,39.72,216526
2024-03-26,39.22,39.88,36.95,37.14,269213
2024-03-27,37.15,37.96,37.05,37.34,498680
2024-03-28,37.51,38.37,37.28,37.39,532224
2024-04-01,38.68,41.16,37.93,40.67,237556
2024-04-02,40.46,40.83,39.5,40.38,387785
2024-04-03,40.44,42.61,40.2,42.27,289990
2024-04-04,42.28,43.35,41.68,43.0,164899
2024-04-05,41.94,43.02,41.94,42.42,169212
2024-04-08,42.36,43.03,40.97,41.22,74842
2024-04-09,41.25,41.25,39.93,40.05,80555
2024-04-10,39.95,40.46,39.65,40.11,184437
2024-04-12,40.53,40.53,39.23,39.53,86895
2024-04-15,38.36,38.5,37.51,37.88,213646
2024-04-16,37.65,38.75,37.51,37.69,50495
2024-04-18,37.84,38.51,37.33,37.53,78291
2024-04-19,37.31,37.31,36.52,36.77,204207
2024-04-22,36.97,37.62,36.0,36.29,268709
2024-04-23,36.34,37.25,36.34,36.78,275545
2024-04-24,36.86,39.74,36.86,38.04,460853
2024-04-25,38.69,38.69,37.69,38.13,226805
2024-04-26,37.98,38.44,37.7,37.85,155750
2024-04-29,37.96,38.53,37.44,37.6,81886
2024-04-30,37.88,38.18,36.61,36.84,258153
2024-05-02,36.91,37.46,36.6,36.86,108682
2024-05-03,37.21,37.32,36.45,36.74,188105
2024-05-06,36.97,37.14,35.9,36.11,93583
2024-05-07,36.13,36.33,34.96,35.2,163434
2024-05-08,35.24,36.61,35.05,36.29,114985
2024-05-09,36.02,36.34,33.62,33.95,169404
2024-05-10,34.72,35.1,33.63,34.94,151556
2024-05-13,34.24,35.34,33.84,35.14,144262
2024-05-14,35.14,36.38,35.14,35.98,81078
2024-05-15,36.46,36.46,35.05,35.29,134384
2024-05-16,35.12,37.42,35.12,37.1,126115
2024-05-17,37.19,37.62,37.16,37.34,69720
2024-05-18,37.61,37.69,37.14,37.25,17402
2024-05-21,36.81,37.23,36.0,36.25,50812
2024-05-22,36.28,36.45,35.92,36.05,41258
2024-05-23,36.09,36.3,35.37,35.63,46421
2024-05-24,35.12,36.61,35.12,36.02,107143
2024-05-27,36.74,36.74,35.1,35.23,51683
2024-05-28,35.38,35.69,34.96,35.43,39361
2024-05-29,34.91,35.88,34.91,35.25,83397
2024-05-30,35.71,35.71,34.44,34.56,88011
2024-05-31,33.16,33.79,32.83,33.04,118332
2024-06-03,33.82,33.82,32.68,32.79,233071
2024-06-04,32.79,32.79,29.19,30.29,445134
2024-06-05,30.61,31.06,30.0,30.33,212682
2024-06-06,30.5,31.59,30.17,30.45,462897
2024-06-07,31.03,36.34,30.57,35.88,768878
2024-06-10,35.35,35.84,34.61,34.8,183909
2024-06-11,34.48,36.19,34.25,35.52,194115
2024-06-12,35.53,35.83,34.44,34.87,144131
2024-06-13,35.24,36.03,35.05,35.35,233068
2024-06-14,35.17,35.55,34.63,34.77,236384
2024-06-18,34.24,35.0,34.24,34.4,171242
2024-06-19,34.58,37.15,34.23,35.92,233135
2024-06-20,35.49,36.94,35.49,35.7,370402
2024-06-21,35.71,36.48,35.05,35.23,244836
2024-06-24,35.23,35.53,34.66,35.04,126474
2024-06-25,35.43,35.43,34.39,34.58,111475
2024-06-26,34.58,35.47,34.34,34.49,121365
2024-06-27,35.05,35.05,33.16,33.34,214536
2024-06-28,33.39,35.36,33.39,34.56,123963
2024-07-01,35.25,35.25,34.45,34.72,151520
2024-07-02,34.96,35.36,34.1,34.38,69390
2024-07-03,35.27,37.33,34.09,36.97,546662
2024-07-04,37.15,38.62,36.35,37.72,508991
2024-07-05,37.75,39.39,37.2,38.09,484478
2024-07-08,38.18,40.34,38.03,38.29,700582
2024-07-09,38.27,38.62,37.22,37.3,226974
2024-07-10,37.04,37.49,35.62,36.5,180377
2024-07-11,36.1,37.27,36.1,36.52,132295
