Datetime,Open,High,Low,Close,Volume
2019-05-28,12.6,12.6,12.6,12.6,45
2019-06-14,11.38,11.38,11.38,11.38,199
2019-06-19,10.82,10.82,10.82,10.82,2
2019-07-08,10.82,10.82,10.82,10.82,1
2019-07-29,10.82,10.82,10.82,10.82,69
2019-08-30,11.36,11.36,11.36,11.36,1
2019-11-20,11.92,11.92,11.92,11.92,272
2019-12-06,11.5,11.92,11.5,11.5,101
2019-12-12,11.0,11.0,11.0,11.0,30
2019-12-13,10.5,11.55,10.5,11.11,65
2019-12-24,11.5,11.5,11.5,11.5,1
2019-12-27,11.5,11.5,11.5,11.5,9
2020-02-26,12.07,12.07,12.07,12.07,400
2020-03-03,12.67,12.67,12.67,12.67,1
2020-03-09,12.04,12.04,12.04,12.04,25
2020-03-12,11.44,11.44,11.44,11.44,1
2020-03-16,10.87,12.01,10.87,12.01,10
2020-03-18,11.41,11.41,11.41,11.41,200
2020-03-20,10.84,10.84,10.84,10.84,6
2020-03-23,10.3,10.3,10.3,10.3,200
2020-03-24,10.3,10.3,10.0,10.0,1200
2020-03-26,10.0,10.0,10.0,10.0,2
2020-03-30,10.0,10.0,10.0,10.0,40
2020-04-16,10.0,10.0,10.0,10.0,2
2020-04-21,10.0,10.0,10.0,10.0,22
2020-04-29,10.5,10.5,10.5,10.5,200
2020-05-13,11.02,11.02,11.02,11.02,100
2020-05-15,11.57,11.57,11.57,11.57,11
2020-05-18,12.14,12.14,12.14,12.14,17
2020-05-19,12.74,12.74,11.54,12.5,5
2020-05-20,13.12,13.12,13.12,13.12,507
2020-05-22,12.5,12.5,12.5,12.5,2
2020-06-02,13.12,13.12,13.12,13.12,3
2020-06-03,12.5,12.5,12.5,12.5,5
2020-06-05,11.9,11.9,11.9,11.9,5
2020-06-08,11.31,11.31,11.31,11.31,10
2020-06-10,10.75,10.75,10.75,10.75,2
2020-06-11,10.22,10.22,10.22,10.22,1
2020-06-15,9.9,9.9,9.9,9.9,30
2020-06-16,9.43,9.43,9.43,9.43,2
