Datetime,Open,High,Low,Close,Volume
2019-05-28,345.0,353.5,326.4,327.63,64850
2019-05-29,326.0,349.5,326.0,338.28,50238
2019-05-30,334.5,342.5,327.5,339.85,27168
2019-06-03,338.75,343.5,333.6,335.13,8496
2019-06-10,368.8,374.4,355.28,361.38,44496
2019-06-11,360.25,360.25,344.3,349.3,13896
2019-06-12,348.8,368.98,346.73,360.18,18510
2019-06-13,364.25,364.48,347.5,356.45,13168
2019-06-14,355.03,368.5,352.5,355.73,15410
2019-06-17,355.23,355.8,328.8,334.83,14064
2019-06-18,332.25,343.43,331.0,334.2,14076
2019-06-19,340.03,343.4,311.5,314.77,15540
2019-06-20,312.0,312.13,284.4,299.85,22580
2019-06-21,301.5,329.83,301.5,327.5,36962
2019-06-24,333.45,342.83,330.0,332.1,19708
2019-06-25,332.5,332.5,321.65,323.33,10678
2019-06-26,323.33,327.0,310.08,313.9,14530
2019-06-27,334.5,345.25,326.9,345.25,17923
2019-06-28,378.0,378.0,347.6,355.1,24390
2019-07-01,364.6,369.95,342.0,345.45,18657
2019-07-02,340.0,345.0,329.25,331.35,6213
2019-07-03,331.35,342.0,330.65,335.6,7302
2019-07-04,337.0,345.5,333.05,335.05,9544
2019-07-05,334.5,340.0,322.15,325.5,6247
2019-07-08,314.25,321.3,303.3,308.1,10481
2019-07-09,303.5,316.7,300.0,304.95,4143
2019-07-10,298.8,308.45,288.25,290.05,4690
2019-07-11,292.0,293.1,277.0,279.45,7674
2019-07-12,283.0,307.35,280.0,307.35,19795
2019-07-15,314.5,314.7,290.1,293.4,20354
2019-07-16,301.0,308.35,296.2,297.9,11913
2019-07-17,298.2,303.2,288.2,288.3,3888
2019-07-18,285.65,291.4,274.8,276.75,11255
2019-07-19,276.4,278.6,261.15,263.85,9275
2019-07-22,265.0,274.0,257.0,262.85,9096
2019-07-23,264.15,283.7,263.0,275.9,11123
2019-07-24,293.0,293.0,269.85,274.1,12483
2019-07-25,278.5,278.55,263.15,265.1,9607
2019-07-26,261.3,275.9,261.3,267.65,6543
2019-07-29,263.0,267.0,259.9,261.4,6217
2019-07-30,274.75,274.75,235.5,238.55,12800
2019-07-31,232.1,244.95,224.15,238.5,14589
2019-08-01,236.0,251.6,236.0,243.15,5806
2019-08-02,238.0,242.1,231.8,237.05,5002
2019-08-05,226.05,230.0,223.0,226.2,9157
2019-08-06,223.5,235.9,221.95,232.25,2473
2019-08-07,230.0,235.9,221.6,225.95,3552
2019-08-08,227.95,232.0,220.0,223.5,9540
2019-08-09,224.0,226.75,216.15,216.8,4332
2019-08-13,213.05,213.9,203.3,204.85,4377
2019-08-14,206.0,225.3,203.25,223.9,27855
2019-08-16,219.9,231.65,212.6,223.8,6963
2019-08-19,220.0,231.0,219.6,221.1,18421
2019-08-20,224.05,230.0,220.0,220.5,12266
2019-08-21,219.9,223.7,209.0,209.45,10931
2019-08-22,206.8,208.2,198.0,200.85,23664
2019-08-23,198.3,206.0,181.1,201.9,5398
2019-08-26,205.45,208.6,199.05,205.4,5638
2019-08-27,211.2,225.9,211.2,224.55,19549
2019-08-28,221.4,233.0,213.95,219.35,17083
2019-08-29,225.0,234.0,215.0,218.15,10690
2019-08-30,220.05,222.25,216.4,219.45,18654
2019-09-03,216.95,217.45,211.1,212.65,12495
2019-09-04,216.9,224.0,215.0,216.5,5201
2019-09-05,216.5,224.0,215.9,221.9,5994
2019-09-06,221.9,224.4,221.05,222.2,2248
2019-09-11,226.95,245.75,226.0,245.75,21940
2019-09-12,254.5,263.85,252.7,255.2,25112
2019-09-13,256.95,270.0,250.0,264.45,15449
2019-09-16,262.0,274.9,261.0,269.4,8976
2019-09-17,273.0,289.0,272.0,272.65,23127
2019-09-18,278.0,279.0,272.1,273.8,9035
2019-09-19,273.95,275.5,256.05,265.0,11182
2019-09-20,274.0,275.1,262.65,266.5,12084
2019-09-23,268.45,275.0,261.0,265.2,13242
2019-09-24,267.35,275.25,266.25,267.7,8998
2019-09-25,266.7,294.45,266.5,283.7,30851
2019-09-26,286.0,292.0,277.85,289.6,18670
2019-09-27,291.4,312.0,291.25,293.95,35475
2019-09-30,296.7,297.6,265.05,275.7,18149
2019-10-01,274.5,288.75,270.0,274.65,6675
2019-10-03,275.0,289.0,270.25,280.2,14888
2019-10-04,282.8,282.8,271.05,271.85,9069
2019-10-07,272.95,278.4,264.3,265.7,7925
2019-10-09,265.4,269.1,256.5,263.7,5703
2019-10-10,276.95,276.95,259.9,261.95,2803
2019-10-11,260.05,267.9,258.6,261.15,10369
2019-10-14,260.4,271.05,259.95,261.05,4428
2019-10-15,262.8,266.0,252.3,261.15,11805
2019-10-16,262.1,266.0,255.4,259.05,3525
2019-10-17,258.2,259.9,252.2,253.55,4284
2019-10-18,252.35,258.5,252.3,255.9,8763
2019-10-22,255.0,272.95,255.0,267.15,8171
2019-10-23,272.7,286.0,269.4,276.05,31712
2019-10-24,279.8,279.8,266.25,268.05,9218
2019-10-25,269.9,269.9,260.95,263.3,4750
2019-10-29,267.0,275.0,267.0,269.75,4499
2019-10-30,272.3,283.0,272.3,277.95,8427
2019-10-31,278.95,303.0,278.9,291.45,28417
2019-11-01,306.0,319.7,304.6,306.7,49954
2019-11-04,307.65,319.5,300.0,311.0,13933
2019-11-05,314.1,314.3,294.35,298.3,14954
2019-11-06,308.0,314.1,262.0,272.9,45282
2019-11-07,268.0,278.55,252.1,256.75,26884
2019-11-08,260.25,264.7,257.7,258.35,10597
2019-11-13,257.8,267.45,253.9,256.0,11870
2019-11-14,257.65,258.45,252.0,252.65,8130
2019-11-15,252.65,252.65,242.6,246.45,10419
2019-11-18,246.45,248.0,235.9,236.7,15081
2019-11-19,236.7,248.55,236.7,244.6,22550
2019-11-20,244.6,247.5,241.05,245.55,3419
2019-11-21,242.0,251.85,242.0,245.05,5576
2019-11-22,244.1,244.5,238.2,239.75,8014
2019-11-25,244.5,249.65,226.7,227.65,12643
2019-11-26,229.9,235.15,218.9,224.8,18784
2019-11-27,226.0,228.05,218.2,221.1,13116
2019-11-28,221.1,227.45,215.0,224.0,15212
2019-11-29,223.6,234.0,221.4,228.95,17180
2019-12-02,228.55,231.9,226.35,227.85,3806
2019-12-03,227.0,227.0,218.55,220.6,6906
2019-12-04,220.0,232.5,219.0,229.9,14290
2019-12-05,233.4,249.7,230.3,245.75,34752
2019-12-06,248.0,249.65,235.3,243.25,12201
2019-12-09,243.25,249.4,239.1,245.55,14293
2019-12-10,247.2,252.8,235.95,237.45,11457
2019-12-11,241.15,243.8,232.3,236.95,7280
2019-12-12,240.15,242.5,235.7,236.4,4884
2019-12-13,241.6,248.7,235.65,246.0,10228
2019-12-16,245.2,262.35,242.75,256.55,26057
2019-12-17,253.1,258.7,251.0,253.4,8928
2019-12-18,259.5,264.2,255.0,260.05,28211
2019-12-19,260.05,266.4,257.6,261.35,11417
2019-12-20,263.0,263.0,250.0,253.95,11853
2019-12-23,253.55,256.0,250.1,252.3,5743
2019-12-24,253.0,254.0,248.45,250.45,4449
2019-12-26,249.0,270.35,248.0,268.5,29179
2019-12-27,269.35,277.9,267.35,270.4,20625
2019-12-30,272.15,277.9,269.1,274.35,16761
2019-12-31,272.85,284.0,271.05,278.15,15580
2020-01-01,278.9,309.4,277.65,305.7,57085
2020-01-02,309.0,317.7,296.5,299.3,33138
2020-01-03,297.4,305.3,291.4,293.35,14891
2020-01-06,290.15,302.0,283.0,288.0,16242
2020-01-07,299.65,311.1,293.75,307.2,30446
2020-01-08,306.9,309.5,299.15,304.6,11721
2020-01-09,307.8,313.0,304.0,307.7,12662
2020-01-10,306.25,311.3,295.2,298.3,10129
2020-01-13,296.05,319.7,296.05,310.35,31880
2020-01-14,312.9,322.75,312.2,318.25,22261
2020-01-15,317.0,320.2,311.7,317.2,7528
2020-01-16,319.9,342.05,319.9,337.85,32797
2020-01-17,344.95,364.15,343.0,346.7,90799
2020-01-20,345.0,346.7,328.0,334.35,16172
2020-01-21,334.35,337.3,321.4,323.0,16479
2020-01-22,327.05,332.8,322.45,329.55,15207
2020-01-23,332.0,332.3,323.1,324.7,9876
2020-01-24,324.75,325.1,309.6,311.25,9002
2020-01-27,309.7,316.15,303.0,304.65,13299
2020-01-28,303.25,308.3,291.25,296.05,9597
2020-01-29,298.1,315.0,298.1,306.2,16462
2020-01-30,306.0,306.05,294.2,296.5,11379
2020-01-31,299.3,300.2,291.9,294.55,8593
2020-02-01,293.2,297.5,271.65,277.15,6113
2020-02-03,277.15,282.15,254.0,257.75,14051
2020-02-04,264.15,274.85,261.6,263.7,16892
2020-02-05,265.05,269.6,246.65,249.65,19047
2020-02-06,257.0,282.5,256.0,277.85,59152
2020-02-07,283.0,283.0,267.75,269.65,16020
2020-02-10,270.05,271.35,257.65,259.9,10827
2020-02-11,261.65,262.8,252.2,256.75,11056
2020-02-12,259.0,275.55,259.0,272.6,25300
2020-02-13,270.0,282.0,269.1,271.35,16062
2020-02-14,272.85,272.85,260.05,262.9,6172
2020-02-17,271.0,276.6,261.0,263.7,14319
2020-02-18,257.3,258.85,249.8,254.5,12125
2020-02-19,261.0,271.0,258.45,264.1,10943
2020-02-20,256.1,268.0,256.1,261.9,5101
2020-02-24,262.0,262.0,251.75,253.6,4374
2020-02-25,256.25,256.25,249.1,251.3,5372
2020-02-26,252.0,254.4,244.95,247.05,7650
2020-02-27,244.8,246.05,233.1,237.4,8139
2020-02-28,231.0,231.0,216.4,218.05,10725
2020-03-02,228.35,228.5,201.15,205.8,15772
2020-03-03,215.3,217.1,200.35,211.45,24377
2020-03-04,211.0,213.15,194.3,201.15,16342
2020-03-05,204.4,207.7,194.0,200.55,8753
2020-03-06,191.65,197.9,183.0,184.5,16876
2020-03-09,180.0,180.0,152.5,155.4,20710
2020-03-11,158.95,166.75,153.35,158.9,12939
2020-03-12,150.0,150.0,143.05,143.15,10315
2020-03-13,132.0,153.1,128.85,145.6,23132
2020-03-16,140.0,143.95,133.3,135.75,7363
2020-03-17,137.25,142.0,133.0,134.15,7823
2020-03-18,135.35,136.3,121.0,121.65,5168
2020-03-19,113.2,113.8,109.5,109.65,12914
