Datetime,Open,High,Low,Close,Volume
2019-05-28,77.5,79.0,75.5,75.95,11040
2019-05-29,76.5,77.5,75.0,75.03,7006
2019-05-30,75.5,75.5,70.33,71.3,32752
2019-06-03,69.5,71.0,67.33,70.15,4104
2019-06-10,68.03,69.15,66.25,67.03,20372
2019-06-11,67.03,67.88,66.75,66.83,5190
2019-06-12,66.55,67.75,66.5,66.78,4876
2019-06-13,66.88,66.93,65.5,66.1,7044
2019-06-14,66.0,66.0,64.8,65.03,8354
2019-06-17,65.58,65.58,62.75,62.95,9818
2019-06-18,63.0,63.5,61.0,61.48,13990
2019-06-19,60.58,62.5,60.58,61.18,1468
2019-06-20,62.5,62.75,61.25,61.85,3314
2019-06-21,61.9,62.75,61.0,61.38,7324
2019-06-24,61.5,62.0,58.0,59.5,7476
2019-06-25,59.6,59.93,58.13,59.5,3956
2019-06-26,58.43,60.48,58.43,59.9,11372
2019-06-27,60.85,60.85,59.3,59.55,8288
2019-06-28,60.0,61.3,59.05,59.65,8924
2019-07-01,59.78,60.75,58.9,59.05,5520
2019-07-02,58.83,60.05,58.1,59.93,3276
2019-07-03,59.75,61.2,59.75,60.8,6822
2019-07-04,61.8,62.35,60.95,61.25,16162
2019-07-05,61.25,61.93,60.0,60.4,2210
2019-07-08,60.0,60.0,57.9,58.7,8498
2019-07-09,59.0,59.4,58.88,59.03,2136
2019-07-10,58.9,58.95,58.48,58.65,840
2019-07-11,59.15,59.45,58.68,59.13,942
2019-07-12,59.18,59.33,58.0,58.4,5364
2019-07-15,58.5,58.9,57.5,57.65,4484
2019-07-16,58.0,58.0,56.0,56.13,4842
2019-07-17,55.65,56.55,55.0,55.0,6362
2019-07-18,55.03,55.4,53.95,54.13,4688
2019-07-19,53.68,53.68,51.55,52.48,11912
2019-07-22,52.45,52.9,51.43,52.05,12964
2019-07-23,52.05,54.18,52.05,52.95,2388
2019-07-24,52.95,54.15,52.23,53.45,3776
2019-07-25,52.05,53.5,49.08,49.63,20994
2019-07-26,50.05,50.4,48.28,49.85,3270
2019-07-29,50.95,50.98,48.38,49.45,16744
2019-07-30,49.75,49.93,48.2,48.38,6072
2019-07-31,48.5,49.38,47.55,48.93,6886
2019-08-01,48.5,48.9,47.73,48.23,3062
2019-08-02,47.5,48.05,47.5,48.0,4954
2019-08-05,47.5,47.75,47.0,47.55,4262
2019-08-06,47.83,49.8,47.83,49.43,2974
2019-08-07,47.5,47.98,46.0,47.25,4046
2019-08-08,47.25,47.25,45.75,46.68,3714
2019-08-09,49.78,51.1,48.2,48.98,12440
2019-08-13,50.7,52.28,48.68,48.95,15200
2019-08-14,50.5,50.93,49.5,49.65,1504
2019-08-16,50.6,51.65,47.0,50.95,11816
2019-08-19,52.4,52.4,51.0,51.18,2834
2019-08-20,50.95,50.95,49.13,50.43,4776
2019-08-21,50.0,50.25,48.58,48.88,6610
2019-08-22,49.3,49.3,47.03,47.3,12118
2019-08-23,46.98,47.75,45.5,47.03,7498
2019-08-26,49.05,49.05,47.75,48.23,6284
2019-08-27,46.0,51.43,45.5,51.08,61206
2019-08-28,50.35,51.0,49.0,49.85,7252
2019-08-29,49.65,50.0,48.63,49.05,3486
2019-08-30,49.18,50.0,48.5,49.53,842
2019-09-03,50.35,53.5,46.6,46.9,21732
2019-09-04,47.28,47.88,46.85,47.23,9854
2019-09-05,47.83,49.4,47.83,48.68,3186
2019-09-06,49.3,50.15,49.03,50.05,6570
2019-09-11,51.5,54.23,50.05,52.93,13196
2019-09-12,54.5,55.98,53.8,54.25,8910
2019-09-13,54.48,58.0,53.43,56.5,34230
2019-09-16,56.2,57.38,55.5,55.85,10168
2019-09-17,56.0,56.88,53.13,53.93,18274
2019-09-18,54.08,54.58,52.9,53.45,13682
2019-09-19,54.35,54.43,52.83,53.28,12876
2019-09-20,52.8,56.1,52.8,55.35,14776
2019-09-23,58.1,58.25,56.05,57.23,41352
2019-09-24,57.93,58.0,48.0,51.6,349848
2019-09-25,51.6,53.85,51.5,51.9,20340
2019-09-26,54.45,54.45,51.65,52.15,22976
2019-09-27,52.4,53.88,52.05,52.23,24392
2019-09-30,52.4,53.15,50.4,51.93,24060
2019-10-01,52.63,53.5,50.08,50.5,24156
2019-10-03,50.5,51.33,49.75,50.1,9374
2019-10-04,50.85,51.5,48.5,48.98,25110
2019-10-07,49.98,50.0,48.5,48.68,9426
2019-10-09,48.6,49.08,47.93,48.53,14822
2019-10-10,49.1,49.48,48.03,48.5,6236
2019-10-11,48.33,49.05,47.55,47.85,8370
2019-10-14,48.23,48.5,46.63,47.05,10566
2019-10-15,47.5,47.5,46.05,46.35,5682
2019-10-16,47.0,47.08,46.08,46.45,14316
2019-10-17,46.38,49.0,46.33,48.15,17376
2019-10-18,48.28,50.88,48.28,48.95,26478
2019-10-22,48.73,50.23,48.2,48.55,9598
2019-10-23,48.88,49.43,48.5,48.9,6416
2019-10-24,49.5,53.25,49.5,52.0,64832
2019-10-25,52.5,54.5,51.15,52.15,49942
2019-10-29,55.5,57.45,54.55,56.53,53410
2019-10-30,57.0,58.0,56.3,57.15,22184
2019-10-31,58.0,60.45,56.0,58.2,60496
2019-11-01,59.05,60.08,57.0,57.75,21408
2019-11-04,58.7,58.75,57.05,57.68,22816
2019-11-05,57.75,58.18,55.75,56.1,17886
2019-11-06,56.3,57.35,55.75,56.15,13772
2019-11-07,56.5,56.75,54.28,54.85,20010
2019-11-08,54.88,55.68,53.0,53.45,24402
2019-11-13,53.5,53.5,50.63,50.83,34438
2019-11-14,50.0,51.0,49.28,49.58,13188
2019-11-15,51.48,51.48,49.28,49.83,14640
2019-11-18,49.75,50.18,47.6,47.83,22444
2019-11-19,48.75,48.8,47.13,47.88,25790
2019-11-20,48.13,48.95,46.83,47.5,32858
2019-11-21,47.95,47.95,47.08,47.43,16604
2019-11-22,47.55,48.2,47.0,47.83,11730
2019-11-25,47.85,47.85,47.05,47.7,5928
2019-11-26,48.75,49.88,47.85,48.25,13104
2019-11-27,48.95,48.98,47.28,47.38,15004
2019-11-28,48.08,48.08,46.95,47.15,8716
2019-11-29,47.15,48.0,46.88,47.68,6876
2019-12-02,47.75,48.0,47.3,47.5,20306
2019-12-03,47.3,47.6,47.3,47.5,9106
2019-12-04,48.0,48.0,46.93,47.23,3858
2019-12-05,47.0,48.5,47.0,48.0,6430
2019-12-06,47.58,47.58,46.1,46.5,73172
2019-12-09,46.6,48.78,46.6,48.05,15766
2019-12-10,47.3,47.35,46.3,46.5,9344
2019-12-11,46.5,46.68,45.0,45.95,5616
2019-12-12,46.35,46.43,46.0,46.2,6972
2019-12-13,46.58,48.28,46.55,47.45,10574
2019-12-16,47.95,48.28,47.6,47.8,6182
2019-12-17,47.78,47.95,46.98,47.15,6730
2019-12-18,47.5,48.55,47.25,48.05,12766
2019-12-19,48.23,49.25,47.35,47.65,13342
2019-12-20,47.5,47.58,46.73,46.9,12898
2019-12-23,47.3,48.2,47.0,47.25,17696
2019-12-24,47.18,47.7,47.18,47.53,3276
2019-12-26,47.43,52.85,47.43,50.6,60296
2019-12-27,51.15,52.18,51.15,51.68,20910
2019-12-30,52.23,55.75,52.23,55.73,44258
2019-12-31,55.75,57.2,53.25,53.68,28118
2020-01-01,52.6,54.95,52.5,53.53,21182
2020-01-02,54.3,56.0,53.83,54.8,35492
2020-01-03,55.2,55.2,52.5,52.9,11650
2020-01-06,51.8,53.13,51.3,51.53,15810
2020-01-07,52.5,52.5,50.8,51.15,20744
2020-01-08,50.0,51.0,50.0,50.68,7992
2020-01-09,51.68,52.5,51.5,51.93,4058
2020-01-10,53.5,55.7,53.0,54.1,45352
2020-01-13,54.6,56.28,53.5,54.25,28498
2020-01-14,55.5,56.75,54.75,56.0,17986
2020-01-15,55.95,55.95,54.68,55.28,9922
2020-01-16,55.73,56.05,54.78,55.45,7702
2020-01-17,56.1,56.48,55.28,55.38,5172
2020-01-20,55.5,55.5,54.25,54.58,5356
2020-01-21,53.8,54.5,53.4,53.68,4422
2020-01-22,54.05,54.48,52.63,53.08,11546
2020-01-23,53.9,54.2,52.33,52.8,7568
2020-01-24,53.13,53.13,52.25,52.5,14234
2020-01-27,52.0,53.28,52.0,52.6,6156
2020-01-28,52.55,52.6,51.63,51.9,4144
2020-01-29,52.0,52.48,51.48,51.53,6016
2020-01-30,51.5,52.15,50.98,51.45,6938
2020-01-31,52.0,52.03,50.33,51.05,12154
2020-02-01,49.78,51.5,47.5,49.18,21576
2020-02-03,49.18,51.45,47.85,49.93,11274
2020-02-04,51.23,51.23,49.93,50.25,8564
2020-02-05,50.75,51.2,49.33,50.45,5052
2020-02-06,50.5,51.4,50.5,50.88,6132
2020-02-07,50.98,52.15,50.43,51.35,11286
2020-02-10,51.4,51.6,50.3,50.5,7764
2020-02-11,51.2,51.3,50.68,51.1,14936
2020-02-12,51.23,51.48,49.18,49.45,6628
2020-02-13,49.5,50.13,48.73,49.1,8088
2020-02-14,49.15,49.5,48.3,48.43,12622
2020-02-17,48.25,48.43,47.5,47.6,17328
2020-02-18,47.6,47.98,46.4,46.63,6608
2020-02-19,47.0,47.23,46.5,47.1,5308
2020-02-20,47.0,48.93,46.98,47.58,6824
2020-02-24,47.4,47.98,46.63,46.85,5764
2020-02-25,46.8,47.0,46.3,46.48,3428
2020-02-26,46.3,46.63,45.6,46.0,4166
2020-02-27,46.0,46.1,44.08,44.9,14088
2020-02-28,44.0,44.0,42.5,43.05,9220
2020-03-02,43.5,44.05,40.88,41.18,12622
2020-03-03,41.9,42.05,40.83,41.55,11880
2020-03-04,41.55,42.53,41.1,41.3,15330
2020-03-05,41.35,42.5,41.35,42.05,6574
2020-03-06,41.3,42.25,40.7,41.98,10838
2020-03-09,43.0,43.0,37.53,41.45,20850
2020-03-11,41.5,43.15,41.43,42.38,12726
2020-03-12,50.0,50.43,45.68,47.45,269954
2020-03-13,48.0,52.05,44.5,51.25,157460
2020-03-16,51.0,52.5,49.8,50.78,177118
2020-03-17,53.45,53.45,49.2,50.98,119238
2020-03-18,39.75,40.9,35.63,35.9,56318
2020-03-19,35.65,37.33,29.7,35.25,93302
2020-03-20,36.38,37.03,33.4,34.1,30490
2020-03-23,31.33,32.75,29.0,29.23,23064
2020-03-24,30.5,30.95,27.5,29.35,34376
2020-03-25,29.05,31.25,28.33,29.98,23570
2020-03-26,31.08,32.55,30.28,31.7,18576
2020-03-27,32.6,33.0,31.5,31.9,12780
2020-03-30,31.5,32.08,30.55,31.38,3352
2020-03-31,31.38,33.23,31.38,32.55,15188
2020-04-01,32.5,32.98,31.6,32.03,8668
2020-04-03,32.0,32.08,31.08,31.65,8694
2020-04-07,33.9,33.9,32.33,32.75,14942
2020-04-08,32.8,33.92,32.8,33.13,7950
2020-04-09,33.75,34.3,33.03,33.7,46016
2020-04-13,33.75,33.88,32.03,32.98,19278
2020-04-15,33.48,34.6,33.0,33.6,17030
2020-04-16,33.13,36.23,30.5,35.13,42308
2020-04-17,35.53,36.9,35.0,35.65,39668
2020-04-20,36.5,37.85,36.0,36.78,36552
2020-04-21,35.05,35.45,34.35,34.63,13256
2020-04-22,35.05,35.05,32.53,33.83,22030
2020-04-23,34.88,34.95,33.75,34.08,11178
2020-04-24,33.58,34.08,33.13,33.35,10474
2020-04-27,33.7,36.58,33.4,34.5,81362
2020-04-28,34.5,34.5,33.5,33.73,25886
2020-04-29,33.75,35.0,33.75,34.55,27954
2020-04-30,35.03,35.45,34.75,34.88,18384
2020-05-04,34.88,34.88,32.85,33.05,15106
2020-05-05,33.85,33.85,32.73,32.75,8092
2020-05-06,32.75,32.9,32.35,32.5,9192
2020-05-07,32.73,32.85,32.3,32.42,7442
2020-05-08,32.98,32.98,32.0,32.1,9018
2020-05-11,32.65,32.65,32.05,32.42,6150
2020-05-12,32.0,32.65,31.88,32.35,15578
2020-05-13,33.08,33.15,32.38,32.85,13918
2020-05-14,32.35,32.98,32.33,32.53,6354
2020-05-15,32.48,32.6,32.48,32.55,29378
2020-05-18,32.3,32.6,31.08,31.2,32000
2020-05-19,31.0,31.3,30.0,30.98,14806
2020-05-20,30.78,30.85,30.55,30.78,8846
2020-05-21,31.15,31.33,30.75,31.03,3594
2020-05-22,31.13,31.23,30.15,30.45,4028
2020-05-26,30.73,31.13,30.28,30.5,7632
2020-05-27,30.4,30.73,30.4,30.53,3358
2020-05-28,30.55,34.58,30.55,33.63,69280
2020-05-29,32.75,33.75,32.3,32.88,36412
2020-06-01,33.0,33.95,32.85,33.15,40862
2020-06-02,33.33,33.55,32.85,33.15,23288
2020-06-03,33.0,34.05,32.13,32.75,58072
2020-06-04,32.7,35.4,32.63,33.98,86156
2020-06-05,34.4,36.25,34.15,34.67,180346
2020-06-08,35.73,37.5,35.25,35.8,136286
2020-06-09,36.92,36.95,34.05,34.33,82156
2020-06-10,35.5,36.03,34.13,35.08,55130
2020-06-11,36.0,36.63,35.05,35.3,88614
2020-06-12,35.55,36.4,33.73,35.55,96660
2020-06-15,36.08,36.08,34.3,34.98,50852
2020-06-16,35.5,35.85,34.1,34.5,30286
2020-06-17,34.23,35.85,34.13,34.92,23666
2020-06-18,35.13,36.8,34.88,36.1,139294
2020-06-19,36.42,37.3,35.75,35.85,60626
2020-06-22,36.7,36.7,35.73,35.83,38922
2020-06-23,36.0,42.1,35.67,40.0,380556
2020-06-24,40.5,41.23,38.45,38.53,137190
2020-06-25,38.48,39.25,37.6,38.65,37740
2020-06-26,40.5,40.5,38.38,38.55,34658
2020-06-29,38.7,38.7,37.13,37.35,34026
2020-06-30,37.0,38.15,36.55,36.65,25484
2020-07-01,35.8,39.58,35.8,38.65,91934
2020-07-02,38.95,46.38,38.63,44.95,440298
2020-07-03,45.95,45.95,43.05,43.8,360476
2020-07-06,43.85,44.48,42.73,42.9,83960
2020-07-07,42.75,43.7,42.0,42.25,99500
2020-07-08,40.78,44.9,40.78,42.58,111040
2020-07-09,42.95,43.75,42.55,42.93,37846
2020-07-10,42.9,45.5,42.2,43.95,265770
2020-07-13,44.4,44.95,43.08,43.2,62986
2020-07-14,43.2,43.45,41.3,41.63,44350
2020-07-15,42.63,42.98,40.73,41.1,60936
2020-07-16,41.25,41.88,40.88,41.15,34136
2020-07-17,41.28,42.38,41.03,41.75,29856
2020-07-20,42.0,42.75,41.5,41.68,63036
2020-07-21,41.93,43.03,41.25,42.1,51500
2020-07-22,42.5,42.75,41.55,41.68,27068
2020-07-23,41.75,42.3,41.48,41.58,29150
2020-07-24,41.7,42.23,41.1,41.58,24852
2020-07-27,40.78,41.53,38.88,39.92,49424
2020-07-28,40.08,40.98,39.83,40.5,24082
2020-07-29,40.65,41.08,39.0,39.2,36874
2020-07-30,39.83,40.63,39.5,39.73,37954
2020-07-31,39.78,40.15,39.2,39.5,14998
2020-08-03,39.4,40.0,39.05,39.53,31244
2020-08-04,39.65,41.05,39.58,40.35,34468
2020-08-05,41.0,41.3,39.35,39.88,30214
2020-08-06,40.3,40.85,39.85,40.28,25078
2020-08-07,40.5,42.25,40.5,41.18,64626
2020-08-10,42.18,42.18,41.2,41.3,24688
2020-08-11,41.9,42.38,41.53,41.73,26948
2020-08-12,41.5,46.0,41.28,44.73,18757020
2020-08-13,44.98,46.35,44.13,44.38,167270
2020-08-14,44.7,45.5,42.1,42.85,65396
2020-08-17,43.0,48.03,42.75,45.83,260900
2020-08-18,45.9,47.25,45.65,46.03,117480
2020-08-19,45.25,47.85,45.25,46.48,124438
2020-08-20,45.95,47.5,45.55,46.63,44948
2020-08-21,47.38,49.0,46.88,48.48,108614
2020-08-24,48.53,50.33,47.9,48.1,76482
2020-08-25,48.6,48.83,46.9,47.1,42660
2020-08-26,48.0,49.8,47.85,48.78,89130
2020-08-27,51.2,53.08,49.55,50.08,36038468
2020-08-28,51.25,51.25,48.2,48.45,99442
2020-08-31,49.5,49.5,44.13,45.1,84646
2020-09-01,45.05,46.8,44.13,46.53,45056
2020-09-02,46.45,47.23,46.25,46.68,149936
2020-09-03,47.0,47.55,45.3,46.63,21388
2020-09-04,44.0,47.78,44.0,46.2,61080
2020-09-07,46.65,46.65,45.05,45.38,44338
2020-09-08,46.98,46.98,44.2,44.45,36688
2020-09-09,44.23,45.23,43.5,44.75,18010
2020-09-10,45.18,45.85,44.65,45.03,18054
2020-09-11,44.88,45.28,44.3,44.5,17182
2020-09-14,45.23,46.93,45.23,46.28,33582
2020-09-15,46.35,47.23,46.03,46.63,14398
2020-09-16,46.8,47.5,46.63,46.93,41434
2020-09-17,46.75,47.43,45.4,45.6,13348
2020-09-18,45.75,46.3,44.65,45.18,21888
2020-09-21,47.0,47.0,43.13,43.83,22374
2020-09-22,43.53,43.75,42.5,43.33,14922
2020-09-23,44.1,44.2,43.1,43.5,11412
2020-09-24,43.5,43.5,41.75,41.8,28226
2020-09-25,42.33,44.0,42.33,43.65,7458
2020-09-28,43.93,45.35,43.93,44.4,22708
2020-09-29,44.58,44.7,43.48,43.75,8968
2020-09-30,45.75,45.75,43.8,44.93,34284
2020-10-01,45.5,45.5,44.5,44.85,11174
2020-10-05,45.0,45.75,44.6,45.18,42188
2020-10-06,45.15,46.9,45.05,45.7,70292
2020-10-07,46.2,46.25,45.1,45.6,18736
2020-10-08,46.18,46.18,44.75,45.13,20048
2020-10-09,45.5,46.53,45.0,46.05,13164
2020-10-12,46.05,46.05,45.03,45.08,4770
2020-10-13,45.4,45.4,45.0,45.05,9924
2020-10-14,45.13,45.68,44.73,44.8,11780
2020-10-15,45.45,45.48,44.03,44.43,11534
2020-10-16,44.55,45.08,44.1,44.98,8474
2020-10-19,45.3,45.45,44.7,44.88,6386
2020-10-20,44.7,44.95,44.53,44.75,4356
2020-10-21,45.2,45.3,44.05,44.43,8758
2020-10-22,44.45,45.25,44.0,45.13,6426
2020-10-23,45.05,47.25,45.05,46.58,51080
2020-10-26,46.8,48.75,46.5,47.8,129726
2020-10-27,47.0,48.0,46.88,47.08,29944
2020-10-28,46.75,47.33,45.63,45.85,18516
2020-10-29,45.38,46.18,45.0,45.35,17520
2020-10-30,45.83,46.1,44.78,44.95,20402
2020-11-02,45.6,45.6,44.53,44.78,9816
2020-11-03,45.0,45.73,44.25,44.5,17994
2020-11-04,44.95,45.4,44.83,45.05,7660
2020-11-05,45.38,46.3,45.38,45.68,10900
2020-11-06,45.85,46.25,45.6,45.78,13560
2020-11-09,46.5,47.0,45.68,46.48,23458
2020-11-10,46.4,46.65,45.75,46.03,16372
2020-11-11,46.35,46.78,46.05,46.23,9560
2020-11-12,45.75,47.33,45.75,46.78,10944
2020-11-13,47.0,55.0,46.88,53.38,422794
2020-11-14,55.0,57.45,54.7,56.63,121726
2020-11-17,57.05,58.5,55.45,56.35,148732
2020-11-18,55.05,57.7,55.05,57.1,106706
2020-11-19,56.55,62.38,53.75,59.05,323212
2020-11-20,61.0,61.0,58.0,59.38,92634
2020-11-23,58.85,61.2,58.85,60.23,76484
2020-11-24,61.15,67.25,60.55,65.63,288550
2020-11-25,66.45,66.45,62.25,62.55,104362
2020-11-26,62.08,65.83,62.08,64.45,106232
2020-11-27,64.5,65.78,64.1,64.43,40966
2020-12-01,62.78,66.2,62.78,65.22,49460
2020-12-02,66.5,67.78,66.25,67.03,60832
2020-12-03,67.28,68.88,67.22,67.33,43290
2020-12-04,67.55,70.15,66.0,66.8,62282
2020-12-07,67.0,67.68,65.0,66.28,44676
2020-12-08,66.08,67.38,63.78,63.95,96128
2020-12-09,64.0,69.5,64.0,69.15,156580
2020-12-10,69.2,69.75,67.65,68.18,117704
2020-12-11,68.75,72.13,68.4,71.3,145512
2020-12-14,72.0,74.25,71.58,73.43,155476
2020-12-15,73.95,73.95,70.72,72.83,113204
2020-12-16,72.83,73.53,70.97,71.5,73332
2020-12-17,71.93,73.5,69.03,70.4,50236
2020-12-18,70.75,71.0,67.33,68.15,67238
2020-12-21,68.25,69.85,60.1,62.43,159114
2020-12-22,62.5,65.97,61.3,65.05,110184
2020-12-23,64.55,69.18,63.1,68.2,69078
2020-12-24,68.97,69.38,67.1,67.6,28006
2020-12-28,68.45,74.75,66.63,72.83,155560
2020-12-29,73.3,74.25,71.72,72.03,116688
2020-12-30,73.35,74.25,71.53,73.88,82466
2020-12-31,74.25,74.72,72.58,73.72,28282
2021-01-01,73.5,74.97,72.93,73.18,23884
2021-01-04,73.5,74.45,72.18,73.33,32864
2021-01-05,73.33,74.28,69.78,71.0,105376
2021-01-06,72.0,73.25,70.45,71.38,73586
2021-01-07,72.15,72.63,70.83,71.25,34778
2021-01-08,70.65,72.05,70.65,71.3,21202
2021-01-11,71.05,71.58,69.3,69.9,54210
2021-01-12,68.5,71.5,68.5,70.08,36692
2021-01-13,70.2,71.75,68.58,69.6,39554
2021-01-14,69.75,71.25,69.68,70.47,19108
2021-01-15,70.0,71.35,68.72,69.28,19570
2021-01-18,70.0,70.0,67.53,68.0,33714
2021-01-19,68.18,70.0,67.8,69.0,126738
2021-01-20,69.85,70.15,68.25,68.7,21472
2021-01-21,70.0,77.0,69.93,72.43,363430
2021-01-22,72.18,74.22,69.5,70.83,99642
2021-01-25,71.08,72.55,67.0,68.35,51954
2021-01-27,68.85,70.4,67.6,68.72,35922
2021-01-28,68.38,70.0,68.0,68.33,30218
2021-01-29,69.43,69.75,67.6,68.13,44582
2021-02-01,68.75,72.0,67.68,71.1,49820
2021-02-02,71.0,74.45,70.5,70.93,26236
2021-02-03,71.03,76.2,71.0,75.4,70112
2021-02-04,75.5,79.5,75.5,77.25,199862
2021-02-05,79.95,79.95,77.35,78.7,55456
2021-02-08,77.65,82.23,77.65,80.83,106956
2021-02-09,83.0,87.45,81.2,85.23,224268
2021-02-10,86.85,87.0,81.45,85.4,149224
2021-02-11,82.5,82.58,74.28,78.8,335570
2021-02-12,79.9,81.05,78.0,78.55,58984
2021-02-15,80.53,80.97,78.7,78.88,40886
2021-02-16,79.03,79.5,76.22,76.65,47186
2021-02-17,76.78,77.43,74.8,76.25,33704
2021-02-18,76.25,77.45,76.0,76.75,31056
2021-02-19,76.5,79.88,75.0,76.03,39384
2021-02-22,74.05,77.03,74.05,74.75,36122
2021-02-23,76.25,76.5,74.5,74.93,15640
2021-02-24,74.25,76.38,74.25,74.97,21500
2021-02-25,75.5,77.47,75.5,76.25,20354
2021-02-26,72.93,78.18,72.93,77.18,250100
2021-03-01,75.05,78.0,75.05,77.1,225700
2021-03-02,77.58,79.5,77.1,78.4,167070
2021-03-03,78.58,78.65,76.58,77.68,163448
2021-03-04,77.0,78.38,76.75,77.35,64220
2021-03-05,77.05,77.63,75.78,76.28,104028
2021-03-08,77.28,77.53,76.0,76.55,295126
2021-03-09,77.8,78.0,75.75,76.78,218472
