Datetime,Open,High,Low,Close,Volume
2019-05-28,19.0,19.95,18.85,19.5,14113
2019-05-29,19.75,20.0,19.05,19.15,7443
2019-05-30,19.45,19.75,19.0,19.15,8683
2019-06-03,16.9,16.9,15.75,15.85,12724
2019-06-10,13.55,14.15,13.05,13.3,16434
2019-06-11,13.25,13.25,11.95,12.2,48005
2019-06-12,12.4,12.95,12.4,12.7,13224
2019-06-13,13.0,13.25,12.0,13.2,29486
2019-06-14,13.0,13.2,12.55,13.0,15779
2019-06-17,12.6,13.0,12.2,12.55,10480
2019-06-18,12.6,12.75,11.8,12.0,7517
2019-06-19,12.15,12.25,10.8,10.8,35235
2019-06-20,10.0,10.0,9.75,9.75,8288
2019-06-21,9.15,9.3,8.8,8.8,23806
2019-06-24,8.4,8.4,8.4,8.4,28918
2019-06-25,8.0,8.0,8.0,8.0,30505
2019-06-26,7.6,7.6,7.6,7.6,5226
2019-06-27,7.25,7.95,7.25,7.8,73009
2019-06-28,8.15,8.15,8.15,8.15,46682
2019-07-01,8.55,8.55,8.39,8.55,127849
2019-07-02,8.97,8.97,8.97,8.97,9699
2019-07-03,9.4,9.41,9.4,9.41,6125
2019-07-04,9.85,9.88,9.75,9.88,66418
2019-07-05,10.37,10.37,10.35,10.37,82563
2019-07-08,10.88,10.88,9.86,10.67,142956
2019-07-09,10.87,11.2,10.85,11.19,68974
2019-07-10,11.19,11.73,10.64,11.33,22232
2019-07-11,11.5,11.89,11.4,11.8,14977
2019-07-12,12.0,12.25,11.21,11.21,12340
2019-07-15,11.0,11.35,10.65,10.65,5190
2019-07-16,10.2,10.2,10.12,10.12,4867
2019-07-17,9.65,9.65,9.62,9.62,5461
2019-07-18,9.25,9.8,9.14,9.68,25270
2019-07-19,9.6,9.85,9.25,9.28,10704
2019-07-22,9.25,9.6,8.82,8.85,62891
2019-07-23,9.25,9.29,8.71,8.97,9889
2019-07-24,9.39,9.41,8.54,8.55,13269
2019-07-25,8.55,8.97,8.5,8.97,10715
2019-07-26,9.41,9.41,9.15,9.41,13563
2019-07-29,9.25,9.88,9.02,9.76,21497
2019-07-30,10.0,10.24,9.55,9.73,7541
2019-07-31,9.32,9.69,9.3,9.3,1711
2019-08-01,9.64,9.64,9.14,9.48,2839
2019-08-02,9.05,9.45,9.05,9.15,4338
2019-08-05,8.73,9.19,8.73,9.19,2325
2019-08-06,8.86,9.45,8.75,9.45,4081
2019-08-07,9.05,9.84,9.05,9.61,4660
2019-08-08,10.09,10.09,9.41,9.82,3515
