Datetime,Open,High,Low,Close,Volume
2019-06-03,10.05,10.05,10.05,10.05,100
2019-06-17,10.5,10.5,10.5,10.5,5
2019-06-20,11.02,11.02,11.02,11.02,1
2019-06-24,11.57,11.57,10.47,10.47,2899
2019-06-28,9.95,10.99,9.95,10.99,28
2019-07-02,11.53,11.53,11.53,11.53,10
2019-07-03,12.0,12.0,12.0,12.0,17
2019-07-15,12.0,12.6,12.0,12.6,210
2019-07-18,12.6,13.0,12.6,13.0,30
2019-08-07,13.0,13.0,13.0,13.0,50
2019-08-27,12.35,12.35,12.35,12.35,1
2019-09-06,11.74,11.74,11.74,11.74,2760
2019-09-13,11.16,11.16,11.16,11.16,1
2019-09-16,10.61,10.61,10.61,10.61,1
2019-09-17,10.08,10.08,10.08,10.08,1
2019-09-18,9.58,9.58,9.58,9.58,1
2019-09-19,9.11,9.11,9.11,9.11,1
2019-09-20,8.66,8.66,8.66,8.66,1
2019-09-23,8.23,8.23,8.23,8.23,56
2019-09-24,7.82,7.82,7.82,7.82,1
2019-09-25,7.43,7.43,7.43,7.43,1
2019-09-26,7.06,7.06,7.06,7.06,1
2019-09-27,6.71,6.71,6.71,6.71,101
2019-09-30,6.58,6.58,6.58,6.58,2
2019-10-01,6.45,6.45,6.45,6.45,1
2019-10-03,6.33,6.33,6.33,6.33,1
2019-10-07,6.21,6.21,6.21,6.21,1
2019-10-11,6.09,6.09,6.09,6.09,1
2019-10-14,5.97,5.97,5.97,5.97,6
2019-10-15,5.86,5.86,5.86,5.86,1
2019-10-16,5.75,5.75,5.75,5.75,1
2019-10-22,5.64,5.64,5.64,5.64,1
2019-10-23,5.53,5.53,5.53,5.53,1
2019-10-24,5.42,5.42,5.42,5.42,1
2019-10-25,5.32,5.32,5.32,5.32,3
2019-10-29,5.22,5.22,5.22,5.22,1
2019-10-30,5.12,5.12,5.12,5.12,1
2019-10-31,5.02,5.02,5.02,5.02,1
2019-11-01,4.92,4.92,4.92,4.92,1
2019-11-04,4.83,4.83,4.83,4.83,1
2019-11-05,4.74,4.74,4.74,4.74,1
2019-11-06,4.65,4.65,4.65,4.65,1
2019-11-08,4.56,4.56,4.56,4.56,1
2019-11-13,4.39,4.39,4.39,4.39,1
2019-11-14,4.31,4.31,4.31,4.31,1
2019-11-15,4.23,4.23,4.23,4.23,101
2019-11-18,4.15,4.15,4.15,4.15,1
2019-11-19,4.07,4.07,4.07,4.07,201
2019-11-20,3.99,3.99,3.99,3.99,1
2019-11-22,3.92,3.92,3.92,3.92,1
2019-11-25,3.85,3.85,3.85,3.85,1
2019-11-27,3.85,3.85,3.78,3.78,37
2019-11-28,3.71,3.71,3.71,3.71,161
2019-11-29,3.64,3.64,3.64,3.64,26
2020-03-16,3.64,3.64,3.64,3.64,40
2020-03-23,3.64,3.64,3.64,3.64,20
2020-04-27,3.82,3.82,3.82,3.82,5
2020-06-03,4.01,4.01,4.01,4.01,28
2020-06-19,4.2,4.2,4.2,4.2,1
2020-07-02,3.99,3.99,3.99,3.99,200
2020-07-06,3.99,3.99,3.99,3.99,100
2020-07-13,3.99,3.99,3.99,3.99,2050
2020-08-14,3.8,3.8,3.8,3.8,301
2020-08-19,3.61,3.61,3.61,3.61,50
2020-08-31,3.43,3.43,3.43,3.43,1
2020-09-01,3.3,3.3,3.3,3.3,2200
2020-09-02,3.14,3.14,3.14,3.14,100
2020-09-03,2.99,2.99,2.99,2.99,2100
2020-09-08,2.85,2.85,2.85,2.85,100
2020-09-14,2.71,2.71,2.71,2.71,10
2020-09-23,2.58,2.58,2.58,2.58,1
2020-09-24,2.46,2.46,2.46,2.46,1
2020-09-29,2.34,2.34,2.34,2.34,10
2020-09-30,2.23,2.23,2.23,2.23,100
2020-10-01,2.12,2.12,2.12,2.12,100
2020-10-05,2.02,2.2,2.02,2.2,2390
2020-10-06,2.09,2.2,2.09,2.2,10500
2020-10-07,2.09,2.2,2.09,2.2,1250
2020-10-08,2.09,2.31,2.09,2.09,151
2020-10-09,1.99,2.09,1.99,1.99,16730
2020-10-14,2.0,2.0,2.0,2.0,200
2020-10-15,2.1,2.1,1.96,1.96,5579
2020-10-20,2.05,2.05,2.05,2.05,127
2020-10-21,2.15,2.15,1.96,1.96,23337
2020-11-03,2.05,2.05,1.87,1.87,1570
2020-11-09,1.96,1.96,1.96,1.96,1000
2020-11-10,2.05,2.05,2.05,2.05,510
2020-11-11,2.0,2.15,1.95,1.95,85
2020-11-13,2.04,2.04,1.9,1.9,1183
2020-11-17,1.99,1.99,1.99,1.99,1000
2020-11-18,1.9,1.9,1.9,1.9,1
2020-11-19,1.99,1.99,1.99,1.99,265
2020-11-26,2.0,2.05,2.0,2.05,1200
2021-01-06,1.95,1.95,1.95,1.95,2000
2021-01-12,2.04,2.04,2.04,2.04,6000
2021-01-13,2.14,2.14,2.14,2.14,6000
2021-01-14,2.24,2.24,2.24,2.24,7500
2021-01-15,2.35,2.35,2.35,2.35,6025
2021-01-18,2.46,2.46,2.46,2.46,6000
2021-01-19,2.58,2.58,2.58,2.58,16990
2021-01-20,2.7,2.7,2.7,2.7,5000
2021-01-22,2.83,2.83,2.83,2.83,18303
2021-01-27,2.83,2.83,2.69,2.69,1150
2021-01-28,2.82,2.82,2.82,2.82,1206
2021-01-29,2.82,2.83,2.82,2.83,2000
2021-02-01,2.85,2.85,2.69,2.69,2050
2021-02-02,2.56,2.56,2.56,2.56,1500
2021-02-03,2.68,2.68,2.52,2.52,5050
2021-02-04,2.64,2.64,2.42,2.42,3440
2021-02-05,2.3,2.3,2.3,2.3,50
2021-02-08,2.41,2.41,2.19,2.19,128
2021-02-10,2.19,2.19,2.19,2.19,100
2021-02-15,2.29,2.29,2.19,2.19,12709
2021-02-16,2.09,2.09,2.09,2.09,13
2021-02-17,2.19,2.19,2.19,2.19,6000
2021-02-23,2.29,2.29,2.09,2.09,1020
2021-02-24,2.19,2.19,2.19,2.19,750
2021-03-05,2.29,2.29,2.29,2.29,3000
2021-03-09,2.4,2.4,2.4,2.4,614
2021-03-19,2.4,2.4,2.4,2.4,20
2021-03-24,2.52,2.52,2.52,2.52,1000
2021-03-31,2.4,2.4,2.4,2.4,100
2021-04-01,2.28,2.28,2.28,2.28,100
2021-04-07,2.17,2.17,2.17,2.17,900
2021-04-08,2.08,2.27,2.08,2.27,2191
2021-04-12,2.16,2.16,2.16,2.16,3450
2021-04-28,2.2,2.26,2.2,2.26,52404
2021-04-29,2.37,2.37,2.37,2.37,10000
2021-05-03,2.48,2.48,2.48,2.48,1000
2021-05-07,2.6,2.6,2.6,2.6,10000
2021-05-10,2.73,2.73,2.73,2.73,55499
2021-05-11,2.86,2.86,2.86,2.86,10000
2021-05-12,3.0,3.0,3.0,3.0,1000
2021-05-14,3.15,3.15,3.15,3.15,20110
2021-05-17,3.3,3.3,3.05,3.25,13095
