Datetime,Open,High,Low,Close,Volume
2023-03-24,100.0,105.0,100.0,105.0,2349000
2023-03-27,103.27,106.67,100.0,101.4,151500
2023-03-28,101.4,103.3,100.13,100.33,178500
2023-03-29,100.1,103.33,100.07,100.63,327000
2023-03-31,103.0,103.0,102.67,102.67,6000
2023-04-03,103.93,103.93,101.33,101.83,51000
2023-04-05,102.67,102.67,101.53,102.03,39000
2023-04-06,102.0,104.0,102.0,103.33,123000
2023-04-10,103.43,108.5,103.33,108.47,129000
2023-04-11,109.2,112.33,106.67,108.13,123000
2023-04-12,107.33,108.67,102.7,104.53,58500
2023-04-13,106.67,106.67,102.67,104.2,21000
2023-04-17,104.6,106.5,104.6,105.4,28500
2023-04-18,106.67,107.3,104.67,104.67,10500
2023-04-19,104.4,106.67,104.07,106.53,75000
2023-04-20,106.67,106.67,105.33,106.0,28500
2023-04-21,106.33,106.33,104.33,104.87,30000
2023-04-24,106.6,111.27,105.4,109.97,60000
2023-04-25,116.0,116.0,108.67,111.77,42000
2023-04-26,112.0,113.67,109.33,109.83,66000
2023-04-27,111.33,111.87,104.0,105.17,79500
2023-04-28,104.67,106.0,104.67,106.0,78000
2023-05-02,106.0,106.0,102.67,103.3,27000
2023-05-03,102.67,104.57,101.67,104.57,19500
2023-05-04,104.27,104.27,104.27,104.27,15000
2023-05-05,104.0,105.93,102.0,103.57,16500
2023-05-09,102.67,105.9,102.67,102.67,37500
2023-05-10,102.67,102.67,102.67,102.67,3000
2023-05-11,102.67,107.83,102.67,107.83,40500
2023-05-12,108.0,108.0,106.0,107.33,57000
2023-05-15,107.33,107.33,104.17,106.67,13500
2023-05-16,107.33,107.33,106.03,106.67,7500
2023-05-17,106.7,107.33,106.0,106.0,6000
2023-05-18,106.67,107.33,106.67,107.2,18000
2023-05-19,107.33,107.93,106.67,106.67,15000
2023-05-22,105.63,106.67,105.63,106.5,6000
2023-05-23,106.67,108.0,105.67,108.0,87000
2023-05-24,108.63,116.67,108.63,114.0,193500
2023-05-25,118.0,122.0,117.67,121.33,90000
2023-05-26,123.33,124.67,114.67,116.0,91500
2023-05-29,114.8,115.93,112.0,113.33,105000
2023-05-30,112.77,114.67,112.33,114.03,46500
2023-05-31,114.0,114.0,112.67,113.93,37500
2023-06-01,114.0,114.67,112.67,114.0,54000
2023-06-02,115.6,117.33,114.67,115.93,12000
2023-06-05,114.67,116.0,112.67,113.7,75000
2023-06-06,112.67,114.0,112.67,113.3,34500
2023-06-07,116.33,116.33,112.07,113.3,120000
2023-06-08,115.13,115.93,112.67,112.67,87000
2023-06-09,114.0,114.0,112.0,113.33,57000
2023-06-12,113.33,113.33,110.0,111.6,79500
2023-06-13,113.33,115.33,112.07,114.17,100500
2023-06-14,115.33,115.33,114.0,114.43,58500
2023-06-15,115.8,116.53,112.67,112.8,105000
2023-06-16,114.33,115.97,113.83,114.67,40500
2023-06-19,115.93,131.33,115.03,128.67,313500
2023-06-20,128.67,130.57,125.0,128.1,93000
2023-06-21,127.6,132.0,127.33,127.53,91500
2023-06-22,130.03,148.93,130.03,146.57,1050000
2023-06-23,153.33,169.97,141.0,152.67,507000
2023-06-26,165.13,165.13,144.13,146.83,121500
2023-06-27,146.0,150.67,146.0,149.97,49500
2023-06-28,151.33,159.6,151.33,152.67,210000
2023-06-30,157.33,173.33,156.0,171.13,165000
2023-07-03,170.67,176.0,164.67,168.37,130500
2023-07-04,169.8,169.8,163.5,164.57,156000
2023-07-05,166.67,168.0,154.0,158.2,124500
2023-07-06,158.0,172.63,158.0,168.2,111000
2023-07-07,166.0,183.33,166.0,180.87,165000
2023-07-10,185.33,192.0,170.13,176.53,99000
2023-07-11,180.93,185.87,179.0,185.27,105000
2023-07-12,188.0,190.0,185.33,186.5,67500
2023-07-13,192.27,192.27,178.0,179.33,127500
2023-07-14,176.67,185.33,176.67,181.97,33000
2023-07-17,180.0,190.67,180.0,188.13,46500
2023-07-18,191.33,199.8,183.33,194.1,910500
2023-07-19,188.7,213.33,188.7,209.97,264000
2023-07-20,210.0,219.37,206.67,213.13,139500
2023-07-21,219.23,227.93,216.8,226.37,79500
2023-07-24,226.67,228.07,216.73,218.53,54000
2023-07-25,220.0,232.67,220.0,230.97,99000
2023-07-26,231.33,244.6,230.8,242.2,81000
2023-07-27,244.0,264.0,244.0,262.6,136500
2023-07-28,263.33,280.67,250.2,259.17,180000
2023-07-31,271.77,309.43,266.6,301.87,403500
2023-08-01,300.0,326.3,296.67,321.33,226500
2023-08-02,332.0,333.33,306.43,315.5,126000
2023-08-03,318.67,333.33,318.67,330.67,76500
2023-08-04,341.97,342.67,331.0,339.37,121500
2023-08-07,342.8,342.8,327.33,334.7,126000
2023-08-08,336.73,336.73,328.8,333.43,100500
2023-08-09,334.2,335.67,315.33,333.73,120000
2023-08-10,336.63,350.0,320.0,322.07,87000
2023-08-11,328.6,328.6,310.2,317.37,49500
2023-08-14,324.0,324.0,313.33,321.0,22500
2023-08-16,326.3,326.33,316.67,323.17,13500
2023-08-17,329.33,329.33,320.8,327.2,16500
2023-08-18,326.67,336.67,326.0,332.27,16500
2023-08-21,330.67,334.57,330.0,330.0,39000
2023-08-22,330.0,341.67,330.0,338.87,36000
2023-08-23,330.0,336.67,330.0,333.43,19500
2023-08-24,333.73,333.73,326.73,327.97,10500
2023-08-25,332.97,333.0,322.0,322.7,37500
2023-08-28,318.67,336.67,318.67,329.57,30000
2023-08-29,324.67,324.67,318.67,323.67,10500
2023-08-30,323.33,329.6,322.7,327.27,15000
2023-08-31,332.0,332.0,326.67,326.67,15000
2023-09-01,320.07,320.07,316.0,316.0,12000
2023-09-04,320.0,320.0,306.67,306.7,19500
2023-09-05,316.0,316.67,306.0,313.0,12000
2023-09-06,312.6,316.67,303.33,306.67,13500
2023-09-07,310.0,313.33,307.33,307.33,9000
2023-09-08,315.3,315.3,290.4,300.67,19500
2023-09-11,298.0,298.0,283.33,287.07,22500
2023-09-12,280.67,280.67,264.67,268.33,16500
2023-09-13,270.0,280.67,270.0,280.67,6000
2023-09-14,285.07,308.67,285.07,307.67,18000
2023-09-15,312.0,314.1,310.0,313.03,12000
2023-09-18,303.33,323.33,303.33,312.33,6000
2023-09-20,307.67,309.33,307.67,309.33,3000
2023-09-21,306.0,306.67,306.0,306.2,4500
2023-09-22,318.67,326.67,318.6,321.33,22500
2023-09-25,316.67,316.67,302.67,305.67,12000
2023-09-26,300.67,310.0,296.0,296.0,18000
2023-09-27,296.0,300.67,296.0,296.67,45000
2023-09-29,299.67,326.27,299.67,313.7,31500
2023-10-03,320.0,320.0,313.33,313.33,4500
2023-10-04,314.0,314.0,304.67,304.67,7500
2023-10-06,313.33,313.33,312.33,312.33,6000
2023-10-09,300.67,300.67,288.37,288.37,37500
2023-10-10,298.67,298.67,287.33,296.0,10500
2023-10-11,293.33,294.0,281.33,284.33,6000
2023-10-13,290.0,293.33,290.0,293.23,19500
2023-10-18,303.33,303.33,295.87,296.3,31500
2023-10-19,290.0,303.3,290.0,302.27,27000
2023-10-20,306.0,306.0,304.0,304.0,4500
2023-10-23,303.73,303.73,302.0,302.0,7500
2023-10-25,285.33,285.33,271.8,271.8,6000
2023-10-26,254.67,254.67,254.67,254.67,3000
2023-10-27,275.33,280.13,275.33,278.67,10500
2023-10-30,280.0,291.33,280.0,289.5,4500
2023-10-31,276.83,277.0,273.33,275.0,10500
2023-11-01,278.0,278.0,276.0,276.0,4500
2023-11-02,277.33,281.33,276.67,277.33,7500
2023-11-03,282.0,282.0,273.77,275.23,5250
2023-11-06,276.67,276.67,273.33,274.2,3750
2023-11-07,276.67,300.67,276.67,294.07,27750
2023-11-08,300.0,300.0,293.33,293.33,4125
2023-11-09,293.33,293.33,290.0,291.53,4500
2023-11-10,297.27,297.27,289.93,296.0,7125
2023-11-12,295.97,295.97,295.97,295.97,1500
2023-11-13,293.33,303.3,293.33,296.67,2625
2023-11-15,297.5,297.5,295.33,295.33,1500
2023-11-16,296.73,296.73,293.33,293.33,5625
2023-11-17,296.63,298.6,293.33,293.33,2625
2023-11-20,285.33,285.33,280.0,280.57,6000
2023-11-21,278.83,285.83,278.83,283.0,1125
2023-11-22,280.07,286.33,276.0,276.0,6000
2023-11-23,276.4,280.07,275.7,280.07,4875
2023-11-24,280.07,306.27,280.07,298.77,18000
2023-11-28,290.13,294.0,284.0,292.0,7500
2023-11-29,297.33,300.0,293.33,293.7,13125
2023-11-30,295.33,295.33,286.33,286.53,9000
2023-12-01,292.83,297.5,288.0,292.33,7125
2023-12-04,294.37,294.67,288.37,293.67,15750
2023-12-05,299.33,306.67,293.4,305.47,33750
2023-12-06,299.33,316.67,299.33,314.2,37125
2023-12-07,314.67,327.63,313.33,323.17,41250
2023-12-08,321.13,366.67,321.13,353.83,54000
2023-12-11,366.67,366.77,356.67,365.97,22875
2023-12-12,367.33,367.33,359.97,360.67,25875
2023-12-13,360.0,360.67,352.67,352.67,9750
2023-12-14,360.3,360.3,333.33,337.17,6375
2023-12-15,326.9,348.0,326.9,333.33,12375
2023-12-18,334.67,343.33,334.67,343.33,1875
2023-12-19,343.33,343.33,339.33,339.33,2250
2023-12-20,340.0,340.33,328.67,328.67,5625
2023-12-21,333.33,335.33,330.67,335.33,3375
2023-12-22,333.33,336.0,330.0,336.0,1500
2023-12-26,326.67,333.5,326.67,333.33,16125
2023-12-27,333.33,333.33,326.67,331.67,22125
2023-12-28,330.33,333.33,320.7,329.3,16125
2023-12-29,330.0,330.0,323.33,330.0,17250
2024-01-01,327.33,327.33,320.0,326.63,7875
2024-01-02,324.67,324.67,320.0,320.0,9000
2024-01-03,320.13,320.13,318.47,319.23,2625
2024-01-04,317.33,327.07,316.63,326.83,5625
2024-01-05,328.07,353.33,328.07,334.67,39750
2024-01-08,343.33,352.0,333.0,333.33,109875
2024-01-09,330.0,344.67,323.33,332.83,115875
2024-01-10,333.33,339.93,332.03,334.63,47250
2024-01-11,336.67,336.67,326.67,333.33,60000
2024-01-12,344.63,344.63,330.2,333.93,17625
2024-01-15,339.8,342.67,332.0,333.33,33000
2024-01-16,339.33,353.33,330.67,333.33,66375
2024-01-17,330.0,335.33,328.0,332.33,46500
2024-01-18,333.33,342.67,328.0,334.4,35250
2024-01-19,340.0,340.0,326.67,333.63,67125
2024-01-20,338.63,338.63,328.0,331.23,22125
