Datetime,Open,High,Low,Close,Volume
2019-07-15,4.75,4.75,4.75,4.75,50
2019-07-16,4.52,4.52,4.52,4.52,50
2019-07-17,4.3,4.3,4.3,4.3,50
2019-07-18,4.09,4.09,4.09,4.09,50
2019-07-19,3.89,3.89,3.89,3.89,40
2019-07-22,3.7,3.7,3.7,3.7,52
2019-07-23,3.52,3.52,3.52,3.52,62
2019-07-24,3.35,3.35,3.35,3.35,60
2019-07-25,3.19,3.19,3.19,3.19,60
2019-07-26,3.04,3.04,3.04,3.04,60
2019-07-29,2.89,2.89,2.89,2.89,52
2019-07-30,2.75,2.75,2.75,2.75,185
2019-07-31,2.62,2.62,2.62,2.62,75
2019-08-01,2.57,2.57,2.57,2.57,75
2019-08-02,2.52,2.52,2.52,2.52,150
2019-08-05,2.47,2.47,2.47,2.47,50
2019-08-06,2.43,2.43,2.43,2.43,75
2019-08-07,2.39,2.39,2.39,2.39,100
2019-08-08,2.35,2.43,2.35,2.39,294
2019-08-09,2.35,2.35,2.35,2.35,160
2019-08-13,2.31,2.31,2.31,2.31,86
2019-08-14,2.27,2.27,2.27,2.27,29
2019-08-19,2.23,2.23,2.23,2.23,75
2019-08-21,2.19,2.19,2.19,2.19,128
2019-08-22,2.15,2.15,2.15,2.15,50
2019-08-23,2.11,2.11,2.11,2.11,50
2019-08-26,2.07,2.07,2.07,2.07,118
2019-08-27,2.03,2.03,2.03,2.03,100
2019-08-28,2.03,2.03,1.99,1.99,51
2019-08-29,1.96,1.96,1.96,1.96,50
2019-08-30,1.93,1.93,1.93,1.93,60
2019-09-03,1.95,1.95,1.9,1.9,350
2019-09-04,1.87,1.87,1.87,1.87,65
2019-09-05,1.87,1.87,1.87,1.87,100
2019-09-11,1.84,1.87,1.81,1.81,1250
2019-09-12,1.78,1.78,1.78,1.78,100
2019-09-13,1.75,1.75,1.75,1.75,407
2019-09-16,1.72,1.72,1.72,1.72,700
2019-09-17,1.69,1.72,1.69,1.72,248
2019-09-25,1.69,1.69,1.69,1.69,100
2019-09-26,1.69,1.69,1.66,1.66,105
2019-09-27,1.63,1.63,1.63,1.63,50
2019-10-04,1.63,1.63,1.63,1.63,1
2019-10-07,1.6,1.6,1.6,1.6,200
2019-10-09,1.6,1.6,1.6,1.6,58
2019-10-11,1.57,1.57,1.57,1.57,50
2019-10-17,1.54,1.54,1.54,1.54,250
2019-10-18,1.54,1.54,1.51,1.51,70
2019-10-22,1.48,1.48,1.48,1.48,50
2019-10-24,1.46,1.46,1.46,1.46,30
2019-11-01,1.44,1.44,1.44,1.44,32
2019-11-04,1.46,1.46,1.42,1.42,200
2019-11-05,1.42,1.42,1.4,1.4,249
2019-11-06,1.38,1.38,1.38,1.38,702
2019-11-08,1.36,1.36,1.36,1.36,330
2019-11-13,1.32,1.35,1.32,1.35,400
2019-11-22,1.37,1.37,1.37,1.37,1
2019-11-26,1.35,1.35,1.35,1.35,100
2019-11-27,1.33,1.33,1.33,1.33,755
2019-11-29,1.33,1.33,1.33,1.33,178
2019-12-02,1.31,1.31,1.31,1.31,249
2019-12-03,1.3,1.3,1.3,1.3,200
2019-12-13,1.28,1.28,1.28,1.28,130
2020-01-02,1.28,1.28,1.28,1.28,1
2020-02-19,1.28,1.28,1.28,1.28,1
2020-03-13,1.28,1.28,1.28,1.28,1029
2020-07-03,1.28,1.28,1.28,1.28,200
2020-07-09,1.22,1.23,1.22,1.23,780
2020-07-31,1.17,1.29,1.17,1.29,13
2020-08-03,1.35,1.35,1.35,1.35,179
2020-08-10,1.41,1.41,1.41,1.41,94
2020-08-26,1.45,1.45,1.45,1.45,1
2020-08-31,1.45,1.5,1.45,1.5,11
2020-09-04,1.57,1.57,1.57,1.57,10
2020-09-08,1.57,1.57,1.57,1.57,620
2020-09-10,1.6,1.6,1.6,1.6,1
2020-09-11,1.6,1.68,1.6,1.68,309
2020-09-14,1.75,1.75,1.75,1.75,1
2020-09-17,1.83,1.83,1.83,1.83,9
2020-09-21,1.92,1.92,1.92,1.92,100
2020-09-25,2.01,2.01,2.01,2.01,38
2020-09-28,2.11,2.11,2.11,2.11,200
