Datetime,Open,High,Low,Close,Volume
2019-05-28,1185.0,1194.4,1161.0,1175.2,21489
2019-05-29,1177.0,1179.6,1159.05,1161.9,15203
2019-05-30,1161.9,1165.95,1152.4,1161.2,15272
2019-06-03,1156.0,1172.75,1154.55,1169.6,25576
2019-06-10,1156.95,1164.2,1151.0,1154.35,12633
2019-06-11,1160.0,1181.85,1155.2,1175.45,17626
2019-06-12,1174.3,1180.85,1164.3,1172.8,11506
2019-06-13,1170.3,1182.95,1169.55,1177.0,45054
2019-06-14,1189.0,1189.5,1151.55,1160.8,16805
2019-06-17,1161.0,1161.7,1150.05,1155.7,12020
2019-06-18,1160.0,1161.5,1134.0,1142.2,16763
2019-06-19,1146.1,1157.85,1140.0,1145.4,5560
2019-06-20,1145.0,1150.5,1128.0,1140.0,16561
2019-06-21,1141.0,1141.0,1121.95,1130.3,12764
2019-06-24,1131.35,1139.95,1131.0,1135.85,57305
2019-06-25,1135.0,1140.0,1124.1,1137.35,9596
2019-06-26,1134.0,1136.6,1125.5,1130.7,8623
2019-06-27,1130.1,1146.65,1125.0,1128.55,49132
2019-06-28,1127.5,1134.95,1121.55,1127.3,16598
2019-07-01,1130.35,1137.55,1123.45,1131.2,22406
2019-07-02,1131.0,1146.0,1127.0,1144.15,19454
2019-07-03,1147.0,1155.0,1144.5,1150.65,14062
2019-07-04,1152.0,1164.3,1147.6,1151.5,13760
2019-07-05,1164.7,1187.45,1143.55,1178.75,52850
2019-07-08,1179.95,1185.75,1160.0,1173.35,86087
2019-07-09,1173.0,1175.95,1149.75,1165.2,57225
2019-07-10,1165.0,1165.0,1149.35,1150.9,12210
2019-07-11,1136.6,1152.0,1133.95,1137.7,10825
2019-07-12,1134.6,1146.05,1126.5,1138.45,13115
2019-07-15,1145.0,1145.0,1120.65,1126.6,21611
2019-07-16,1127.0,1140.3,1125.0,1134.55,18075
2019-07-17,1129.0,1169.6,1126.5,1167.7,29742
2019-07-18,1170.0,1220.9,1153.45,1202.95,157187
2019-07-19,1205.35,1217.1,1152.75,1173.0,65283
2019-07-22,1174.25,1187.8,1156.0,1165.55,16959
2019-07-23,1168.05,1175.0,1158.0,1164.45,11098
2019-07-24,1182.0,1182.0,1146.4,1154.3,43805
2019-07-25,1154.45,1163.65,1140.0,1141.85,15228
2019-07-26,1143.3,1163.45,1138.35,1160.7,12927
2019-07-29,1160.7,1172.5,1159.0,1163.0,17787
2019-07-30,1164.0,1187.8,1158.6,1168.9,18802
2019-07-31,1173.95,1194.7,1161.05,1190.5,18734
2019-08-01,1192.0,1192.35,1174.2,1183.0,16862
2019-08-02,1190.0,1190.0,1164.85,1179.4,16677
2019-08-05,1198.0,1200.0,1168.65,1194.75,12581
2019-08-06,1196.4,1210.45,1185.0,1206.85,15797
2019-08-07,1208.0,1215.0,1195.0,1200.35,14963
2019-08-08,1205.55,1217.05,1202.0,1210.1,13232
2019-08-09,1210.0,1235.0,1205.6,1228.65,28271
2019-08-13,1230.0,1237.2,1206.75,1212.5,65485
2019-08-14,1216.0,1216.0,1194.0,1200.0,8518
2019-08-16,1200.05,1200.05,1183.0,1197.75,40295
2019-08-19,1198.0,1223.35,1198.0,1208.0,36857
2019-08-20,1212.6,1214.95,1192.0,1200.5,7281
2019-08-21,1201.25,1203.75,1184.5,1197.7,8781
2019-08-22,1204.95,1204.95,1180.3,1190.05,7616
2019-08-23,1190.0,1203.0,1182.4,1191.15,11879
2019-08-26,1211.0,1211.0,1187.55,1201.9,9741
2019-08-27,1205.0,1217.65,1198.5,1201.2,10236
2019-08-28,1204.25,1217.6,1199.5,1212.15,15509
2019-08-29,1216.0,1258.65,1213.0,1252.6,62009
2019-08-30,1252.6,1278.0,1232.0,1274.35,20523
2019-09-03,1274.35,1274.35,1246.0,1248.75,10446
2019-09-04,1248.0,1252.0,1225.15,1244.85,17187
2019-09-05,1250.0,1253.0,1238.45,1240.2,6623
2019-09-06,1240.25,1253.15,1239.0,1251.9,37953
2019-09-11,1259.45,1266.8,1232.0,1237.05,35820
2019-09-12,1241.95,1246.8,1229.05,1240.3,30923
2019-09-13,1240.0,1260.95,1228.5,1252.35,50351
2019-09-16,1253.7,1326.6,1250.0,1315.7,97595
2019-09-17,1312.0,1325.4,1302.0,1306.7,52623
2019-09-18,1325.0,1328.35,1308.95,1317.65,61430
2019-09-19,1321.0,1341.9,1315.4,1328.1,58945
2019-09-20,1335.0,1405.35,1317.45,1397.75,112295
2019-09-23,1410.0,1587.7,1410.0,1521.65,138301
2019-09-24,1529.7,1546.25,1511.05,1517.25,27539
2019-09-25,1515.0,1517.0,1474.25,1487.85,16259
2019-09-26,1485.05,1520.0,1480.0,1515.3,27972
2019-09-27,1535.0,1555.65,1511.25,1546.25,68277
2019-09-30,1550.0,1550.15,1492.2,1505.05,37304
2019-10-01,1507.0,1521.3,1479.0,1496.8,14646
2019-10-03,1496.0,1501.6,1477.85,1489.3,9902
2019-10-04,1491.5,1505.3,1441.7,1444.6,30977
2019-10-07,1446.0,1470.6,1436.15,1465.05,14085
2019-10-09,1465.0,1503.2,1458.5,1498.45,14475
2019-10-10,1498.0,1502.55,1482.85,1496.6,13550
2019-10-11,1495.2,1518.4,1491.95,1499.45,42795
2019-10-14,1502.0,1529.0,1502.0,1520.75,49573
2019-10-15,1525.0,1569.45,1525.0,1556.55,60108
2019-10-16,1555.0,1558.8,1520.8,1524.45,18796
2019-10-17,1527.4,1535.0,1514.75,1529.85,14481
2019-10-18,1534.95,1547.0,1528.85,1541.2,48733
2019-10-22,1544.0,1554.0,1523.85,1534.6,49150
