Datetime,Open,High,Low,Close,Volume
2019-05-28,154.0,166.95,152.5,160.15,586
2019-05-29,163.4,163.4,163.2,163.3,2
2019-06-03,142.3,149.0,140.0,145.8,3250
2019-06-10,130.0,133.65,127.5,133.65,1283
2019-06-11,135.9,135.9,128.0,130.1,124
2019-06-12,131.0,133.5,131.0,133.3,74
2019-06-13,139.0,139.0,132.0,133.0,129
2019-06-14,139.6,140.0,120.0,127.85,2199
2019-06-17,116.05,130.9,116.05,124.8,606
2019-06-18,121.0,124.0,118.75,118.8,185
2019-06-19,117.0,117.0,115.0,116.75,282
2019-06-20,104.75,116.0,104.7,114.95,1228
2019-06-21,115.0,117.7,112.0,114.5,2759
2019-06-24,119.0,123.5,110.4,123.5,776
2019-06-25,128.15,128.15,113.5,119.2,40
2019-06-26,125.0,127.0,112.0,117.0,648
2019-06-27,117.0,117.0,116.1,116.45,275
2019-06-28,114.3,123.9,114.3,116.7,244
2019-07-02,120.9,121.0,120.0,120.85,207
2019-07-03,128.7,135.8,128.7,135.8,399
2019-07-04,123.5,125.0,115.1,117.95,6394
2019-07-05,124.0,124.0,115.05,117.85,519
2019-07-08,109.5,117.95,109.35,115.0,729
2019-07-09,115.0,121.95,112.0,115.0,111
2019-07-10,108.05,123.0,108.05,113.1,2521
2019-07-11,107.0,114.75,107.0,113.0,2620
2019-07-12,115.0,115.0,110.15,110.15,225
2019-07-15,110.15,118.9,109.95,110.0,260
2019-07-16,104.05,118.65,104.0,109.3,469
2019-07-17,109.15,109.15,109.15,109.15,100
2019-07-18,102.7,110.0,102.7,105.7,767
2019-07-19,104.25,104.25,103.5,103.55,200
2019-07-22,100.7,101.1,100.7,101.0,139
2019-07-23,105.1,105.1,105.0,105.1,266
2019-07-24,104.0,105.0,104.0,104.0,41
2019-07-25,100.25,111.2,100.0,110.0,3245
2019-07-26,104.5,108.9,102.7,106.0,58
2019-07-29,102.0,106.6,93.85,103.0,1655
2019-07-30,103.0,103.0,103.0,103.0,109
2019-07-31,102.0,106.0,102.0,106.0,181
2019-08-01,114.0,114.0,114.0,114.0,1
2019-08-02,105.0,117.0,105.0,117.0,11
2019-08-05,110.0,128.9,110.0,127.9,2491
2019-08-06,128.0,128.0,120.0,125.0,680
2019-08-07,120.0,128.0,120.0,122.1,620
2019-08-08,137.9,139.85,127.0,139.05,538
2019-08-09,126.85,138.0,126.85,137.9,822
2019-08-13,126.0,136.0,123.0,135.95,265
2019-08-14,136.0,140.0,136.0,136.0,607
2019-08-16,122.7,134.05,122.55,130.9,2240
2019-08-19,130.9,130.9,130.9,130.9,1
