Datetime,Open,High,Low,Close,Volume
2020-01-02,23.45,26.45,23.45,26.45,8000
2020-01-03,25.3,25.3,25.3,25.3,4000
2020-01-07,24.2,24.2,22.8,22.8,16000
2020-01-08,20.55,20.55,20.55,20.55,4000
2020-01-10,20.0,20.0,19.55,19.55,16000
2020-01-15,20.5,20.5,20.5,20.5,4000
2020-01-16,21.5,21.5,21.5,21.5,4000
2020-01-24,22.55,22.55,22.55,22.55,4000
2020-01-27,23.55,23.55,23.55,23.55,4000
2020-01-28,23.3,24.65,23.3,24.65,8000
2020-02-04,23.45,23.45,23.45,23.45,4000
2020-02-05,23.3,24.6,23.3,24.6,8000
2020-02-11,24.4,25.5,24.0,24.0,12000
2020-02-12,24.8,24.8,23.9,23.9,20000
2020-02-13,23.0,23.0,22.75,22.75,8000
2020-06-03,21.65,21.65,21.65,21.65,4000
2020-06-05,19.5,19.5,19.5,19.5,4000
2020-08-07,15.6,15.6,15.6,15.6,4000
2020-08-10,12.6,12.6,12.6,12.6,4000
2020-08-14,11.35,11.35,11.35,11.35,4000
2020-08-17,10.25,10.25,10.25,10.25,8000
2020-08-18,9.25,11.25,9.25,11.25,28000
2020-08-19,11.05,11.05,10.75,11.05,12000
2020-08-24,10.85,10.85,10.85,10.85,4000
2020-09-21,10.0,10.0,10.0,10.0,4000
2020-09-25,11.0,11.0,11.0,11.0,4000
2020-10-06,10.29,10.29,10.29,10.29,4000
2020-10-08,10.0,10.0,10.0,10.0,4000
2020-10-16,12.0,12.0,12.0,12.0,4000
2020-10-26,14.36,14.36,14.36,14.36,4000
2020-12-09,11.49,12.56,11.49,12.56,20000
2020-12-10,11.0,11.0,11.0,11.0,4000
2020-12-22,10.1,10.1,10.1,10.1,4000
2020-12-30,10.0,10.0,9.55,9.55,12000
2021-01-07,9.77,9.77,9.77,9.77,4000
2021-01-08,10.19,10.65,10.19,10.65,16000
2021-01-11,11.39,12.78,11.39,12.78,16000
2021-01-12,11.77,11.77,11.77,11.77,8000
2021-01-18,11.56,11.56,11.56,11.56,4000
2021-01-21,11.0,11.0,11.0,11.0,4000
2021-01-25,11.5,11.5,11.5,11.5,4000
2021-01-27,11.46,11.46,11.46,11.46,4000
2021-01-29,10.99,10.99,10.99,10.99,4000
2021-02-09,10.98,11.23,10.98,11.23,8000
2021-02-11,11.0,11.0,11.0,11.0,4000
2021-02-12,11.0,11.0,11.0,11.0,4000
2021-02-17,11.0,11.0,11.0,11.0,4000
2021-02-22,10.98,10.98,10.98,10.98,4000
2021-02-25,11.25,11.25,11.25,11.25,4000
2021-03-12,9.0,9.0,9.0,9.0,4000
2021-03-17,9.88,9.88,9.88,9.88,4000
2021-03-19,9.14,9.14,8.0,8.0,12000
2021-03-22,8.99,9.6,8.99,9.6,20000
2021-03-23,10.4,10.4,10.31,10.31,16000
2021-03-24,10.3,10.5,10.27,10.49,16000
2021-03-25,10.4,12.4,10.4,12.03,16000
2021-03-26,12.28,13.02,12.28,13.0,16000
2021-03-30,13.0,13.7,13.0,13.7,16000
2021-03-31,14.3,14.93,14.15,14.93,20000
2021-04-01,15.35,15.35,15.35,15.35,4000
2021-04-09,14.59,14.59,14.59,14.59,4000
2021-04-12,13.7,13.7,13.14,13.14,8000
2021-04-13,12.34,14.3,11.87,14.3,16000
2021-04-15,14.09,15.25,14.09,15.25,12000
2021-04-16,15.03,16.6,15.03,16.6,12000
2021-04-20,16.45,18.0,14.94,18.0,28000
2021-04-22,17.2,17.2,17.2,17.2,4000
2021-05-03,16.35,16.35,16.35,16.35,4000
2021-05-04,15.55,17.15,15.55,16.75,44000
2021-05-05,17.5,17.5,17.5,17.5,4000
2021-05-06,17.0,17.5,16.75,16.75,12000
2021-05-07,17.15,17.4,16.05,16.7,28000
2021-05-10,17.2,17.2,17.2,17.2,4000
2021-05-11,17.4,17.4,17.3,17.3,8000
2021-05-12,17.8,17.8,17.8,17.8,4000
2021-05-14,18.5,18.5,18.5,18.5,4000
2021-05-17,18.9,18.9,18.9,18.9,4000
2021-05-18,19.35,19.35,19.35,19.35,4000
2021-05-19,19.35,19.35,19.35,19.35,4000
2021-05-27,20.05,20.05,20.05,20.05,4000
2021-05-28,21.0,21.0,21.0,21.0,4000
2021-06-04,20.1,21.25,19.95,21.25,12000
2021-06-08,21.7,21.7,20.2,20.2,12000
2021-06-11,20.85,21.2,19.2,21.2,16000
2021-06-17,22.2,22.2,22.2,22.2,4000
2021-06-18,22.25,23.2,22.25,23.2,8000
2021-06-23,23.75,23.75,23.75,23.75,4000
2021-06-24,24.0,24.0,24.0,24.0,4000
2021-06-25,24.35,24.35,24.35,24.35,8000
2021-06-28,23.4,25.5,23.4,25.5,12000
2021-06-30,26.5,26.5,26.5,26.5,4000
2021-07-02,26.8,26.9,26.8,26.9,8000
2021-07-06,28.0,28.0,28.0,28.0,4000
2021-07-12,29.35,29.35,29.3,29.3,8000
2021-07-16,28.25,28.25,27.85,27.85,8000
2021-07-19,26.5,29.0,26.5,29.0,16000
2021-07-20,27.55,28.9,27.55,28.9,12000
2021-07-26,29.8,29.8,29.7,29.7,8000
2021-07-27,31.0,31.0,31.0,31.0,4000
2021-08-03,29.45,29.45,29.45,29.45,4000
2021-08-04,28.05,28.05,28.0,28.0,8000
2021-08-06,29.4,29.4,29.4,29.4,4000
2021-08-10,30.75,30.75,30.75,30.75,4000
2021-08-11,29.25,29.25,29.25,29.25,20000
2021-08-17,30.5,30.5,30.5,30.5,8000
2021-08-18,29.0,29.0,29.0,29.0,4000
2021-08-23,27.55,27.55,27.55,27.55,4000
2021-08-24,26.35,28.85,26.35,28.85,8000
