Datetime,Open,High,Low,Close,Volume
2019-05-28,136.8,140.5,133.0,136.4,8732
2019-05-29,135.15,137.65,134.0,135.8,3354
2019-05-30,136.0,136.05,133.85,134.95,2034
2019-06-03,134.45,134.45,130.25,131.0,6502
2019-06-10,128.45,131.6,125.05,125.5,4943
2019-06-11,125.05,125.15,120.45,122.25,10678
2019-06-12,123.15,123.4,118.3,118.55,8448
2019-06-13,119.75,123.9,117.8,122.05,6338
2019-06-14,120.0,123.25,118.65,121.6,4497
2019-06-17,121.05,122.0,118.0,118.2,4132
2019-06-18,119.5,119.5,107.05,109.4,8680
2019-06-19,112.7,113.7,110.25,110.85,3979
2019-06-20,108.4,111.5,108.2,111.15,6885
2019-06-21,111.5,111.5,107.6,108.35,15190
2019-06-24,108.05,110.25,106.6,107.75,3097
2019-06-25,107.5,110.0,106.0,107.5,6577
2019-06-26,109.15,109.3,106.5,108.4,2695
2019-06-27,108.5,114.6,108.15,111.5,9642
2019-06-28,112.85,116.55,112.2,112.8,9263
2019-07-01,113.5,113.5,111.4,112.15,13926
2019-07-02,112.85,112.85,108.95,109.85,5423
2019-07-03,116.95,116.95,109.7,110.3,3157
2019-07-04,110.65,111.2,107.1,108.0,9841
2019-07-05,109.65,110.0,106.6,109.7,4325
2019-07-08,108.05,110.3,106.65,106.9,2650
2019-07-09,106.0,107.5,102.0,103.0,6474
2019-07-10,103.5,103.5,100.0,100.45,22400
2019-07-11,101.35,101.35,98.35,101.05,6777
2019-07-12,100.45,103.85,99.55,102.1,4294
2019-07-15,100.55,105.4,100.25,104.45,4381
2019-07-16,102.45,104.2,100.25,103.5,2734
2019-07-17,103.15,107.35,102.4,105.8,4926
2019-07-18,104.85,105.55,102.65,104.05,1713
2019-07-19,104.05,104.05,98.0,98.7,16016
2019-07-22,98.0,100.65,96.3,99.35,12709
2019-07-23,98.95,100.85,97.8,98.5,2061
2019-07-24,99.0,99.0,94.0,94.6,3115
2019-07-25,94.35,95.85,92.85,93.4,4040
2019-07-26,93.2,94.7,90.1,93.25,2098
2019-07-29,91.0,93.25,90.05,92.35,4264
2019-07-30,92.1,92.1,85.2,87.8,12130
