Datetime,Open,High,Low,Close,Volume
2019-05-29,40.0,40.0,40.0,40.0,50
2019-06-10,40.0,40.0,40.0,40.0,1
2019-06-11,42.0,42.0,42.0,42.0,1
2019-06-12,44.1,44.1,44.1,44.1,100
2019-06-13,46.3,46.3,46.3,46.3,1
2019-06-14,48.6,48.6,48.0,48.0,129
2019-06-19,49.0,49.0,49.0,49.0,2946
2019-06-25,46.55,46.55,46.55,46.55,20
2019-07-02,47.0,47.0,46.8,46.8,1104
2019-07-03,46.8,48.9,44.95,45.45,914
2019-07-05,43.2,43.2,43.2,43.2,67
2019-07-08,43.5,43.5,43.5,43.5,3
2019-07-19,41.35,41.35,41.35,41.35,100
2019-07-26,39.3,39.3,39.3,39.3,100
2019-07-30,39.3,39.3,39.3,39.3,47
2019-07-31,37.35,37.35,37.35,37.35,33
2019-08-07,35.5,35.5,35.5,35.5,2010
2019-08-13,33.75,35.5,33.75,35.5,2001
2019-08-19,35.0,35.0,35.0,35.0,2729
2019-08-30,35.0,35.0,35.0,35.0,5000
2019-09-11,35.0,35.0,35.0,35.0,5000
2019-09-18,35.0,35.0,35.0,35.0,35
2019-09-25,35.0,35.0,35.0,35.0,1000
2019-10-14,35.0,35.0,35.0,35.0,4005
2019-10-15,35.0,35.0,35.0,35.0,1
2020-01-13,33.25,33.25,33.25,33.25,100
2020-01-16,31.6,31.6,31.6,31.6,100
2020-01-20,31.05,33.15,31.05,32.55,920
2020-01-21,34.15,34.15,33.0,34.15,125
2020-01-29,35.85,35.85,35.85,35.85,25
2020-01-30,35.85,35.85,35.85,35.85,1000
2020-02-01,35.85,35.85,35.85,35.85,1000
2020-02-03,35.85,35.85,35.85,35.85,1000
2020-02-04,35.85,35.85,35.85,35.85,1000
2020-02-05,35.85,36.0,35.85,36.0,2075
2020-02-06,35.95,35.95,35.95,35.95,2000
2020-02-07,35.9,35.9,35.9,35.9,700
2020-02-10,34.15,34.15,34.15,34.15,50
2020-02-11,34.15,34.15,32.45,32.45,1050
2020-02-12,32.45,34.05,30.85,30.85,1661
2020-02-13,30.75,30.75,30.75,30.75,1750
2020-02-14,32.0,32.0,32.0,32.0,1140
2020-02-19,30.4,30.4,30.4,30.4,50
2020-02-20,28.9,28.9,28.9,28.9,50
2020-02-24,27.5,27.5,27.5,27.5,35
2020-02-25,28.8,28.8,28.8,28.8,1500
2020-02-26,29.95,30.0,29.95,30.0,1110
2020-02-27,30.0,30.5,30.0,30.5,2000
2020-02-28,30.5,30.5,30.5,30.5,2000
2020-03-02,30.5,30.5,30.5,30.5,2500
2020-03-03,30.5,30.5,30.5,30.5,2500
2020-03-04,31.0,31.0,31.0,31.0,2000
2020-03-05,30.5,30.5,30.5,30.5,2000
2020-03-06,30.5,30.5,30.5,30.5,2300
2020-03-12,30.0,30.0,30.0,30.0,2100
2020-03-16,30.0,30.0,30.0,30.0,1000
2020-03-17,30.0,30.0,30.0,30.0,2500
2020-03-18,30.0,30.0,30.0,30.0,3000
2020-03-20,29.5,29.5,29.5,29.5,1500
2020-03-23,28.5,28.5,28.5,28.5,2200
2020-04-03,29.9,29.9,29.9,29.9,6
2020-04-07,31.35,31.35,31.35,31.35,50
2020-04-09,31.35,31.35,31.35,31.35,1000
2020-04-13,31.35,31.35,31.35,31.35,1000
2020-04-15,31.35,32.0,31.35,32.0,1012
2020-04-16,32.0,32.0,32.0,32.0,1
2020-04-17,32.0,33.6,32.0,33.6,1005
2020-04-20,35.0,35.0,31.95,31.95,2150
2020-04-21,31.95,31.95,31.95,31.95,1000
2020-04-22,32.05,32.5,31.5,31.5,2001
2020-04-23,31.5,31.5,31.5,31.5,1000
2020-04-24,31.5,31.5,31.5,31.5,1500
2020-04-27,31.5,31.5,31.5,31.5,1000
2020-04-28,31.5,31.5,31.5,31.5,1000
2020-04-29,31.5,31.5,31.5,31.5,1000
2020-04-30,31.5,31.5,31.5,31.5,1000
2020-05-04,31.5,31.5,31.5,31.5,1000
2020-05-05,31.5,33.05,31.0,31.0,1052
2020-05-06,29.5,31.0,29.5,31.0,1002
2020-05-07,31.1,31.1,30.0,31.1,2050
2020-05-08,31.1,31.1,30.9,30.9,1750
2020-05-11,30.9,30.9,30.9,30.9,1200
2020-05-12,30.9,30.9,30.9,30.9,1200
2020-05-14,32.4,32.4,29.4,29.4,40
2020-05-19,28.05,30.85,28.0,30.85,200
2020-05-20,32.35,32.35,32.35,32.35,100
2020-05-22,33.95,33.95,33.95,33.95,200
2020-05-26,35.6,35.6,32.45,32.45,204
2020-05-27,32.45,32.45,31.05,31.05,504
2020-05-29,32.45,32.6,32.45,32.6,50
2020-06-01,34.2,34.2,32.9,32.9,120
2020-06-02,34.0,34.2,31.3,34.2,3163
2020-06-03,33.25,33.25,33.25,33.25,998
2020-06-04,34.9,34.9,34.9,34.9,4
2020-06-05,36.6,36.6,33.2,36.5,226
2020-06-08,38.3,38.3,38.3,38.3,100
2020-06-09,40.2,40.2,40.2,40.2,203
2020-06-10,42.2,42.2,42.2,42.2,2
2020-06-11,44.3,44.3,44.3,44.3,2
2020-06-12,46.5,46.5,46.5,46.5,2
2020-06-15,48.8,48.8,44.2,48.45,1063
2020-06-22,48.45,48.45,48.45,48.45,100
2020-06-24,48.4,48.4,48.4,48.4,100
2020-07-02,48.4,48.4,48.4,48.4,1
2020-07-08,48.3,48.3,47.0,47.0,5
2020-07-10,49.25,49.25,49.25,49.25,2
2020-07-13,49.25,49.25,49.25,49.25,4
2020-07-16,51.4,51.4,51.4,51.4,1
2020-07-17,50.95,50.95,50.95,50.95,2
2020-08-27,50.2,50.2,50.2,50.2,3
2020-09-11,50.0,50.0,50.0,50.0,6740
2020-09-14,49.75,49.75,49.75,49.75,1
2020-09-15,49.0,49.0,49.0,49.0,6669
2020-09-21,48.75,48.75,48.75,48.75,1
2020-09-23,46.35,46.35,46.35,46.35,500
2020-09-24,44.05,47.8,44.05,47.8,1595
2020-09-25,47.8,47.8,47.1,47.1,354
2020-09-28,44.75,44.75,44.75,44.75,203
2020-09-29,42.55,42.55,42.55,42.55,200
2020-09-30,40.5,42.0,40.45,40.45,830
2020-10-01,38.5,38.5,38.5,38.5,58
2020-10-05,40.4,40.4,36.85,39.85,54
2020-10-06,37.95,41.0,37.9,39.9,10927
2020-10-07,41.8,41.8,41.8,41.8,2
2020-10-08,39.75,39.75,39.75,39.75,102
2020-10-09,37.85,41.0,37.8,41.0,404
2020-10-13,38.95,38.95,38.95,38.95,107
2020-10-14,37.05,37.05,37.05,37.05,14
2020-10-15,35.2,38.9,35.2,38.9,4705
2020-10-16,37.0,37.0,37.0,37.0,9
2020-10-19,35.15,37.7,35.15,37.7,101
2020-10-20,35.9,35.9,35.9,35.9,50
2020-10-21,34.25,34.25,34.25,34.25,149
2020-10-27,32.55,35.95,32.55,35.95,235
2020-10-30,34.2,37.7,34.2,37.7,101
2020-11-04,35.85,35.85,35.85,35.85,100
2020-11-05,35.85,35.85,34.15,34.15,38
2020-11-06,34.0,34.0,32.5,32.5,10022
2020-11-09,34.1,34.1,30.95,30.95,48
2020-11-12,32.45,32.45,32.45,32.45,300
2020-11-13,34.05,34.05,32.45,34.05,26
2020-11-14,35.75,35.75,35.75,35.75,10
2020-11-17,37.5,37.5,35.3,37.5,1020
