Datetime,Open,High,Low,Close,Volume
2019-05-28,11.9,11.9,11.9,11.9,200
2019-05-29,11.5,11.5,11.32,11.32,387
2019-05-30,11.88,11.88,11.88,11.88,100
2019-06-03,11.84,11.84,11.84,11.84,375
2019-06-10,11.81,11.81,10.75,10.75,799
2019-06-11,11.28,11.28,11.28,11.28,310
2019-06-13,10.75,10.76,10.75,10.76,191
2019-06-18,10.25,11.28,10.23,10.23,28082
2019-06-19,9.8,9.8,9.8,9.8,20
2019-06-20,10.25,10.25,9.36,9.36,550
2019-06-21,9.02,9.02,9.0,9.0,2301
2019-06-24,8.6,9.0,8.55,8.59,412
2019-06-25,8.99,8.99,8.2,8.99,1555
2019-06-26,9.0,9.0,8.55,8.55,1760
2019-06-27,8.13,8.13,8.13,8.13,130
2019-06-28,7.81,8.52,7.75,7.82,901
2019-07-01,7.5,8.21,7.43,7.56,81161
2019-07-02,7.5,7.93,7.25,7.36,97363
2019-07-03,7.25,7.25,7.25,7.25,60000
2019-07-04,7.61,7.61,7.61,7.61,40233
2019-07-05,7.99,7.99,7.99,7.99,54
2019-07-08,8.0,8.35,8.0,8.06,20371
2019-07-10,7.7,8.46,7.7,7.86,28025
2019-07-12,8.1,8.1,8.1,8.1,176
2019-07-15,8.04,8.5,7.7,7.88,1613
2019-07-16,7.81,7.81,7.81,7.81,300
2019-07-17,7.42,7.44,7.42,7.43,4930
2019-07-18,7.6,7.8,7.2,7.25,3453
2019-07-19,7.6,7.61,7.01,7.01,960
2019-07-22,7.36,7.36,6.8,7.36,1026
2019-07-23,7.72,7.72,7.72,7.72,50
2019-07-24,8.1,8.1,8.1,8.1,25
2019-07-25,8.5,8.5,8.5,8.5,50
2019-07-26,8.92,8.92,8.9,8.92,39
2019-07-29,9.36,9.36,9.36,9.36,100
2019-07-30,9.8,9.8,9.8,9.8,25
2019-07-31,10.29,10.29,10.29,10.29,500
2019-08-01,10.8,10.8,10.8,10.8,100
2019-08-07,10.82,11.3,10.82,11.3,210
2019-08-08,11.5,11.5,11.5,11.5,20
2019-08-13,11.5,11.5,11.5,11.5,1
2019-08-16,12.0,12.0,11.4,11.4,51
2019-08-28,10.83,10.83,10.83,10.83,100
2019-08-30,10.3,10.3,10.3,10.3,1
2019-09-04,9.79,9.79,9.79,9.79,50
2019-09-05,9.31,9.31,9.31,9.31,50
2019-09-13,9.31,9.31,9.31,9.31,1
2019-09-16,9.77,9.77,9.32,9.69,6055
2019-09-17,9.99,10.17,9.65,9.93,10952
2019-09-18,10.0,10.1,9.5,9.93,359
2019-09-19,10.0,10.0,9.44,9.44,811
2019-09-23,9.01,9.91,8.97,9.91,2727
2019-09-24,9.5,10.4,9.42,10.16,4414
2019-09-25,10.56,10.56,10.56,10.56,555
2019-09-26,10.51,11.08,10.04,11.07,2760
2019-09-27,11.25,11.25,11.25,11.25,200
2019-10-01,11.11,11.4,10.69,11.4,1286
2019-10-03,11.11,11.11,10.83,10.83,3210
2019-10-04,10.83,10.83,10.83,10.83,1
2019-10-11,10.83,10.83,10.83,10.83,1
2019-10-14,10.83,10.83,10.83,10.83,1
2019-10-16,11.37,11.37,10.83,10.83,101
2019-10-17,11.36,11.36,11.36,11.36,1
2019-10-18,11.36,11.36,11.0,11.0,3
2019-10-22,11.0,11.0,11.0,11.0,1
2019-10-23,11.0,11.0,11.0,11.0,1
2019-10-24,11.0,11.0,11.0,11.0,1
2019-10-30,11.55,11.55,10.45,10.45,1766
2019-11-01,9.93,10.45,9.93,9.93,860
2019-11-04,10.0,10.0,10.0,10.0,873
2019-11-06,10.5,10.5,10.5,10.5,987
2019-11-07,10.97,11.02,10.5,10.5,1435
2019-11-08,10.97,11.02,10.5,10.5,1444
2019-11-14,10.0,10.0,10.0,10.0,169
2019-11-15,9.5,10.5,9.5,9.51,610
2019-11-19,9.98,9.98,9.04,9.04,1500
2019-11-21,9.49,9.49,9.49,9.49,300
2019-11-22,9.02,9.9,9.02,9.02,454
2019-11-28,9.45,9.45,8.6,8.61,1005
2019-11-29,9.04,9.04,8.19,8.55,3283
2019-12-02,8.97,8.97,8.97,8.97,530
2019-12-13,8.7,8.7,8.7,8.7,131
2019-12-17,8.5,9.13,8.27,8.27,1400
2019-12-19,8.68,8.68,8.68,8.68,50
2019-12-20,9.11,9.11,8.3,8.3,555
2019-12-23,8.71,8.71,8.71,8.71,511
2019-12-24,9.14,9.14,9.14,9.14,530
2019-12-26,9.59,9.59,9.59,9.59,50
2019-12-27,10.06,10.06,10.06,10.06,499
2019-12-30,10.56,10.56,10.56,10.56,2
2019-12-31,11.08,11.08,11.08,11.08,50
2020-01-09,11.08,11.08,11.08,11.08,1
2020-01-10,10.53,10.53,10.53,10.53,61
2020-01-15,10.53,10.53,10.53,10.53,2
2020-03-17,10.53,10.53,10.53,10.53,4
2020-03-19,10.01,10.01,10.01,10.01,5
2020-03-20,10.01,10.01,10.0,10.0,22
2020-03-27,9.5,9.5,9.5,9.5,1
2020-04-01,9.5,9.5,9.5,9.5,1
2020-04-03,9.97,9.97,9.5,9.5,30
2020-04-07,9.5,9.5,9.5,9.5,1
2020-04-13,9.25,9.25,9.15,9.15,756
2020-04-15,8.7,8.7,8.7,8.7,25
2020-04-17,8.5,8.5,8.5,8.5,4
2020-04-20,8.08,8.08,8.08,8.08,460
2020-04-21,8.0,8.0,7.7,7.7,18398
2020-04-22,7.55,7.55,7.34,7.34,6520
2020-04-23,6.99,7.2,6.98,7.02,5671
