Datetime,Open,High,Low,Close,Volume
2019-11-06,37.9,37.9,37.9,37.9,20
2019-11-13,36.05,36.05,36.05,36.05,20
2019-12-06,34.25,34.25,34.25,34.25,20
2020-02-14,35.0,35.0,35.0,35.0,40
2020-06-30,35.0,35.0,34.0,34.75,80
2020-07-01,33.25,33.25,33.25,33.25,200
2020-07-02,31.75,31.75,31.75,31.75,100
2020-07-07,30.2,30.2,30.2,30.2,60
2020-11-14,31.65,31.65,31.65,31.65,20
2021-01-19,32.5,32.5,32.5,32.5,40
2021-03-08,30.9,30.9,30.9,30.9,0
2021-04-01,29.4,29.4,29.4,29.4,22
2021-04-05,29.4,30.85,29.25,30.85,126
2021-04-06,32.35,32.35,32.35,32.35,340
2021-04-07,33.95,33.95,32.0,33.95,1080
2021-04-08,35.6,35.6,34.55,35.6,825
2021-08-11,37.38,37.38,33.82,33.82,1782
2021-08-12,32.13,32.13,32.13,32.13,6
2021-08-13,30.53,30.53,30.53,30.53,10
2021-08-16,29.01,29.01,29.01,29.01,28
2021-08-17,27.56,27.56,27.56,27.56,306
2021-08-18,26.19,26.19,26.19,26.19,15
2021-08-20,24.89,24.89,24.89,24.89,15
2021-08-23,23.65,23.65,23.65,23.65,22
2021-08-24,24.15,24.15,22.47,22.47,645
2021-08-25,21.35,21.35,21.35,21.35,638
2021-08-26,20.29,20.3,20.29,20.3,1354
2021-08-27,19.3,21.31,19.3,21.31,986
2021-08-30,21.75,22.37,20.25,20.92,1406
2021-08-31,21.34,21.79,19.88,21.3,1286
2021-09-01,22.35,22.35,20.25,20.25,13
2021-09-02,21.25,21.25,19.5,19.85,6
2021-09-03,19.5,20.8,19.5,20.8,1425
2021-09-06,21.8,21.8,20.0,20.0,160
2021-09-07,21.0,21.0,20.0,21.0,96
2021-09-08,19.95,22.05,19.95,20.05,201
2021-09-09,19.1,21.05,19.05,19.05,165091
2021-09-13,20.0,20.0,20.0,20.0,5
2021-09-14,21.0,21.0,21.0,21.0,5
2021-09-15,22.05,22.05,22.0,22.0,364
2021-09-16,23.1,23.1,23.1,23.1,77
2021-09-17,24.25,24.25,22.05,24.25,814
2021-09-20,24.75,25.45,24.75,25.45,456
2021-09-21,24.95,26.7,24.95,26.7,392
2021-09-22,28.0,28.0,26.95,28.0,40
2021-09-23,29.4,29.4,29.4,29.4,99
2021-09-24,30.85,30.85,27.95,30.75,16521
2021-09-27,31.4,32.25,31.2,32.25,1543
2021-09-28,33.8,33.8,33.8,33.8,10001
2021-09-29,35.45,35.45,35.4,35.4,201
2021-10-11,33.2,33.2,33.2,33.2,3
2021-10-18,31.55,31.55,31.55,31.55,3
2021-10-25,30.0,30.0,30.0,30.0,3
2021-11-01,28.5,28.5,28.5,28.5,3
2021-11-25,27.1,27.1,27.1,27.1,9
2021-11-29,25.75,25.75,25.75,25.75,3
2021-11-30,24.5,24.5,24.5,24.5,3
2021-12-01,23.3,23.3,23.3,23.3,3
2021-12-02,22.15,22.15,22.15,22.15,3
2021-12-03,21.05,21.05,21.05,21.05,6
2021-12-06,20.0,20.0,20.0,20.0,95
2021-12-07,19.0,19.0,19.0,19.0,1
2021-12-09,18.05,18.05,18.05,18.05,318
2021-12-14,17.2,17.2,17.2,17.2,99
2021-12-15,16.35,18.05,16.35,18.05,438
2021-12-17,18.95,18.95,18.95,18.95,5
2021-12-20,19.85,19.85,19.85,19.85,997
2021-12-22,20.8,20.8,20.8,20.8,5
2021-12-23,21.8,21.8,21.8,21.8,8
2021-12-24,22.85,22.85,21.85,22.85,978
2021-12-27,23.95,23.95,23.95,23.95,3
2021-12-29,25.1,25.1,25.1,25.1,689
2021-12-30,26.35,26.35,25.25,26.25,1897
2021-12-31,27.45,27.55,26.95,27.55,1813
2022-01-03,28.9,28.9,28.9,28.9,1035
2022-01-04,30.3,30.3,30.3,30.3,1047
2022-01-05,31.8,31.8,31.8,31.8,1527
2022-01-06,33.35,33.35,30.25,30.3,3861
2022-01-07,29.7,31.8,28.85,29.15,339
2022-01-10,30.6,30.6,27.7,27.85,1016
2022-01-11,27.7,29.15,26.55,26.65,5573
2022-01-12,26.5,27.95,26.5,27.95,10852
2022-01-13,29.0,29.0,26.6,26.6,85
2022-01-14,27.9,27.9,27.9,27.9,65
2022-01-17,29.25,29.25,26.55,27.05,6
2022-01-19,25.7,25.7,25.7,25.7,13
2022-01-20,24.45,24.45,24.45,24.45,17
2022-01-21,23.25,23.25,23.25,23.25,200
2022-01-24,24.4,24.4,22.1,22.1,6
2022-01-25,21.7,21.7,21.7,21.7,17
2022-01-27,20.65,20.65,20.65,20.65,10
2022-01-28,21.65,21.65,21.65,21.65,7
2022-01-31,21.55,22.7,21.55,22.7,40
2022-02-02,23.15,23.15,23.15,23.15,5
2022-02-03,23.5,24.25,23.5,24.25,25
2022-02-04,23.05,23.05,23.05,23.05,3
2022-02-07,21.9,23.05,21.9,23.05,34
2022-02-08,24.2,24.2,21.9,21.9,102
2022-02-09,22.95,22.95,20.85,20.85,148
2022-02-11,21.8,21.8,21.8,21.8,14
2022-02-14,21.8,22.85,21.8,22.85,27
2022-02-15,23.85,23.85,21.75,22.0,238
2022-02-16,23.1,23.1,23.1,23.1,285
2022-02-17,24.2,24.2,22.25,23.25,218
2022-02-18,24.4,24.4,22.1,22.1,325
2022-02-22,22.0,22.0,21.0,21.05,311
2022-02-23,22.1,22.1,20.0,20.0,2
2022-02-25,21.0,21.0,21.0,21.0,13
2022-03-04,22.0,22.0,22.0,22.0,59
2022-03-08,23.1,23.1,20.9,23.1,7170
2022-03-09,23.1,24.25,21.95,24.05,1326
2022-03-10,25.0,25.0,25.0,25.0,800
2022-03-15,25.5,25.5,25.5,25.5,10
2022-03-16,26.75,26.75,24.25,26.75,150
2022-03-17,25.45,25.45,25.45,25.45,56
2022-03-22,26.7,26.7,24.25,24.25,2150
2022-03-23,24.25,24.25,23.05,23.45,9
2022-03-24,23.45,23.45,22.3,22.3,300
2022-03-25,23.4,23.4,23.4,23.4,25
2022-03-28,23.3,23.3,22.25,23.3,7
2022-04-04,23.3,23.3,22.15,22.15,993
2022-04-05,23.2,23.2,23.2,23.2,20
2022-04-06,24.35,24.35,24.35,24.35,2
2022-04-08,25.5,25.5,25.5,25.5,1
2022-04-11,26.75,26.75,26.0,26.65,53
2022-04-12,27.2,27.85,27.2,27.85,1011
2022-04-18,29.2,29.2,28.95,28.95,20
2022-04-27,28.95,28.95,28.95,28.95,100
2022-05-02,30.25,30.25,30.25,30.25,1
2022-05-04,30.9,30.9,30.9,30.9,1
2022-05-05,30.9,30.9,30.9,30.9,1
2022-05-17,32.4,32.4,32.4,32.4,10
2022-05-20,30.8,30.8,30.8,30.8,1201
2022-05-23,29.3,29.3,29.3,29.3,1
2022-05-26,27.85,27.85,27.85,27.85,1
2022-06-01,26.5,26.5,26.5,26.5,3
2022-06-07,25.2,25.2,25.2,25.2,3
2022-06-17,24.0,26.45,24.0,26.45,319
2022-06-21,25.15,25.15,25.15,25.15,3
2022-06-22,23.9,23.9,23.9,23.9,16
2022-07-05,22.75,22.75,22.75,22.75,39
2022-07-11,23.85,23.85,23.85,23.85,3451
2022-07-12,25.0,25.0,25.0,25.0,1700
2022-07-18,23.75,23.75,23.75,23.75,1
2022-07-19,22.6,22.6,22.6,22.6,1
2022-07-21,21.5,23.7,21.5,23.7,45
2022-07-26,24.2,24.2,24.2,24.2,1
2022-08-03,23.0,23.0,23.0,23.0,50
2022-08-08,24.15,24.15,21.85,21.85,226
2022-08-16,22.9,22.9,22.9,22.9,7
2022-08-17,23.45,23.45,23.45,23.45,2
2022-08-19,24.6,24.6,24.6,24.6,1
2022-08-22,25.8,25.8,25.8,25.8,29
2022-08-23,25.8,25.8,24.55,24.55,2
2022-08-24,23.35,25.75,23.35,23.35,7
2022-08-29,22.2,22.25,22.2,22.25,200
2022-08-30,21.15,21.15,21.15,21.15,1019
2022-09-01,20.1,20.1,20.1,20.1,379
2022-09-02,19.1,21.1,19.1,21.1,1538
2022-09-05,22.15,22.15,22.15,22.15,5
2022-09-06,21.05,22.95,21.05,22.8,4021
2022-09-07,23.45,23.5,23.0,23.0,2800
2022-09-08,21.85,21.85,21.85,21.85,59
2022-09-16,22.9,22.9,22.9,22.9,10
2022-09-19,23.5,23.5,23.5,23.5,5
2022-09-29,22.35,22.35,22.35,22.35,11
2022-09-30,21.25,21.25,21.25,21.25,8
2022-10-03,20.2,20.2,20.2,20.2,1
2022-10-10,20.6,20.6,20.6,20.6,100
2022-10-13,19.7,19.7,19.65,19.65,100
2022-10-20,18.7,18.7,18.7,18.7,100
2022-10-25,17.8,17.8,17.8,17.8,20
2022-10-31,17.75,17.75,17.75,17.75,10
2022-11-11,16.9,16.9,16.9,16.9,23
2022-11-14,16.1,16.1,16.1,16.1,2581
2022-11-18,15.3,15.3,15.3,15.3,1
2022-11-21,16.0,16.0,16.0,16.0,10
2022-11-22,16.0,16.8,15.2,16.8,170
2022-11-23,17.6,17.6,17.6,17.6,2
2022-11-28,16.8,16.8,16.8,16.8,4
2022-12-15,16.8,16.8,16.8,16.8,1
2022-12-16,17.15,17.15,16.0,16.0,100
2022-12-23,16.05,16.1,16.05,16.1,1097
2022-12-28,16.1,16.1,16.1,16.1,20
2023-01-02,15.35,16.1,15.35,15.7,100500
2023-01-03,16.45,16.45,16.45,16.45,8
2023-01-04,17.25,17.25,17.25,17.25,2
2023-01-05,18.1,18.1,18.1,18.1,2
2023-01-06,19.0,19.0,19.0,19.0,3
2023-01-09,19.95,19.95,19.95,19.95,3
2023-01-10,20.9,20.9,20.9,20.9,600
2023-01-11,21.9,21.9,21.9,21.9,533
2023-01-12,21.9,21.9,21.9,21.9,171
2023-01-13,22.95,22.95,22.95,22.95,100936
2023-01-16,24.05,24.05,24.05,24.05,9
2023-01-17,25.25,25.25,25.25,25.25,554
2023-01-18,26.5,26.5,26.5,26.5,900
2023-01-19,27.8,27.8,27.8,27.8,223
2023-01-20,29.15,29.15,29.15,29.15,1800
2023-01-23,30.6,30.6,30.6,30.6,3
2023-01-24,32.1,32.1,32.1,32.1,250
2023-01-25,33.6,33.7,33.6,33.65,700
2023-01-27,35.3,35.3,35.25,35.3,77
2023-01-30,37.0,37.0,37.0,37.0,10
2023-03-13,38.56,38.56,38.55,38.55,20
2023-03-21,40.47,40.47,40.47,40.47,500
2023-03-22,42.48,42.48,38.45,38.45,8500
2023-06-12,40.35,40.35,40.35,40.35,4
2023-07-12,38.34,40.35,38.34,40.35,2
2023-07-13,40.35,40.35,40.35,40.35,40
2023-07-18,40.2,42.36,40.2,42.29,5600
2023-07-19,44.4,44.4,40.18,44.4,19937
2023-07-20,46.62,46.62,42.18,45.65,10538
2023-07-24,43.4,43.4,43.4,43.4,220
2023-07-31,41.23,42.95,41.23,42.95,357
2023-09-25,40.81,40.81,40.81,40.81,3
2023-10-03,38.77,38.77,38.77,38.77,3
2023-10-09,36.84,36.84,36.84,36.84,3
2023-10-16,38.68,38.68,35.0,35.0,506
2023-10-30,31.59,31.59,31.59,31.59,3
2023-11-06,30.02,30.02,30.02,30.02,45
2023-11-13,28.52,28.52,28.52,28.52,10
2023-11-20,27.1,27.1,27.1,27.1,1010
2023-11-21,28.0,28.0,26.01,26.01,1015
2023-11-22,25.01,25.01,25.01,25.01,9
2023-11-23,24.01,24.01,24.0,24.01,1508
2023-11-28,23.51,23.51,23.51,23.51,80
2023-11-29,24.5,24.5,22.51,22.51,36
2023-11-30,21.39,21.39,21.39,21.39,27
2023-12-11,20.33,20.33,20.33,20.33,19
2023-12-12,20.25,21.34,19.5,21.34,20000
2023-12-18,21.1,21.3,21.1,21.3,653
2024-01-01,20.24,20.24,20.24,20.24,474
2024-01-12,19.5,19.5,19.23,19.48,11
2024-01-30,20.45,20.45,20.45,20.45,2980
2024-02-01,20.45,21.47,20.45,21.47,5021
2024-02-02,22.54,22.54,22.54,22.54,6484
2024-02-05,23.66,23.66,23.66,23.66,7500
2024-02-06,24.13,24.13,24.13,24.13,1000
2024-02-07,24.61,24.61,24.61,24.61,1087
2024-02-08,25.1,25.1,25.1,25.1,3000
2024-02-12,25.6,25.6,25.6,25.6,2500
2024-02-13,26.11,26.11,26.11,26.11,3
2024-02-14,26.63,26.63,26.63,26.63,313
2024-02-15,27.16,27.16,27.16,27.16,6
2024-02-16,27.7,27.7,27.7,27.7,7
2024-02-20,28.25,28.25,28.25,28.25,6
2024-02-21,28.81,28.81,28.81,28.81,1030
2024-02-22,29.38,29.38,29.38,29.38,60
2024-02-23,29.96,29.96,29.96,29.96,95
2024-02-26,30.55,30.55,30.55,30.55,80
2024-02-27,31.16,31.16,31.16,31.16,900
2024-02-28,31.78,31.78,31.78,31.78,10
2024-02-29,32.41,32.41,32.41,32.41,5
2024-03-01,33.05,33.05,33.05,33.05,8
2024-03-02,33.71,33.71,33.71,33.71,10
2024-03-04,34.38,34.38,34.38,34.38,5
2024-03-05,35.06,35.06,35.06,35.06,100
2024-03-06,35.76,35.76,35.76,35.76,375
2024-03-07,36.47,36.47,36.47,36.47,25
2024-03-11,37.19,37.19,37.19,37.19,155
2024-03-12,37.93,37.93,37.93,37.93,200
2024-03-13,38.68,38.68,38.0,38.0,3570
2024-03-14,38.74,38.76,38.74,38.76,16094
2024-03-15,39.53,39.53,39.53,39.53,1000
2024-03-18,40.32,40.32,40.32,40.32,290
2024-03-19,41.12,41.12,41.12,41.12,250
2024-03-20,41.94,41.94,41.94,41.94,1375
2024-03-21,42.77,42.77,42.77,42.77,226
2024-03-22,43.62,43.62,43.62,43.62,220
2024-03-26,44.49,44.49,44.49,44.49,1
2024-03-27,45.37,45.37,45.37,45.37,945
2024-03-28,46.27,46.27,46.27,46.27,1020
2024-04-01,47.19,47.19,47.19,47.19,50
2024-04-02,48.13,48.13,48.13,48.13,550
2024-04-03,49.09,49.09,49.09,49.09,2912
2024-04-04,50.07,50.07,50.07,50.07,50
2024-04-05,51.07,51.07,51.07,51.07,1
2024-04-08,51.09,51.09,51.09,51.09,1
2024-04-09,52.11,52.11,52.11,52.11,645
2024-04-10,53.15,53.15,53.15,53.15,1
2024-04-12,54.21,54.21,54.21,54.21,9
2024-04-15,54.0,55.29,54.0,55.29,42
2024-04-16,56.39,56.39,56.39,56.39,15
2024-04-18,57.51,57.51,57.51,57.51,850
2024-04-19,58.66,58.66,58.66,58.66,15
2024-04-22,58.66,59.83,58.66,59.83,26
2024-04-23,61.02,61.02,61.02,61.02,526
2024-04-24,62.24,62.24,62.24,62.24,1
2024-04-25,63.48,63.48,63.48,63.48,1
2024-04-26,64.74,64.74,64.74,64.74,10000
2024-04-29,66.03,66.03,66.03,66.03,1
2024-04-30,67.35,67.35,67.35,67.35,1
2024-05-02,68.69,68.69,68.69,68.69,201
2024-05-03,70.06,70.06,70.06,70.06,1830
2024-05-06,71.46,71.46,71.46,71.46,2555
2024-05-07,72.88,72.88,72.88,72.88,6600
2024-05-08,74.33,74.33,74.33,74.33,300
2024-05-09,75.81,75.81,75.81,75.81,1
2024-05-10,77.32,77.32,77.32,77.32,10
2024-05-13,78.86,78.86,78.86,78.86,419
2024-05-14,80.43,80.43,80.43,80.43,570
2024-05-15,82.0,82.0,82.0,82.0,650
2024-05-16,83.64,83.64,83.64,83.64,100
2024-05-17,85.31,85.31,85.31,85.31,20
2024-05-18,87.01,87.01,87.01,87.01,1
2024-05-21,88.75,88.75,88.75,88.75,3150
2024-05-22,90.52,90.52,90.52,90.52,113
2024-05-23,92.33,92.33,92.33,92.33,450
2024-05-24,94.1,94.1,94.1,94.1,2
2024-05-27,95.98,95.98,95.98,95.98,110
2024-05-28,97.89,97.89,97.89,97.89,100
2024-05-29,99.84,99.84,99.84,99.84,3956
2024-05-30,101.83,101.83,101.83,101.83,1937
2024-05-31,103.86,103.86,103.86,103.86,550
2024-06-03,105.9,105.9,105.9,105.9,300
2024-06-04,108.0,108.0,108.0,108.0,300
2024-06-05,110.15,110.15,110.15,110.15,651
2024-06-06,112.35,112.35,112.35,112.35,270
2024-06-07,114.55,114.55,114.55,114.55,390
2024-06-10,116.8,116.8,116.8,116.8,832
2024-06-11,119.1,119.1,119.1,119.1,60
2024-06-12,121.45,121.45,121.45,121.45,50
2024-06-13,123.85,123.85,123.85,123.85,1247
2024-06-14,126.3,126.3,126.3,126.3,120
2024-06-18,128.8,128.8,128.8,128.8,200
2024-06-19,131.35,131.35,131.35,131.35,250
2024-06-20,133.95,133.95,128.75,128.8,7019
2024-06-21,126.25,131.3,126.25,131.3,1631
2024-06-24,131.3,133.85,128.7,133.85,2946
2024-06-25,131.2,131.2,131.2,131.2,1850
2024-06-27,128.6,128.6,128.6,128.6,474
2024-06-28,126.05,131.1,126.05,131.1,2011
2024-07-01,128.5,129.5,128.5,128.95,2073
2024-07-02,129.5,129.5,128.95,128.95,851
2024-07-03,126.4,126.4,126.4,126.4,241
2024-07-04,123.9,123.9,123.9,123.9,3
2024-07-05,121.45,121.45,121.45,121.45,102
2024-07-08,119.1,119.1,119.05,119.05,5401
2024-07-09,116.7,116.7,116.7,116.7,50
2024-07-11,114.4,114.4,114.4,114.4,6
2024-07-22,120.1,120.1,108.7,108.7,184
2024-07-23,103.3,105.0,103.3,105.0,1750
2024-07-26,108.7,110.25,105.0,105.0,509
2024-07-29,110.0,110.0,110.0,110.0,5
2024-07-30,110.0,110.0,110.0,110.0,502
2024-08-07,115.0,115.0,110.0,110.0,62
2024-08-08,110.0,110.0,110.0,110.0,1500
2024-08-09,110.0,110.0,110.0,110.0,155
2024-08-12,115.5,115.5,114.0,114.0,2366
2024-08-13,115.15,115.15,115.0,115.0,47
2024-08-19,112.0,114.0,112.0,114.0,45
2024-08-20,114.0,119.5,114.0,119.0,1578
2024-08-21,124.9,124.9,119.0,124.0,20
2024-08-22,124.0,129.0,124.0,129.0,625
2024-08-23,129.0,129.0,129.0,129.0,185
2024-08-27,129.0,133.3,122.55,133.0,420
2024-08-28,126.35,136.8,126.35,136.8,283
2024-08-29,143.5,143.6,142.9,142.9,923
2024-08-30,140.05,145.7,140.05,145.7,74
2024-09-02,148.6,148.6,148.0,148.0,70
2024-09-04,145.05,147.95,145.05,147.95,155
2024-09-05,149.8,149.8,149.8,149.8,150
2024-09-06,149.0,149.0,149.0,149.0,1
2024-09-09,149.0,149.0,149.0,149.0,15
2024-09-10,149.0,149.0,149.0,149.0,1
2024-09-11,149.8,149.8,149.8,149.8,10
2024-09-12,149.0,149.0,146.85,146.85,106
2024-09-13,143.95,143.95,143.95,143.95,9
2024-09-18,143.0,143.0,143.0,143.0,10
2024-09-19,140.15,142.9,140.15,142.9,2
2024-09-24,140.05,140.05,140.05,140.05,11
2024-09-25,137.25,142.8,137.25,142.8,115
2024-09-27,142.8,142.8,142.8,142.8,50
2024-10-01,142.8,145.45,142.8,145.45,4
2024-10-03,148.35,148.35,148.35,148.35,5
2024-10-10,145.0,145.0,145.0,145.0,818
2024-10-14,137.75,137.75,137.75,137.75,50
2024-10-15,130.9,130.9,130.9,130.9,1
2024-10-16,124.4,124.4,124.4,124.4,1
2024-10-17,118.2,118.2,118.2,118.2,1
2024-10-18,118.2,118.2,112.3,118.2,154
2024-10-21,112.3,112.3,112.3,112.3,3
2024-10-22,106.7,112.3,106.7,112.3,19
2024-10-23,106.7,106.7,106.7,106.7,1
2024-10-24,101.4,101.4,101.4,101.4,1
2024-10-25,96.35,96.35,96.35,96.35,1
2024-10-28,91.55,91.55,91.55,91.55,4
2024-10-29,87.0,87.0,87.0,87.0,6
2024-10-30,82.65,82.65,82.65,82.65,25
2024-10-31,78.6,78.6,78.55,78.55,130
2024-11-01,78.55,78.55,74.63,74.63,101
2024-11-04,70.9,70.9,70.9,70.9,500
2024-11-05,67.36,67.37,67.36,67.37,183
2024-11-06,67.37,67.38,67.37,67.38,133
2024-11-07,67.39,70.7,67.38,70.7,1208
2024-11-08,72.11,72.11,67.17,67.19,686
2024-11-11,68.53,68.53,67.19,67.22,52
2024-11-12,67.22,67.22,67.22,67.22,55
2024-11-13,68.56,68.56,63.86,63.86,314
2024-11-14,64.86,67.05,64.86,67.05,125
2024-11-18,70.4,70.4,70.4,70.4,1180
2024-11-19,70.4,70.4,70.4,70.4,50
2024-11-21,66.88,72.0,66.88,72.0,16
2024-11-22,70.4,75.6,70.4,75.6,603
2024-11-25,79.38,79.38,79.38,79.38,253
2024-11-26,80.95,80.95,79.38,79.38,2106
2024-11-27,80.9,80.9,79.38,80.88,96
2024-11-28,82.49,82.49,82.49,82.49,82
2024-11-29,84.13,84.13,84.13,84.13,772
2024-12-03,84.13,84.13,84.13,84.13,110
2024-12-04,82.45,85.81,82.45,85.81,400
2024-12-05,87.52,87.52,87.52,87.52,100
2024-12-06,89.27,89.27,89.27,89.27,170
2024-12-09,91.04,91.04,91.04,91.04,362
2024-12-10,89.22,92.8,89.22,92.8,347
2024-12-11,92.8,92.8,92.8,92.8,10
2024-12-12,92.8,94.6,90.95,94.5,210
2024-12-13,93.0,93.0,93.0,93.0,76
2024-12-23,93.0,93.0,92.95,92.95,11
2024-12-24,92.95,92.95,92.95,92.95,1285
2025-01-02,91.1,91.1,91.1,91.1,66
2025-01-03,89.28,89.28,89.28,89.28,9
2025-01-07,87.5,87.5,87.5,87.5,1
2025-01-08,85.75,85.75,85.75,85.75,1
2025-01-10,84.04,84.04,84.04,84.04,30
2025-01-14,79.84,79.84,79.84,79.84,1
2025-01-15,75.85,75.85,75.85,75.85,1
2025-01-16,72.06,72.06,72.06,72.06,13
2025-01-17,72.06,72.06,68.46,68.46,11
2025-01-21,65.04,65.04,65.04,65.04,1
2025-01-22,61.79,61.79,61.79,61.79,3
2025-01-23,58.71,64.87,58.71,58.71,1104
2025-01-24,61.64,61.64,55.78,55.78,14
2025-01-27,58.56,58.56,58.56,58.56,2543
2025-01-28,61.48,61.48,61.48,61.48,61
2025-01-29,64.55,64.55,64.55,64.55,51
2025-01-30,64.55,67.77,64.55,67.77,2
2025-01-31,71.15,71.15,71.15,71.15,2147
2025-02-01,69.75,69.75,69.75,69.75,94
2025-02-04,69.75,69.75,69.75,69.75,26
2025-02-05,69.0,69.0,68.36,68.36,558
2025-02-06,67.0,67.0,67.0,67.0,1000
2025-02-10,67.0,67.0,65.66,65.66,200
2025-02-11,66.95,66.95,64.35,66.95,42
2025-02-12,65.62,66.95,65.62,66.95,501
2025-02-14,65.65,65.65,65.62,65.62,200
2025-02-20,66.92,66.92,66.92,66.92,1
2025-02-21,66.0,66.0,66.0,66.0,2301
2025-02-24,64.7,64.7,64.7,64.7,100
2025-02-25,65.5,65.5,65.5,65.5,5003
2025-02-27,65.5,66.5,65.0,66.5,3015
2025-02-28,65.7,65.7,65.38,65.38,20
2025-03-05,66.0,66.0,66.0,66.0,449
