Datetime,Open,High,Low,Close,Volume
2019-05-29,10.05,10.05,10.05,10.05,570
2019-05-30,10.55,10.55,10.55,10.55,100
2019-06-03,10.15,10.15,10.15,10.15,600
2019-06-10,11.4,11.4,11.4,11.4,1000
2019-06-11,11.9,11.95,11.9,11.95,1500
2019-06-12,12.4,12.54,12.4,12.54,700
2019-06-13,13.1,13.1,13.1,13.1,300
2019-06-14,13.75,13.75,13.75,13.75,100
2019-06-17,13.7,14.4,13.1,13.1,2190
2019-06-18,12.51,12.51,12.51,12.51,300
2019-06-20,11.95,12.0,11.95,12.0,105
2019-06-21,11.45,12.6,11.45,12.6,246
2019-06-25,12.0,12.0,12.0,12.0,2000
2019-07-18,11.5,11.5,11.5,11.5,200
2019-07-22,11.0,11.0,11.0,11.0,10
2019-07-23,10.5,10.5,10.5,10.5,10
2019-07-29,10.0,10.0,10.0,10.0,1000
2019-08-07,9.6,9.6,9.6,9.6,26
2019-08-16,9.6,9.6,9.6,9.6,10
2019-09-16,9.6,9.6,9.6,9.6,999
2019-09-18,9.6,9.6,9.6,9.6,200
2019-09-30,9.65,9.65,9.65,9.65,5
2019-10-04,9.65,9.65,9.65,9.65,1
2019-10-22,9.65,9.65,9.65,9.65,300
2019-10-23,10.13,10.13,10.13,10.13,50
2019-11-04,10.13,10.13,10.13,10.13,9
2019-11-13,10.6,10.6,10.6,10.6,1000
2019-11-14,11.12,11.12,11.12,11.12,2000
2019-11-15,11.67,11.67,11.67,11.67,1000
2019-11-18,12.25,12.25,12.25,12.25,1000
2019-11-19,12.86,12.86,12.86,12.86,1100
2019-11-20,13.5,13.5,13.5,13.5,1400
2019-11-21,14.17,14.17,14.17,14.17,300
2019-11-22,14.87,14.87,14.8,14.87,56337
2019-11-25,15.61,15.61,15.61,15.61,300
2019-11-26,16.39,16.39,16.39,16.39,1000
2019-11-27,17.2,17.2,17.2,17.2,350
2019-11-28,18.06,18.06,18.06,18.06,250
2019-11-29,18.96,18.96,18.96,18.96,3020
2019-12-02,19.3,19.3,19.3,19.3,50
2019-12-03,19.65,19.65,19.65,19.65,300
2019-12-04,20.0,20.0,20.0,20.0,100
2019-12-05,20.4,20.4,20.4,20.4,888
2019-12-06,20.8,20.8,20.8,20.8,2717
2019-12-09,21.2,21.2,21.2,21.2,2055
2019-12-10,21.6,21.6,21.6,21.6,1304
2019-12-11,22.0,22.0,22.0,22.0,161
2019-12-12,22.4,22.4,22.4,22.4,1276
