Datetime,Open,High,Low,Close,Volume
2019-05-28,93.0,96.1,91.5,95.75,16971
2019-05-29,95.15,95.15,93.25,93.55,861
2019-05-30,94.05,95.25,91.5,91.85,1519
2019-06-03,94.95,94.95,90.05,90.65,1947
2019-06-10,88.95,88.95,86.55,86.75,654
2019-06-12,87.0,89.85,87.0,88.8,2311
2019-06-13,88.05,88.05,84.15,86.15,5397
2019-06-14,86.15,88.75,85.45,87.1,10140
2019-06-17,88.5,88.5,86.55,86.75,158
2019-06-18,87.0,87.0,86.85,86.85,50
2019-06-19,86.95,89.2,86.3,86.8,6081
2019-06-20,86.85,86.85,84.0,85.9,2303
2019-06-21,85.5,86.65,84.25,85.0,1549
2019-06-24,85.0,86.55,83.9,85.45,4768
2019-06-25,85.3,85.7,84.85,85.65,2784
2019-06-26,85.55,85.55,84.65,85.25,330
2019-06-27,85.5,85.5,84.3,84.45,482
2019-06-28,85.15,85.15,83.0,83.7,2260
2019-07-01,83.0,83.5,82.6,83.2,831
2019-07-02,83.0,83.45,82.65,83.1,200
2019-07-03,83.0,83.95,83.0,83.9,162
2019-07-04,83.25,84.1,83.25,84.05,281
2019-07-05,83.25,85.15,82.65,82.9,6020
2019-07-08,82.95,82.95,81.0,81.8,1199
2019-07-09,81.0,81.0,80.35,80.9,1429
2019-07-10,81.15,82.0,80.7,81.2,794
2019-07-11,81.65,81.65,78.65,80.35,3265
2019-07-12,81.1,81.4,80.55,81.25,2922
2019-07-15,80.6,80.9,79.5,79.65,2832
2019-07-16,79.2,79.7,79.0,79.5,239
2019-07-17,79.3,81.05,79.0,80.85,1453
2019-07-18,80.55,80.75,78.5,80.2,4965
2019-07-19,84.0,84.0,77.4,77.8,5007
2019-07-22,78.5,78.5,75.15,75.6,4168
2019-07-23,75.0,77.9,75.0,76.8,1925
2019-07-24,76.45,77.05,73.0,76.45,4040
2019-07-25,76.9,77.7,72.75,75.1,3021
2019-07-26,76.95,77.5,76.0,77.2,821
2019-07-29,81.0,81.0,73.6,75.05,5110
2019-07-30,74.5,75.2,69.95,72.65,3068
2019-07-31,70.1,73.25,68.0,72.65,3647
2019-08-01,72.25,74.0,70.05,73.6,2395
2019-08-02,71.55,73.0,69.0,72.35,6475
2019-08-05,70.1,73.0,68.75,72.45,1658
2019-08-06,73.25,77.05,72.9,75.95,3868
2019-08-07,77.4,80.0,72.0,77.25,4875
2019-08-08,71.65,73.45,71.65,72.95,663
2019-08-09,74.1,74.7,73.0,74.3,4110
2019-08-13,73.1,73.25,71.45,71.55,2039
2019-08-14,72.7,72.7,70.9,72.35,666
2019-08-16,72.0,74.9,71.45,73.0,1969
2019-08-19,73.0,74.0,72.0,72.9,1840
2019-08-20,72.8,72.8,71.95,72.45,389
2019-08-21,71.35,71.6,68.35,69.4,3700
2019-08-22,72.0,72.0,68.0,70.7,6663
2019-08-23,70.5,71.9,62.0,70.8,7640
2019-08-26,70.8,71.75,70.4,70.9,469
2019-08-27,72.25,74.85,72.25,73.55,420
2019-08-28,74.4,74.75,72.9,72.95,1181
2019-08-29,72.05,73.3,71.8,71.95,234
2019-08-30,72.15,72.15,71.25,71.45,1113
2019-09-03,72.0,75.45,70.6,71.75,8738
2019-09-04,72.25,72.45,71.7,72.0,344
2019-09-05,71.3,73.45,70.85,72.65,5091
2019-09-06,73.2,73.2,71.45,71.9,6785
2019-09-11,73.95,75.5,73.55,73.95,1748
2019-09-12,75.0,77.75,73.1,75.1,7629
2019-09-13,75.3,76.0,74.75,75.3,5993
2019-09-16,74.25,75.0,73.95,74.35,3109
2019-09-17,74.25,75.0,72.35,72.4,5616
2019-09-18,73.0,73.15,72.4,72.6,362
2019-09-19,72.0,72.0,70.0,70.6,1024
