Datetime,Open,High,Low,Close,Volume
2019-05-28,44.85,44.85,41.2,41.9,391
2019-05-29,42.9,47.0,39.2,40.0,378
2019-05-30,41.4,41.4,36.0,37.8,1182
2019-06-11,34.3,39.9,34.0,35.05,3072
2019-06-12,36.8,38.6,33.85,37.85,372
2019-06-13,34.2,37.9,34.0,37.5,116
2019-06-14,39.0,39.0,35.35,36.9,191
2019-06-17,38.9,40.0,35.2,38.25,131
2019-06-18,39.8,40.5,35.4,39.65,115
2019-06-19,32.5,39.8,32.5,36.05,462
2019-06-20,31.25,38.9,31.25,38.9,26
2019-06-21,34.4,37.8,31.55,33.0,785
2019-06-24,36.0,36.0,34.0,35.95,364
2019-06-25,34.5,36.5,34.0,34.3,5248
2019-06-26,35.8,38.0,35.0,37.8,337
2019-06-27,38.4,42.0,35.95,37.0,1916
2019-06-28,37.6,38.95,36.0,36.0,317
2019-07-01,34.05,35.0,32.25,32.9,1334
2019-07-02,34.8,35.6,32.1,34.8,71
2019-07-03,32.6,35.4,31.4,34.25,535
2019-07-04,33.0,33.0,32.9,32.9,170
2019-07-05,35.75,35.75,31.5,31.8,2211
2019-07-08,34.7,34.7,31.5,34.5,31
2019-07-09,34.5,41.4,32.0,34.95,1112
2019-07-10,33.0,33.8,31.5,31.6,2018
2019-07-11,33.3,33.75,31.0,32.85,135
2019-07-12,33.0,33.0,30.25,32.1,420
2019-07-15,32.8,32.8,29.15,29.25,2143
2019-07-16,28.65,30.0,27.4,28.2,1350
2019-07-17,27.1,28.6,26.5,28.0,450
2019-07-18,29.8,30.5,27.0,27.05,1536
2019-07-19,26.0,29.0,24.7,25.0,1290
2019-07-22,23.5,24.1,22.25,23.15,1105
2019-07-23,24.95,26.35,23.8,25.95,1008
2019-07-24,27.5,28.4,24.15,24.6,414
2019-07-25,26.85,26.85,25.55,25.95,657
2019-07-26,23.5,26.55,23.5,25.85,265
2019-07-29,26.9,27.8,24.25,26.75,38
2019-07-30,23.6,26.3,23.6,26.3,210
2019-07-31,22.15,26.2,21.35,23.75,1183
2019-08-01,21.4,24.95,21.25,24.35,355
2019-08-02,24.9,29.2,21.5,29.2,15007
2019-08-05,31.55,33.7,31.0,32.05,8768
2019-08-06,33.0,33.5,31.1,32.0,2717
2019-08-07,33.5,33.8,31.7,33.6,1645
2019-08-08,32.0,32.0,31.1,31.15,203
2019-08-09,32.85,32.9,30.1,30.1,304
2019-08-13,31.5,31.5,31.5,31.5,2
2019-08-14,29.55,29.6,29.0,29.15,207
2019-08-16,29.5,32.05,29.5,31.1,625
2019-08-21,31.5,31.9,31.5,31.9,50
2019-08-22,30.0,32.7,28.75,28.75,2776
2019-08-23,26.6,27.95,25.9,26.05,2736
2019-08-26,25.5,28.65,24.2,28.65,1173
2019-08-27,29.8,30.65,29.8,30.5,1615
2019-08-28,31.0,31.0,30.5,30.8,39
2019-08-29,30.0,30.0,30.0,30.0,871
2019-08-30,31.0,31.0,28.25,28.25,398
2019-09-03,27.2,29.4,27.15,29.4,108
2019-09-04,29.4,29.4,29.4,29.4,10
2019-09-05,28.5,28.5,28.5,28.5,10
2019-09-06,28.5,28.5,27.0,28.45,1113
2019-09-11,28.5,29.8,28.0,28.95,2828
2019-09-12,29.8,30.0,29.0,29.0,3663
2019-09-13,28.5,28.5,28.0,28.1,2308
2019-09-16,28.3,30.5,28.3,29.55,1298
2019-09-18,28.25,28.5,28.25,28.3,262
2019-09-20,28.0,28.0,28.0,28.0,100
2019-09-23,28.9,29.8,28.3,28.3,318
2019-09-24,29.9,31.1,29.9,30.85,449
2019-09-25,31.0,33.9,30.65,32.4,2829
2019-09-26,31.25,32.45,29.2,29.25,5095
2019-09-27,29.0,30.5,29.0,29.1,1762
2019-09-30,30.9,30.9,28.6,28.6,424
2019-10-01,28.0,28.0,27.6,28.0,365
2019-10-03,30.25,30.25,30.25,30.25,5
2019-10-04,28.15,28.3,27.9,27.9,770
2019-10-07,27.9,29.6,27.1,29.45,7836
2019-10-09,29.25,29.65,28.6,29.6,106
2019-10-10,29.7,29.7,27.5,29.6,32
2019-10-11,29.45,30.5,28.2,28.4,2604
2019-10-14,24.0,30.0,24.0,27.25,120
2019-10-15,27.25,30.7,26.75,27.3,2458
2019-10-16,27.1,29.75,27.0,29.0,683
2019-10-17,29.0,29.5,27.25,27.6,1971
2019-10-18,29.0,29.0,27.0,27.0,52
2019-10-22,28.8,29.5,26.15,27.2,7694
2019-10-23,26.55,29.55,26.5,27.15,9948
2019-10-24,28.2,28.2,28.0,28.0,2
2019-10-25,28.0,28.85,26.05,28.8,270
2019-10-29,28.9,29.0,27.6,28.0,1384
2019-10-30,27.5,29.75,27.5,29.5,241
2019-10-31,28.15,30.5,28.0,28.1,2051
2019-11-01,29.2,31.0,28.0,29.55,1151
2019-11-04,28.35,30.9,28.35,29.5,45
2019-11-05,29.75,29.8,29.75,29.8,30
2019-11-06,28.2,31.0,28.1,30.85,977
2019-11-07,30.7,35.0,28.3,34.3,3644
2019-11-08,32.35,35.95,29.55,31.7,3326
2019-11-13,33.5,35.0,30.0,32.15,455
2019-11-14,31.0,31.9,30.0,31.05,1758
2019-11-15,30.0,31.4,29.15,29.55,1090
2019-11-18,29.2,30.5,28.45,30.5,476
2019-11-19,29.05,29.05,28.3,28.35,394
2019-11-20,28.4,29.4,28.05,29.35,1208
2019-11-21,28.4,29.8,28.4,29.8,8
2019-11-22,29.9,29.9,28.05,28.05,151
2019-11-25,30.5,30.5,28.15,29.75,1321
2019-11-26,28.5,30.3,28.5,30.3,605
2019-11-27,30.15,30.15,28.25,28.7,154
2019-11-28,30.45,30.45,28.35,28.4,406
2019-11-29,29.9,29.9,29.85,29.85,500
2019-12-02,27.05,29.35,27.05,28.1,1219
2019-12-03,30.4,30.9,28.4,30.25,1323
2019-12-04,29.05,31.35,28.05,31.1,1661
2019-12-05,29.05,32.7,29.05,29.85,1963
2019-12-06,29.55,31.9,28.05,29.35,1066
2019-12-09,30.3,30.3,28.4,28.55,114
2019-12-10,28.2,29.6,28.2,29.6,28
2019-12-11,28.2,29.6,28.2,29.6,105
2019-12-12,29.9,30.4,28.2,29.0,22285
2019-12-13,29.8,32.95,29.8,32.15,3516
2019-12-16,33.0,35.9,32.0,35.0,3095
2019-12-17,36.7,38.95,36.0,37.8,4188
2019-12-18,38.5,39.85,36.5,38.3,1244
2019-12-19,39.8,40.8,38.6,39.9,5400
2019-12-20,40.95,41.9,39.0,41.25,1636
2019-12-23,41.9,42.45,39.7,39.95,726
2019-12-24,41.5,42.0,38.0,38.8,1582
2019-12-26,38.8,38.8,36.1,36.1,241
2019-12-27,36.6,38.65,36.6,38.6,150
2019-12-30,37.0,37.0,35.0,35.2,969
2019-12-31,34.2,34.55,34.0,34.0,260
2020-01-01,34.0,34.0,31.2,33.0,1765
2020-01-02,32.0,32.5,30.1,32.5,1343
2020-01-03,31.6,34.95,31.25,34.55,2651
2020-01-06,35.0,35.0,32.0,33.8,2682
2020-01-07,33.5,33.9,31.9,32.1,1682
2020-01-08,33.2,33.9,32.0,32.8,750
2020-01-09,33.5,35.0,33.0,34.7,3924
2020-01-10,35.0,36.7,35.0,36.5,239
2020-01-13,37.0,37.0,35.05,35.3,102
2020-01-14,35.9,38.0,35.9,37.75,1320
2020-01-15,36.7,37.0,36.5,37.0,47
2020-01-16,37.8,38.95,37.8,38.9,1187
2020-01-17,38.1,38.9,38.1,38.9,215
2020-01-20,38.1,38.25,37.55,38.0,204
2020-01-21,38.6,39.0,37.9,38.5,1050
2020-01-22,38.5,38.9,37.05,38.7,396
2020-01-23,37.1,38.0,37.1,37.3,211
2020-01-24,38.0,39.75,37.05,39.2,651
2020-01-27,40.0,40.75,39.0,39.1,127
2020-01-28,39.5,39.5,39.5,39.5,5
2020-01-29,38.0,39.0,37.15,39.0,31
2020-01-30,37.1,39.0,37.0,39.0,501
2020-01-31,38.0,38.0,38.0,38.0,1
2020-02-01,36.05,37.5,36.0,37.5,100
2020-02-03,40.8,41.95,36.75,37.5,76
2020-02-04,37.9,37.9,34.25,36.9,938
2020-02-05,34.2,39.0,34.2,36.35,1469
2020-02-06,37.8,41.0,35.15,39.4,2630
2020-02-07,40.8,41.8,38.0,38.0,1150
2020-02-10,38.9,40.5,37.0,37.2,1012
2020-02-11,36.3,37.9,36.3,37.9,20
2020-02-12,36.5,37.9,36.5,37.8,210
2020-02-13,36.1,37.9,36.1,36.95,354
2020-02-14,37.5,38.0,34.2,34.95,2560
2020-02-17,34.05,36.9,34.05,34.8,610
2020-02-18,35.7,35.7,34.1,35.35,501
2020-02-19,36.4,36.4,35.0,35.0,38
2020-02-20,35.8,35.8,32.0,35.0,560
2020-02-24,34.75,34.75,31.65,32.35,17921
2020-02-25,33.9,33.9,31.15,33.6,64
2020-02-26,33.9,38.4,31.55,33.3,352
2020-02-27,33.8,33.8,31.0,31.4,1995
2020-02-28,33.0,34.0,31.0,33.1,207
2020-03-02,32.65,33.5,32.65,33.35,89
2020-03-03,33.7,35.9,32.0,32.05,81
2020-03-04,31.0,31.0,30.0,30.0,55
2020-03-05,29.85,30.0,29.8,30.0,1300
2020-03-06,27.55,29.45,27.55,29.0,220
2020-03-09,27.5,27.5,27.25,27.25,75
2020-03-11,28.05,28.05,28.05,28.05,102
2020-03-12,27.0,30.0,22.45,24.65,2182
2020-03-13,20.3,26.9,20.3,26.7,576
2020-03-16,23.0,23.8,21.5,23.45,3531
2020-03-17,23.3,24.7,22.55,24.4,108
2020-03-18,24.5,24.5,21.05,22.75,748
2020-03-19,23.4,24.3,21.3,24.05,384
2020-03-20,23.9,25.3,21.65,24.05,58
2020-03-23,23.0,23.0,19.25,22.5,506
2020-03-24,22.0,23.0,21.5,23.0,406
2020-03-25,23.65,25.5,23.65,25.5,1962
2020-03-26,25.7,25.7,24.0,25.2,1495
2020-03-27,25.9,27.5,25.0,26.0,2779
2020-03-30,26.6,30.0,26.2,29.9,1611
2020-03-31,30.0,30.0,25.4,27.15,643
2020-04-01,25.0,30.0,22.0,29.85,2670
2020-04-03,31.8,31.8,28.0,28.9,791
2020-04-07,28.8,31.0,26.0,29.5,977
2020-04-08,30.8,34.0,30.8,33.15,2223
2020-04-09,32.0,37.0,31.5,31.95,1803
2020-04-13,32.95,34.0,32.95,33.0,560
2020-04-15,35.0,35.0,31.6,32.85,1211
2020-04-16,33.0,36.0,32.2,35.95,1317
2020-04-17,37.0,38.0,35.0,36.75,1386
2020-04-20,37.0,39.0,34.1,35.8,1604
2020-04-21,34.0,36.75,32.55,33.2,608
2020-04-22,32.05,34.0,31.1,32.45,1472
2020-04-23,32.2,32.2,31.0,32.0,761
2020-04-24,30.5,30.5,30.0,30.0,515
2020-04-27,29.05,29.9,28.15,29.45,606
2020-04-28,29.8,29.9,29.7,29.9,22
2020-04-29,28.0,29.9,28.0,29.4,290
2020-04-30,29.5,29.5,29.5,29.5,200
2020-05-04,29.9,29.9,27.55,27.55,67
2020-05-05,27.5,27.5,26.0,27.0,709
2020-05-06,27.0,27.8,26.5,26.5,81
2020-05-07,27.8,29.0,27.8,29.0,195
2020-05-08,27.0,30.9,26.05,29.95,964
2020-05-11,28.0,28.95,28.0,28.0,258
2020-05-12,27.3,28.0,27.3,28.0,26
2020-05-13,27.2,30.0,27.0,30.0,178
2020-05-14,30.0,30.0,28.0,28.8,604
2020-05-15,28.8,28.8,28.8,28.8,386
2020-05-18,28.8,28.8,28.8,28.8,5
2020-05-19,29.4,30.0,29.4,29.5,245
2020-05-20,28.0,28.0,27.15,28.0,559
2020-05-21,28.8,29.5,28.8,29.45,1073
2020-05-22,28.1,30.5,28.1,29.9,270
2020-05-26,29.9,29.9,29.9,29.9,8
2020-05-27,30.25,30.25,29.0,29.9,320
2020-05-28,27.0,28.65,27.0,28.6,665
2020-05-29,27.75,30.0,27.75,28.4,469
2020-06-01,29.0,29.75,28.15,29.5,510
2020-06-02,28.3,29.4,28.25,29.4,202
2020-06-03,28.65,29.4,28.15,29.25,1083
2020-06-04,28.35,28.4,28.35,28.35,60
2020-06-05,28.9,29.7,28.9,29.7,60
2020-06-08,30.0,30.0,29.0,29.0,373
2020-06-09,28.2,30.0,28.2,29.9,209
2020-06-10,30.45,31.5,29.3,31.1,865
2020-06-11,31.8,32.9,31.8,32.0,570
2020-06-12,31.1,32.5,31.1,32.4,825
2020-06-15,31.5,31.5,31.5,31.5,30
2020-06-16,32.3,34.4,31.1,34.05,2213
2020-06-17,32.2,35.25,32.2,35.0,586
2020-06-18,35.45,36.0,32.55,34.35,2035
2020-06-19,33.35,34.75,33.05,34.7,752
2020-06-22,32.6,35.0,32.6,34.95,166
2020-06-23,34.65,34.65,34.65,34.65,100
2020-06-24,34.65,36.6,32.85,34.35,2860
2020-06-25,33.0,36.0,33.0,34.55,131
2020-06-26,34.95,38.0,33.65,38.0,22731
2020-06-29,40.85,40.85,37.2,37.35,9900
2020-06-30,37.35,37.35,35.4,35.6,3162
2020-07-01,35.95,36.2,34.95,35.6,1145
2020-07-02,35.0,35.2,35.0,35.2,187
2020-07-03,35.2,37.6,35.0,37.45,2615
2020-07-06,38.0,40.5,37.6,38.15,6772
2020-07-07,38.0,39.5,37.6,38.25,4060
2020-07-08,38.0,38.0,36.45,37.75,4035
2020-07-09,36.15,40.9,36.15,39.6,3315
2020-07-10,42.4,42.5,39.0,40.55,5104
2020-07-13,40.5,41.0,40.0,40.0,3781
2020-07-14,39.55,39.9,39.0,39.9,197
2020-07-15,40.0,40.0,38.8,38.8,1130
2020-07-16,39.5,39.5,38.0,38.45,1577
2020-07-17,39.45,39.65,38.3,39.4,404
2020-07-20,39.4,39.85,37.95,39.75,364
2020-07-21,40.5,42.85,39.0,39.3,4073
2020-07-22,38.3,38.9,38.0,38.9,832
2020-07-23,36.55,40.4,36.55,40.35,1451
2020-07-24,43.45,43.45,39.1,39.4,891
2020-07-27,39.4,39.8,39.4,39.8,135
2020-07-28,39.0,40.9,38.75,40.5,2042
2020-07-29,38.5,40.8,37.4,39.1,1736
2020-07-30,39.8,40.4,39.05,39.7,614
2020-07-31,36.25,41.0,36.25,40.0,1579
2020-08-03,42.0,42.0,38.6,41.9,151
2020-08-04,41.65,43.3,41.65,42.75,1449
2020-08-05,43.8,46.9,41.05,41.5,2639
2020-08-06,41.5,43.4,40.75,41.4,2267
2020-08-07,40.8,43.0,40.8,42.15,1168
2020-08-10,43.9,44.4,42.65,43.4,1813
2020-08-11,47.6,47.6,42.6,42.85,3307
2020-08-12,44.4,46.6,42.05,43.3,2805
2020-08-13,41.1,43.5,39.0,43.5,7494
2020-08-14,44.4,44.9,41.0,41.25,2645
2020-08-17,42.8,44.4,42.15,42.7,2694
2020-08-18,45.6,48.9,42.05,42.75,2948
2020-08-19,44.8,46.75,43.0,46.2,4187
2020-08-20,42.3,49.5,42.3,44.9,4913
2020-08-21,46.4,48.0,45.05,46.5,1905
2020-08-24,44.6,49.0,43.0,43.6,1387
2020-08-25,43.0,46.0,42.2,45.7,1102
2020-08-26,45.85,45.85,45.7,45.75,10
2020-08-27,45.4,45.5,41.15,42.6,1189
2020-08-28,43.05,44.0,41.5,43.0,986
2020-08-31,41.15,42.0,39.65,41.6,2760
2020-09-01,41.15,41.8,40.0,41.8,300
2020-09-02,42.0,42.0,39.2,40.05,2240
2020-09-03,40.5,41.1,40.5,41.0,1385
2020-09-04,40.95,40.95,40.05,40.1,125
2020-09-07,40.95,41.95,39.55,40.05,1382
2020-09-08,40.2,42.8,39.05,40.7,413
2020-09-09,41.5,41.5,41.4,41.4,10
2020-09-10,40.1,41.5,40.1,41.45,30
2020-09-11,40.9,41.0,40.0,40.85,435
2020-09-14,40.0,41.0,39.25,40.0,2235
2020-09-15,41.4,41.4,39.35,39.45,292
2020-09-16,41.95,41.95,39.25,40.0,609
2020-09-17,40.0,40.85,39.05,39.05,209
2020-09-18,39.85,41.2,39.85,40.05,422
2020-09-21,40.0,40.9,39.0,40.0,1381
2020-09-22,38.15,38.15,38.0,38.0,200
2020-09-23,40.0,40.0,39.5,39.5,54
2020-09-24,34.0,38.9,34.0,36.4,3737
2020-09-25,36.05,39.8,36.0,39.8,214
2020-09-28,37.0,38.4,36.8,38.4,577
2020-09-29,38.5,39.9,37.5,37.7,1002
2020-09-30,38.9,39.95,37.25,39.75,554
2020-10-05,39.9,39.9,37.2,39.35,369
2020-10-06,39.6,39.6,37.3,39.45,1232
2020-10-07,38.0,39.0,37.25,39.0,561
2020-10-08,37.25,39.35,37.25,37.65,323
2020-10-09,37.5,37.5,37.5,37.5,1711
2020-10-12,39.9,39.9,37.15,37.4,1849
2020-10-13,38.6,39.5,37.15,37.5,491
2020-10-14,37.15,39.45,35.0,38.15,3324
2020-10-15,36.5,38.25,36.05,36.05,493
2020-10-16,36.5,37.75,36.05,37.65,185
2020-10-19,36.5,36.5,35.5,36.0,460
2020-10-20,36.9,36.9,34.55,35.05,3665
2020-10-21,34.95,35.0,34.95,35.0,122
2020-10-22,35.5,35.8,35.5,35.8,13
2020-10-23,35.0,41.8,35.0,39.15,2637
2020-10-26,39.0,39.0,37.4,38.0,435
2020-10-27,38.4,41.9,30.4,35.35,2429
2020-10-28,36.6,38.0,36.05,36.05,620
2020-10-29,36.6,37.5,36.0,36.0,389
2020-10-30,36.9,37.3,34.5,37.0,752
2020-11-02,35.25,35.25,34.1,34.5,2205
2020-11-03,35.2,36.35,35.2,36.0,448
2020-11-04,34.05,36.3,33.2,35.5,874
2020-11-05,36.9,38.0,35.75,35.75,204
2020-11-06,37.0,37.7,34.15,35.95,1454
2020-11-09,34.5,36.75,34.5,35.1,222
2020-11-10,34.15,35.25,33.0,33.9,2584
2020-11-11,34.6,40.65,34.6,38.9,17119
2020-11-12,39.7,40.9,37.5,38.75,4553
2020-11-13,39.4,40.5,39.05,40.05,2446
2020-11-14,41.4,42.0,38.5,39.0,2207
2020-11-17,39.9,39.9,37.25,39.9,1155
2020-11-18,40.0,40.0,38.2,38.7,554
2020-11-19,37.1,39.8,37.1,38.1,621
2020-11-20,38.0,38.05,38.0,38.0,388
2020-11-23,37.5,38.8,37.5,38.8,109
2020-11-24,39.75,40.85,38.6,40.0,830
2020-11-25,41.6,43.2,39.9,40.3,4888
2020-11-26,43.0,44.0,39.5,40.35,2355
2020-11-27,41.4,43.6,40.5,42.0,980
2020-12-01,42.8,42.8,39.3,39.6,3393
2020-12-02,40.8,42.95,40.05,42.8,981
2020-12-03,43.0,45.0,41.0,41.6,2574
2020-12-04,42.8,43.4,41.0,41.6,607
2020-12-07,41.0,42.0,39.6,42.0,1492
2020-12-08,42.5,44.95,39.4,40.2,10961
2020-12-09,40.9,42.0,40.1,40.3,1492
2020-12-10,40.0,41.75,40.0,41.45,698
2020-12-11,39.1,41.8,39.1,41.8,2600
2020-12-14,42.8,42.8,41.0,42.65,1070
2020-12-15,41.25,42.0,39.6,41.35,922
2020-12-16,41.9,42.75,41.0,42.5,630
2020-12-17,41.5,43.0,40.1,40.45,5596
2020-12-18,40.5,41.5,40.0,41.5,5957
2020-12-22,39.0,42.0,38.0,39.0,1247
2020-12-23,39.8,40.9,38.65,39.8,608
2020-12-24,40.05,41.8,40.0,40.85,840
2020-12-28,39.5,41.9,39.5,40.2,435
2020-12-29,40.8,43.7,39.8,41.0,4736
2020-12-30,41.6,42.8,40.3,40.85,3887
2020-12-31,40.6,42.7,40.6,41.4,2539
2021-01-01,41.2,42.0,41.15,41.15,3860
2021-01-04,41.8,46.9,41.55,45.4,15828
2021-01-05,49.4,50.5,43.5,44.2,11088
2021-01-06,44.9,46.5,44.5,45.5,9741
2021-01-07,44.5,49.0,44.5,47.95,10753
2021-01-08,48.95,51.5,47.1,49.85,12431
2021-01-11,51.0,51.0,46.1,46.15,2192
2021-01-12,47.0,47.5,45.1,46.8,1109
2021-01-13,46.8,46.8,45.0,45.15,1981
2021-01-14,46.0,48.0,44.9,46.55,2017
2021-01-15,47.75,47.8,45.1,45.25,893
2021-01-18,46.0,46.7,42.95,43.2,6809
2021-01-19,45.75,45.75,42.55,43.4,2171
2021-01-20,44.3,44.3,42.4,43.85,1349
2021-01-21,42.0,44.5,42.0,43.5,2106
2021-01-22,43.4,43.5,41.3,42.2,1916
2021-01-25,41.95,43.4,41.65,41.95,274
2021-01-27,43.9,45.0,42.6,44.0,6137
2021-01-28,44.0,50.8,44.0,49.55,7416
2021-01-29,49.0,50.9,47.05,48.7,4939
2021-02-01,46.05,48.85,46.0,48.8,1999
2021-02-02,49.9,49.9,47.5,48.6,719
2021-02-03,49.4,51.8,45.15,47.55,4282
