Datetime,Open,High,Low,Close,Volume
2023-03-23,56.0,57.9,53.2,55.79,388000
2023-03-24,54.0,58.5,53.01,57.46,182000
2023-03-27,59.2,59.2,55.5,57.1,82000
2023-03-28,54.3,57.5,54.25,55.31,72000
2023-03-29,55.0,55.29,53.0,54.95,38000
2023-03-31,52.5,54.0,52.5,54.0,6000
2023-04-03,53.0,53.0,53.0,53.0,2000
2023-04-05,53.0,54.0,53.0,54.0,4000
2023-04-06,54.99,54.99,54.75,54.9,12000
2023-04-10,54.05,54.49,53.0,54.49,16000
2023-04-11,54.99,60.0,54.99,56.89,60000
2023-04-12,57.5,57.5,57.0,57.25,16000
2023-04-13,56.01,56.84,55.0,55.63,32000
2023-04-17,53.2,55.5,53.2,54.99,6000
2023-04-18,54.0,54.0,53.1,53.3,8000
2023-04-19,54.0,55.19,53.5,54.7,16000
2023-04-20,56.5,56.5,53.95,54.5,6000
2023-04-21,55.15,55.15,55.15,55.15,2000
2023-04-24,55.4,56.0,55.4,55.8,12000
2023-04-25,56.0,56.9,56.0,56.0,20000
2023-04-26,56.0,56.0,56.0,56.0,8000
2023-04-27,56.0,56.0,55.95,55.99,6000
2023-04-28,54.0,56.0,54.0,56.0,6000
2023-05-02,55.0,55.0,55.0,55.0,2000
2023-05-03,55.05,55.85,55.05,55.85,8000
2023-05-04,55.0,55.95,55.0,55.84,10000
2023-05-05,55.0,55.98,54.0,54.99,10000
2023-05-08,54.5,54.5,54.5,54.5,4000
2023-05-09,55.0,56.0,55.0,56.0,16000
2023-05-10,55.0,55.99,54.1,55.81,14000
2023-05-11,56.0,58.0,55.01,57.0,16000
2023-05-12,57.5,58.0,56.11,57.5,20000
2023-05-15,58.6,58.6,57.5,57.5,8000
2023-05-16,58.0,59.5,58.0,58.0,10000
2023-05-17,59.5,69.6,59.5,69.6,90000
2023-05-18,75.75,83.52,72.0,82.99,198000
2023-05-19,85.5,86.5,74.7,74.7,150000
2023-05-22,70.0,70.51,67.23,67.23,44000
2023-05-23,67.0,70.0,62.11,62.58,36000
2023-05-24,63.99,65.0,63.99,65.0,14000
2023-05-25,63.0,63.0,61.75,61.78,36000
2023-05-26,60.55,62.0,60.0,60.05,8000
2023-05-29,60.02,63.05,60.02,63.05,14000
2023-05-30,66.0,66.2,65.8,66.2,16000
2023-05-31,66.2,66.2,66.2,66.2,2000
2023-06-01,64.9,64.9,63.0,64.0,6000
2023-06-02,64.0,64.0,64.0,64.0,2000
2023-06-05,62.1,64.4,60.8,64.4,44000
2023-06-06,64.4,64.4,61.7,61.7,4000
2023-06-09,63.0,63.0,62.9,63.0,8000
2023-06-12,64.71,66.8,63.0,66.8,16000
2023-06-13,66.8,66.8,64.0,64.0,6000
2023-06-15,63.1,63.1,63.0,63.0,6000
2023-06-16,63.1,63.7,62.0,63.7,14000
2023-06-19,66.0,66.0,64.0,65.0,10000
