Datetime,Open,High,Low,Close,Volume
2019-05-28,3.33,3.47,3.25,3.34,21000
2019-06-10,3.2,3.2,3.2,3.2,100
2019-06-14,3.36,3.36,3.36,3.36,450
2019-06-17,3.42,3.42,3.42,3.42,250
2019-06-18,3.26,3.26,3.26,3.26,500
2019-06-20,3.1,3.1,3.1,3.1,1000
2019-06-21,3.26,3.26,3.26,3.26,500
2019-06-24,3.26,3.26,3.26,3.26,350
2019-06-25,3.26,3.26,3.26,3.26,1610
2019-06-26,3.26,3.4,3.26,3.4,7690
2019-06-27,3.57,3.57,3.57,3.57,10
2019-07-02,3.4,3.5,3.4,3.5,6000
2019-07-09,3.5,3.5,3.5,3.5,1220
2019-07-12,3.33,3.33,3.33,3.33,1000
2019-07-15,3.16,3.16,3.16,3.16,20
2019-07-16,3.01,3.01,3.01,3.01,11200
2019-07-17,2.86,2.91,2.86,2.86,13800
2019-07-18,2.72,2.72,2.72,2.72,1000
2019-07-19,2.85,2.85,2.85,2.85,10
2019-07-22,2.71,2.71,2.71,2.71,300
2019-07-23,2.71,2.71,2.71,2.71,300
2019-07-24,2.58,2.58,2.58,2.58,300
2019-07-25,2.45,2.45,2.45,2.45,300
2019-07-26,2.45,2.5,2.45,2.5,1490
2019-07-30,2.5,2.5,2.38,2.38,1000
2019-07-31,2.38,2.38,2.26,2.38,10480
2019-08-01,2.4,2.4,2.4,2.4,50
2019-08-05,2.5,2.5,2.5,2.5,1000
2019-08-14,2.5,2.63,2.5,2.63,20
2019-08-23,2.76,2.76,2.76,2.76,10
2019-08-28,2.75,2.75,2.75,2.75,100
2019-08-29,2.75,2.75,2.75,2.75,500
2019-08-30,2.7,2.7,2.7,2.7,10000
2019-09-03,2.7,2.7,2.6,2.6,20
2019-09-06,2.7,2.7,2.61,2.61,25840
2019-09-11,2.74,2.74,2.74,2.74,5
2019-09-12,2.74,2.86,2.74,2.86,505
2019-09-13,3.0,3.0,3.0,3.0,5
2019-09-16,3.15,3.15,3.15,3.15,5
2019-09-17,3.3,3.3,3.3,3.3,1005
2019-09-18,3.46,3.46,3.46,3.46,1005
2019-09-19,3.63,3.63,3.63,3.63,6010
2019-09-20,3.81,3.81,3.81,3.81,7470
2019-09-23,4.0,4.0,4.0,4.0,6750
2019-09-24,4.2,4.2,4.2,4.2,6500
2019-09-25,4.41,4.41,3.99,3.99,7645
2019-09-26,4.19,4.19,3.8,4.18,1530
2019-09-27,4.18,4.18,3.97,3.98,1950
2019-09-30,4.1,4.1,3.78,4.1,2020
2019-10-01,3.9,3.9,3.9,3.9,50
2019-10-03,3.71,4.09,3.71,4.09,720
2019-10-04,3.89,4.28,3.89,4.08,290
2019-10-14,4.08,4.08,4.08,4.08,5
2019-10-17,4.14,4.14,4.08,4.08,50
2019-10-18,4.2,4.2,4.2,4.2,25
2019-10-22,4.3,4.3,4.3,4.3,15
2019-10-23,4.3,4.3,4.3,4.3,15
2019-10-24,4.36,4.36,4.2,4.3,17875
2019-10-29,4.29,4.29,4.2,4.2,140
2019-10-30,4.39,4.39,4.2,4.2,10
2019-11-01,4.3,4.3,4.24,4.24,450
2019-11-04,4.38,4.38,4.36,4.36,230
2019-11-05,4.15,4.15,4.15,4.15,50
2019-11-06,3.95,4.09,3.95,4.09,525
2019-11-07,4.2,4.2,4.2,4.2,25
2019-11-08,4.2,4.2,4.2,4.2,25
2019-11-13,3.9,3.9,3.9,3.9,105
2019-11-14,3.9,3.9,3.9,3.9,105
2019-11-15,4.02,4.02,3.99,3.99,110
2019-11-18,4.02,4.02,3.97,3.97,25025
2019-11-19,3.78,3.78,3.78,3.78,1290
2019-11-20,3.6,3.6,3.6,3.6,500
2019-11-21,3.42,3.42,3.42,3.42,1235
2019-11-22,3.5,3.5,3.25,3.25,705
2019-11-25,3.39,3.39,3.09,3.3,3205
2019-11-26,3.36,3.36,3.19,3.19,23040
2019-11-27,3.04,3.04,3.04,3.04,615
2019-11-29,2.89,3.0,2.89,3.0,1750
2019-12-03,3.0,3.0,3.0,3.0,1000
2019-12-04,2.99,2.99,2.99,2.99,17500
2019-12-05,3.0,3.0,2.84,2.99,1370
2019-12-06,3.0,3.0,2.85,3.0,660
2019-12-09,3.0,3.0,2.85,2.85,1070
2019-12-10,2.71,2.99,2.71,2.78,1845
2019-12-11,2.67,2.67,2.64,2.64,3500
2019-12-12,2.51,2.74,2.51,2.66,21840
2019-12-13,2.7,2.78,2.6,2.66,22275
2019-12-16,2.53,2.74,2.53,2.56,27510
2019-12-17,2.68,2.68,2.43,2.44,17210
2019-12-18,2.5,2.56,2.32,2.56,15223470
2019-12-19,2.68,2.68,2.68,2.68,2660
2019-12-20,2.82,2.82,2.82,2.82,5
2019-12-23,2.96,2.96,2.96,2.96,495
2019-12-24,3.1,3.1,3.1,3.1,2000
2019-12-26,3.26,3.26,3.26,3.26,3490
2019-12-27,3.42,3.42,3.42,3.42,600
2019-12-30,3.59,3.59,3.59,3.59,1255
2019-12-31,3.77,3.77,3.41,3.41,162645
2020-01-01,3.25,3.25,3.25,3.25,36500
2020-01-02,3.09,3.09,3.09,3.09,3500
2020-01-07,3.23,3.23,3.23,3.23,245
2020-01-09,3.15,3.36,3.15,3.36,2545
2020-01-10,3.42,3.42,3.42,3.42,45
2020-01-14,3.56,3.56,3.56,3.56,210
2020-01-16,3.65,3.65,3.59,3.59,425
2020-01-20,3.42,3.6,3.42,3.6,2270
2020-01-21,3.42,3.59,3.42,3.59,1550
2020-01-23,3.6,3.6,3.6,3.6,1500
2020-01-24,3.48,3.6,3.42,3.42,345
2020-01-27,3.55,3.56,3.36,3.36,1230
2020-01-28,3.24,3.24,3.24,3.24,45
2020-01-29,3.38,3.38,3.38,3.38,100
2020-01-31,3.22,3.22,3.22,3.22,45
2020-02-03,3.06,3.38,3.06,3.32,9715
2020-02-04,3.48,3.48,3.48,3.48,250
2020-02-05,3.42,3.47,3.42,3.47,250
2020-02-07,3.33,3.33,3.3,3.3,2795
2020-02-10,3.3,3.46,3.15,3.42,75
2020-02-11,3.25,3.39,3.25,3.39,875
2020-02-12,3.25,3.25,3.23,3.23,250
2020-02-14,3.24,3.24,3.24,3.24,45
2020-02-17,3.38,3.38,3.38,3.38,200
2020-02-18,3.22,3.22,3.22,3.22,45
2020-02-19,3.38,3.38,3.38,3.38,245
2020-02-20,3.48,3.48,3.24,3.24,2595
2020-02-24,3.15,3.38,3.15,3.38,120
2020-02-26,3.33,3.33,3.24,3.24,60
2020-02-27,3.15,3.15,3.15,3.15,45
2020-02-28,3.06,3.26,3.06,3.26,295
2020-03-02,3.15,3.15,3.15,3.15,45
2020-03-03,3.06,3.06,3.0,3.0,590
2020-03-04,2.99,2.99,2.85,2.85,550
2020-03-05,2.99,2.99,2.71,2.95,8330
2020-03-06,2.81,2.81,2.81,2.81,1785
2020-03-09,2.67,2.95,2.67,2.67,2565
2020-03-11,2.67,2.67,2.54,2.54,825
2020-03-12,2.54,2.66,2.42,2.44,4000
2020-03-13,2.56,2.56,2.56,2.56,125
2020-03-16,2.56,2.56,2.44,2.44,825
2020-03-17,2.32,2.56,2.32,2.32,1010
2020-03-18,2.21,2.42,2.21,2.28,80
2020-03-19,2.39,2.39,2.24,2.39,1355
2020-03-20,2.28,2.5,2.28,2.5,620
2020-03-23,2.5,2.62,2.4,2.4,3195
2020-03-25,2.28,2.52,2.28,2.52,2500
