Datetime,Open,High,Low,Close,Volume
2026-01-14,9.55,9.55,9.55,9.55,1
2026-01-16,10.02,10.02,10.02,10.02,1
2026-01-22,10.52,10.52,10.52,10.52,1
2026-01-30,11.04,11.04,11.04,11.04,1
2026-02-11,11.59,11.59,11.59,11.59,1
2026-02-13,12.16,12.16,12.16,12.16,1
2026-02-16,12.76,12.76,12.76,12.76,1
2026-02-20,13.39,13.39,13.39,13.39,1
2026-02-25,14.05,14.05,14.05,14.05,1
2026-03-09,14.75,14.75,14.75,14.75,1
2026-03-11,15.48,15.48,15.48,15.48,1
2026-03-25,16.25,16.25,16.25,16.25,1
2026-04-01,17.06,17.06,17.06,17.06,1
2026-04-06,17.91,17.91,17.91,17.91,1
2026-04-10,18.8,18.8,18.8,18.8,1
2026-04-13,19.74,19.74,19.74,19.74,1
2026-04-15,20.72,20.72,20.72,20.72,1
2026-04-20,21.13,21.13,21.13,21.13,1
2026-04-27,21.13,21.13,21.13,21.13,1
2026-04-28,21.13,21.13,21.13,21.13,1
2026-05-04,21.13,21.13,21.13,21.13,0
2026-05-05,21.13,21.13,21.13,21.13,0
2026-05-06,21.13,21.13,21.13,21.13,0
2026-05-07,21.13,21.13,21.13,21.13,0
2026-05-08,21.13,21.13,21.13,21.13,0
