Datetime,Open,High,Low,Close,Volume
2019-05-30,37.22,37.22,37.22,37.22,4
2019-06-03,37.13,37.18,35.39,35.39,48306
2019-06-12,35.3,35.3,35.3,35.3,984
2019-06-13,35.3,35.3,34.69,34.69,37509
2019-06-24,36.38,36.38,36.38,36.38,1
2019-07-02,35.63,35.63,35.63,35.63,1
2019-07-04,33.89,36.38,33.85,36.38,882
2019-07-05,34.6,34.6,34.6,34.6,197
2019-07-09,36.19,36.19,36.19,36.19,2
2019-07-10,34.46,34.46,34.46,34.46,469
2019-07-11,35.82,35.82,35.82,35.82,13
2019-07-12,36.38,36.38,34.04,34.41,36
2019-07-16,35.77,35.77,35.77,35.77,13
2019-07-22,36.29,36.29,36.29,36.29,56
2019-07-26,35.63,35.63,35.63,35.63,5
2019-08-05,36.29,36.29,36.24,36.24,6
2019-08-07,34.64,34.64,34.64,34.64,5
2019-08-08,36.19,36.19,33.05,33.05,845
2019-08-16,34.5,34.5,34.5,34.5,2
2019-08-19,32.82,34.64,32.82,34.64,36
2019-08-20,36.24,36.29,36.24,36.24,14
2019-08-22,36.24,36.24,36.24,36.24,8
2019-08-28,34.69,34.69,34.46,34.46,47
2019-08-30,34.69,34.69,34.69,34.69,1
2019-09-03,36.14,36.14,36.1,36.1,2
2019-09-06,35.63,37.88,35.63,37.88,94
2019-09-11,34.46,36.0,34.22,36.0,378
2019-09-12,36.57,36.57,36.52,36.52,6
2019-09-13,34.74,36.43,34.74,36.43,5
2019-09-16,36.19,36.24,36.19,36.24,2
2019-09-17,34.5,34.5,34.46,34.46,47
2019-09-23,32.82,32.82,32.82,32.82,164
2019-09-24,31.22,31.93,31.22,31.88,1453
2019-09-25,32.77,33.29,31.46,31.46,102
2019-09-30,30.94,30.94,29.91,29.91,60
2019-10-07,31.27,31.36,29.91,29.91,4229
2019-10-14,31.36,31.36,31.36,31.36,3
2019-10-17,32.91,32.91,32.91,32.91,4
2019-10-18,34.46,34.46,34.41,34.41,98
2019-10-30,34.22,34.22,34.22,34.22,11
2019-11-04,35.91,35.91,35.54,35.54,49
2019-11-14,33.8,33.8,33.8,33.8,1
2019-11-15,32.11,35.49,32.11,35.49,9479
2019-11-20,34.69,34.69,34.69,34.69,9
2019-11-26,32.96,32.96,32.96,32.96,28
2019-11-27,34.6,34.6,31.32,31.32,10
2019-12-02,31.32,31.32,31.32,31.32,9
2019-12-05,32.86,32.86,29.77,32.35,1418
2019-12-06,32.35,32.35,32.35,32.35,2
2019-12-11,32.3,32.3,32.3,32.3,23
2019-12-13,32.82,32.82,30.71,30.71,183
2019-12-16,30.94,30.94,30.94,30.94,281
2019-12-18,29.39,29.39,29.39,29.39,117
2019-12-23,27.94,30.8,27.94,30.8,244
2019-12-24,29.3,29.3,29.3,29.3,94
2019-12-26,30.75,30.75,30.75,30.75,5
2019-12-30,32.25,32.25,32.25,32.25,1
2019-12-31,32.11,32.11,32.11,32.11,9
2020-01-01,30.52,30.52,30.52,30.52,1
2020-01-03,31.41,31.88,31.41,31.88,1125
2020-01-06,30.28,30.28,30.28,30.28,103
2020-01-07,28.78,28.78,28.78,28.78,188
2020-01-08,30.19,30.19,27.38,27.38,226
2020-01-09,28.74,28.74,28.74,28.74,305
2020-01-14,28.74,30.05,28.74,30.05,895
2020-01-17,28.69,29.07,28.55,28.55,3164
2020-01-21,27.14,29.91,27.14,29.91,244
2020-01-23,31.03,31.03,29.25,29.25,23
2020-01-24,29.07,29.07,28.78,28.78,23
2020-01-28,28.13,28.18,28.13,28.18,641
2020-01-29,29.07,29.07,29.02,29.02,113
2020-02-03,29.77,29.77,27.61,27.61,241
2020-02-04,27.61,27.61,27.61,27.61,19
2020-02-05,27.61,27.61,27.61,27.61,20
2020-02-06,26.25,28.78,26.25,28.78,366
2020-02-07,27.38,28.74,27.38,27.47,376
2020-02-10,27.47,27.47,27.47,27.47,9
2020-02-11,26.11,28.83,26.11,26.11,4926
2020-02-12,25.03,25.03,24.85,24.85,1270
2020-02-13,23.96,26.07,23.91,24.28,423
2020-02-14,23.58,23.96,23.58,23.96,43
2020-02-17,23.21,23.25,22.78,22.78,582
2020-02-18,21.66,21.66,21.66,21.66,94
2020-02-19,22.74,22.74,22.74,22.74,149
2020-02-20,23.67,23.86,23.44,23.44,339
2020-02-24,24.1,24.14,24.05,24.14,214
2020-02-25,23.25,25.32,23.25,24.33,190
2020-02-27,24.38,24.38,23.16,23.16,816
2020-03-03,22.03,22.03,22.03,22.03,107
2020-03-04,23.11,23.11,20.96,22.5,7
2020-03-09,23.39,23.39,22.5,22.5,4
2020-03-11,21.38,21.38,21.38,21.38,3774
2020-03-12,20.35,20.35,20.35,20.35,3
2020-03-13,19.36,19.36,19.36,19.36,94
2020-03-16,19.36,19.36,18.42,18.42,190
2020-03-17,17.58,18.75,17.53,18.75,1120
2020-03-18,19.69,19.69,19.69,19.69,144
2020-03-26,19.69,19.69,19.69,19.69,5
2020-04-03,19.64,19.69,19.64,19.69,95
2020-04-07,19.6,20.67,19.6,20.67,929
2020-04-17,19.64,21.71,19.64,21.52,4725
2020-04-21,20.49,20.49,20.49,20.49,563
2020-04-22,19.92,19.92,19.83,19.83,445
2020-04-23,19.69,19.69,19.69,19.69,94
2020-04-30,18.71,18.71,18.71,18.71,107
2020-05-04,18.71,19.6,18.71,18.75,16
2020-05-05,18.75,19.64,17.81,19.64,105
2020-05-06,19.64,19.64,19.64,19.64,5
2020-05-07,18.71,18.71,18.71,18.71,1880
2020-05-08,19.6,19.6,19.6,19.6,47
2020-05-15,18.75,18.75,18.75,18.75,64
2020-05-20,19.69,19.69,19.69,19.69,7
2020-06-11,18.75,18.75,18.75,18.75,188
2020-06-16,19.69,19.69,19.69,19.69,115
2020-06-17,20.67,20.67,20.67,20.67,162
2020-06-18,21.71,21.71,21.71,21.71,115
2020-06-19,22.78,22.78,22.78,22.78,23
2020-06-22,23.91,23.91,23.91,23.91,23
2020-06-23,25.08,25.08,25.08,25.08,94
2020-06-26,24.38,26.21,24.38,26.21,24
2020-07-06,26.16,26.21,26.16,26.16,94
2020-07-10,27.33,27.33,27.33,27.33,1
2020-07-13,27.33,27.33,27.33,27.33,1
2020-07-27,27.24,27.24,25.97,25.97,209
