Datetime,Open,High,Low,Close,Volume
2019-05-30,1.58,1.58,1.58,1.58,300
2019-06-03,1.68,1.68,1.68,1.68,700
2019-06-13,1.63,1.63,1.63,1.63,10178
2019-06-21,1.71,1.71,1.71,1.71,13
2019-06-24,1.79,1.79,1.75,1.75,1000
2019-06-25,1.75,1.75,1.75,1.75,100
2019-06-26,1.83,1.83,1.83,1.83,1
2019-06-28,1.9,1.9,1.9,1.9,600
2019-07-03,1.9,1.9,1.9,1.9,1
2019-07-09,1.81,1.9,1.81,1.9,201
2019-07-15,1.99,1.99,1.99,1.99,1
2019-07-16,2.08,2.08,2.08,2.08,4
2019-07-17,2.08,2.08,2.06,2.06,1505
2019-07-18,2.06,2.06,2.06,2.06,2
2019-08-22,2.06,2.06,2.06,2.06,1
2019-08-27,1.96,1.96,1.96,1.96,300
2019-08-30,1.87,1.87,1.87,1.87,5
2019-09-04,1.78,1.78,1.78,1.78,50
2019-09-11,1.91,1.91,1.9,1.9,161
2019-09-13,1.98,1.98,1.98,1.98,15
2019-09-17,2.07,2.07,2.07,2.07,200
2019-09-19,2.17,2.17,2.17,2.17,100
2019-09-25,2.17,2.17,2.17,2.17,10
2019-09-26,2.17,2.17,2.17,2.17,20
2019-09-27,2.17,2.17,2.17,2.17,140
2019-10-11,2.16,2.16,2.16,2.16,40
2019-10-15,2.13,2.13,2.13,2.13,10
2019-10-22,2.13,2.13,2.13,2.13,40
2019-10-23,2.12,2.12,2.12,2.12,10
2019-11-04,2.12,2.12,2.12,2.12,100
2019-11-15,2.09,2.09,2.09,2.09,1
2019-11-20,2.09,2.09,2.09,2.09,10
2019-11-21,2.05,2.05,1.99,1.99,162
2019-11-22,1.98,1.98,1.95,1.95,20
2019-11-29,1.86,1.86,1.86,1.86,35
2019-12-02,1.77,1.77,1.77,1.77,1
2019-12-03,1.69,1.69,1.69,1.69,1001
2019-12-04,1.61,1.61,1.61,1.61,6
2019-12-05,1.53,1.53,1.53,1.53,102
2019-12-09,1.46,1.46,1.46,1.46,16
2019-12-10,1.46,1.46,1.39,1.39,801
2019-12-12,1.33,1.33,1.33,1.33,1
2019-12-13,1.27,1.27,1.27,1.27,1
2019-12-23,1.21,1.21,1.21,1.21,2
2019-12-24,1.15,1.15,1.15,1.15,1
2019-12-26,1.1,1.1,1.1,1.1,1
2019-12-27,1.05,1.05,1.05,1.05,1
2020-01-01,1.0,1.0,1.0,1.0,1
2020-01-03,0.95,0.95,0.95,0.95,2201
2020-01-06,0.99,0.99,0.91,0.95,31
2020-01-07,0.92,0.99,0.92,0.92,538
2020-01-08,0.88,0.88,0.88,0.88,1881
2020-01-09,0.92,0.92,0.84,0.84,1500
2020-01-10,0.88,0.88,0.88,0.88,1
2020-01-13,0.92,0.92,0.92,0.92,301
2020-01-16,0.96,0.96,0.96,0.96,2
2020-01-17,0.92,0.92,0.92,0.92,200
2020-01-21,0.88,0.92,0.88,0.92,3
2020-01-24,0.9,0.9,0.9,0.9,2
2020-01-29,0.94,0.94,0.86,0.94,502
2020-02-03,0.98,0.98,0.98,0.98,1
2020-02-12,1.0,1.0,1.0,1.0,1
2020-02-20,1.0,1.0,1.0,1.0,2
2020-03-06,1.0,1.0,1.0,1.0,13
2020-03-11,1.0,1.0,1.0,1.0,15
2020-03-16,1.0,1.0,1.0,1.0,2
2020-03-31,1.0,1.0,1.0,1.0,20
2020-06-05,1.0,1.0,1.0,1.0,200
2020-06-30,1.0,1.0,1.0,1.0,400
2020-07-03,1.05,1.05,1.05,1.05,3041
2020-07-06,1.05,1.05,1.05,1.05,100
2020-07-09,1.05,1.05,1.05,1.05,28
2020-07-28,1.0,1.0,1.0,1.0,200
2020-07-29,0.95,0.95,0.95,0.95,200
2020-08-18,0.91,0.91,0.91,0.91,400
2020-08-19,0.87,0.87,0.87,0.87,300
2020-08-24,0.83,0.83,0.83,0.83,41
2020-08-26,0.83,0.83,0.79,0.79,100
2020-08-28,0.79,0.79,0.79,0.79,200
2020-08-31,0.76,0.76,0.76,0.76,28
2020-09-04,0.76,0.76,0.76,0.76,28
2020-09-08,0.78,0.78,0.78,0.78,1
2020-09-15,0.75,0.75,0.75,0.75,118
2020-09-16,0.72,0.72,0.72,0.72,28
