Datetime,Open,High,Low,Close,Volume
2019-05-28,90.0,90.9,85.2,86.2,6324137
2019-05-29,85.3,85.4,81.4,81.9,3694958
2019-05-30,82.15,83.15,80.9,81.5,2235468
2019-06-03,80.95,82.5,79.4,82.0,2208830
2019-06-10,80.6,80.8,76.7,77.3,2038838
2019-06-11,77.55,79.15,76.95,78.6,1402092
2019-06-12,78.5,79.9,78.15,79.2,1648906
2019-06-13,77.4,77.9,73.6,76.25,3498086
2019-06-14,76.5,77.7,76.0,76.55,1634853
2019-06-17,77.0,77.45,75.7,75.9,1270709
2019-06-18,75.25,77.35,74.55,75.4,1802473
2019-06-19,75.4,76.25,74.05,75.35,1857997
2019-06-20,75.5,77.2,75.05,76.95,1714440
2019-06-21,77.0,78.15,76.2,77.0,1354462
2019-06-24,76.5,77.55,76.35,76.85,1185039
2019-06-25,76.7,77.55,76.3,77.1,1001018
2019-06-26,77.2,79.4,76.65,78.85,1240444
2019-06-27,79.4,79.85,77.7,78.0,1087999
2019-06-28,78.95,81.75,78.05,79.55,2791855
2019-07-01,79.75,81.25,79.0,80.9,1631554
2019-07-02,81.0,81.2,79.75,80.35,1258648
2019-07-03,80.4,81.6,80.0,81.2,1308868
2019-07-04,81.5,83.25,81.4,82.0,1731186
2019-07-05,82.4,83.35,80.85,81.75,2852409
2019-07-08,76.3,77.85,72.5,72.8,5001868
2019-07-09,72.0,74.7,70.8,74.35,3416201
2019-07-10,74.9,74.9,72.0,72.65,1478427
2019-07-11,73.45,74.8,72.85,74.6,1276279
2019-07-12,74.7,75.9,73.6,75.35,1363496
2019-07-15,74.85,75.25,72.7,73.45,1290470
2019-07-16,73.95,76.0,73.55,75.8,1175841
2019-07-17,75.7,76.15,74.4,75.35,994290
2019-07-18,75.1,75.75,72.45,73.2,1102200
2019-07-19,73.8,73.9,72.3,72.85,1199276
2019-07-22,72.7,73.45,71.45,72.45,1078895
2019-07-23,72.6,72.8,68.0,68.4,2074854
2019-07-24,68.4,69.8,67.75,68.2,2212999
2019-07-25,68.4,69.0,65.65,66.05,1821726
2019-07-26,66.5,69.55,66.0,68.0,3728657
2019-07-29,68.9,70.25,67.7,69.3,2151854
2019-07-30,69.5,69.7,66.3,66.9,1857771
2019-07-31,67.15,69.5,66.55,69.15,1398235
2019-08-01,69.3,69.3,66.5,67.45,1213262
2019-08-02,67.65,68.85,66.7,67.65,1749492
2019-08-05,67.0,68.25,64.45,66.6,2173448
2019-08-06,66.6,68.3,66.15,68.0,1609405
2019-08-07,68.1,68.7,63.6,64.05,2413643
2019-08-08,64.8,66.9,64.25,66.55,1719205
2019-08-09,66.75,67.5,65.6,66.55,1275495
2019-08-13,66.9,67.55,65.1,65.35,1064521
2019-08-14,65.65,66.3,64.9,65.55,1202536
2019-08-16,65.9,68.4,64.95,68.1,1620826
2019-08-19,68.25,69.0,66.95,67.3,1218702
2019-08-20,67.4,67.8,64.65,65.6,1261074
2019-08-21,65.65,66.4,63.25,64.05,1305033
2019-08-22,64.0,64.25,61.15,61.45,1250369
2019-08-23,61.85,63.95,60.95,63.55,1413729
2019-08-26,67.9,67.9,63.4,65.75,1882847
2019-08-27,67.0,68.15,66.35,67.2,1185649
2019-08-28,67.2,67.95,64.9,65.7,759890
2019-08-29,65.45,66.2,63.75,65.1,738690
2019-08-30,65.4,65.95,63.35,64.95,1362492
2019-09-03,61.3,62.4,59.1,59.4,4631460
2019-09-04,59.85,60.35,58.75,59.9,2294360
2019-09-05,61.8,61.95,60.5,61.1,1963111
2019-09-06,61.5,61.65,60.85,61.25,1473171
2019-09-11,62.6,65.0,62.45,64.85,1452498
2019-09-12,64.8,65.5,64.25,64.55,1345674
2019-09-13,64.35,65.1,62.8,64.9,1574359
2019-09-16,64.3,65.6,63.9,64.5,1123834
2019-09-17,64.75,65.0,62.15,62.4,1046392
2019-09-18,62.8,63.5,62.5,62.9,1128460
2019-09-19,63.0,63.05,61.1,62.0,963238
2019-09-20,62.3,66.75,61.4,65.7,3429879
2019-09-23,67.5,67.95,64.85,66.7,2803883
2019-09-24,66.4,67.05,65.55,66.15,1066690
2019-09-25,64.8,65.85,62.65,63.25,1224738
2019-09-26,63.5,65.6,62.6,62.85,1827357
2019-09-27,63.0,63.7,62.4,62.85,1211782
2019-09-30,63.0,63.35,61.05,61.9,1121787
2019-10-01,62.8,62.9,56.4,58.8,2317984
2019-10-03,58.9,59.95,57.8,59.05,1015121
2019-10-04,59.5,59.9,57.7,57.95,1335771
2019-10-07,57.55,58.1,56.95,57.2,1000556
2019-10-09,57.2,58.85,56.3,58.5,1334640
2019-10-10,58.4,58.4,56.2,56.45,2090620
2019-10-11,56.8,57.45,55.7,56.8,2490505
2019-10-14,57.1,58.4,56.75,57.25,974129
2019-10-15,57.5,58.1,56.7,57.9,783649
2019-10-16,58.2,58.8,57.05,57.3,971559
2019-10-17,57.5,59.35,57.05,59.1,1937406
2019-10-18,59.0,60.7,58.6,60.2,1184426
2019-10-22,60.25,62.25,59.85,60.8,1331520
2019-10-23,60.75,61.95,59.85,61.3,1533900
2019-10-24,61.5,61.85,59.2,59.75,1078427
2019-10-25,59.7,61.2,58.7,60.7,5462868
2019-10-29,60.6,62.55,60.35,61.95,1131695
2019-10-30,61.0,64.15,61.0,63.7,1446625
2019-10-31,64.6,66.85,64.05,65.4,2285801
2019-11-01,65.5,67.75,65.1,67.15,2235079
2019-11-04,67.95,69.6,67.3,68.2,2718522
2019-11-05,69.0,69.55,64.3,64.75,5614012
2019-11-06,64.55,65.05,63.35,64.2,3545823
2019-11-07,64.25,64.55,61.8,62.0,2122985
2019-11-08,62.0,62.6,61.1,61.4,1327074
2019-11-13,62.0,62.5,60.1,60.35,858277
2019-11-14,60.15,60.9,58.85,60.3,1166081
2019-11-15,60.75,63.75,60.75,61.9,2621945
2019-11-18,62.3,63.1,61.85,62.35,1297182
2019-11-19,62.2,64.85,62.1,64.15,2196622
2019-11-20,64.55,65.25,63.5,63.9,1678086
2019-11-21,63.9,64.75,63.1,63.25,1221681
2019-11-22,63.4,64.7,63.2,63.65,1266512
2019-11-25,63.95,64.55,63.65,64.4,1092264
2019-11-26,64.5,65.35,62.8,63.2,1439384
2019-11-27,63.7,63.9,62.85,63.7,1138726
2019-11-28,64.25,67.5,64.2,66.95,2812780
2019-11-29,67.0,67.75,65.4,65.65,1537261
2019-12-02,66.0,66.7,65.15,65.8,713054
2019-12-03,65.75,66.0,62.75,62.9,956412
2019-12-04,62.8,63.9,61.5,63.75,2139485
2019-12-05,63.75,64.4,62.1,62.3,1560821
2019-12-06,62.75,63.0,59.9,60.1,1586143
2019-12-09,60.5,61.8,59.65,60.75,1243992
2019-12-10,60.75,61.15,59.45,59.65,1203207
2019-12-11,60.0,60.45,58.5,59.6,1867307
2019-12-12,60.15,61.05,59.7,60.8,1411517
2019-12-13,61.1,64.6,61.1,64.45,2337320
2019-12-16,63.4,64.25,62.65,63.65,1540109
2019-12-17,63.95,65.6,63.7,64.7,1331982
2019-12-18,64.7,64.7,62.7,63.2,1175553
2019-12-19,62.9,63.85,62.6,63.65,967360
2019-12-20,64.0,65.35,63.75,64.65,1048018
2019-12-23,64.0,64.65,63.25,63.6,890642
2019-12-24,63.6,64.0,63.3,63.55,698678
2019-12-26,63.55,63.75,62.55,62.8,1039654
2019-12-27,63.3,66.45,63.3,65.35,1416038
