Datetime,Open,High,Low,Close,Volume
2019-05-28,195.0,195.95,187.2,190.3,9662
2019-05-29,196.45,206.35,194.75,201.35,12437
2019-05-30,203.05,215.5,203.05,208.5,882880
2019-06-03,222.05,236.8,217.7,231.3,24892
2019-06-10,230.0,232.0,218.2,220.15,1657
2019-06-11,221.5,231.05,221.45,229.95,1079
2019-06-12,229.1,229.1,222.5,224.35,2854
2019-06-13,221.7,229.1,220.6,224.95,1243
2019-06-14,221.3,223.9,220.0,221.1,2129
2019-06-17,221.15,224.55,217.0,220.3,2076
2019-06-18,218.7,220.35,206.0,212.65,2589
2019-06-19,215.2,217.6,193.15,205.65,3282
2019-06-20,204.95,214.05,203.35,207.15,1478
2019-06-21,211.8,213.05,208.0,209.75,1604
2019-06-24,214.6,215.75,210.55,210.75,401
2019-06-25,216.1,218.5,210.7,212.25,1269
2019-06-26,212.0,215.6,206.55,209.5,2818
2019-06-27,212.1,214.4,209.7,211.6,518
2019-06-28,212.65,215.25,208.75,211.1,524
2019-07-01,212.45,213.45,208.7,209.9,1337
2019-07-02,209.6,228.8,204.55,222.6,5681
2019-07-03,229.85,229.9,220.75,221.95,3805
2019-07-04,224.2,225.55,220.0,220.6,4003
2019-07-05,222.2,222.85,211.85,213.75,2442
2019-07-08,218.25,218.25,207.25,209.75,1861
2019-07-09,213.65,214.0,208.1,210.1,573
2019-07-10,208.15,210.85,207.65,209.65,1737
2019-07-11,209.85,210.75,207.8,210.45,221
2019-07-12,210.1,211.0,207.0,209.0,1570
2019-07-15,210.4,210.4,205.85,207.55,989
2019-07-16,209.8,229.9,207.3,212.75,6024
2019-07-17,209.65,222.0,209.65,212.9,1499
2019-07-18,217.7,222.1,211.0,212.65,1998
2019-07-19,215.0,215.0,206.3,208.7,2156
2019-07-22,207.35,213.35,205.0,208.9,2960
2019-07-23,209.0,214.1,207.15,207.85,1016
2019-07-24,207.05,209.0,206.0,206.65,3368
2019-07-25,206.25,206.25,202.4,204.1,450
2019-07-26,203.55,209.35,203.0,204.25,4008
2019-07-29,204.45,206.9,197.0,201.85,4761
2019-07-30,201.5,208.3,196.25,198.75,955
2019-07-31,195.7,197.0,194.0,194.4,931
2019-08-01,192.75,195.5,192.4,192.85,296
2019-08-02,192.9,193.1,184.1,189.55,717
2019-08-05,184.6,186.45,183.5,184.95,492
2019-08-06,184.65,190.05,184.65,186.2,297
2019-08-07,190.1,196.9,190.1,194.85,1629
2019-08-08,190.0,193.8,185.75,188.25,1215
2019-08-09,191.1,193.2,187.9,189.0,1215
2019-08-13,191.5,191.5,182.0,183.85,1406
2019-08-14,187.0,187.0,182.0,184.5,87
2019-08-16,185.0,185.0,182.0,184.25,147
2019-08-19,182.05,186.0,180.45,184.0,161
2019-08-20,185.7,185.7,179.8,185.05,620
2019-08-21,182.4,184.2,177.25,177.5,234
2019-08-22,177.05,177.5,170.0,171.2,649
2019-08-23,167.0,170.8,161.35,166.8,700
2019-08-26,170.1,174.8,170.1,174.8,331
2019-08-27,177.1,181.25,177.1,178.8,283
2019-08-28,182.8,184.5,178.95,179.95,742
2019-08-29,182.95,183.65,175.95,180.25,997
2019-08-30,182.15,183.85,178.0,179.5,780
2019-09-03,178.25,179.3,172.25,173.55,195
2019-09-04,169.65,175.15,169.65,173.2,130
2019-09-05,170.85,170.85,168.55,169.55,2337
2019-09-06,170.4,174.0,170.05,171.05,375
2019-09-11,176.7,177.6,176.7,176.9,110
2019-09-12,172.8,178.25,171.0,176.1,1071
2019-09-13,176.2,177.65,174.05,176.15,300
2019-09-16,178.0,179.2,176.25,177.8,2298
2019-09-17,178.5,180.0,175.0,175.7,2173
2019-09-18,177.25,177.25,173.4,174.95,2246
2019-09-19,174.25,174.3,172.75,172.75,170
2019-09-20,180.0,186.0,176.5,176.55,2754
2019-09-23,177.7,182.4,171.3,172.75,4923
2019-09-24,175.5,177.0,173.0,174.9,3108
2019-09-25,172.6,174.7,165.6,167.85,6641
2019-09-26,167.3,173.1,167.3,170.35,1751
2019-09-27,172.0,172.5,165.6,166.4,1149
2019-09-30,166.2,166.3,161.75,162.95,556
2019-10-01,160.35,164.0,158.25,160.75,916
2019-10-03,160.0,162.0,157.0,157.45,267
2019-10-04,162.0,165.1,161.25,162.1,813
2019-10-07,159.65,166.3,158.65,160.6,1996
2019-10-09,163.9,163.9,153.25,160.4,2067
2019-10-10,158.2,158.9,157.5,158.0,914
2019-10-11,156.2,158.0,153.2,154.6,2760
2019-10-14,156.0,156.0,152.05,153.05,1685
2019-10-15,155.0,157.0,150.2,152.05,1007
2019-10-16,152.0,156.95,149.25,150.9,1551
2019-10-17,154.35,154.35,148.9,149.25,668
2019-10-18,151.1,151.1,147.0,148.55,697
2019-10-22,148.0,152.25,145.0,146.6,2022
2019-10-23,146.5,161.1,146.5,156.55,2363
2019-10-24,157.45,157.45,150.0,151.0,328
2019-10-25,143.0,156.1,142.0,152.45,507
2019-10-29,165.95,165.95,156.75,160.8,1184
2019-10-30,166.0,168.4,161.8,162.65,1614
2019-10-31,174.1,193.0,167.0,168.4,68817
2019-11-01,170.0,173.0,165.25,166.7,5637
2019-11-04,169.65,170.05,165.1,166.2,2533
2019-11-05,166.7,169.4,157.6,158.05,8592
2019-11-06,157.15,157.2,151.1,152.55,5118
2019-11-07,150.0,159.0,148.8,153.0,11956
2019-11-08,154.25,155.0,148.3,149.45,1958
2019-11-13,148.95,151.1,146.25,149.45,2984
2019-11-14,149.6,152.3,142.05,144.7,4447
2019-11-15,146.45,149.5,145.0,146.0,2101
2019-11-18,149.7,150.0,146.0,146.5,1835
2019-11-19,147.9,147.9,142.0,142.9,2503
2019-11-20,143.45,145.45,142.6,144.15,2625
2019-11-21,143.8,144.2,138.9,142.35,2925
2019-11-22,141.75,142.1,140.5,140.5,324
