Datetime,Open,High,Low,Close,Volume
2019-05-28,65.0,66.8,65.0,66.0,402642
2019-05-29,66.45,67.25,65.2,65.6,313539
2019-05-30,66.0,66.9,65.0,65.75,189651
2019-06-03,63.9,63.9,62.4,63.35,133541
2019-06-10,65.5,65.8,63.95,64.55,142930
2019-06-11,64.85,64.85,63.45,63.9,180860
2019-06-12,63.9,64.3,63.4,63.65,123515
2019-06-13,63.75,63.75,61.65,62.45,285816
2019-06-14,62.5,62.5,61.0,61.35,77435
2019-06-17,61.55,61.55,59.3,59.55,99567
2019-06-18,59.6,59.6,57.75,58.2,171127
2019-06-19,58.45,58.75,56.15,56.85,129039
2019-06-20,56.85,58.2,55.8,57.85,184240
2019-06-21,57.45,59.2,57.25,58.75,127419
2019-06-24,58.95,60.9,58.6,59.95,145625
2019-06-25,59.85,60.6,59.55,59.75,68866
2019-06-26,59.85,60.7,59.65,60.0,90791
2019-06-27,60.15,61.7,59.9,60.75,94412
2019-06-28,60.7,61.15,60.05,60.55,70446
2019-07-01,61.5,63.45,61.5,62.4,245488
2019-07-02,63.0,63.7,62.1,62.85,156974
2019-07-03,63.4,65.75,63.35,64.35,321461
2019-07-04,64.4,64.7,63.4,63.6,97288
2019-07-05,63.9,64.7,60.0,60.35,433741
2019-07-08,60.0,60.0,56.5,56.8,160768
2019-07-09,56.8,57.5,55.8,56.85,144606
2019-07-10,56.85,57.9,56.0,56.3,115798
2019-07-11,57.05,57.05,56.4,56.7,84014
2019-07-12,57.05,57.25,56.15,56.35,53562
2019-07-15,56.2,56.45,54.6,54.9,107485
2019-07-16,54.95,55.35,54.25,55.05,61260
2019-07-17,55.2,58.2,55.2,56.8,304232
2019-07-18,56.85,56.85,55.55,55.95,50741
2019-07-19,56.35,56.5,54.05,54.45,105329
2019-07-22,54.05,54.05,53.15,53.6,69758
2019-07-23,53.7,54.15,53.05,53.7,56569
2019-07-24,53.75,54.3,52.5,52.6,77491
2019-07-25,53.25,54.6,53.0,53.25,133488
2019-07-26,53.1,53.45,52.55,52.75,80276
2019-07-29,53.2,53.2,51.5,51.95,82998
2019-07-30,52.0,52.1,48.0,48.25,267358
2019-07-31,48.0,49.85,46.75,49.45,226995
2019-08-01,49.0,49.6,47.25,48.1,90021
2019-08-02,48.1,48.1,46.5,47.3,110665
2019-08-05,46.3,46.35,45.0,45.2,80723
2019-08-06,44.3,46.65,44.1,46.25,86802
2019-08-07,46.5,46.7,45.25,45.6,58743
2019-08-08,45.95,46.5,44.7,46.25,97889
2019-08-09,45.0,45.9,45.0,45.45,109914
2019-08-13,45.9,45.9,44.5,44.65,83799
2019-08-14,44.75,44.8,44.0,44.15,66907
2019-08-16,44.0,45.35,43.3,44.45,118755
2019-08-19,44.55,44.95,44.15,44.4,128445
2019-08-20,44.25,44.9,43.9,44.0,59504
2019-08-21,44.0,44.0,40.55,40.8,139877
2019-08-22,40.35,40.65,38.0,38.2,152368
2019-08-23,38.1,39.7,36.25,39.3,178259
2019-08-26,40.8,40.8,38.55,39.75,154411
2019-08-27,39.6,41.9,39.6,41.7,157919
2019-08-28,41.4,42.4,40.1,40.6,98132
2019-08-29,41.65,42.45,40.5,40.65,171832
2019-08-30,40.0,41.65,40.0,41.0,158759
2019-09-03,40.2,40.65,39.6,39.85,81377
2019-09-04,39.6,40.85,39.4,40.55,79450
2019-09-05,40.95,41.75,40.6,41.05,87947
2019-09-06,41.1,41.95,41.1,41.65,162433
2019-09-11,42.5,45.3,42.5,44.5,281861
2019-09-12,44.25,45.3,44.15,44.3,103772
2019-09-13,44.45,46.65,43.3,46.2,237931
2019-09-16,45.4,47.4,44.9,46.7,197390
2019-09-17,46.6,46.65,43.9,44.2,118314
2019-09-18,44.3,44.65,43.7,43.9,60921
2019-09-19,43.9,44.05,42.7,43.6,137833
2019-09-20,43.15,45.8,43.0,43.8,223103
2019-09-23,46.2,47.4,45.7,46.95,360997
2019-09-24,47.35,49.75,46.0,49.15,324728
2019-09-25,49.95,51.75,49.8,50.3,564417
2019-09-26,50.3,52.55,49.1,51.85,537238
2019-09-27,51.8,52.2,49.8,50.25,154483
2019-09-30,50.45,50.45,47.55,48.15,167412
2019-10-01,50.55,50.7,47.5,48.6,260377
2019-10-03,47.75,47.9,46.6,47.05,169688
2019-10-04,47.75,47.9,46.3,46.45,93722
2019-10-07,46.5,46.5,44.1,44.25,122824
2019-10-09,44.25,45.7,43.5,44.95,116221
2019-10-10,44.75,45.55,44.2,44.4,99438
2019-10-11,44.3,46.0,44.1,45.05,99933
2019-10-14,45.2,47.5,44.8,47.15,143883
2019-10-15,46.7,49.2,46.65,48.9,317330
2019-10-16,49.2,49.2,46.85,47.45,162082
2019-10-17,47.75,48.35,47.4,48.0,171977
2019-10-18,48.2,51.4,48.2,50.9,259468
2019-10-22,51.4,53.2,51.35,51.7,195115
2019-10-23,51.7,53.3,51.35,52.35,150456
2019-10-24,52.5,55.25,50.55,54.6,394788
2019-10-25,54.8,54.8,52.15,52.35,136778
2019-10-29,53.0,53.5,51.5,52.7,74049
2019-10-30,58.65,60.0,56.6,56.8,462351
2019-10-31,56.95,57.8,55.3,55.75,213114
2019-11-01,55.75,56.75,54.0,54.45,173379
2019-11-04,54.3,55.0,53.8,54.1,136771
2019-11-05,54.05,54.3,52.5,52.6,122926
2019-11-06,52.6,53.85,52.1,53.2,167961
2019-11-07,53.5,53.75,52.6,53.15,136110
2019-11-08,52.75,54.9,50.6,51.8,295896
2019-11-13,51.75,52.35,50.6,51.05,129427
2019-11-14,50.2,50.2,48.4,49.0,194846
2019-11-15,48.85,49.0,47.9,48.05,154332
2019-11-18,48.4,49.9,48.35,49.65,76255
2019-11-19,49.9,50.4,48.85,49.3,72169
2019-11-20,49.7,51.25,49.15,50.55,147303
2019-11-21,50.55,50.55,48.9,49.05,102141
2019-11-22,49.75,50.05,49.05,49.55,96863
2019-11-25,49.8,49.85,49.05,49.55,125697
2019-11-26,49.6,50.3,49.0,49.15,85916
2019-11-27,49.05,49.4,48.2,48.5,120823
2019-11-28,48.6,49.25,48.15,49.0,85764
2019-11-29,50.3,50.7,49.4,49.85,177767
2019-12-02,49.15,49.6,47.7,47.85,139117
2019-12-03,48.0,48.4,47.0,47.25,66602
2019-12-04,47.05,48.2,47.0,47.55,92410
2019-12-05,48.5,48.5,47.3,47.4,47855
2019-12-06,47.55,47.6,45.6,46.25,83295
2019-12-09,46.9,46.9,45.55,45.65,95977
2019-12-10,46.3,46.6,45.3,45.75,64315
2019-12-11,45.9,46.25,44.05,44.6,86791
2019-12-12,44.75,45.3,44.45,45.0,121938
2019-12-13,45.3,46.1,45.05,45.85,153920
2019-12-16,46.0,46.15,45.15,45.25,140659
