Datetime,Open,High,Low,Close,Volume
2019-05-28,11.0,11.14,10.9,10.94,36901
2019-05-29,11.09,11.09,10.63,10.72,29552
2019-05-30,10.75,10.75,10.0,10.08,128690
2019-06-03,10.15,10.27,10.05,10.16,46421
2019-06-10,10.15,10.21,9.9,10.02,52329
2019-06-11,9.95,10.0,9.73,9.81,78585
2019-06-12,9.86,9.95,9.8,9.81,13790
2019-06-13,9.85,9.9,9.72,9.84,29085
2019-06-14,9.3,9.8,9.3,9.64,49076
2019-06-17,9.5,9.67,9.31,9.37,92161
2019-06-18,9.35,9.57,9.27,9.29,50442
2019-06-19,9.25,9.4,8.91,8.99,46351
2019-06-20,8.86,8.95,8.7,8.75,56190
2019-06-21,8.85,9.44,8.8,9.0,139143
2019-06-24,9.0,9.11,8.97,9.07,36532
2019-06-25,9.1,9.11,8.96,9.05,24706
2019-06-26,9.01,9.08,8.95,8.96,48330
2019-06-27,9.21,9.35,9.09,9.14,100482
2019-06-28,9.2,9.22,9.06,9.16,44768
2019-07-01,9.5,9.56,9.1,9.24,127475
2019-07-02,9.21,9.26,9.04,9.1,19645
2019-07-03,9.0,9.13,8.99,9.07,53531
2019-07-04,9.05,9.23,9.05,9.16,147158
2019-07-05,9.39,9.39,9.05,9.09,68233
2019-07-08,9.0,9.04,8.77,8.95,123731
2019-07-09,8.9,9.15,8.89,9.02,36086
2019-07-10,8.99,9.05,8.75,8.79,17023
2019-07-11,9.0,9.0,8.84,8.86,32945
2019-07-12,8.95,9.39,8.86,9.3,94304
2019-07-15,9.2,9.33,8.95,9.01,91188
2019-07-16,8.99,9.11,8.86,8.9,35438
2019-07-17,8.89,9.0,8.79,8.8,48507
2019-07-18,8.79,9.08,8.75,8.79,55937
2019-07-19,8.84,9.09,8.74,8.83,117716
2019-07-22,8.75,8.89,8.66,8.72,44771
2019-07-23,8.8,9.04,8.75,8.9,26563
2019-07-24,9.04,9.05,8.82,8.86,40698
2019-07-25,9.2,9.25,8.72,8.79,156752
2019-07-26,8.78,8.85,8.7,8.74,35056
2019-07-29,8.74,8.83,8.2,8.26,96961
2019-07-30,8.29,8.39,7.69,7.76,115048
2019-07-31,7.72,8.0,7.65,7.82,76871
2019-08-01,7.9,7.95,7.65,7.73,51250
2019-08-02,7.74,7.75,7.3,7.55,69548
2019-08-05,7.62,7.62,7.1,7.32,67081
2019-08-06,7.31,8.0,7.1,7.79,53895
2019-08-07,7.7,7.7,6.86,6.93,143900
2019-08-08,7.01,7.06,6.91,6.99,67894
2019-08-09,7.0,7.46,7.0,7.37,100789
2019-08-13,7.4,7.4,7.14,7.18,28252
2019-08-14,7.2,7.55,7.06,7.32,58918
2019-08-16,7.26,7.38,7.15,7.27,30761
2019-08-19,7.55,7.55,7.21,7.3,31910
2019-08-20,7.3,7.42,7.05,7.09,74648
2019-08-21,7.16,7.2,6.91,6.93,38916
2019-08-22,6.79,7.06,6.72,6.75,63186
2019-08-23,6.94,6.95,6.69,6.84,46646
2019-08-26,6.8,6.8,6.56,6.65,79043
2019-08-27,6.59,6.91,6.59,6.86,87139
2019-08-28,6.82,6.95,6.75,6.79,107441
2019-08-29,7.2,7.2,6.5,6.55,189095
2019-08-30,6.6,7.0,6.6,6.9,113463
2019-09-03,7.2,7.2,6.8,7.04,139828
2019-09-04,7.25,7.76,7.1,7.37,280484
2019-09-05,7.3,7.51,7.11,7.36,138114
2019-09-06,7.3,7.61,7.1,7.54,266270
2019-09-11,7.79,8.08,7.75,7.88,209728
2019-09-12,7.9,8.01,7.7,7.8,96868
2019-09-13,7.98,7.98,7.65,7.83,95052
2019-09-16,8.08,8.14,7.9,7.98,105118
2019-09-17,8.0,8.3,7.91,8.04,175212
2019-09-18,8.0,8.1,7.87,7.9,41372
2019-09-19,7.85,7.86,7.6,7.64,43854
2019-09-20,7.7,7.76,7.0,7.11,240171
2019-09-23,7.12,7.3,6.85,6.89,133296
2019-09-24,6.9,7.11,6.9,7.06,148310
2019-09-25,7.0,7.35,7.0,7.13,133043
2019-09-26,7.1,7.45,7.04,7.07,60274
2019-09-27,7.19,7.19,7.01,7.08,116394
2019-09-30,7.3,7.3,6.53,6.67,206038
2019-10-01,6.67,6.97,6.66,6.71,61033
2019-10-03,6.69,6.96,6.53,6.82,29019
2019-10-04,6.83,6.93,6.75,6.88,92111
2019-10-07,6.92,6.96,6.8,6.85,29283
2019-10-09,6.85,7.15,6.7,6.81,38932
2019-10-10,6.75,6.81,6.73,6.74,30003
2019-10-11,6.79,6.87,6.66,6.81,35847
2019-10-14,6.86,6.95,6.75,6.8,70411
2019-10-15,6.79,6.8,6.68,6.75,41083
2019-10-16,6.77,6.77,6.63,6.66,52862
2019-10-17,6.68,6.79,6.64,6.74,124591
2019-10-18,6.74,6.92,6.71,6.85,59734
2019-10-22,6.86,7.17,6.8,7.04,138562
2019-10-23,7.5,7.5,7.1,7.28,74686
2019-10-24,7.45,7.45,6.95,7.23,106005
2019-10-25,7.2,7.25,7.1,7.22,48937
2019-10-29,7.26,7.26,7.04,7.15,43638
2019-10-30,7.25,7.31,7.13,7.14,34842
2019-10-31,7.3,7.43,7.2,7.28,66863
2019-11-01,7.38,8.12,7.38,7.77,162759
2019-11-04,8.0,8.15,7.9,8.07,108505
2019-11-05,8.06,8.06,7.7,7.81,65759
2019-11-06,8.15,8.25,7.87,7.95,98451
2019-11-07,8.0,8.2,7.92,8.05,88064
2019-11-08,8.3,8.3,8.01,8.08,117468
2019-11-13,9.7,10.91,9.69,10.25,1173171
2019-11-14,10.78,10.81,9.4,9.59,394035
2019-11-15,9.9,9.9,9.15,9.31,131871
2019-11-18,9.05,9.78,9.05,9.3,111115
2019-11-19,9.3,9.65,8.92,9.38,111401
2019-11-20,9.3,9.75,9.22,9.42,86585
2019-11-21,9.11,9.6,9.11,9.33,39557
2019-11-22,9.35,9.44,9.16,9.23,62106
2019-11-25,9.55,9.95,8.85,8.88,340601
2019-11-26,9.05,9.05,8.4,8.49,127160
2019-11-27,8.45,8.57,8.21,8.3,69965
2019-11-28,8.55,8.55,8.1,8.2,79022
2019-11-29,8.2,8.4,7.96,8.12,124785
2019-12-02,8.48,8.48,8.02,8.05,39292
2019-12-03,8.19,8.24,7.71,7.76,129455
2019-12-04,7.5,8.0,7.5,7.92,68954
2019-12-05,8.19,8.19,7.84,7.9,215515
2019-12-06,8.0,8.64,7.84,7.94,293344
2019-12-09,8.1,8.1,7.5,7.7,199228
2019-12-10,7.75,7.89,7.7,7.75,30545
2019-12-11,7.81,7.9,7.36,7.57,121714
2019-12-12,7.5,7.75,7.48,7.61,76995
2019-12-13,7.72,8.03,7.7,7.97,79656
2019-12-16,8.34,8.34,7.72,7.83,212420
2019-12-17,7.88,7.92,7.73,7.77,63311
2019-12-18,7.99,8.07,7.76,7.82,113014
2019-12-19,7.83,7.98,7.75,7.78,100532
2019-12-20,7.85,7.88,7.59,7.64,67664
2019-12-23,7.6,7.64,7.42,7.47,55651
2019-12-24,7.48,7.63,7.48,7.58,55609
2019-12-26,7.7,8.0,7.51,7.93,131129
2019-12-27,7.93,8.2,7.81,8.06,219134
2019-12-30,8.0,8.44,8.0,8.3,85853
2019-12-31,8.39,8.61,8.39,8.48,95872
2020-01-01,8.8,9.61,8.45,9.47,521882
