Datetime,Open,High,Low,Close,Volume
2019-05-28,116.25,119.85,116.25,117.0,531
2019-05-29,116.55,118.95,116.5,118.4,3279
2019-05-30,119.95,119.95,116.05,117.15,2446
2019-06-03,112.3,116.8,112.3,116.0,800
2019-06-10,119.9,119.9,119.9,119.9,1
2019-06-11,119.8,119.8,117.5,117.5,270
2019-06-12,117.6,118.0,115.2,116.05,615
2019-06-13,124.0,124.0,115.75,117.6,363
2019-06-14,118.0,118.0,114.5,115.05,298
2019-06-17,114.95,114.95,112.0,112.25,489
2019-06-18,114.0,115.0,112.5,113.4,355
2019-06-19,112.0,115.0,112.0,114.3,128
2019-06-20,111.5,113.5,111.5,113.5,60
2019-06-21,116.35,116.35,114.1,115.15,128
2019-06-24,113.1,115.9,113.1,113.75,60
2019-06-25,112.15,115.0,112.15,113.75,49
2019-06-26,114.05,114.05,114.05,114.05,35
2019-06-27,115.0,115.0,115.0,115.0,24
2019-06-28,119.9,119.9,114.05,115.0,272
2019-07-01,114.25,115.0,114.05,114.4,359
2019-07-02,115.9,116.0,114.1,114.45,739
2019-07-03,116.75,116.8,115.0,116.2,229
2019-07-04,124.9,124.9,117.0,117.7,1332
2019-07-05,117.7,117.7,116.5,116.5,100
2019-07-08,114.25,115.65,113.0,113.4,4929
2019-07-09,112.65,116.1,110.3,111.9,1352
2019-07-10,113.5,113.5,108.5,111.95,2589
2019-07-11,112.0,114.5,111.05,114.5,905
2019-07-12,114.0,114.0,112.4,112.5,291
2019-07-15,113.5,113.5,106.05,108.0,986
2019-07-16,109.0,109.0,105.15,107.6,1498
2019-07-17,109.4,109.9,106.95,108.25,159
2019-07-18,106.5,108.0,105.75,106.8,63
2019-07-19,108.05,110.0,105.2,105.2,603
2019-07-22,109.9,109.9,98.9,99.0,1015
2019-07-23,100.0,107.0,99.0,102.95,5658
2019-07-24,102.2,103.55,102.2,103.0,1065
2019-07-25,105.0,105.0,101.0,101.0,1649
2019-07-26,102.8,102.8,97.25,100.75,1412
2019-07-29,101.35,101.35,95.15,97.0,687
2019-07-30,98.05,100.7,95.2,95.3,537
2019-07-31,97.0,108.95,93.0,100.7,4938
2019-08-01,99.4,99.4,97.0,97.55,205
2019-08-02,97.0,97.0,95.05,95.05,249
2019-08-05,93.0,93.35,91.0,92.6,1071
2019-08-06,93.0,97.75,93.0,96.65,425
2019-08-07,95.2,99.9,95.1,95.35,183
2019-08-08,96.25,97.0,94.0,94.0,215
2019-08-09,96.3,96.35,94.2,95.95,616
2019-08-13,96.75,98.7,93.0,93.25,135
2019-08-14,96.25,96.25,92.0,94.95,384
2019-08-16,92.0,92.0,87.55,89.75,6315
2019-08-19,89.85,89.85,89.1,89.1,514
2019-08-20,90.55,90.55,88.0,88.0,521
2019-08-21,86.3,92.45,86.25,87.25,2128
2019-08-22,87.25,88.0,85.0,85.0,272
2019-08-23,84.45,84.75,83.5,84.75,813
2019-08-26,84.0,93.1,84.0,93.1,263
2019-08-27,95.5,96.45,91.0,93.3,3697
2019-08-28,95.4,95.4,90.55,91.35,535
2019-08-29,90.9,90.9,88.4,89.4,79
2019-09-03,91.0,91.0,87.25,88.5,42
2019-09-04,88.0,90.15,88.0,90.15,27
2019-09-05,89.7,91.0,87.25,88.25,193
2019-09-06,89.5,91.2,89.5,91.2,110
2019-09-11,91.9,95.5,89.2,90.6,4536
2019-09-12,91.5,93.0,88.0,89.15,2895
2019-09-13,90.3,90.9,90.0,90.55,157
2019-09-16,90.0,93.3,89.35,92.4,2271
2019-09-17,90.0,91.5,88.1,90.6,295
2019-09-18,90.0,92.0,90.0,92.0,1952
2019-09-19,89.0,90.0,86.0,87.85,2321
2019-09-20,86.1,92.0,85.1,90.45,912
2019-09-23,92.0,98.45,92.0,97.65,1262
2019-09-24,98.85,101.0,97.15,97.15,838
2019-09-26,95.05,100.6,95.05,97.5,323
2019-09-27,95.1,97.8,95.1,97.0,655
2019-09-30,94.95,96.0,94.75,96.0,526
2019-10-01,94.6,96.0,94.2,94.2,128
2019-10-04,94.55,97.0,94.55,97.0,126
2019-10-07,94.0,94.0,94.0,94.0,6
2019-10-09,94.15,94.15,93.4,93.55,800
2019-10-10,93.45,93.45,93.15,93.15,738
2019-10-11,94.0,97.0,92.05,96.9,23
2019-10-14,94.0,99.05,92.3,96.5,167
2019-10-15,100.0,102.0,91.3,94.45,1792
2019-10-16,94.0,94.0,93.0,93.0,144
2019-10-17,92.55,96.2,92.0,92.05,227
2019-10-18,91.05,95.55,91.05,94.0,461
2019-10-22,95.0,97.0,94.35,94.7,331
2019-10-23,95.0,95.4,94.6,94.6,104
2019-10-24,96.0,100.0,96.0,96.45,323
2019-10-29,97.0,99.5,97.0,99.2,758
2019-10-30,101.0,101.0,97.0,98.45,1626
2019-10-31,102.0,106.0,101.0,104.0,2570
2019-11-01,101.25,103.3,101.25,102.2,753
2019-11-04,101.15,108.95,101.15,102.8,1930
2019-11-05,104.0,104.0,100.9,101.4,1075
2019-11-06,102.0,102.0,99.9,102.0,343
2019-11-07,101.0,102.7,101.0,102.0,287
2019-11-08,104.0,105.0,101.7,102.7,1334
2019-11-13,102.0,105.0,101.7,102.7,427
2019-11-14,103.0,103.0,99.65,99.95,290
2019-11-15,106.0,107.0,98.15,99.45,251
2019-11-18,103.0,105.0,99.0,102.05,1185
2019-11-19,107.0,107.0,100.05,100.15,3449
2019-11-20,100.05,100.7,99.25,100.5,631
2019-11-21,99.0,99.5,98.0,98.0,39
2019-11-22,98.0,98.8,97.5,98.8,207
2019-11-25,98.3,98.7,97.0,97.6,2447
2019-11-26,100.25,100.25,96.05,99.95,517
2019-11-27,100.25,108.0,97.1,98.7,3020
2019-11-28,96.8,99.2,96.8,99.2,314
2019-11-29,97.0,98.15,96.9,97.0,1808
2019-12-02,100.0,101.15,99.0,100.05,934
2019-12-03,100.0,100.0,100.0,100.0,1832
2019-12-04,100.0,100.0,100.0,100.0,400
2019-12-05,98.2,99.4,97.0,98.7,2041
2019-12-06,99.15,101.0,98.0,98.35,1173
2019-12-09,98.4,98.85,98.4,98.85,101
2019-12-10,99.0,99.6,96.85,97.5,331
2019-12-11,96.6,97.45,95.2,96.1,230
2019-12-12,97.0,100.1,93.95,98.9,2303
2019-12-13,97.05,99.0,97.05,98.75,611
2019-12-16,97.2,99.9,89.05,98.5,10711
2019-12-17,98.8,99.0,98.8,99.0,615
2019-12-18,99.05,100.0,98.0,99.9,1563
2019-12-19,100.0,100.0,98.9,98.9,607
2019-12-20,98.55,98.85,98.25,98.25,1109
2019-12-23,101.95,101.95,97.3,97.3,22
2019-12-24,94.2,97.5,94.2,96.6,2402
2019-12-26,93.2,97.5,93.2,97.5,200
2019-12-27,100.0,106.0,100.0,102.65,1179
2019-12-30,100.0,100.0,99.9,100.0,501
2019-12-31,98.15,101.6,98.15,100.1,1349
2020-01-01,103.0,103.0,99.3,99.35,229
2020-01-02,99.1,103.65,99.1,101.65,189
2020-01-03,102.5,102.5,100.5,100.55,54
2020-01-06,102.5,104.0,99.9,104.0,1601
2020-01-07,104.0,104.95,96.25,99.0,186
2020-01-09,99.0,103.4,98.7,99.15,918
2020-01-10,100.05,104.7,100.05,101.3,345
2020-01-13,101.1,106.0,101.1,105.1,3128
2020-01-14,105.0,110.45,105.0,106.05,9231
2020-01-15,105.6,107.15,104.5,106.4,790
2020-01-16,105.0,109.5,105.0,106.7,511
2020-01-17,104.6,106.05,104.55,105.95,1000
2020-01-21,103.2,103.3,103.15,103.25,448
2020-01-22,103.5,104.95,103.0,104.55,525
2020-01-23,104.0,105.3,103.0,103.25,205
2020-01-24,102.35,102.35,102.3,102.3,150
