Datetime,Open,High,Low,Close,Volume
2019-05-28,28.7,28.85,27.9,28.3,107276
2019-05-29,28.0,28.65,27.5,28.15,32898
2019-05-30,28.45,28.45,27.6,27.9,96070
2019-06-03,25.5,26.5,25.3,25.75,37938
2019-06-10,26.55,26.8,26.15,26.65,85170
2019-06-11,26.55,26.65,26.2,26.3,57296
2019-06-12,26.25,26.75,26.0,26.2,35498
2019-06-13,25.3,27.5,25.1,26.6,219487
2019-06-14,26.0,26.7,26.0,26.5,29080
2019-06-17,26.9,26.9,25.5,25.75,18389
2019-06-18,25.6,26.05,25.0,25.3,49019
2019-06-19,25.15,25.5,24.55,24.7,37751
2019-06-20,24.2,25.0,24.2,24.9,7334
2019-06-21,25.0,25.0,24.0,24.65,28389
2019-06-24,25.95,25.95,23.1,23.95,198385
2019-06-25,24.0,24.2,23.1,23.95,34290
2019-06-26,23.65,24.2,23.6,24.05,34727
2019-06-27,23.7,24.2,23.65,24.05,67435
2019-06-28,24.5,24.5,23.2,23.8,109350
2019-07-01,23.8,24.9,23.0,23.7,76391
2019-07-02,23.85,24.1,23.85,23.85,5531
2019-07-03,23.75,23.9,23.0,23.45,18448
2019-07-04,23.35,23.5,23.05,23.4,62368
2019-07-05,23.5,23.8,22.75,22.9,65831
2019-07-08,22.8,23.0,22.3,22.5,15689
2019-07-09,22.05,23.5,22.0,22.9,60296
2019-07-10,22.8,23.4,20.6,22.7,148780
2019-07-11,23.0,24.15,21.8,23.6,134234
2019-07-12,23.1,24.0,22.65,22.9,33465
2019-07-15,23.55,23.95,22.5,23.2,28674
2019-07-16,23.0,24.7,22.65,24.2,62126
2019-07-17,24.0,24.75,23.15,23.8,15129
2019-07-18,24.0,24.0,23.2,23.25,6425
2019-07-19,23.05,23.6,22.65,23.0,20044
2019-07-22,23.0,23.5,21.55,23.0,27307
2019-07-23,22.6,23.2,22.0,22.5,16898
2019-07-24,22.5,22.9,21.35,21.7,49485
2019-07-25,22.1,22.4,21.8,22.05,14478
2019-07-26,22.0,22.6,21.7,22.05,24966
2019-07-29,22.0,22.45,21.65,21.95,18188
2019-07-30,22.0,22.05,21.1,21.35,36598
2019-07-31,21.1,21.9,21.05,21.6,14178
2019-08-01,21.55,21.9,20.8,21.35,9852
2019-08-02,21.0,21.45,20.15,21.05,21199
2019-08-05,20.6,20.8,19.0,19.9,30167
2019-08-06,20.15,21.35,19.7,20.7,77885
2019-08-07,20.8,21.3,19.85,20.65,88251
2019-08-08,20.1,20.9,19.9,20.6,141432
2019-08-09,20.8,21.0,20.25,20.75,119291
2019-08-13,20.9,21.0,20.3,20.75,180679
2019-08-14,20.85,21.4,19.7,21.3,192039
2019-08-16,20.25,21.55,20.2,20.3,13197
2019-08-19,20.1,20.8,20.0,20.55,6084
2019-08-20,20.25,20.8,19.8,20.25,46648
2019-08-21,20.4,20.4,19.8,20.2,10575
2019-08-22,20.0,20.15,16.2,16.9,221924
2019-08-23,16.95,17.75,16.1,16.95,68111
2019-08-26,18.0,18.45,16.5,17.95,65341
2019-08-27,17.8,18.2,17.1,17.5,47054
2019-08-28,17.5,17.5,16.7,16.9,50771
2019-08-29,17.0,17.2,16.5,16.65,47292
2019-08-30,16.3,17.3,16.3,16.7,13675
2019-09-03,16.9,17.05,16.7,16.7,8131
2019-09-04,16.3,16.9,16.25,16.6,36812
2019-09-05,16.55,16.9,16.55,16.7,7140
2019-09-06,16.95,16.95,16.05,16.25,51066
2019-09-11,15.7,17.7,15.4,17.4,360988
2019-09-12,17.6,18.9,17.6,18.55,65599
2019-09-13,18.4,18.5,17.8,18.1,25126
2019-09-16,18.2,18.6,18.0,18.3,63755
2019-09-17,18.5,19.2,18.0,18.6,26323
2019-09-18,18.95,19.1,18.4,18.6,16626
2019-09-19,18.95,19.25,18.1,18.25,93765
2019-09-20,18.0,19.25,18.0,18.85,125131
2019-09-23,19.35,20.0,18.75,18.95,49547
2019-09-24,19.3,19.35,18.7,18.9,22100
2019-09-25,19.0,19.0,18.0,18.6,27071
2019-09-26,18.15,18.9,18.05,18.2,28309
2019-09-27,18.5,18.6,18.15,18.4,125678
2019-09-30,18.65,19.0,18.1,18.8,48831
2019-10-01,19.2,19.3,18.15,18.55,143681
2019-10-03,18.8,18.8,18.05,18.15,7644
2019-10-04,18.6,18.6,18.0,18.25,118180
2019-10-07,18.05,18.6,18.05,18.4,23990
2019-10-09,18.05,18.85,17.8,18.7,76936
2019-10-10,18.45,18.85,18.0,18.2,39858
2019-10-11,18.3,18.35,17.65,17.85,13869
2019-10-14,18.05,18.5,17.5,18.2,34468
2019-10-15,18.1,18.4,17.75,18.15,36649
2019-10-16,18.0,18.65,17.9,18.4,62312
2019-10-17,18.55,18.55,17.6,17.8,38650
2019-10-18,18.2,18.4,17.7,17.85,32916
2019-10-22,17.55,18.4,17.5,18.15,36050
2019-10-23,18.4,18.4,17.25,17.8,80130
2019-10-24,18.0,18.4,17.7,18.05,34450
2019-10-25,17.75,18.15,17.45,17.8,78131
2019-10-29,18.05,18.75,17.45,17.8,57396
2019-10-30,17.85,18.0,17.5,17.9,51574
2019-10-31,18.0,18.15,17.2,17.7,80970
2019-11-01,17.7,18.0,17.25,17.55,16121
2019-11-04,17.75,18.1,17.35,18.0,46893
2019-11-05,18.0,18.0,17.5,17.75,40093
2019-11-06,17.85,18.45,17.6,18.2,90267
2019-11-07,18.4,18.85,17.75,18.15,76833
2019-11-08,18.8,18.8,17.6,17.85,28085
2019-11-13,17.3,17.75,17.15,17.5,67248
2019-11-14,17.1,17.5,16.45,17.25,42017
2019-11-15,17.5,17.65,16.6,17.25,32698
2019-11-18,17.35,17.45,16.05,16.3,99137
2019-11-19,16.45,16.7,16.05,16.35,44911
2019-11-20,16.5,16.5,15.6,16.05,63405
2019-11-21,16.0,16.45,15.75,16.05,30704
2019-11-22,16.1,16.2,15.7,16.0,27607
2019-11-25,15.8,15.9,15.55,15.7,31990
2019-11-26,16.2,16.7,15.1,15.4,32643
2019-11-27,15.65,16.75,15.4,15.5,14870
2019-11-28,15.5,15.65,15.2,15.4,26701
2019-11-29,15.65,16.5,15.1,16.05,55914
2019-12-02,16.4,16.5,15.55,16.0,11956
2019-12-03,15.7,15.95,15.0,15.5,46414
2019-12-04,15.5,15.95,14.8,15.25,45369
2019-12-05,15.25,15.35,14.7,15.15,65579
2019-12-06,15.05,15.4,14.9,15.15,21089
2019-12-09,15.4,15.4,15.0,15.15,21761
2019-12-10,15.25,15.25,14.75,15.05,15962
2019-12-11,15.2,15.3,14.75,15.2,14459
2019-12-12,15.0,16.35,14.8,15.95,29318
2019-12-13,15.8,16.5,15.7,16.05,140765
2019-12-16,16.25,16.65,15.8,16.0,65422
