Datetime,Open,High,Low,Close,Volume
2019-05-28,6.99,7.37,6.37,7.13,53431
2019-05-29,7.3,7.4,6.3,6.43,22698
2019-05-30,6.95,6.95,5.81,6.09,12705
2019-06-03,6.29,6.29,5.6,5.65,11851
2019-06-10,6.05,6.05,5.55,5.75,1300
2019-06-11,5.5,5.99,5.47,5.49,2341
2019-06-12,5.7,5.78,5.5,5.63,6282
2019-06-13,5.65,5.71,5.25,5.49,458
2019-06-14,5.25,5.3,5.0,5.2,16027
2019-06-17,5.07,5.12,5.07,5.08,1534
2019-06-18,5.49,5.49,5.1,5.11,5569
2019-06-19,5.07,5.15,4.81,4.98,4297
2019-06-20,4.85,4.88,4.8,4.88,2096
2019-06-21,5.19,5.83,5.02,5.47,22637
2019-06-24,5.48,6.25,5.32,5.9,22659
2019-06-25,5.9,6.2,5.4,5.46,12782
2019-06-26,5.67,5.67,5.25,5.44,3035
2019-06-27,5.87,5.87,5.13,5.22,15905
2019-06-28,5.42,5.96,5.22,5.69,52538
2019-07-01,5.73,5.73,5.0,5.4,25863
2019-07-03,5.6,5.6,5.23,5.35,2520
2019-07-04,5.15,5.45,5.11,5.18,9820
2019-07-05,5.27,5.35,5.2,5.34,1040
2019-07-08,5.1,5.34,4.5,5.25,5279
2019-07-09,5.0,5.2,4.86,5.2,2275
2019-07-10,6.0,6.0,4.81,5.0,1879
2019-07-11,4.98,5.15,4.87,4.99,616
2019-07-12,5.02,5.02,5.02,5.02,400
2019-07-15,5.98,5.98,4.95,4.95,1230
2019-07-16,4.8,5.13,4.78,5.02,9120
2019-07-17,5.03,5.15,4.98,5.1,10318
2019-07-18,4.93,4.93,4.86,4.86,203
2019-07-19,4.81,4.89,4.7,4.8,635
2019-07-22,4.65,4.98,4.65,4.72,7626
2019-07-23,4.95,5.0,4.7,5.0,9378
2019-07-24,4.82,5.05,4.82,4.9,368
2019-07-25,5.0,5.0,4.69,4.69,110
2019-07-26,4.97,5.0,4.5,4.75,2100
2019-07-29,4.9,5.07,4.68,4.91,740
2019-07-30,4.73,4.96,4.6,4.8,2519
2019-07-31,4.55,4.62,4.23,4.36,12784
2019-08-01,4.8,4.8,4.47,4.56,165
2019-08-05,4.0,4.75,4.0,4.3,3402
2019-08-06,4.62,4.62,4.47,4.57,110
2019-08-07,4.49,4.79,4.3,4.36,434
2019-08-08,4.3,4.6,4.0,4.6,3902
2019-08-09,4.67,4.7,4.67,4.7,350
2019-08-13,4.22,4.62,4.0,4.21,1015
2019-08-14,4.5,4.65,4.14,4.47,755
2019-08-16,4.32,4.4,4.09,4.22,1384
2019-08-19,3.8,4.2,3.8,3.92,4561
2019-08-20,3.65,3.92,3.65,3.82,760
2019-08-21,4.0,4.58,3.87,4.19,54194
2019-08-22,4.02,4.09,3.72,3.72,7665
2019-08-23,3.72,3.95,3.6,3.93,7207
2019-08-26,3.75,3.97,3.75,3.97,221
2019-08-27,3.83,4.65,3.83,4.52,115686
2019-08-28,4.63,4.63,4.1,4.29,43839
2019-08-29,4.32,4.32,3.8,4.02,2589
2019-08-30,4.02,4.02,4.02,4.02,513
2019-09-03,4.02,4.02,3.9,3.92,402
2019-09-04,3.97,4.25,3.92,4.25,1220
2019-09-05,4.02,4.22,3.8,4.19,8258
2019-09-11,4.17,4.17,4.17,4.17,12
2019-09-12,4.03,4.25,4.0,4.14,2528
2019-09-13,4.14,4.25,4.14,4.25,65
2019-09-16,4.01,4.21,3.9,4.12,27759
2019-09-17,4.22,4.22,3.98,4.1,531
2019-09-18,4.2,4.2,3.85,4.0,200
2019-09-19,3.9,4.2,3.85,3.85,74
2019-09-20,3.82,4.02,3.81,4.02,1020
2019-09-23,3.8,4.22,3.8,4.0,13071
2019-09-24,3.83,3.83,3.75,3.78,3124
2019-09-25,3.71,3.71,3.66,3.66,4540
2019-09-26,3.86,4.3,3.71,4.01,1282
2019-09-27,4.18,4.18,3.73,3.84,4519
2019-09-30,3.77,4.0,3.65,4.0,480
2019-10-01,3.65,3.85,3.5,3.74,2124
2019-10-03,3.72,3.8,3.3,3.67,2529
2019-10-04,3.5,3.5,3.2,3.4,2509
2019-10-07,3.3,3.9,3.25,3.48,19986
2019-10-09,3.7,4.17,3.68,4.17,64764
2019-10-10,4.5,4.99,4.33,4.56,33967
2019-10-11,5.0,5.0,4.35,4.5,5718
2019-10-14,4.24,4.7,4.24,4.64,7589
2019-10-15,4.38,4.65,4.05,4.15,1840
2019-10-16,4.0,4.25,3.93,4.1,2843
2019-10-17,3.91,4.21,3.9,3.92,3923
2019-10-18,4.25,4.25,3.75,4.13,6826
2019-10-22,4.01,4.32,3.9,3.98,320
2019-10-23,3.96,4.1,3.96,4.1,1030
2019-10-24,4.2,4.2,3.85,3.9,602
2019-10-25,4.0,4.0,3.73,3.73,655
2019-10-29,4.1,4.1,3.83,3.99,16
2019-10-30,3.99,4.2,3.72,3.76,3713
2019-10-31,3.97,4.45,3.9,4.18,260
2019-11-01,4.35,4.35,3.75,3.93,5144
2019-11-04,4.0,4.71,4.0,4.71,93107
2019-11-05,4.98,5.2,4.31,4.36,52657
2019-11-06,4.46,4.46,4.1,4.23,3919
2019-11-07,4.25,4.25,4.05,4.05,4340
2019-11-08,4.17,4.25,4.0,4.06,1230
2019-11-13,4.56,5.29,4.56,5.12,44565
2019-11-14,5.3,5.3,4.84,5.1,6442
2019-11-15,4.15,5.35,4.15,4.92,15750
2019-11-18,5.12,5.35,4.65,4.9,6985
2019-11-19,5.09,5.14,4.68,4.92,6870
2019-11-20,4.66,5.5,4.55,4.61,2234
2019-11-21,4.83,4.83,4.4,4.79,586
2019-11-25,4.97,4.97,4.97,4.97,20
2019-11-26,4.73,5.15,4.73,5.15,30
2019-11-28,4.9,4.9,4.9,4.9,1000
2019-11-29,4.66,4.66,4.66,4.66,1100
2019-12-02,4.43,4.43,4.43,4.43,1508
2019-12-03,4.35,4.6,4.21,4.21,878
2019-12-04,4.0,4.28,4.0,4.25,2296
2019-12-05,4.04,4.25,4.04,4.2,1800
2019-12-06,4.0,4.0,3.99,3.99,3452
2019-12-09,4.18,4.18,3.8,3.87,9529
2019-12-10,3.95,3.95,3.69,3.84,1821
2019-12-11,3.99,3.99,3.67,3.71,1653
2019-12-12,3.65,3.84,3.53,3.84,3011
2019-12-13,3.85,3.85,3.65,3.85,17330
2019-12-16,3.94,3.94,3.66,3.9,5624
2019-12-17,4.04,4.04,3.71,3.81,430
2019-12-18,3.65,3.99,3.65,3.99,308
2019-12-20,4.13,4.13,3.8,3.96,4678
2019-12-23,3.87,3.87,3.87,3.87,500
2019-12-24,3.9,3.9,3.68,3.75,9400
2019-12-26,3.6,3.9,3.57,3.64,1577
2019-12-27,3.8,3.8,3.52,3.53,1445
2019-12-30,3.55,3.67,3.45,3.67,4433
2019-12-31,3.51,3.8,3.5,3.66,7205
2020-01-01,3.75,3.75,3.5,3.7,26791
2020-01-02,3.52,3.75,3.52,3.73,4157
2020-01-03,3.6,3.67,3.57,3.65,6507
2020-01-06,3.65,3.65,3.5,3.59,900
2020-01-07,3.73,3.73,3.73,3.73,20
2020-01-08,3.65,3.73,3.6,3.65,980
2020-01-09,3.73,3.73,3.56,3.57,1465
2020-01-10,3.65,3.65,3.48,3.6,444
2020-01-13,3.7,3.73,3.7,3.73,1502
2020-01-14,3.6,3.73,3.55,3.73,18751
2020-01-15,3.73,3.9,3.58,3.69,13803
2020-01-16,3.85,3.85,3.55,3.81,5937
2020-01-17,3.9,3.9,3.62,3.84,1518
2020-01-20,3.89,3.89,3.67,3.87,525
2020-01-22,3.85,3.87,3.68,3.86,6761
2020-01-23,3.85,3.85,3.7,3.79,2633
2020-01-24,3.85,3.85,3.72,3.85,6160
2020-01-27,3.69,3.69,3.66,3.66,1600
2020-01-28,3.79,3.79,3.52,3.78,2925
2020-01-29,3.6,3.6,3.6,3.6,1690
2020-01-30,3.68,3.78,3.6,3.78,5267
2020-01-31,3.83,3.89,3.6,3.87,1450
2020-02-01,3.82,3.88,3.68,3.69,2030
2020-02-03,3.8,3.8,3.51,3.75,330
2020-02-05,3.93,3.93,3.57,3.62,2486
2020-02-06,3.5,3.67,3.45,3.6,2410
2020-02-07,3.63,3.65,3.5,3.5,261773
2020-02-10,3.63,3.63,3.45,3.58,2320
2020-02-11,3.43,3.59,3.41,3.55,1712
2020-02-13,3.38,3.69,3.38,3.38,305
2020-02-14,3.25,3.38,3.22,3.22,7493
2020-02-17,3.1,3.27,3.06,3.2,4582
2020-02-18,3.05,3.25,3.04,3.22,4935
2020-02-19,3.06,3.18,3.06,3.08,3730
2020-02-20,2.93,3.17,2.93,3.14,151
2020-02-24,3.18,3.28,3.0,3.07,2250
2020-02-25,3.17,3.18,2.95,3.18,1132
2020-02-26,3.03,3.13,3.03,3.1,2012
2020-02-27,3.05,3.17,3.05,3.17,623
2020-02-28,3.05,3.08,3.02,3.02,3105
2020-03-02,2.93,2.98,2.9,2.98,995
2020-03-03,2.87,3.03,2.85,3.03,3365
2020-03-04,3.13,3.17,2.88,3.13,7135
2020-03-05,3.05,3.05,3.05,3.05,1
2020-03-06,3.0,3.18,3.0,3.18,1000
2020-03-11,3.03,3.03,3.03,3.03,1
2020-03-12,3.15,3.15,2.88,2.88,2448
2020-03-16,2.99,2.99,2.74,2.85,760
2020-03-18,2.71,2.71,2.71,2.71,8
2020-03-19,2.8,2.8,2.58,2.58,1495
2020-03-20,2.46,2.65,2.46,2.59,10384
2020-03-24,2.47,2.47,2.47,2.47,40
2020-03-26,2.45,2.45,2.45,2.45,5
2020-03-27,2.33,2.57,2.33,2.57,1055
2020-03-30,2.45,2.45,2.45,2.45,1510
2020-04-01,2.35,2.35,2.35,2.35,500
2020-04-03,2.24,2.45,2.24,2.35,2280
2020-04-07,2.38,2.39,2.24,2.35,775
2020-04-08,2.24,2.24,2.24,2.24,35
2020-04-09,2.15,2.45,2.03,2.45,3550
2020-04-13,2.69,2.69,2.35,2.64,894
2020-04-15,2.8,2.8,2.5,2.75,4709
2020-04-16,2.8,3.02,2.77,3.02,4269
2020-04-17,3.17,3.17,3.17,3.17,2291
2020-04-20,3.3,3.3,3.3,3.3,867
2020-04-21,3.3,3.46,3.3,3.46,1222
2020-04-22,3.6,3.63,3.6,3.63,4376
2020-04-23,3.81,3.81,3.81,3.81,7756
2020-04-24,4.0,4.0,3.62,3.63,6867
2020-04-27,3.81,3.81,3.51,3.81,3477
2020-04-28,4.0,4.0,3.66,3.67,2650
2020-04-29,3.65,3.79,3.5,3.78,4807
2020-05-04,3.6,3.6,3.6,3.6,100
2020-05-05,3.42,3.42,3.42,3.42,455
