Datetime,Open,High,Low,Close,Volume
2019-05-30,52.25,52.25,52.25,52.25,85
2019-06-03,54.0,54.0,54.0,54.0,100
2019-06-10,51.15,54.3,51.1,54.3,2311
2019-06-11,56.95,56.95,56.85,56.85,334
2019-06-12,59.3,59.3,59.3,59.3,1
2019-06-17,56.6,62.2,56.35,56.35,1210
2019-06-19,53.55,53.55,53.55,53.55,10
2019-06-24,50.9,50.9,50.9,50.9,100
2019-06-26,53.3,53.35,50.05,53.1,290
2019-06-27,50.75,50.75,50.75,50.75,50
2019-07-09,51.0,51.0,48.75,50.65,595
2019-07-10,48.5,48.5,48.5,48.5,100
2019-07-11,50.8,50.9,50.7,50.9,802
2019-07-15,49.2,50.2,49.2,50.2,407
2019-07-16,49.6,49.6,49.6,49.6,10
2019-07-17,51.05,52.0,51.0,51.05,1704
2019-07-18,53.6,53.6,53.6,53.6,106
2019-07-19,50.95,53.95,50.95,51.0,297
2019-07-22,51.0,51.0,48.6,50.3,1099
2019-07-23,50.0,50.0,48.6,48.9,470
2019-07-24,50.45,50.45,48.05,48.05,1241
2019-07-25,49.4,49.4,45.9,46.1,250
2019-07-30,46.05,48.35,44.05,45.0,882
2019-08-01,47.25,47.25,47.25,47.25,15
2019-08-02,44.9,44.9,44.9,44.9,80
2019-08-05,45.8,45.8,42.75,42.75,15
2019-08-06,44.85,44.85,42.8,43.2,216
2019-08-07,45.35,45.35,42.85,42.85,35
2019-08-08,44.95,44.95,44.95,44.95,100
2019-08-09,47.15,47.15,47.15,47.15,215
2019-08-13,48.6,49.5,48.0,49.45,236
2019-08-14,51.7,51.9,51.7,51.9,33
2019-08-16,54.35,54.4,54.35,54.35,400
2019-08-19,52.65,52.65,51.7,51.7,197
2019-08-21,53.5,54.25,49.15,49.15,103
2019-08-22,49.0,49.0,46.7,46.7,169
2019-08-23,44.6,45.15,44.6,45.15,2100
2019-08-27,45.2,45.2,45.2,45.2,1
2019-08-28,43.2,45.1,43.2,44.2,270
2019-08-29,45.0,45.0,43.7,43.7,678
2019-08-30,45.5,45.85,41.55,41.55,400
2019-09-05,43.6,43.6,43.6,43.6,200
2019-09-24,45.35,45.35,45.35,45.35,100
2019-09-26,47.0,47.0,44.2,44.2,21
2019-09-27,43.8,46.3,43.8,45.55,900
2019-09-30,46.5,47.8,46.5,47.8,120
2019-10-01,50.15,50.15,50.05,50.1,1304
2019-10-04,47.6,47.6,47.6,47.6,3
2019-10-14,45.25,45.25,45.25,45.25,270
2019-10-15,45.0,45.0,43.3,43.8,400
2019-10-17,43.8,45.95,41.65,45.95,925
2019-10-22,45.95,45.95,45.95,45.95,105
2019-10-23,43.7,43.7,43.7,43.7,19
2019-10-24,41.55,45.8,41.55,45.8,1199
2019-10-25,44.0,44.0,44.0,44.0,200
2019-10-30,43.1,43.1,43.1,43.1,200
2019-11-01,45.25,45.25,45.25,45.25,2
2019-11-04,45.2,45.2,45.2,45.2,2
2019-11-06,42.95,43.0,42.95,43.0,1199
2019-11-08,45.1,45.1,40.85,40.95,1009
2019-11-13,37.4,37.65,37.05,37.05,6264
2019-11-21,38.85,38.85,38.85,38.85,2
2019-11-22,37.75,37.75,37.75,37.75,490
2019-11-25,39.6,39.6,36.6,36.6,6
2019-11-26,34.85,35.05,34.85,35.05,60
2019-11-27,36.8,36.8,36.8,36.8,245
2019-11-28,36.85,37.5,35.05,37.5,79
2019-11-29,37.0,37.0,37.0,37.0,41
2019-12-03,35.15,37.0,35.15,37.0,396
2019-12-04,35.15,37.5,35.15,37.5,644
2019-12-05,35.65,38.0,35.65,38.0,760
2019-12-06,39.9,39.9,39.9,39.9,54
2019-12-09,41.85,41.85,38.5,38.5,501
2019-12-10,36.6,36.6,36.6,36.6,100
2019-12-11,34.9,36.55,34.9,36.55,179
2019-12-13,34.85,34.85,34.85,34.85,46
2019-12-16,34.85,36.5,33.5,33.55,129
2019-12-17,35.1,35.2,35.1,35.2,202
2019-12-18,36.85,36.9,36.85,36.9,75
2019-12-19,35.45,35.45,35.45,35.45,10
2019-12-20,34.05,34.05,33.7,33.9,25
2019-12-24,35.55,35.55,35.55,35.55,242
2019-12-27,34.0,34.0,34.0,34.0,500
2019-12-30,35.7,35.7,32.75,32.75,210
2019-12-31,34.35,34.35,34.35,34.35,800
2020-01-01,36.05,36.05,35.9,35.9,350
2020-01-02,37.55,37.55,37.55,37.55,200
2020-01-03,39.0,39.0,39.0,39.0,1
2020-01-06,40.85,40.85,37.1,37.1,350
2020-01-07,37.1,38.95,35.3,35.3,728
2020-01-09,36.95,37.05,36.95,37.05,700
2020-01-17,35.35,35.35,35.2,35.2,200
2020-01-20,33.5,33.5,33.5,33.5,50
2020-01-22,33.75,33.75,33.75,33.75,150
2020-01-24,35.4,35.4,35.4,35.4,601
2020-01-28,37.15,37.15,37.15,37.15,150
2020-01-29,35.7,39.0,35.7,39.0,1538
2020-01-31,37.1,37.1,37.05,37.05,301
2020-02-01,35.8,38.1,35.8,38.1,299
2020-02-03,38.1,39.7,38.1,39.7,260
2020-02-04,40.85,40.85,40.85,40.85,5
2020-02-05,38.85,38.85,38.85,38.85,1
2020-02-06,36.95,36.95,36.95,36.95,900
2020-02-07,35.15,35.15,35.15,35.15,17
2020-02-12,34.5,34.5,34.5,34.5,100
2020-02-13,34.6,34.6,34.6,34.6,150
2020-02-14,33.3,33.9,33.3,33.55,1600
2020-02-17,34.35,34.35,34.35,34.35,1
2020-02-18,33.0,33.0,32.65,32.65,2117
2020-02-19,32.65,32.65,31.55,31.65,333
2020-02-20,31.1,31.5,31.1,31.5,150
2020-02-24,32.0,32.0,32.0,32.0,24
2020-02-25,32.0,32.0,32.0,32.0,50
2020-02-26,33.0,33.0,31.05,31.85,182
2020-02-28,30.3,32.45,30.3,32.45,400
2020-03-03,30.85,30.85,30.85,30.85,100
2020-03-05,31.95,31.95,30.05,30.05,300
2020-03-09,28.55,31.55,28.55,31.55,830
2020-03-11,33.1,33.1,30.2,30.2,1070
2020-03-19,28.7,28.7,28.7,28.7,319
2020-03-20,27.3,28.1,27.3,28.1,197
2020-03-26,26.7,26.7,26.7,26.7,100
2020-03-27,25.45,25.55,25.4,25.5,5243
2020-03-31,26.75,26.75,26.75,26.75,400
2020-04-01,25.45,28.05,25.45,28.0,153
2020-04-03,29.4,29.4,29.4,29.4,10
2020-04-08,30.85,30.85,30.85,30.85,5
2020-04-15,32.35,32.35,32.35,32.35,1
2020-04-20,33.95,33.95,33.95,33.95,1000
2020-05-04,35.55,35.55,35.55,35.55,5
2020-06-22,34.0,34.05,34.0,34.05,1007
2020-06-24,32.35,32.4,32.35,32.35,478
2020-06-25,30.75,30.75,30.75,30.75,550
2020-06-29,29.25,29.25,29.25,29.25,62
2020-06-30,28.0,28.0,27.8,27.8,6
2020-07-01,26.5,26.5,26.5,26.5,1
2020-07-02,25.25,25.25,25.25,25.25,25
2020-07-03,24.1,24.1,24.1,24.1,857
2020-07-06,22.9,22.9,22.9,22.9,25
2020-07-07,24.0,24.0,24.0,24.0,556
2020-07-14,25.2,25.2,25.2,25.2,100
2020-07-16,26.45,26.45,26.45,26.45,2360
2020-07-22,25.2,25.2,25.2,25.2,400
2020-07-23,24.0,24.0,24.0,24.0,1
2020-07-27,25.2,25.2,25.2,25.2,75
2020-07-29,24.0,24.0,24.0,24.0,5
2020-07-30,22.8,22.8,22.8,22.8,45
2020-08-03,22.8,22.8,22.8,22.8,10
2020-08-07,23.9,23.9,23.9,23.9,252
2020-08-10,23.1,23.1,23.1,23.1,10
2020-08-13,24.2,24.25,24.2,24.25,2200
2020-08-17,25.45,25.45,25.45,25.45,100
2020-08-18,26.7,26.7,26.7,26.7,1252
2020-08-19,28.0,28.0,28.0,28.0,4010
2020-08-24,28.05,28.05,28.05,28.05,250
2020-08-27,26.65,29.45,26.65,29.35,15210
2020-08-28,30.8,30.8,30.8,30.8,15203
2020-08-31,29.55,29.55,29.5,29.5,1460
2020-09-04,30.95,30.95,30.95,30.95,1
2020-09-09,29.45,29.45,29.45,29.45,10
2020-09-16,28.0,28.0,28.0,28.0,112
2020-09-17,26.6,26.6,26.6,26.6,50
2020-09-18,25.35,25.45,25.35,25.35,107
2020-09-21,24.1,24.1,24.1,24.1,251
2020-09-24,25.3,25.3,22.9,24.9,1100
2020-09-29,26.1,26.1,23.7,23.7,559
2020-10-07,22.65,22.65,22.65,22.65,50
2020-10-08,22.55,22.55,22.55,22.55,500
2020-10-14,23.65,23.65,23.65,23.65,100
2020-10-16,23.65,24.75,23.65,24.75,125
2020-10-20,25.95,25.95,25.95,25.95,1
2020-10-21,25.05,27.2,25.05,26.0,1951
2020-10-23,24.7,24.7,24.7,24.7,75
2020-11-02,23.5,23.5,23.5,23.5,200
2020-11-03,24.65,24.65,24.65,24.65,50
2020-11-06,23.6,23.6,23.6,23.6,1560
2020-11-09,24.75,24.75,24.75,24.75,100
2020-11-11,25.95,25.95,25.95,25.95,350
2020-11-12,27.2,27.2,27.2,27.2,2450
2020-11-24,25.85,25.85,25.85,25.85,100
2020-12-01,24.6,24.6,24.6,24.6,300
2020-12-02,23.4,25.8,23.4,25.8,1600
2020-12-03,27.05,27.05,27.05,27.05,500
2020-12-07,25.7,25.7,25.7,25.7,200
2020-12-08,26.95,26.95,25.7,25.7,101
2020-12-09,25.0,25.0,25.0,25.0,10
2020-12-15,25.0,26.2,25.0,26.2,4253
2020-12-16,27.5,27.5,27.5,27.5,3077
2020-12-21,26.15,26.15,26.15,26.15,50
2020-12-24,25.0,25.0,25.0,25.0,15
2020-12-28,26.25,26.25,26.25,26.25,510
2020-12-29,25.05,25.05,25.05,25.05,17
2020-12-31,25.05,25.05,25.05,25.05,5
2021-01-06,24.1,24.1,24.1,24.1,300
2021-01-08,25.3,25.3,25.3,25.3,100
2021-01-11,26.55,26.55,26.55,26.55,10
2021-01-14,27.85,27.85,27.85,27.85,1250
2021-01-18,26.55,26.55,26.55,26.55,10
2021-01-19,25.3,25.3,25.3,25.3,10
2021-01-21,24.05,25.3,24.05,25.3,300
2021-01-25,26.55,26.55,26.55,26.55,1000
2021-01-27,27.85,27.85,25.3,25.3,1201
2021-01-29,26.55,26.55,26.55,26.55,106
2021-02-03,26.55,27.85,26.55,27.85,199
2021-02-05,27.85,27.85,27.85,27.85,1
2021-02-08,27.2,29.2,27.2,29.2,809
2021-02-09,28.0,28.0,28.0,28.0,100
2021-02-10,28.7,29.4,28.7,29.4,549
2021-02-12,27.95,27.95,27.95,27.95,550
2021-02-15,29.3,29.3,29.3,29.3,550
