Datetime,Open,High,Low,Close,Volume
2019-05-28,88.8,89.85,88.0,88.58,88180
2019-05-29,88.8,88.95,88.07,88.69,9640
2019-05-30,88.5,89.1,88.33,88.86,9460
2019-06-03,88.06,89.5,88.06,88.98,13610
2019-06-10,88.47,88.47,87.3,87.85,8560
2019-06-11,87.85,88.5,87.85,88.14,4050
2019-06-12,88.6,88.6,87.63,87.81,3170
2019-06-13,87.56,88.0,87.5,87.77,5440
2019-06-14,87.37,87.6,87.05,87.36,8520
2019-06-17,86.61,86.99,86.01,86.13,7320
2019-06-18,86.5,87.03,86.21,86.34,17860
2019-06-19,86.3,86.57,85.07,85.2,8400
2019-06-20,84.9,85.9,84.5,85.66,2370
2019-06-21,86.42,86.42,85.69,85.76,4350
2019-06-24,84.91,86.0,84.91,85.09,8660
2019-06-25,85.11,85.5,84.88,85.34,2650
2019-06-26,85.99,88.0,85.64,87.03,12120
2019-06-27,89.5,93.24,89.21,89.75,120300
2019-06-28,90.15,90.56,88.71,88.92,18960
2019-07-01,89.89,89.89,88.78,89.14,3300
2019-07-02,89.36,89.36,88.78,88.9,3330
2019-07-03,88.44,92.6,88.44,90.24,76760
2019-07-04,90.39,91.69,89.93,90.15,12700
2019-07-05,90.3,90.57,89.22,89.34,16770
2019-07-08,89.75,90.1,87.51,88.18,40680
2019-07-09,88.1,88.17,87.4,87.57,10500
2019-07-10,87.98,87.98,87.11,87.41,9830
2019-07-11,88.2,88.2,87.7,87.95,11190
2019-07-12,88.0,88.7,88.0,88.09,16840
2019-07-15,87.9,88.0,85.37,85.68,13750
2019-07-16,86.07,86.07,84.87,85.09,11170
2019-07-17,85.51,85.99,84.83,85.73,11540
2019-07-18,85.6,86.3,85.12,86.0,30130
2019-07-19,86.0,86.0,83.0,83.79,13340
2019-07-22,84.02,84.82,83.81,84.35,13580
2019-07-23,84.45,84.6,83.5,84.2,5950
2019-07-24,84.3,86.53,83.62,84.04,14410
2019-07-25,83.72,84.4,83.16,83.71,1970
2019-07-26,84.2,84.37,83.22,83.45,9510
2019-07-29,83.95,84.3,82.94,83.02,2760
2019-07-30,83.2,83.42,82.5,82.56,3950
2019-07-31,82.0,82.13,81.64,81.88,6980
2019-08-01,81.88,82.08,81.49,81.75,14840
2019-08-02,81.71,82.53,80.51,81.75,17560
2019-08-05,81.73,81.73,77.96,79.4,86180
2019-08-06,79.67,79.84,77.5,77.72,18050
2019-08-07,78.02,78.6,77.5,77.86,6890
2019-08-08,77.49,78.87,77.49,78.51,272140
2019-08-09,79.3,82.39,78.9,82.13,18910
2019-08-13,81.9,81.9,79.94,80.81,25440
2019-08-14,80.7,81.14,80.6,80.92,11850
2019-08-16,80.4,81.37,78.71,79.46,24310
2019-08-19,79.0,80.1,78.7,79.37,18300
2019-08-20,79.36,79.67,78.63,78.91,10860
2019-08-21,79.78,79.94,76.84,77.62,10960
2019-08-22,77.65,77.72,74.51,75.07,19660
2019-08-23,75.5,76.53,75.13,75.77,7700
2019-08-26,78.25,78.25,75.13,77.26,31290
2019-08-27,77.45,78.72,75.81,76.32,31830
2019-08-28,76.69,76.81,76.05,76.71,7420
2019-08-29,76.68,77.5,75.44,75.73,12480
2019-08-30,76.0,77.5,75.3,77.08,29520
2019-09-03,76.01,76.6,75.69,76.0,14450
2019-09-04,75.6,75.9,75.1,75.53,11470
2019-09-05,75.61,76.04,75.42,75.52,2660
2019-09-06,75.36,77.0,75.36,76.71,4520
2019-09-11,76.54,78.53,76.54,77.57,19030
2019-09-12,78.19,78.7,77.4,77.93,26680
2019-09-13,78.0,78.1,77.4,77.88,3280
2019-09-16,77.45,80.0,77.45,78.23,15290
2019-09-17,78.0,78.6,77.15,77.44,5190
2019-09-18,77.96,79.44,77.25,78.59,13620
2019-09-19,77.77,78.57,76.5,77.01,14160
2019-09-20,78.0,80.56,77.47,80.22,31390
2019-09-23,80.6,83.81,80.45,82.25,26050
2019-09-24,83.3,84.81,83.07,83.74,10450
2019-09-25,83.0,83.5,82.72,82.89,7320
2019-09-26,83.33,83.73,81.58,83.09,20280
2019-09-27,83.1,83.38,82.3,82.67,19920
2019-09-30,83.0,83.0,81.7,81.77,10560
2019-10-01,81.51,83.38,80.8,81.92,7570
2019-10-03,81.4,83.09,80.58,80.92,12550
2019-10-04,80.5,81.5,80.2,80.53,2920
2019-10-07,78.55,80.1,78.55,79.83,8480
2019-10-09,79.7,79.75,77.97,79.33,9860
2019-10-10,79.2,79.55,77.9,78.26,7160
2019-10-11,78.96,79.9,77.22,77.63,16300
2019-10-14,78.29,78.9,77.77,78.53,6470
2019-10-15,78.5,79.41,78.5,78.61,13180
2019-10-16,79.17,79.2,78.03,78.46,8200
2019-10-17,79.5,82.45,78.35,80.37,25890
2019-10-18,83.0,83.83,80.7,80.8,20820
2019-10-22,81.3,81.77,80.56,80.82,2800
2019-10-23,80.1,81.1,79.11,80.66,9770
2019-10-24,81.0,81.95,80.33,81.12,10200
2019-10-25,81.19,82.48,81.19,82.17,3310
2019-10-29,83.07,87.0,83.07,83.69,85430
2019-10-30,84.0,84.68,83.64,83.69,10560
2019-10-31,84.0,85.71,83.48,84.02,35530
2019-11-01,84.0,84.27,82.81,82.99,20340
2019-11-04,83.78,85.94,83.4,84.69,21510
2019-11-05,84.2,84.23,83.38,83.66,13160
2019-11-06,83.93,83.98,82.29,83.54,9280
2019-11-07,82.72,83.9,82.72,83.11,11090
2019-11-08,83.53,84.8,83.27,84.19,17800
2019-11-13,83.55,83.55,82.0,82.04,5750
2019-11-14,82.49,83.37,82.2,82.38,17430
2019-11-15,82.7,82.9,81.8,82.01,6990
2019-11-18,82.84,83.0,80.93,81.32,11800
2019-11-19,81.47,81.71,81.25,81.53,1730
2019-11-20,81.33,82.88,81.33,82.49,2450
2019-11-21,82.0,84.94,82.0,83.21,62310
2019-11-22,83.5,83.5,82.5,82.55,9720
2019-11-25,82.51,82.89,82.12,82.48,10130
2019-11-26,82.8,83.6,82.57,83.01,4610
2019-11-27,83.25,83.25,82.7,82.75,4030
2019-11-28,83.4,83.57,82.97,83.08,2520
2019-11-29,82.88,83.96,82.8,83.31,2540
2019-12-02,83.3,84.09,83.3,83.44,4630
2019-12-03,83.7,83.79,82.95,83.3,1340
2019-12-04,82.89,83.35,82.75,82.99,8170
2019-12-05,83.0,83.06,81.56,81.99,1840
2019-12-06,81.99,82.19,80.3,81.12,7040
2019-12-09,80.8,81.36,80.36,80.56,28380
2019-12-10,80.11,80.46,80.0,80.19,8000
2019-12-11,80.62,80.9,80.3,80.82,3090
2019-12-12,82.05,82.19,80.8,81.13,4490
2019-12-13,82.55,82.55,81.57,81.6,6810
2019-12-16,81.5,81.55,80.8,80.92,4460
2019-12-17,81.3,81.38,81.08,81.29,2340
2019-12-18,83.8,83.8,80.15,80.46,10550
2019-12-19,81.13,81.13,80.01,80.12,9340
2019-12-20,80.57,81.93,80.1,80.62,7060
2019-12-23,80.7,80.7,78.82,80.32,25160
2019-12-24,80.6,80.63,79.8,79.97,4500
2019-12-26,80.1,80.46,79.7,80.07,9460
2019-12-27,80.08,81.02,79.79,80.55,7080
2019-12-30,81.53,81.6,80.5,80.67,5960
2019-12-31,81.58,81.58,80.3,80.8,31890
2020-01-01,81.0,81.09,80.29,80.5,5860
2020-01-02,80.78,82.6,80.7,80.97,11410
2020-01-03,81.05,81.85,80.9,81.05,7270
2020-01-06,80.35,80.35,79.47,79.76,23650
2020-01-07,80.6,80.6,79.5,79.97,9640
2020-01-08,80.0,80.22,79.4,79.96,3180
2020-01-09,80.41,80.58,79.5,80.2,16300
2020-01-10,80.5,80.7,78.4,79.58,75720
2020-01-13,80.44,81.44,80.44,81.31,7310
2020-01-14,81.7,87.45,81.69,86.32,78450
2020-01-15,85.5,87.15,85.5,86.58,24810
2020-01-16,86.1,86.1,84.1,84.42,10500
2020-01-17,84.8,84.8,83.5,83.74,7510
2020-01-20,84.23,84.23,82.6,82.68,11470
2020-01-21,83.26,83.6,83.04,83.46,13020
2020-01-22,83.29,83.4,82.24,83.0,4270
2020-01-23,83.14,91.2,83.05,89.22,141570
2020-01-24,89.22,93.39,89.22,90.77,92270
2020-01-27,90.19,91.75,87.71,88.34,10870
2020-01-28,88.5,88.65,86.98,87.13,8870
2020-01-29,87.9,89.04,87.6,87.71,21780
2020-01-30,89.88,94.4,89.04,91.85,244020
2020-01-31,92.47,92.64,89.37,90.2,48320
2020-02-01,89.79,91.5,87.5,87.81,26470
2020-02-03,87.14,89.8,86.36,88.27,21260
2020-02-04,89.0,89.93,87.07,87.69,31560
2020-02-05,88.6,92.8,88.6,90.41,115170
2020-02-06,92.0,96.0,90.5,93.38,150430
2020-02-07,93.5,96.8,92.76,95.43,101340
2020-02-10,96.7,101.0,96.19,99.64,175730
2020-02-11,100.8,102.5,97.35,98.25,88500
2020-02-12,97.0,97.56,94.28,94.54,56100
2020-02-13,95.94,96.89,94.01,95.41,58960
2020-02-14,95.6,98.24,95.3,96.34,53960
2020-02-17,96.96,96.96,92.46,93.16,31840
2020-02-18,92.15,93.8,91.67,93.35,21020
2020-02-19,93.65,94.15,92.01,92.28,22900
2020-02-20,92.33,95.1,92.1,92.27,70350
2020-02-24,90.25,92.4,90.25,90.83,24290
2020-02-25,90.9,93.49,90.9,91.97,35340
2020-02-26,90.27,92.52,90.27,90.69,15400
2020-02-27,91.08,91.39,88.51,89.87,16720
2020-02-28,88.24,92.2,87.08,90.8,56890
2020-03-02,91.45,94.8,87.37,89.22,65560
2020-03-03,90.49,90.75,88.58,89.04,23700
2020-03-04,89.66,89.66,85.27,86.82,8750
2020-03-05,87.49,87.57,86.05,86.3,3040
2020-03-06,84.31,84.96,83.4,83.97,14690
2020-03-09,83.3,83.3,78.21,79.21,28630
2020-03-11,80.22,81.27,78.08,78.57,41900
2020-03-12,75.6,77.7,70.5,71.9,58310
2020-03-13,70.0,76.32,66.0,72.09,86560
2020-03-16,72.0,72.0,66.22,71.76,46500
2020-03-17,70.63,72.77,70.63,72.06,18570
2020-03-18,71.55,72.63,67.0,69.8,38550
2020-03-19,67.6,73.35,66.5,70.02,39330
2020-03-20,71.35,75.66,69.6,73.74,37580
2020-03-23,71.0,77.3,59.5,60.16,76560
2020-03-24,66.5,66.5,59.22,61.24,26430
2020-03-25,62.12,63.94,60.8,62.55,16420
2020-03-26,62.15,65.5,62.07,62.75,21030
2020-03-27,64.8,65.8,62.47,63.04,26160
2020-03-30,63.0,64.5,61.44,62.65,9110
2020-03-31,63.9,67.08,63.9,66.31,15270
