Datetime,Open,High,Low,Close,Volume
2022-05-17,1.08,1.08,1.05,1.08,378344
2022-05-18,1.13,1.13,1.1,1.13,373951
2022-05-19,1.19,1.19,1.17,1.19,305350
2022-05-20,1.25,1.25,1.25,1.25,474638
2022-05-23,1.31,1.31,1.19,1.19,902237
2022-05-24,1.13,1.13,1.13,1.13,17274
2022-05-25,1.07,1.07,1.07,1.07,5090
2022-05-26,1.02,1.02,1.02,1.02,10828
2022-05-27,0.97,0.97,0.97,0.97,15694
2022-05-30,0.92,0.92,0.92,0.92,29121
2022-05-31,0.88,0.88,0.88,0.88,6512
2022-06-01,0.83,0.83,0.83,0.83,13373
2022-06-02,0.79,0.79,0.79,0.79,26652
2022-06-03,0.75,0.83,0.75,0.83,1980356
2022-06-06,0.87,0.87,0.82,0.87,674343
2022-06-07,0.9,0.91,0.83,0.91,1028617
2022-06-08,0.95,0.96,0.94,0.96,552573
2022-06-09,1.0,1.01,0.97,1.01,426586
2022-06-10,1.06,1.06,0.96,0.96,229104
2022-06-13,0.91,0.91,0.91,0.91,19339
2022-06-14,0.87,0.87,0.87,0.87,46008
2022-06-15,0.82,0.91,0.82,0.82,1000237
2022-06-16,0.82,0.84,0.78,0.78,264949
2022-06-17,0.74,0.82,0.74,0.75,436362
2022-06-20,0.71,0.72,0.71,0.71,34728
2022-06-21,0.68,0.74,0.68,0.68,306032
2022-06-22,0.68,0.72,0.65,0.72,231300
2022-06-23,0.72,0.75,0.71,0.75,167113
2022-06-24,0.75,0.78,0.71,0.71,146488
2022-06-27,0.71,0.73,0.68,0.69,257745
2022-06-28,0.71,0.71,0.66,0.66,72148
2022-06-29,0.67,0.67,0.63,0.63,84022
2022-06-30,0.6,0.6,0.6,0.6,14141
2022-07-01,0.57,0.63,0.57,0.63,230641
2022-07-04,0.64,0.66,0.63,0.64,178246
2022-07-05,0.66,0.67,0.61,0.61,129371
2022-07-06,0.61,0.63,0.58,0.58,306800
2022-07-07,0.6,0.61,0.55,0.61,390485
2022-07-08,0.62,0.64,0.61,0.64,215328
2022-07-11,0.65,0.67,0.65,0.66,78481
2022-07-12,0.68,0.69,0.63,0.68,262841
2022-07-13,0.68,0.71,0.65,0.65,121366
2022-07-14,0.66,0.68,0.62,0.62,164645
2022-07-15,0.63,0.65,0.59,0.65,146030
2022-07-18,0.65,0.68,0.63,0.67,96153
2022-07-19,0.69,0.69,0.65,0.66,102109
2022-07-20,0.69,0.69,0.62,0.65,294147
2022-07-21,0.66,0.67,0.62,0.64,138030
2022-07-22,0.65,0.65,0.62,0.62,87930
2022-07-25,0.6,0.64,0.6,0.6,112735
2022-07-26,0.61,0.62,0.57,0.59,132003
2022-07-27,0.59,0.61,0.56,0.58,142847
2022-07-28,0.6,0.6,0.55,0.56,187314
2022-07-29,0.54,0.58,0.54,0.57,139126
2022-08-01,0.58,0.6,0.54,0.58,65086
2022-08-02,0.61,0.61,0.59,0.6,95106
2022-08-03,0.61,0.62,0.57,0.59,127906
2022-08-04,0.58,0.61,0.56,0.56,175658
2022-08-05,0.6,0.6,0.53,0.55,132352
2022-08-08,0.6,0.6,0.56,0.57,103896
2022-08-10,0.59,0.59,0.54,0.54,162231
2022-08-11,0.55,0.55,0.5,0.53,152275
2022-08-12,0.54,0.55,0.5,0.53,276709
2022-08-16,0.49,0.57,0.49,0.53,168170
2022-08-17,0.54,0.54,0.51,0.53,171641
2022-08-18,0.58,0.58,0.51,0.56,324112
2022-08-19,0.61,0.61,0.52,0.58,388746
2022-08-22,0.61,0.61,0.55,0.59,246629
2022-08-23,0.64,0.64,0.53,0.59,300571
2022-08-24,0.6,0.63,0.56,0.61,131366
2022-08-25,0.65,0.67,0.61,0.62,633958
2022-08-26,0.64,0.68,0.6,0.68,476104
2022-08-29,0.68,0.74,0.63,0.74,569918
2022-08-30,0.78,0.78,0.77,0.78,523758
2022-09-01,0.8,0.82,0.8,0.82,298724
2022-09-02,0.83,0.86,0.83,0.86,289466
2022-09-05,0.9,0.9,0.9,0.9,237011
2022-09-06,0.95,0.95,0.95,0.95,96142
2022-09-07,0.99,0.99,0.9,0.91,1778541
2022-09-08,0.93,0.95,0.9,0.93,540056
2022-09-09,0.98,0.98,0.98,0.98,476294
2022-09-12,1.03,1.03,1.02,1.03,327044
2022-09-13,1.08,1.08,1.07,1.08,332553
2022-09-14,1.13,1.13,1.13,1.13,169189
2022-09-15,1.19,1.19,1.08,1.19,782157
2022-09-16,1.24,1.25,1.19,1.25,504140
2022-09-19,1.26,1.29,1.19,1.19,318516
2022-09-20,1.13,1.13,1.13,1.13,154335
2022-09-21,1.07,1.11,1.07,1.07,930879
2022-09-22,1.02,1.02,1.02,1.02,114097
2022-09-23,0.97,0.97,0.97,0.97,24860
2022-09-26,0.92,0.92,0.92,0.92,10348
2022-09-27,0.88,0.88,0.88,0.88,139703
2022-09-28,0.85,0.92,0.85,0.92,186235
2022-09-29,0.96,0.96,0.96,0.96,263511
2022-09-30,1.0,1.01,0.91,1.01,257146
2022-10-03,1.03,1.06,0.99,1.04,276371
2022-10-04,1.07,1.09,1.04,1.08,384643
2022-10-06,1.09,1.13,1.09,1.11,379564
2022-10-07,1.16,1.16,1.12,1.16,308266
2022-10-10,1.21,1.21,1.1,1.1,421033
2022-10-11,1.08,1.08,1.05,1.05,61904
2022-10-12,1.0,1.0,1.0,1.0,27612
2022-10-13,0.95,0.95,0.95,0.95,51932
2022-10-14,0.9,0.99,0.9,0.99,259533
2022-10-17,1.01,1.04,0.94,0.94,210021
2022-10-18,0.9,0.99,0.9,0.98,482882
2022-10-19,1.02,1.02,0.93,0.96,106163
2022-10-20,0.97,0.97,0.92,0.96,80955
2022-10-21,0.96,0.96,0.91,0.94,114402
2022-10-24,0.94,0.99,0.9,0.96,94480
2022-10-25,0.99,1.0,0.91,0.92,126042
2022-10-27,0.96,0.96,0.92,0.92,121137
2022-10-28,0.96,0.96,0.89,0.9,90093
2022-10-31,0.94,0.94,0.89,0.93,71162
2022-11-01,0.95,0.95,0.89,0.93,86175
2022-11-02,0.89,0.95,0.89,0.91,93858
2022-11-03,0.9,0.94,0.86,0.91,119045
