Datetime,Open,High,Low,Close,Volume
2023-02-10,19.05,20.0,19.05,20.0,1773
2023-02-13,21.0,21.0,21.0,21.0,3764
2023-02-14,22.05,22.05,22.05,22.05,882
2023-02-15,23.15,23.15,23.15,23.15,550
2023-02-16,24.3,24.3,24.3,24.3,125
2023-02-17,25.51,25.51,25.51,25.51,200
2023-02-20,26.78,26.78,26.78,26.78,452
2023-02-21,28.11,28.11,28.11,28.11,1350
2023-02-22,29.51,29.51,29.51,29.51,2119
2023-02-23,30.98,30.98,30.98,30.98,2781
2023-02-24,34.07,34.07,34.07,34.07,9337
2023-02-27,37.47,37.47,37.47,37.47,6147
2023-02-28,41.21,41.21,41.21,41.21,17451
2023-03-01,43.27,43.27,43.27,43.27,18938
2023-03-02,45.43,45.43,45.43,45.43,10432
2023-03-03,47.7,47.7,47.7,47.7,7848
2023-03-06,50.08,50.08,50.08,50.08,16003
2023-03-08,52.58,52.58,52.58,52.58,18813
2023-03-09,55.2,55.2,55.2,55.2,4318
2023-03-10,57.96,57.96,57.96,57.96,7574
2023-03-13,60.85,60.85,60.85,60.85,7596
2023-03-14,63.89,63.89,63.89,63.89,5103
2023-03-15,67.08,67.08,67.08,67.08,12817
2023-03-16,70.43,70.43,64.05,70.43,405392
2023-03-17,73.95,73.95,66.91,66.91,142359
2023-03-20,63.57,63.57,63.57,63.57,3613
2023-03-21,60.4,60.4,60.4,60.4,700
2023-03-22,57.38,57.38,57.38,57.38,1069
2023-03-23,54.52,54.52,54.52,54.52,3990
2023-03-24,51.8,57.24,51.8,57.19,222414
2023-03-27,57.95,57.95,54.34,54.34,17126
2023-03-28,51.63,56.75,51.63,51.86,40900
2023-03-29,50.1,54.45,50.1,54.45,15232
2023-03-31,57.17,57.17,51.73,57.17,18692
2023-04-03,60.02,60.02,57.02,59.41,33996
2023-04-05,60.0,62.0,56.6,57.6,29011
2023-04-06,54.89,58.75,54.89,55.73,8093
2023-04-10,58.51,58.51,58.51,58.51,10694
2023-04-11,61.43,61.43,61.43,61.43,26716
2023-04-12,64.5,64.5,58.36,58.82,34707
