Datetime,Open,High,Low,Close,Volume
2020-01-01,2.66,3.37,2.66,3.37,459000
2020-01-02,3.41,3.43,3.41,3.42,102000
2020-01-03,3.84,4.08,3.53,3.53,459000
2020-01-06,3.22,3.45,3.22,3.42,408000
2020-01-07,3.69,3.76,3.69,3.76,561000
2020-01-08,4.04,4.04,3.93,3.94,510000
2020-01-09,3.71,4.16,3.71,4.04,510000
2020-01-10,4.15,4.15,3.65,3.68,663000
2020-01-13,3.75,3.75,3.41,3.41,153000
2020-01-14,3.13,3.68,3.13,3.56,3672000
2020-01-15,3.22,3.22,3.22,3.22,663000
2020-01-16,3.36,3.55,3.06,3.55,1989000
2020-01-17,3.88,3.88,3.88,3.88,51000
2020-01-20,4.16,4.27,4.08,4.27,459000
2020-01-21,4.4,4.48,4.39,4.48,357000
2020-01-22,4.69,4.7,4.63,4.69,408000
2020-01-23,4.47,4.63,4.47,4.63,204000
2020-01-24,4.63,4.63,4.55,4.55,102000
2020-01-29,4.71,4.77,4.71,4.76,714000
2020-01-30,4.94,5.0,4.94,5.0,1275000
2020-01-31,5.18,5.24,5.1,5.24,714000
2020-02-01,5.49,5.49,5.47,5.48,357000
2020-02-03,5.65,5.67,5.65,5.65,357000
2020-02-04,5.38,5.38,5.36,5.36,306000
2020-02-05,5.11,5.63,5.11,5.62,1071000
2020-02-06,5.55,5.88,5.55,5.83,816000
2020-02-07,5.88,6.12,5.88,6.12,204000
2020-02-10,5.88,6.35,5.88,6.35,102000
2020-02-11,6.39,6.63,6.36,6.61,357000
2020-02-12,6.28,6.75,6.28,6.75,102000
2020-02-13,6.41,6.41,6.41,6.41,51000
2020-02-14,6.09,6.33,6.09,6.09,255000
2020-02-20,5.96,6.2,5.96,6.2,408000
2020-02-24,6.12,6.2,6.12,6.2,102000
2020-02-25,6.2,6.24,6.2,6.24,306000
2020-02-26,6.24,6.24,6.24,6.24,51000
2020-02-27,6.24,6.24,6.24,6.24,51000
2020-02-28,5.94,5.94,5.94,5.94,51000
2020-03-05,6.2,6.2,6.2,6.2,51000
2020-03-06,6.22,6.22,6.22,6.22,51000
2020-03-11,6.35,6.35,6.35,6.35,51000
2020-03-18,6.51,6.51,6.2,6.2,255000
2020-03-24,6.35,6.35,6.35,6.35,204000
2020-03-25,6.63,6.63,6.63,6.63,102000
2020-03-27,6.9,6.94,6.9,6.9,255000
2020-04-23,7.18,7.18,7.18,7.18,51000
2020-04-29,7.33,7.47,7.33,7.37,204000
2020-05-05,7.64,7.65,7.64,7.65,76500
2020-05-20,7.61,7.61,7.61,7.61,25500
2020-05-22,7.63,7.63,7.63,7.63,25500
2020-05-29,7.92,7.92,7.92,7.92,25500
2020-06-03,8.12,8.12,8.12,8.12,25500
2020-06-09,7.37,7.37,7.37,7.37,25500
2020-06-10,8.06,8.06,8.06,8.06,25500
2020-06-11,8.29,8.29,8.29,8.29,25500
2020-06-12,8.43,8.43,8.43,8.43,25500
2020-06-15,8.16,8.47,8.16,8.47,433500
2020-06-17,8.39,8.39,8.29,8.29,612000
2020-06-18,8.31,8.31,7.49,8.29,714000
