Datetime,Open,High,Low,Close,Volume
2019-05-28,148.75,154.9,148.1,152.6,6392279
2019-05-29,153.95,156.0,150.7,151.7,3546219
2019-05-30,150.35,156.45,149.8,154.55,5104696
2019-06-03,147.95,149.9,144.6,149.35,3188614
2019-06-10,142.0,145.0,132.5,135.9,6081287
2019-06-11,135.0,143.55,133.55,139.3,5783013
2019-06-12,136.4,137.55,133.8,134.65,4471405
2019-06-13,130.8,130.8,116.1,117.2,14285099
2019-06-14,118.2,121.0,113.0,115.35,11684367
2019-06-17,117.75,118.3,113.8,116.2,5010034
2019-06-18,116.0,117.45,107.1,109.3,8598028
2019-06-19,109.0,111.4,101.4,103.25,9485233
2019-06-20,102.35,115.9,98.75,114.55,12294891
2019-06-21,114.65,116.0,108.3,109.55,7458204
2019-06-24,111.25,113.95,108.9,111.95,5281511
2019-06-25,111.0,112.5,109.1,110.05,3596268
2019-06-26,109.25,114.65,108.55,113.1,4805320
2019-06-27,113.0,114.55,111.8,112.4,3587565
2019-06-28,112.3,113.0,107.6,108.7,4515045
2019-07-01,109.6,110.6,107.65,109.15,3090525
2019-07-02,108.5,108.5,99.9,100.85,9194093
2019-07-03,100.85,103.85,98.9,99.8,7153589
2019-07-04,100.6,102.15,95.25,96.25,6957778
2019-07-05,95.0,96.8,87.45,88.2,13787113
2019-07-08,87.0,94.55,85.7,93.1,13166376
2019-07-09,94.9,97.0,90.35,91.35,9713239
2019-07-10,92.0,93.95,91.6,93.0,4796501
2019-07-11,94.0,95.0,90.75,92.4,5931122
2019-07-12,93.2,94.9,91.7,94.15,4338539
2019-07-15,95.45,99.3,92.65,93.2,8062444
2019-07-16,94.35,106.3,92.3,103.9,14806539
2019-07-17,108.25,108.4,97.55,98.45,15557782
2019-07-18,88.65,90.3,83.7,85.8,15911076
2019-07-19,86.0,86.9,82.55,83.25,9258507
2019-07-22,83.0,92.4,81.75,91.15,13900759
2019-07-23,89.4,93.85,87.15,90.7,10737444
2019-07-24,91.45,93.65,88.2,89.15,7062318
2019-07-25,88.5,90.4,85.8,87.65,7466042
2019-07-26,88.75,96.9,87.1,96.1,12249908
2019-07-29,96.0,98.65,91.3,94.75,8859707
2019-07-30,94.85,96.35,84.4,86.1,8641090
2019-07-31,86.5,92.3,84.85,91.3,9792965
2019-08-01,89.2,91.15,85.75,88.4,6805505
2019-08-02,87.9,90.9,86.85,88.3,7699564
2019-08-05,88.0,88.0,79.5,81.1,9997373
2019-08-06,80.95,86.6,79.8,85.4,11140461
2019-08-07,86.65,92.0,86.2,86.85,11714516
2019-08-08,89.55,89.85,84.95,89.15,8532865
2019-08-09,91.0,92.4,81.2,82.1,14064831
2019-08-13,84.0,84.35,72.85,73.6,13322112
2019-08-14,74.4,77.85,70.5,76.55,11539093
2019-08-16,79.5,81.55,76.9,79.45,10650870
2019-08-19,79.45,80.7,76.05,76.7,8322912
2019-08-20,76.8,77.0,70.55,71.25,10451647
2019-08-21,71.2,71.55,64.5,65.4,15593004
2019-08-22,65.6,67.7,53.15,56.3,20382103
2019-08-23,56.3,61.25,54.7,59.25,24065313
2019-08-26,63.0,64.65,57.3,63.0,18525203
2019-08-27,62.85,65.3,62.55,64.3,13772317
2019-08-28,65.0,65.2,58.05,59.5,14885233
2019-08-29,59.0,59.3,55.0,57.35,19171338
2019-08-30,58.0,60.9,55.55,59.5,19148813
2019-09-03,59.5,62.25,57.65,58.8,12946414
2019-09-04,58.0,60.2,57.3,59.45,9047280
2019-09-05,59.6,62.35,58.9,61.9,11292970
2019-09-06,61.4,62.15,59.55,60.4,9421393
2019-09-11,66.15,72.55,65.4,71.6,21005663
2019-09-12,72.1,72.1,67.2,67.95,14015398
2019-09-13,67.15,69.5,64.1,68.6,20290505
2019-09-16,67.9,68.25,66.0,67.1,8356106
2019-09-17,67.05,68.85,64.7,65.15,8940809
2019-09-18,65.3,66.9,61.7,64.1,11090894
2019-09-19,64.6,64.9,53.05,54.15,19972521
2019-09-20,54.0,59.9,52.65,55.45,25991547
2019-09-23,57.8,57.8,52.95,55.35,21377058
2019-09-24,55.3,57.65,53.5,56.05,12342336
2019-09-25,56.0,56.8,53.1,53.7,11970640
2019-09-26,54.5,54.5,50.6,51.05,15543537
2019-09-27,50.0,52.85,48.4,48.8,24055147
2019-09-30,48.4,49.1,40.95,41.45,33140827
2019-10-01,42.0,44.3,29.05,32.0,56077384
2019-10-03,35.2,43.5,35.2,42.55,42820344
2019-10-04,44.9,45.9,40.95,42.15,38733779
2019-10-07,45.95,46.7,42.85,45.6,28234463
2019-10-09,45.55,45.55,41.05,43.2,21895741
2019-10-10,41.85,42.7,40.2,40.95,15385763
2019-10-11,41.0,41.95,37.0,39.6,26109063
2019-10-14,39.95,41.5,38.8,40.0,16663156
2019-10-15,41.0,41.4,39.0,40.6,13385857
2019-10-16,40.65,42.05,39.8,41.15,12569298
2019-10-17,41.9,48.2,40.65,47.4,33771850
2019-10-18,46.8,52.3,46.0,51.4,29034804
2019-10-22,53.0,56.5,50.25,51.8,27616213
2019-10-23,51.9,53.5,49.2,51.25,23663171
2019-10-24,51.2,52.6,47.45,48.3,18530727
2019-10-25,48.55,54.35,45.75,52.15,28695430
2019-10-29,54.45,59.9,53.15,58.2,24429565
2019-10-30,59.0,59.6,55.9,56.8,19222793
2019-10-31,56.2,76.65,54.9,70.45,62620476
2019-11-01,71.0,71.85,65.0,66.6,39676191
