Datetime,Open,High,Low,Close,Volume
2019-05-28,902.0,905.0,898.65,899.15,455
2019-05-29,899.0,909.0,895.0,907.0,387
2019-06-03,898.0,900.0,890.15,893.45,178
2019-06-10,876.0,896.0,876.0,885.3,348
2019-06-11,882.4,894.0,882.4,894.0,119
2019-06-12,884.4,898.9,884.4,897.65,37
2019-06-13,895.0,905.0,886.75,897.2,248
2019-06-14,886.75,894.0,881.3,883.0,157
2019-06-17,881.3,890.9,875.05,886.9,22
2019-06-18,876.0,892.0,875.65,883.5,98
2019-06-19,878.0,889.95,877.0,877.0,64
2019-06-20,877.0,879.0,873.2,875.7,28
2019-06-21,870.25,894.9,870.25,886.85,80
2019-06-24,890.0,890.0,862.0,874.15,391
2019-06-25,926.0,935.0,855.05,863.6,357
2019-06-26,865.0,885.0,865.0,873.0,133
2019-06-27,884.9,884.9,866.0,875.7,90
2019-06-28,871.2,881.6,861.0,864.6,269
2019-07-01,900.0,900.0,855.8,864.4,723
2019-07-02,858.0,865.5,856.4,856.4,338
2019-07-03,857.5,861.1,857.5,860.65,206
2019-07-04,862.05,884.0,862.05,870.0,128
2019-07-05,863.0,881.0,860.0,861.35,264
2019-07-08,860.0,865.0,855.0,856.4,181
2019-07-09,863.45,864.8,858.0,858.95,68
2019-07-10,858.0,864.9,855.0,855.55,119
2019-07-11,856.7,856.7,845.6,846.25,271
2019-07-12,857.0,857.0,830.0,848.4,214
2019-07-15,843.0,850.0,832.0,840.3,145
2019-07-16,840.0,847.35,838.05,838.05,139
2019-07-17,838.0,838.0,823.0,824.0,242
2019-07-18,829.0,829.0,820.0,821.9,162
2019-07-19,814.25,819.05,800.0,809.6,1045
2019-07-22,800.0,819.0,790.0,817.85,458
2019-07-23,819.05,824.8,819.0,824.8,82
2019-07-24,827.0,845.0,818.0,830.35,171
2019-07-25,830.0,831.0,830.0,830.1,94
2019-07-26,797.0,834.9,797.0,829.0,164
2019-07-29,825.0,832.4,785.0,799.15,1520
2019-07-30,811.8,811.8,772.0,788.0,215
2019-07-31,787.0,787.0,770.0,780.0,192
2019-08-01,775.0,808.0,751.0,765.9,963
2019-08-02,757.0,788.95,746.5,747.05,101
2019-08-05,746.0,764.0,745.0,761.65,319
2019-08-06,764.0,770.95,759.0,766.95,732
2019-08-07,774.35,774.35,760.0,765.25,394
2019-08-08,760.0,760.0,741.0,759.65,257
2019-08-09,780.0,780.0,762.5,768.0,11062
2019-08-13,780.35,791.0,763.15,772.95,57
2019-08-14,775.0,776.0,761.0,771.0,222
2019-08-16,756.1,770.9,756.1,770.9,410
2019-08-19,749.0,762.8,746.0,750.2,343
2019-08-20,748.0,748.0,740.55,740.55,159
2019-08-21,740.55,740.55,734.0,734.25,189
2019-08-22,730.0,730.0,710.0,711.9,151
2019-08-23,700.0,740.5,699.3,727.85,137
2019-08-26,836.0,836.0,730.05,742.4,748
2019-08-27,745.45,749.85,733.0,733.0,89
2019-08-28,744.8,744.8,744.8,744.8,5
2019-08-29,759.0,760.0,735.05,759.65,579
2019-08-30,765.0,795.0,765.0,795.0,375
2019-09-03,814.0,870.2,800.65,840.5,141
2019-09-04,842.15,848.45,810.0,825.0,276
2019-09-05,828.6,847.0,820.0,843.5,593
2019-09-06,841.8,841.8,830.0,834.0,63
2019-09-11,835.0,855.5,831.8,849.15,79
2019-09-12,850.3,852.0,838.1,849.05,69
2019-09-13,846.6,846.6,828.2,833.0,92
2019-09-16,828.0,842.5,825.8,842.2,81
2019-09-17,847.0,852.7,847.0,850.4,75
2019-09-18,848.15,854.4,848.0,854.4,5
2019-09-19,856.25,856.25,847.0,847.0,65
2019-09-20,847.15,861.05,847.15,852.3,104
2019-09-23,852.0,899.0,850.0,860.95,339
2019-09-24,855.0,860.0,852.0,859.65,179
2019-09-25,860.5,860.5,850.0,853.4,327
2019-09-26,844.0,844.05,844.0,844.0,60
2019-09-27,850.6,855.0,831.65,831.65,132
2019-09-30,831.65,831.65,808.35,816.25,181
2019-10-01,811.0,816.25,800.5,800.75,145
2019-10-03,816.25,847.5,806.0,820.0,158
2019-10-04,822.0,860.0,814.0,850.3,496
2019-10-07,864.0,864.0,851.0,858.65,128
2019-10-09,858.95,864.7,852.1,859.95,774
2019-10-10,831.0,848.0,815.0,842.45,460
2019-10-11,834.0,850.0,827.05,840.0,160
2019-10-14,859.85,859.85,805.45,825.7,2794
2019-10-15,792.3,829.0,792.3,829.0,684
2019-10-16,824.0,827.2,811.1,827.2,10
2019-10-17,820.0,820.0,820.0,820.0,51
2019-10-18,853.9,860.0,831.75,855.35,1084
2019-10-22,829.0,869.15,825.0,836.3,521
2019-10-23,818.05,844.9,818.05,839.85,16
2019-10-24,825.0,980.9,825.0,949.8,3997
2019-10-25,950.0,976.0,925.0,936.2,1950
2019-10-29,907.0,946.0,906.0,940.55,279
2019-10-30,935.15,946.5,930.0,940.55,108
2019-10-31,938.25,943.95,938.2,942.05,131
2019-11-01,943.95,947.7,931.0,933.65,156
2019-11-04,930.0,941.75,930.0,935.05,264
2019-11-05,940.0,959.3,940.0,947.35,401
2019-11-06,950.0,978.0,942.25,951.0,1278
2019-11-07,940.15,958.05,940.15,953.85,61
2019-11-08,955.5,970.0,955.5,964.4,271
2019-11-13,998.0,998.0,970.0,987.45,331
2019-11-14,992.0,1120.0,989.0,1092.85,6395
2019-11-15,1100.0,1120.0,1054.0,1062.0,2336
2019-11-18,1042.0,1187.0,1042.0,1069.35,2670
2019-11-19,1150.0,1247.0,1140.0,1195.5,11981
2019-11-20,1184.0,1184.0,980.0,984.3,14491
2019-11-21,1008.95,1009.0,955.05,961.65,2793
2019-11-22,970.35,980.0,940.0,943.9,2286
2019-11-25,955.0,961.55,939.0,950.0,864
2019-11-26,954.6,960.85,950.0,950.5,758
2019-11-27,950.1,958.0,950.1,955.1,951
2019-11-28,968.0,968.0,946.9,952.2,894
2019-11-29,945.1,959.05,945.1,951.3,175
2019-12-02,950.85,959.0,950.0,957.35,165
2019-12-03,954.0,959.95,945.0,951.15,1308
2019-12-04,947.7,948.0,947.1,947.55,572
2019-12-05,945.15,950.3,945.1,950.3,187
2019-12-06,959.95,959.95,944.5,948.55,296
2019-12-09,952.95,952.95,944.1,951.9,890
2019-12-10,947.1,949.65,942.5,947.5,45
2019-12-11,941.45,950.0,940.2,944.4,325
2019-12-12,942.5,951.0,942.5,951.0,146
2019-12-13,955.9,962.0,950.95,957.2,25
2019-12-16,958.0,969.0,945.3,946.5,107
2019-12-17,950.0,988.4,950.0,985.4,365
2019-12-18,990.0,990.0,956.0,962.95,290
2019-12-19,962.95,987.25,962.95,983.25,388
2019-12-20,980.0,986.9,978.0,986.55,47
2019-12-23,990.0,1045.15,990.0,1043.75,988
2019-12-24,1039.8,1057.25,1033.25,1051.0,558
2019-12-26,1051.0,1070.0,1045.8,1065.1,368
2019-12-27,1070.0,1085.75,1048.25,1069.45,482
2019-12-30,1082.0,1115.05,1082.0,1105.8,529
2019-12-31,1089.5,1090.0,1030.0,1071.95,1104
2020-01-01,1073.0,1073.0,1033.0,1052.5,221
2020-01-02,1051.5,1068.65,1045.0,1060.45,160
2020-01-03,1064.0,1066.1,1058.0,1061.65,135
2020-01-06,1048.55,1051.25,1001.0,1050.7,596
2020-01-07,1048.2,1054.95,1048.2,1054.6,98
2020-01-08,1041.8,1053.0,1041.0,1048.4,95
2020-01-09,1046.0,1056.9,1040.0,1046.55,52
2020-01-10,1054.1,1058.8,1046.0,1046.7,364
2020-01-13,1053.2,1057.65,1034.2,1046.2,9310
2020-01-14,1035.0,1040.0,1022.1,1022.9,2568
2020-01-15,1032.95,1048.6,1024.55,1036.7,1859
2020-01-16,1039.8,1039.8,1033.0,1033.0,6
2020-01-17,1074.95,1074.95,1033.0,1037.4,372
2020-01-20,1037.0,1046.95,1036.9,1044.95,87
2020-01-21,1033.5,1129.0,1033.5,1076.1,2480
2020-01-22,1090.0,1091.3,1045.05,1051.85,619
2020-01-23,1055.4,1061.75,1055.0,1055.85,48
2020-01-24,1059.85,1071.8,1044.0,1048.1,177
2020-01-27,1045.0,1080.0,1044.0,1050.35,395
2020-01-28,1060.0,1071.0,1055.65,1069.0,480
2020-01-29,1089.5,1115.9,1082.0,1088.3,724
2020-01-30,1077.3,1082.55,1052.0,1053.15,219
2020-01-31,1050.0,1056.85,1046.7,1050.05,116
2020-02-01,1052.55,1052.6,1021.0,1030.55,192
2020-02-03,1026.1,1034.7,1025.0,1030.0,60
2020-02-04,1044.6,1051.9,1035.85,1040.2,1573
2020-02-05,1041.8,1041.8,1028.1,1029.0,34
2020-02-06,1033.45,1045.0,1023.35,1040.6,125
2020-02-07,1037.55,1053.85,1031.65,1049.6,94
2020-02-10,1040.5,1048.9,1029.5,1037.05,628
2020-02-11,1044.15,1045.75,1020.05,1024.55,495
2020-02-12,1036.85,1036.85,995.55,998.55,318
2020-02-13,1000.0,1025.0,995.0,1016.35,160
2020-02-14,1032.0,1037.5,1012.55,1034.1,182
2020-02-17,1032.3,1032.3,1006.4,1019.8,1266
2020-02-18,1030.0,1060.95,1025.2,1052.5,336
2020-02-19,1052.55,1091.9,1048.0,1060.2,1070
2020-02-20,1071.55,1080.85,1068.55,1075.15,173
2020-02-24,1051.25,1075.0,1050.0,1065.35,435
2020-02-25,1064.3,1075.0,1059.75,1065.9,159
2020-02-26,1074.95,1082.0,1067.0,1078.4,1911
2020-02-27,1082.0,1087.35,1067.45,1083.75,576
2020-02-28,1080.0,1080.0,1032.7,1041.2,402
2020-03-02,1015.05,1050.0,1000.1,1034.7,333
2020-03-03,1040.0,1059.3,1030.2,1040.15,24
2020-03-04,1035.0,1040.0,1023.35,1031.0,187
2020-03-05,1037.35,1040.7,1030.0,1033.0,525
2020-03-06,1000.0,1054.9,1000.0,1042.8,57
2020-03-09,1044.0,1045.0,1001.65,1023.0,382
2020-03-11,1005.5,1017.25,1000.2,1011.0,188
2020-03-12,990.95,993.05,951.2,983.9,1644
2020-03-13,949.0,990.0,935.0,979.7,792
2020-03-16,950.0,965.25,946.0,947.2,524
2020-03-17,980.0,980.0,905.0,909.4,818
2020-03-18,922.05,923.65,853.85,890.0,982
2020-03-19,822.0,940.0,822.0,873.15,1376
2020-03-20,887.65,898.4,869.0,890.4,367
2020-03-23,860.0,883.7,811.0,869.55,1056
2020-03-24,904.0,904.0,840.0,874.0,2294
2020-03-25,887.0,887.0,870.0,880.0,215
2020-03-26,918.9,918.9,870.0,876.5,146
2020-03-27,905.05,905.05,875.0,889.15,67
2020-03-30,870.0,915.0,840.05,857.0,451
2020-03-31,865.0,867.0,845.5,848.7,169
2020-04-01,843.35,870.8,843.35,865.9,17
2020-04-03,870.0,870.0,864.0,864.0,31
2020-04-07,868.85,878.7,864.0,876.2,177
2020-04-08,882.0,890.1,870.05,882.65,48
2020-04-09,890.05,892.95,884.0,892.95,102
2020-04-13,904.5,920.0,869.35,911.65,914
2020-04-15,905.0,910.05,870.7,902.4,1011
2020-04-16,900.0,914.8,900.0,906.15,168
2020-04-17,913.35,915.55,902.1,906.85,112
2020-04-20,903.5,911.95,900.1,906.0,46
2020-04-21,906.0,910.0,900.05,906.75,198
2020-04-23,897.0,917.0,897.0,908.6,226
2020-04-24,900.1,902.2,900.1,902.2,20
2020-04-27,900.1,904.45,900.0,902.15,191
2020-04-28,911.8,911.8,905.5,906.1,9
2020-04-29,909.2,909.25,902.0,904.65,40
2020-04-30,914.9,914.9,902.45,910.8,1074
2020-05-04,907.25,907.25,890.0,899.15,662
2020-05-05,899.25,914.0,892.0,898.7,575
2020-05-06,894.05,902.0,894.05,900.0,7775
2020-05-07,900.0,902.65,900.0,900.0,13
2020-05-08,900.0,909.0,900.0,901.55,1519
2020-05-11,910.8,914.1,909.45,909.45,262
2020-05-12,900.0,909.05,899.0,901.25,180
2020-05-13,910.0,913.0,903.35,905.2,208
