Datetime,Open,High,Low,Close,Volume
2019-07-23,2.4,2.4,2.4,2.4,100
2019-08-08,2.4,2.4,2.4,2.4,92
2019-08-09,2.4,2.4,2.4,2.4,10
2019-08-22,2.4,2.4,2.4,2.4,8
2019-08-23,2.4,2.5,2.4,2.5,2605
2019-09-27,2.6,2.6,2.6,2.6,700
2019-10-04,2.6,2.6,2.6,2.6,100
2019-10-14,2.73,2.73,2.73,2.73,1
2019-10-22,2.73,2.73,2.73,2.73,1
2019-10-24,2.8,2.8,2.8,2.8,100
2019-11-08,2.66,2.66,2.66,2.66,800
2019-11-14,2.65,2.65,2.65,2.65,1
2019-11-18,2.52,2.52,2.52,2.52,200
2019-11-19,2.52,2.52,2.41,2.41,300
2019-11-20,2.3,2.3,2.3,2.3,150
2019-11-22,2.25,2.25,2.25,2.25,299
2019-11-25,2.25,2.25,2.25,2.25,100
2019-11-26,2.14,2.14,2.14,2.14,100
2019-11-28,2.04,2.04,2.04,2.04,300
2019-11-29,2.04,2.05,2.04,2.05,539
2019-12-03,2.05,2.05,1.95,2.04,260
2019-12-04,2.05,2.05,2.05,2.05,200
2019-12-06,2.05,2.05,2.05,2.05,100
2019-12-09,2.0,2.0,2.0,2.0,200
2019-12-17,2.0,2.0,2.0,2.0,3
2019-12-23,2.0,2.0,2.0,2.0,550
2019-12-26,1.9,1.9,1.9,1.9,100
2019-12-30,1.9,1.9,1.9,1.9,710
2020-01-01,1.81,1.81,1.81,1.81,300
2020-01-02,1.81,1.81,1.81,1.81,700
2020-01-03,1.81,1.9,1.72,1.83,1200
2020-01-06,1.9,1.91,1.9,1.91,2228
2020-01-07,1.92,1.92,1.83,1.83,155
2020-01-08,1.74,1.74,1.74,1.74,35
2020-01-09,1.67,1.67,1.67,1.67,50
2020-01-13,1.67,1.67,1.67,1.67,1683
2020-01-16,1.59,1.7,1.59,1.7,552
2020-01-17,1.62,1.62,1.62,1.62,200
2020-01-20,1.55,1.55,1.55,1.55,100
2020-01-21,1.48,1.62,1.48,1.62,2364
2020-01-24,1.54,1.54,1.54,1.54,100
2020-01-27,1.55,1.55,1.55,1.55,20
2020-01-29,1.55,1.55,1.55,1.55,21
2020-02-05,1.55,1.55,1.55,1.55,92
2020-02-07,1.55,1.62,1.55,1.62,201
2020-02-11,1.58,1.58,1.58,1.58,270
2020-02-27,1.58,1.58,1.58,1.58,36
2020-03-20,1.6,1.6,1.6,1.6,411
2020-04-13,1.52,1.52,1.52,1.52,249
2020-04-23,1.59,1.59,1.59,1.59,444
2020-04-27,1.6,1.6,1.6,1.6,300
2020-04-30,1.52,1.52,1.52,1.52,600
2020-05-04,1.52,1.52,1.52,1.52,500
2020-05-05,1.45,1.59,1.45,1.59,500
2020-05-13,1.59,1.59,1.59,1.59,102
2020-05-27,1.59,1.59,1.59,1.59,32
2020-06-04,1.52,1.52,1.52,1.52,200
2020-06-19,1.52,1.52,1.52,1.52,190
2020-06-22,1.5,1.5,1.5,1.5,200
2020-06-24,1.5,1.5,1.5,1.5,200
2020-06-25,1.57,1.57,1.57,1.57,200
2020-06-26,1.63,1.64,1.61,1.63,1122
2020-06-29,1.71,1.71,1.55,1.55,4600
2020-06-30,1.62,1.62,1.62,1.62,1
2020-07-01,1.7,1.7,1.66,1.66,369
2020-07-03,1.74,1.74,1.74,1.74,1139
2020-07-06,1.82,1.82,1.82,1.82,1236
2020-07-07,1.91,1.91,1.91,1.91,749
2020-07-08,1.91,2.0,1.91,2.0,718
2020-07-09,2.0,2.0,2.0,2.0,11
2020-07-10,2.0,2.0,2.0,2.0,79
2020-07-14,1.9,1.9,1.9,1.9,1
2020-07-15,1.81,1.81,1.81,1.81,240
2020-07-16,1.81,1.81,1.81,1.81,100
2020-07-17,1.72,1.72,1.72,1.72,100
2020-07-28,1.64,1.64,1.64,1.64,100
2020-07-29,1.56,1.56,1.56,1.56,100
2020-08-06,1.49,1.63,1.49,1.63,242
2020-08-07,1.6,1.71,1.6,1.71,1068
2020-08-10,1.65,1.79,1.64,1.67,1228
2020-08-11,1.75,1.75,1.61,1.61,501
2020-08-12,1.55,1.55,1.53,1.53,300
2020-08-14,1.47,1.47,1.47,1.47,223
2020-08-17,1.47,1.47,1.41,1.41,550
2020-08-19,1.48,1.48,1.48,1.48,3
2020-08-20,1.48,1.55,1.48,1.55,1131
2020-08-26,1.62,1.62,1.62,1.62,464
2020-08-27,1.7,1.7,1.7,1.7,775
2020-08-28,1.7,1.7,1.66,1.66,713
2020-08-31,1.58,1.58,1.58,1.58,100
2020-09-02,1.58,1.58,1.52,1.52,50
2020-09-04,1.58,1.58,1.58,1.58,2000
2020-09-07,1.6,1.6,1.58,1.59,300
2020-09-08,1.52,1.52,1.52,1.52,1368
2020-09-09,1.45,1.52,1.45,1.45,382
2020-09-10,1.45,1.45,1.45,1.45,200
2020-09-11,1.38,1.52,1.38,1.52,1149
2020-09-14,1.52,1.52,1.45,1.45,200
2020-09-15,1.52,1.52,1.42,1.42,100
2020-09-29,1.4,1.4,1.4,1.4,25
2020-10-05,1.35,1.35,1.35,1.35,100
2020-10-09,1.35,1.35,1.35,1.35,100
2020-10-14,1.35,1.35,1.32,1.32,533
2020-10-20,1.26,1.35,1.26,1.35,200
2020-10-21,1.3,1.3,1.3,1.3,267
2020-11-09,1.3,1.3,1.3,1.3,100
2020-11-12,1.3,1.3,1.3,1.3,1000
2020-11-18,1.24,1.3,1.24,1.3,200
2020-11-19,1.3,1.3,1.3,1.3,1700
2020-12-02,1.3,1.3,1.3,1.3,50
2020-12-03,1.3,1.3,1.3,1.3,72
2020-12-04,1.3,1.3,1.25,1.25,632
2020-12-07,1.31,1.31,1.31,1.31,640
2020-12-08,1.31,1.35,1.31,1.33,541
2020-12-09,1.33,1.37,1.27,1.37,1853
2020-12-10,1.37,1.4,1.37,1.38,976
2020-12-11,1.39,1.44,1.39,1.44,1922
2020-12-14,1.48,1.5,1.48,1.5,736
2020-12-15,1.55,1.57,1.55,1.57,586
2020-12-16,1.63,1.63,1.63,1.63,268
2020-12-17,1.64,1.71,1.64,1.71,948
2020-12-18,1.71,1.71,1.71,1.71,2143
2020-12-21,1.72,1.72,1.71,1.71,3148
2020-12-22,1.71,1.71,1.71,1.71,30
2020-12-24,1.71,1.71,1.71,1.71,1000
2020-12-28,1.71,1.71,1.71,1.71,130
2020-12-29,1.71,1.71,1.71,1.71,402
2020-12-30,1.72,1.72,1.71,1.71,63
2020-12-31,1.71,1.71,1.71,1.71,1230
2021-01-01,1.71,1.71,1.71,1.71,58
2021-01-04,1.75,1.75,1.71,1.75,260
2021-01-05,1.8,1.83,1.75,1.83,190
2021-01-06,1.91,1.91,1.91,1.91,400
2021-01-07,2.0,2.0,2.0,2.0,491
2021-01-08,2.05,2.1,2.0,2.1,200
2021-01-11,2.15,2.16,2.1,2.1,2450
2021-01-12,2.1,2.1,2.1,2.1,204
2021-01-13,2.2,2.2,2.2,2.2,200
2021-01-14,2.31,2.31,2.31,2.31,1300
2021-01-15,2.42,2.42,2.42,2.42,680
2021-01-18,2.5,2.54,2.5,2.54,186
2021-01-20,2.66,2.66,2.66,2.66,645
2021-01-21,2.79,2.79,2.67,2.79,2447
2021-01-22,2.92,2.92,2.8,2.92,4553
2021-01-25,3.06,3.06,3.06,3.06,473
2021-01-27,3.15,3.21,3.06,3.21,3781
2021-01-28,3.3,3.3,3.21,3.22,11201
2021-01-29,3.35,3.38,3.35,3.35,6671
2021-02-01,3.4,3.4,3.36,3.36,600
2021-02-02,3.46,3.47,3.46,3.47,935
2021-02-03,3.57,3.64,3.47,3.64,2136
2021-02-04,3.75,3.82,3.75,3.82,205
2021-02-05,4.01,4.01,4.01,4.01,950
2021-02-08,4.21,4.21,4.1,4.21,5441
2021-02-09,4.3,4.31,4.3,4.31,1010
2021-02-10,4.43,4.43,4.43,4.43,430
2021-02-11,4.43,4.51,4.43,4.51,1352
2021-02-12,4.6,4.6,4.42,4.42,5136
2021-02-15,4.34,4.34,4.34,4.34,6762
2021-02-16,4.26,4.26,4.26,4.26,70
2021-02-17,4.18,4.18,4.18,4.18,266
2021-02-18,4.1,4.1,4.1,4.1,61
2021-02-19,4.02,4.02,4.02,4.02,159
2021-02-22,3.95,3.95,3.94,3.95,183
2021-02-23,3.88,3.88,3.88,3.88,211
2021-02-24,3.81,3.81,3.81,3.81,223
2021-02-25,3.74,3.74,3.74,3.74,863
2021-02-26,3.67,3.74,3.67,3.74,513
2021-03-01,3.74,3.74,3.67,3.67,46
2021-03-02,3.6,3.6,3.6,3.6,544
2021-03-03,3.53,3.53,3.53,3.53,36
2021-03-04,3.53,3.53,3.53,3.53,147
2021-03-08,3.5,3.5,3.46,3.5,658
2021-03-09,3.43,3.49,3.43,3.49,94
2021-03-10,3.49,3.49,3.48,3.48,57
2021-03-12,3.48,3.48,3.42,3.42,370
2021-03-15,3.42,3.42,3.42,3.42,1
2021-03-16,3.41,3.42,3.36,3.36,210
2021-03-18,3.3,3.3,3.3,3.3,915
2021-03-19,3.3,3.3,3.3,3.3,58
2021-03-22,3.3,3.3,3.3,3.3,11
2021-03-23,3.3,3.3,3.3,3.3,100
2021-03-24,3.3,3.3,3.24,3.24,3411
2021-03-25,3.18,3.18,3.18,3.18,1
2021-03-30,3.12,3.18,3.12,3.18,401
2021-03-31,3.18,3.18,3.12,3.12,38
2021-04-01,3.12,3.12,3.06,3.06,122
2021-04-05,3.06,3.06,3.05,3.05,243
2021-04-07,3.0,3.05,3.0,3.05,2256
2021-04-08,3.0,3.2,3.0,3.1,1655
2021-04-09,3.1,3.1,3.0,3.1,75
2021-04-12,3.1,3.1,3.1,3.1,45
2021-04-16,3.09,3.09,3.09,3.09,301
2021-04-19,3.09,3.09,3.09,3.09,300
2021-04-20,3.09,3.1,3.0,3.0,768
2021-04-22,2.91,2.91,2.91,2.91,923
2021-04-23,2.91,2.91,2.91,2.91,432
2021-04-26,2.95,2.95,2.91,2.91,231
2021-04-28,2.9,2.9,2.87,2.9,1235
2021-04-29,2.9,2.98,2.9,2.98,450
2021-04-30,2.9,3.0,2.9,3.0,566
2021-05-03,3.0,3.0,3.0,3.0,52
2021-05-04,3.0,3.0,3.0,3.0,28
2021-05-05,3.09,3.09,3.09,3.09,1059
2021-05-07,3.09,3.18,2.94,2.94,1530
2021-05-10,2.94,2.94,2.94,2.94,2229
2021-05-11,2.9,2.9,2.9,2.9,398
2021-05-12,2.76,2.76,2.76,2.76,102
2021-05-14,2.63,2.89,2.63,2.85,848
2021-05-17,2.93,2.94,2.93,2.93,670
2021-05-18,2.79,2.88,2.79,2.87,63
2021-05-19,2.87,2.93,2.73,2.93,262
2021-05-20,2.93,2.93,2.79,2.79,360
2021-05-21,2.67,2.92,2.67,2.75,2971
