Datetime,Open,High,Low,Close,Volume
2024-11-04,430.05,479.25,419.85,474.55,3790557
2024-11-05,473.05,496.0,470.75,493.55,1225758
2024-11-06,498.3,513.0,481.75,488.05,596844
2024-11-07,482.3,483.95,470.95,476.2,232107
2024-11-08,474.25,512.4,460.15,492.0,547397
2024-11-11,486.15,503.4,483.5,493.4,391807
2024-11-12,493.8,500.75,455.4,458.85,220998
2024-11-13,456.3,481.25,451.9,469.6,355245
2024-11-14,467.65,483.3,467.65,474.6,202111
2024-11-18,472.55,478.4,462.45,467.85,109343
2024-11-19,469.15,503.3,469.15,480.55,661131
2024-11-21,479.1,496.9,475.95,487.85,324174
2024-11-22,504.05,506.0,477.2,497.05,418922
2024-11-25,499.4,533.0,499.0,528.5,428811
2024-11-26,534.5,552.7,518.95,525.95,485000
2024-11-27,526.05,528.55,493.0,495.0,387505
2024-11-28,498.7,514.35,498.7,509.65,122053
2024-11-29,510.35,517.75,502.0,503.65,155863
2024-12-02,501.15,504.25,488.55,494.25,66397
2024-12-03,495.35,501.6,489.8,493.6,124231
2024-12-04,495.05,499.95,489.1,497.0,109565
2024-12-05,498.35,536.7,498.0,526.2,525034
2024-12-06,530.0,559.0,526.6,545.15,503641
2024-12-09,544.0,544.75,522.7,524.85,96740
2024-12-10,537.4,537.95,525.05,533.6,165740
2024-12-11,535.05,554.9,522.6,524.6,207753
2024-12-12,535.0,539.6,523.65,526.05,157834
2024-12-13,523.8,528.65,513.5,522.65,110149
2024-12-16,536.65,564.4,534.65,540.55,505947
2024-12-17,543.25,567.5,538.0,540.25,359255
2024-12-18,542.85,562.85,526.7,529.8,346211
2024-12-19,520.75,524.75,510.0,515.25,97290
2024-12-20,513.9,531.15,513.9,520.0,106776
2024-12-23,522.05,537.0,521.0,526.9,77504
2024-12-24,526.7,537.0,518.75,533.05,62388
2024-12-26,534.1,555.45,527.0,533.25,102253
2024-12-27,535.05,539.0,526.05,527.75,90081
2024-12-30,521.6,535.0,518.0,520.7,51491
2024-12-31,518.0,549.45,514.45,545.85,79905
2025-01-01,547.85,548.05,537.5,539.4,104774
2025-01-02,539.45,543.9,533.15,535.0,38292
2025-01-03,535.0,570.0,534.95,543.75,361539
2025-01-06,545.05,556.85,522.45,528.75,281942
2025-01-07,531.25,537.45,525.55,527.15,89797
2025-01-08,527.5,534.35,516.8,528.1,109152
2025-01-09,528.05,528.95,512.0,517.15,87950
2025-01-10,511.9,514.1,492.6,499.15,132322
2025-01-13,489.35,495.95,465.9,479.6,199231
2025-01-14,489.2,500.6,481.8,496.6,66965
2025-01-15,499.95,512.85,496.55,510.7,99757
2025-01-16,515.75,530.75,513.0,524.0,52157
2025-01-17,524.7,524.7,516.05,520.4,23660
2025-01-20,521.5,525.95,516.45,523.65,50264
2025-01-21,521.55,537.5,503.0,506.05,49634
2025-01-22,509.9,513.95,494.45,497.4,60478
2025-01-23,496.85,509.35,493.4,496.15,53179
2025-01-24,497.0,504.35,481.4,486.75,69667
2025-01-27,482.5,484.05,440.25,446.5,187345
2025-01-28,452.35,471.0,436.5,460.25,152345
2025-01-29,458.95,463.4,445.55,458.15,107882
2025-01-30,466.8,471.85,449.35,453.05,110866
2025-01-31,459.75,477.65,453.1,473.4,105262
2025-02-01,472.95,494.9,466.8,473.55,163997
2025-02-03,461.95,469.75,438.25,439.65,140051
2025-02-04,444.45,447.05,421.25,427.95,157105
2025-02-05,433.9,467.4,433.85,464.05,156870
2025-02-06,467.9,476.3,451.6,458.1,117062
2025-02-07,457.0,469.35,457.0,466.8,69689
2025-02-10,464.3,472.8,454.3,457.6,88191
2025-02-11,451.6,458.0,437.1,450.85,57539
2025-02-12,449.0,456.95,428.45,454.5,108752
2025-02-13,455.0,459.0,436.8,438.95,35755
2025-02-14,445.05,448.8,412.15,423.9,74716
2025-02-17,425.55,434.8,417.9,430.35,60774
2025-02-18,431.05,437.4,421.3,435.55,32501
2025-02-19,434.65,453.0,430.55,447.95,119183
2025-02-20,445.05,459.15,445.05,455.65,56022
2025-02-21,454.9,461.2,447.05,452.4,25900
2025-02-24,444.4,450.8,442.2,447.15,17799
2025-02-25,447.15,458.5,446.2,447.85,26136
2025-02-27,449.05,454.2,436.2,441.95,18059
2025-02-28,435.5,435.5,409.0,412.95,118634
2025-03-03,417.45,423.7,398.55,405.05,39107
2025-03-04,399.95,428.5,399.0,425.7,33290
2025-03-05,425.75,428.7,418.45,420.5,82732
2025-03-06,426.9,439.45,422.85,437.75,44246
2025-03-07,440.0,452.3,434.95,450.0,42586
2025-03-10,454.1,466.55,446.25,461.4,52976
2025-03-11,452.05,466.1,447.55,456.25,37431
2025-03-12,457.0,465.6,450.95,459.9,19620
2025-03-13,461.45,463.65,447.5,450.75,13891
2025-03-17,450.85,454.6,438.65,450.4,46086
2025-03-18,445.25,452.0,445.0,447.3,30144
2025-03-19,456.0,465.65,450.6,456.45,32765
2025-03-20,461.35,472.2,457.75,469.85,99613
2025-03-21,468.15,487.5,464.1,485.95,47393
2025-03-24,486.4,498.9,480.9,489.45,61330
2025-03-25,490.55,492.95,474.85,477.7,34304
2025-03-26,477.8,484.75,466.2,467.95,67691
2025-03-27,472.0,480.7,461.0,477.45,38900
2025-03-28,477.5,489.95,477.4,486.35,32137
2025-04-01,481.3,484.95,467.25,469.05,24934
2025-04-02,465.3,479.15,465.3,471.95,22400
2025-04-03,463.25,475.5,463.25,470.4,24123
2025-04-04,470.35,470.4,452.05,456.85,46382
2025-04-07,382.4,429.5,382.4,426.5,108179
2025-04-08,435.15,438.3,427.1,433.65,48628
2025-04-09,432.1,432.15,420.5,422.0,44804
2025-04-11,431.55,433.2,424.0,429.1,23181
2025-04-15,434.0,449.0,434.0,442.85,39310
2025-04-16,440.0,449.15,439.95,445.15,15817
2025-04-17,442.3,447.0,438.5,444.0,26068
2025-04-21,440.8,449.0,440.8,444.6,40325
2025-04-22,448.2,452.15,441.35,442.15,59160
2025-04-23,445.8,445.8,437.0,438.0,33577
2025-04-24,438.2,439.15,432.5,434.2,52231
2025-04-25,434.25,436.4,419.5,422.85,60911
2025-04-28,425.0,425.15,416.85,422.4,12387
2025-04-29,429.9,429.9,422.05,425.8,28334
2025-04-30,421.85,427.45,417.15,418.45,32589
