Datetime,Open,High,Low,Close,Volume
2019-05-28,7.46,7.56,7.32,7.41,99525
2019-05-29,7.4,7.4,7.24,7.26,75325
2019-05-30,7.28,7.64,7.28,7.43,547425
2019-06-03,7.13,7.34,7.13,7.2,129450
2019-06-10,7.12,7.2,6.88,6.99,76175
2019-06-11,6.93,6.96,6.86,6.89,38450
2019-06-12,6.87,6.92,6.82,6.89,86725
2019-06-13,6.89,6.89,6.72,6.76,36800
2019-06-14,6.73,6.74,6.6,6.66,12830350
2019-06-17,6.6,6.6,6.32,6.47,71450
2019-06-18,6.48,6.53,6.32,6.33,44775
2019-06-19,6.43,6.52,6.23,6.34,14838825
2019-06-20,6.19,6.49,6.07,6.45,87875
2019-06-21,6.4,6.42,6.31,6.37,15038950
2019-06-24,6.39,6.42,6.12,6.18,105425
2019-06-25,6.26,6.6,6.2,6.5,743425
2019-06-26,6.4,6.59,6.4,6.53,444125
2019-06-27,6.56,6.87,6.53,6.74,196425
2019-06-28,6.67,6.82,6.64,6.76,181250
2019-07-01,6.84,6.94,6.71,6.73,105425
2019-07-02,6.79,6.84,6.72,6.72,198525
2019-07-03,6.74,6.87,6.72,6.78,65375
2019-07-04,6.83,6.93,6.76,6.77,141125
2019-07-05,6.84,6.95,6.6,6.62,138600
2019-07-08,6.48,6.6,6.29,6.33,120275
2019-07-09,6.32,6.5,6.3,6.38,61725
2019-07-10,6.41,6.46,6.28,6.3,50500
2019-07-11,6.4,6.51,6.33,6.4,59625
2019-07-12,6.44,6.44,6.31,6.32,40550
2019-07-15,6.39,6.39,6.17,6.27,308900
2019-07-16,6.32,6.35,6.24,6.24,25700
2019-07-17,6.22,6.29,6.12,6.13,60100
2019-07-18,6.13,6.13,5.92,5.93,83425
2019-07-19,6.02,6.04,5.6,5.62,61700
2019-07-22,5.52,5.55,5.4,5.47,229550
2019-07-23,5.46,5.73,5.46,5.61,52900
2019-07-24,5.67,5.67,5.32,5.41,139450
2019-07-25,5.43,5.44,5.25,5.3,71275
2019-07-26,5.28,5.37,5.26,5.32,99750
2019-07-29,5.3,5.32,5.0,5.11,89775
2019-07-30,5.12,5.12,4.86,4.92,43025
2019-07-31,4.82,4.89,4.79,4.88,30025
2019-08-01,4.88,5.07,4.68,4.75,71900
2019-08-02,4.62,4.74,4.57,4.68,36400
2019-08-05,4.56,4.56,4.36,4.4,100650
2019-08-06,4.49,4.74,4.49,4.71,58175
2019-08-07,4.8,5.04,4.72,4.93,108075
2019-08-08,5.08,5.2,5.0,5.14,73350
2019-08-09,5.2,5.46,5.2,5.32,104150
2019-08-13,5.08,5.16,4.88,4.94,76000
2019-08-14,5.05,5.05,4.8,4.88,44300
2019-08-16,4.92,4.92,4.74,4.78,17675
2019-08-19,4.86,5.0,4.8,4.81,103400
2019-08-20,4.91,4.91,4.6,4.72,198750
2019-08-21,4.67,4.67,4.47,4.52,42525
2019-08-22,4.5,4.5,4.02,4.13,252250
2019-08-23,4.0,4.31,3.9,4.26,141925
2019-08-26,4.43,4.52,4.32,4.5,124950
2019-08-27,4.54,4.84,4.52,4.8,169200
2019-08-28,4.75,4.87,4.72,4.84,198625
2019-08-29,4.76,4.8,4.7,4.72,76175
2019-08-30,4.79,4.79,4.68,4.73,76150
2019-09-03,4.6,4.84,4.54,4.8,60375
2019-09-04,4.72,4.79,4.68,4.69,71600
2019-09-05,4.76,4.78,4.68,4.69,34525
2019-09-06,4.72,4.77,4.69,4.74,54300
2019-09-11,4.7,5.1,4.7,5.02,380800
2019-09-12,5.2,5.36,5.14,5.22,477600
2019-09-13,5.24,5.35,5.07,5.29,228950
2019-09-16,5.24,5.46,5.24,5.3,117625
2019-09-17,5.33,5.42,5.11,5.12,121800
2019-09-18,5.19,5.46,5.08,5.36,183875
2019-09-19,5.32,5.52,5.17,5.22,257275
2019-09-20,5.26,5.44,5.2,5.38,171550
2019-09-23,5.48,5.8,5.29,5.75,290400
2019-09-24,5.71,6.2,5.71,5.89,1238275
2019-09-25,5.78,5.8,5.49,5.57,230950
2019-09-26,5.6,5.68,5.52,5.61,226525
2019-09-27,5.55,5.65,5.35,5.39,126725
2019-09-30,5.35,5.39,5.02,5.08,107475
2019-10-01,5.12,5.2,4.85,5.03,123175
2019-10-03,5.04,5.04,4.8,4.88,48800
2019-10-04,4.88,4.92,4.66,4.68,184225
2019-10-07,4.64,4.68,4.56,4.56,39275
2019-10-09,4.56,4.77,4.39,4.6,168275
2019-10-10,4.53,4.63,4.37,4.47,53025
2019-10-11,4.52,4.53,4.4,4.49,30850
2019-10-14,4.56,4.66,4.52,4.54,72900
2019-10-15,4.54,4.6,4.5,4.52,60325
2019-10-16,4.46,4.72,4.46,4.55,90325
2019-10-17,4.56,4.63,4.53,4.6,54575
2019-10-18,4.64,4.81,4.64,4.69,145625
2019-10-22,4.73,4.79,4.65,4.68,63750
2019-10-23,4.64,4.81,4.61,4.64,112550
2019-10-24,4.68,4.72,4.6,4.62,115925
2019-10-25,4.61,4.61,4.54,4.58,35450
2019-10-29,4.6,4.87,4.6,4.77,90725
2019-10-30,4.76,4.82,4.64,4.71,24050
2019-10-31,4.87,5.03,4.69,4.87,193875
2019-11-01,4.85,4.93,4.81,4.87,60675
2019-11-04,4.92,5.07,4.82,4.87,131700
2019-11-05,4.92,4.99,4.8,4.82,30675
2019-11-06,5.04,5.28,5.04,5.23,722625
2019-11-07,5.68,5.68,5.43,5.45,603450
2019-11-08,5.34,5.34,5.16,5.21,401675
2019-11-13,5.04,5.04,4.91,4.92,44750
2019-11-14,4.92,4.96,4.82,4.91,127275
2019-11-15,4.85,4.96,4.84,4.87,61650
2019-11-18,4.89,4.9,4.8,4.83,69750
2019-11-19,4.82,4.9,4.82,4.83,36200
2019-11-20,4.79,4.8,4.69,4.72,213300
2019-11-21,4.84,4.9,4.82,4.83,34075
2019-11-22,4.82,4.86,4.69,4.73,70225
2019-11-25,4.86,4.92,4.72,4.79,78725
2019-11-26,4.84,4.87,4.73,4.75,29700
2019-11-27,4.86,4.86,4.73,4.75,51200
2019-11-28,4.73,4.84,4.72,4.82,101925
2019-11-29,4.75,4.98,4.75,4.88,197725
2019-12-02,4.84,4.88,4.76,4.78,134675
2019-12-03,4.8,4.88,4.75,4.79,84000
2019-12-04,4.8,5.0,4.76,4.89,172775
2019-12-05,4.89,4.99,4.75,4.78,268650
2019-12-06,4.83,4.84,4.67,4.68,108600
2019-12-09,4.68,4.68,4.64,4.65,12550
2019-12-10,4.64,4.64,4.46,4.47,39550
2019-12-11,4.49,4.59,4.44,4.48,52275
2019-12-12,4.49,4.56,4.49,4.52,27150
2019-12-13,4.54,4.66,4.54,4.65,12425
2019-12-16,4.64,4.64,4.52,4.53,25450
2019-12-17,4.59,4.75,4.52,4.67,49850
2019-12-18,4.66,4.68,4.62,4.64,24725
2019-12-19,4.6,4.6,4.52,4.55,61000
2019-12-20,4.55,4.55,4.49,4.53,40150
2019-12-23,4.61,5.16,4.61,4.83,330950
2019-12-24,4.82,4.82,4.64,4.68,64250
2019-12-26,4.68,4.84,4.65,4.69,29200
2019-12-27,4.74,4.88,4.62,4.65,102550
2019-12-30,4.65,4.69,4.65,4.69,32575
2019-12-31,4.72,4.74,4.68,4.73,52025
2020-01-01,4.71,5.0,4.71,4.87,68425
2020-01-02,4.84,5.08,4.84,5.03,136600
2020-01-03,5.01,5.16,4.91,5.0,85125
2020-01-06,4.96,5.0,4.78,4.91,444400
2020-01-07,4.96,5.1,4.87,5.0,167750
2020-01-08,4.87,4.96,4.87,4.9,116675
2020-01-09,5.06,5.36,4.98,5.31,565475
2020-01-10,5.95,6.22,5.82,5.86,1962050
2020-01-13,5.92,5.92,5.58,5.67,288075
2020-01-14,5.56,5.62,5.4,5.44,192250
2020-01-15,5.36,5.79,5.36,5.72,481950
2020-01-16,5.72,5.84,5.7,5.74,146350
2020-01-17,5.73,6.03,5.58,5.92,319250
2020-01-20,5.92,6.22,5.8,6.12,572375
2020-01-21,6.14,6.14,6.0,6.03,149175
2020-01-22,6.08,6.14,5.87,5.91,94500
2020-01-23,5.9,5.97,5.84,5.86,84225
2020-01-24,5.86,6.04,5.86,5.93,259850
2020-01-27,5.8,6.17,5.8,6.1,286325
2020-01-28,6.05,6.17,5.86,5.9,77525
2020-01-29,5.99,5.99,5.9,5.91,51400
2020-01-30,5.92,5.94,5.74,5.77,158550
2020-01-31,5.91,5.92,5.8,5.82,30025
2020-02-01,5.78,5.96,5.04,5.22,260475
2020-02-03,5.04,5.07,4.86,4.96,170125
2020-02-04,5.01,5.36,5.0,5.34,331225
2020-02-05,5.26,5.56,5.26,5.4,209900
2020-02-06,5.48,5.48,5.13,5.22,264325
2020-02-07,5.14,5.28,5.06,5.11,63100
2020-02-10,5.17,5.19,4.84,4.93,82225
2020-02-11,4.99,5.02,4.92,4.99,165275
2020-02-12,4.96,4.97,4.89,4.9,14900
2020-02-13,4.89,4.91,4.82,4.85,97400
2020-02-14,4.86,4.86,4.72,4.73,122525
2020-02-17,4.73,4.74,4.55,4.59,149500
2020-02-18,4.49,4.53,4.48,4.51,35725
2020-02-19,4.59,4.61,4.52,4.58,88300
2020-02-20,4.53,4.56,4.46,4.5,118500
2020-02-24,4.48,4.5,4.38,4.42,150825
2020-02-25,4.42,4.47,4.36,4.38,49925
2020-02-26,4.35,4.37,4.18,4.23,75925
2020-02-27,4.23,4.23,3.92,4.08,85600
2020-02-28,3.97,4.0,3.8,3.84,130050
2020-03-02,4.0,4.11,3.74,3.85,89925
2020-03-03,3.95,3.95,3.67,3.84,58925
2020-03-04,3.84,3.86,3.62,3.72,108400
2020-03-05,3.76,3.78,3.68,3.7,53725
