Datetime,Open,High,Low,Close,Volume
2019-06-10,1.6,1.6,1.6,1.6,1
2019-06-26,1.52,1.52,1.52,1.52,1111
2019-07-09,1.45,1.45,1.45,1.45,100
2019-07-18,1.45,1.45,1.45,1.45,680
2019-08-08,1.4,1.4,1.4,1.4,10
2019-08-14,1.4,1.4,1.4,1.4,25
2019-08-30,1.33,1.33,1.33,1.33,13000
2019-10-11,1.33,1.33,1.33,1.33,1
2019-10-31,1.3,1.3,1.3,1.3,1
2019-11-21,1.3,1.3,1.3,1.3,501
2019-12-04,1.24,1.24,1.24,1.24,500
2019-12-06,1.18,1.18,1.18,1.18,107
2019-12-20,1.18,1.18,1.18,1.18,57
2019-12-26,1.18,1.18,1.18,1.18,58
2019-12-31,1.18,1.18,1.18,1.18,110
2020-01-02,1.18,1.18,1.18,1.18,700
2020-01-08,1.17,1.17,1.13,1.13,921
2020-01-16,1.13,1.13,1.13,1.13,1
2020-01-20,1.13,1.13,1.13,1.13,200
2020-01-22,1.13,1.13,1.13,1.13,3
2020-01-23,1.13,1.13,1.13,1.13,33
2020-01-27,1.13,1.13,1.13,1.13,817
2020-01-28,1.13,1.13,1.13,1.13,1
2020-02-05,1.13,1.13,1.13,1.13,7
2020-02-06,1.13,1.13,1.13,1.13,40
2020-02-07,1.13,1.13,1.13,1.13,150
2020-02-11,1.13,1.13,1.13,1.13,40
2020-02-14,1.13,1.13,1.13,1.13,10
2020-02-24,1.13,1.13,1.13,1.13,40
2020-03-06,1.13,1.13,1.13,1.13,50
2020-03-09,1.13,1.13,1.13,1.13,100
2020-04-22,1.13,1.13,1.13,1.13,932
2020-04-24,1.13,1.13,1.1,1.1,18
2020-04-27,1.1,1.1,1.1,1.1,55
2020-04-28,1.1,1.1,1.1,1.1,392
2020-04-29,1.1,1.1,1.1,1.1,906
2020-04-30,1.05,1.05,1.05,1.05,17
2020-05-04,1.05,1.05,1.05,1.05,1420
2020-05-05,1.05,1.05,1.05,1.05,200
2020-05-07,1.05,1.05,1.05,1.05,17
2020-05-08,1.05,1.05,1.05,1.05,2
2020-05-13,1.1,1.1,1.0,1.05,158
2020-05-18,1.05,1.05,1.05,1.05,150
2020-05-19,1.05,1.05,1.05,1.05,43
2020-06-01,1.0,1.0,1.0,1.0,20
2020-06-02,0.95,0.95,0.95,0.95,62
2020-06-08,0.95,0.95,0.95,0.95,5
2020-06-09,0.95,0.99,0.95,0.99,409
2020-06-10,1.0,1.0,0.99,0.99,5389
2020-06-11,0.95,0.95,0.95,0.95,2819
2020-06-15,0.99,0.99,0.95,0.95,2062
2020-06-16,0.95,0.95,0.95,0.95,253
2020-06-17,0.95,0.99,0.91,0.99,7000
2020-06-18,0.99,0.99,0.98,0.98,610
2020-06-19,1.02,1.02,1.02,1.02,701
2020-06-22,1.07,1.07,1.07,1.07,3542
2020-06-24,1.07,1.12,1.07,1.12,847
2020-06-29,1.07,1.15,1.07,1.15,1249
2020-06-30,1.2,1.2,1.2,1.2,3191
2020-07-01,1.2,1.2,1.2,1.2,8540
2020-07-02,1.2,1.2,1.2,1.2,50
2020-07-03,1.2,1.2,1.2,1.2,9475
2020-07-06,1.2,1.2,1.2,1.2,1791
2020-07-07,1.2,1.2,1.15,1.15,105
2020-07-08,1.15,1.15,1.15,1.15,600
2020-07-09,1.15,1.15,1.15,1.15,3060
2020-07-10,1.15,1.15,1.1,1.1,147
2020-07-13,1.1,1.1,1.1,1.1,115
2020-07-14,1.1,1.1,1.1,1.1,560
2020-07-15,1.1,1.15,1.1,1.1,1376
2020-07-16,1.1,1.1,1.05,1.05,20
2020-07-17,1.05,1.05,1.05,1.05,250
2020-07-20,1.05,1.05,1.05,1.05,1500
2020-07-21,1.0,1.0,1.0,1.0,200
2020-07-22,1.0,1.0,1.0,1.0,1301
2020-07-23,1.0,1.0,1.0,1.0,933
2020-07-24,1.0,1.05,1.0,1.05,101
2020-08-11,1.05,1.05,1.05,1.05,101
2020-08-12,1.05,1.05,1.05,1.05,1
2020-08-19,1.03,1.03,1.03,1.03,7
2020-08-20,1.01,1.01,1.0,1.0,386
2020-08-21,1.0,1.0,1.0,1.0,233
2020-08-26,1.0,1.0,0.95,0.95,4801
2020-08-27,0.95,0.95,0.91,0.91,1301
2020-08-28,0.92,0.92,0.87,0.87,6527
2020-08-31,0.83,0.83,0.83,0.83,120
2020-09-01,0.83,0.83,0.83,0.83,160
2020-09-02,0.8,0.8,0.8,0.8,997
2020-09-04,0.8,0.8,0.77,0.77,349
2020-09-07,0.8,0.8,0.8,0.8,200
2020-09-08,0.84,0.84,0.8,0.84,2491
2020-09-09,0.84,0.84,0.84,0.84,82
2020-09-10,0.8,0.8,0.8,0.8,1
2020-09-11,0.8,0.8,0.8,0.8,82
2020-09-14,0.76,0.76,0.76,0.76,237
2020-09-17,0.76,0.76,0.76,0.76,576
2020-09-18,0.76,0.76,0.76,0.76,160
2020-09-21,0.76,0.76,0.73,0.73,2600
2020-09-22,0.73,0.73,0.73,0.73,2
2020-09-25,0.73,0.73,0.73,0.73,7
2020-09-28,0.73,0.73,0.73,0.73,26
2020-10-01,0.73,0.73,0.73,0.73,100
2020-10-06,0.76,0.76,0.76,0.76,27
2020-10-08,0.79,0.79,0.78,0.78,102
2020-10-09,0.78,0.78,0.78,0.78,2
2020-10-14,0.78,0.78,0.77,0.77,14
2020-10-15,0.79,0.79,0.79,0.79,231
2020-10-16,0.79,0.79,0.79,0.79,339
2020-10-21,0.79,0.79,0.79,0.79,1001
2020-10-22,0.79,0.79,0.79,0.79,100
2020-10-23,0.79,0.79,0.79,0.79,1
2020-10-26,0.79,0.79,0.79,0.79,101
2020-10-27,0.79,0.79,0.79,0.79,50
2020-10-28,0.79,0.79,0.76,0.76,51
2020-10-30,0.73,0.73,0.73,0.73,50
2020-11-04,0.73,0.73,0.73,0.73,102
2020-11-05,0.73,0.73,0.73,0.73,100
2020-11-06,0.7,0.7,0.7,0.7,2
2020-11-10,0.7,0.7,0.7,0.7,1500
2020-11-11,0.7,0.7,0.7,0.7,10
2020-11-17,0.67,0.67,0.67,0.67,100
2020-11-18,0.64,0.67,0.64,0.67,2308
2020-11-19,0.7,0.7,0.64,0.64,1112
2020-11-20,0.67,0.67,0.67,0.67,203
