Datetime,Open,High,Low,Close,Volume
2019-08-19,23.95,23.95,23.95,23.95,2
2019-09-27,23.0,23.0,23.0,23.0,1
2019-10-03,24.15,24.15,24.15,24.15,35
2019-10-14,22.95,22.95,22.95,22.95,2
2019-11-21,22.95,22.95,22.95,22.95,16
2019-12-06,22.95,22.95,22.95,22.95,1
2019-12-09,24.05,24.05,24.05,24.05,32
2020-06-26,24.0,24.0,22.85,23.3,2995
2020-07-02,22.75,22.75,22.75,22.75,1
2020-07-20,23.85,23.85,23.85,23.85,100
2020-07-29,25.0,25.0,24.05,24.05,3
2020-07-31,24.05,24.05,24.05,24.05,6
2020-09-30,23.0,23.0,23.0,23.0,202
2020-10-09,22.8,22.85,22.8,22.85,5
2020-10-20,22.85,22.85,22.85,22.85,7
2020-11-20,21.75,21.75,21.75,21.75,24
2020-11-23,21.75,22.7,21.75,22.7,21
2020-12-01,22.7,22.7,22.7,22.7,20
2020-12-04,22.7,22.7,22.7,22.7,10
2020-12-09,22.7,22.7,22.7,22.7,5
2020-12-10,22.7,22.7,22.0,22.0,8
2020-12-11,22.7,22.7,22.7,22.7,6
2020-12-14,22.7,22.7,22.7,22.7,1
2021-01-06,21.7,21.7,21.7,21.7,11
2021-01-07,21.7,21.7,21.6,21.6,501
2021-01-12,21.6,21.6,21.6,21.6,20
2021-01-13,21.5,21.5,21.5,21.5,1
2021-01-14,21.3,21.3,21.3,21.3,5
2021-01-15,21.15,21.15,21.15,21.15,51
2021-01-18,20.3,20.3,20.1,20.1,245
2021-01-19,19.1,19.1,19.1,19.1,310
2021-01-21,18.15,18.15,18.15,18.15,11
2021-01-22,17.25,17.25,17.25,17.25,11
2021-01-25,16.4,16.4,16.4,16.4,62
2021-01-27,15.6,17.15,15.6,15.6,7665
2021-01-28,14.85,14.85,14.85,14.85,88
2021-01-29,14.15,14.8,14.15,14.8,131
2021-02-01,14.1,15.0,14.1,15.0,471
2021-02-02,15.0,15.0,14.25,14.25,1818
2021-02-03,14.96,14.96,13.54,13.54,180
2021-02-05,12.88,12.88,12.88,12.88,610
2021-02-08,12.88,12.88,12.88,12.88,1
2021-02-09,12.88,12.88,12.88,12.88,15
2021-02-10,12.75,13.52,12.75,13.52,201
2021-02-11,12.85,12.85,12.85,12.85,205
2021-02-12,13.49,13.49,12.25,13.49,576
2021-02-15,14.0,14.0,12.85,13.98,44
2021-02-16,14.5,14.67,14.5,14.5,16
2021-02-17,14.5,14.5,14.5,14.5,10
2021-02-19,15.22,15.22,13.78,13.78,6
2021-02-23,13.78,13.78,13.78,13.78,253
2021-02-24,14.46,14.46,14.46,14.46,10
2021-02-25,14.89,15.18,14.89,15.18,73
2021-02-26,15.18,15.93,15.18,15.93,11
2021-03-01,15.93,16.7,15.93,16.7,29
2021-03-02,16.7,16.7,16.7,16.7,5
2021-03-03,17.5,17.5,17.5,17.5,48
2021-03-08,17.15,18.35,17.15,18.35,91
2021-03-09,18.75,19.25,18.75,19.2,1778
2021-03-10,19.1,19.1,19.1,19.1,466
2021-03-12,19.0,19.0,19.0,19.0,5
2021-03-15,19.2,19.2,18.15,18.15,7
2021-03-18,18.05,18.15,18.05,18.15,103
2021-03-24,17.5,17.5,17.5,17.5,1
2021-03-25,17.25,17.25,16.65,16.65,5
2021-03-26,17.45,17.45,17.45,17.45,99
2021-03-30,18.15,18.15,18.15,18.15,389
2021-04-05,17.95,17.95,17.95,17.95,959
2021-04-07,17.1,17.1,17.1,17.1,10
2021-04-08,16.25,16.25,16.25,16.25,15
2021-04-09,15.45,15.45,15.45,15.45,31
2021-04-15,14.7,14.7,14.7,14.7,1
2021-04-19,14.0,14.0,14.0,14.0,20
2021-04-20,13.3,13.3,13.3,13.3,361
2021-04-22,12.65,12.65,12.65,12.65,92
2021-04-23,12.5,12.5,12.5,12.5,3
2021-04-26,12.55,12.55,12.5,12.5,15
2021-04-27,12.5,13.0,12.5,13.0,515
2021-04-28,13.0,13.0,13.0,13.0,2
2021-04-29,13.0,13.0,13.0,13.0,2
2021-05-03,12.5,12.5,12.4,12.4,6
2021-05-04,12.0,12.0,11.78,11.78,421
2021-05-05,11.78,11.78,11.78,11.78,101
2021-05-06,12.36,12.36,12.36,12.36,610
2021-05-07,11.99,11.99,11.99,11.99,1
2021-05-10,11.75,11.75,11.4,11.4,2222
2021-05-12,10.85,10.85,10.85,10.85,15
2021-05-14,10.85,11.39,10.31,11.0,3247
2021-05-17,11.0,11.0,10.5,11.0,786
2021-05-18,11.55,11.55,11.55,11.55,42
2021-05-19,11.25,11.25,11.1,11.1,346
2021-05-20,11.1,11.1,10.55,10.55,1130
2021-05-21,10.55,10.55,10.55,10.55,500
2021-05-25,10.55,10.55,10.1,10.5,729
2021-05-26,10.5,10.5,9.98,10.5,589
