Datetime,Open,High,Low,Close,Volume
2019-05-28,40.75,40.8,40.5,40.5,1348
2019-05-29,41.0,43.7,40.45,41.95,6415
2019-05-30,40.7,41.95,40.7,41.8,2207
2019-06-03,42.0,42.0,40.15,41.5,1124
2019-06-10,45.05,45.05,43.5,43.65,6083
2019-06-11,42.55,42.55,41.2,41.65,7455
2019-06-12,42.05,44.5,41.25,43.85,12034
2019-06-13,42.65,43.8,42.2,42.65,2542
2019-06-14,43.2,45.8,40.75,43.65,13279
2019-06-17,35.8,35.8,34.05,34.05,4774
2019-06-18,32.35,32.35,32.35,32.35,660
2019-06-19,31.1,31.1,30.75,30.75,1465
2019-06-20,29.25,29.25,29.25,29.25,866
2019-06-21,27.8,27.8,27.8,27.8,653
2019-06-24,26.45,26.45,26.45,26.45,129
2019-06-25,25.15,25.15,25.15,25.15,10239
2019-06-26,23.9,23.9,23.9,23.9,2560
2019-06-27,22.75,25.05,22.75,23.0,22286
2019-06-28,21.85,24.15,21.85,24.15,831
2019-07-01,23.65,27.5,23.65,26.5,1491
2019-07-02,27.0,27.0,24.9,24.9,2037
2019-07-03,25.0,25.0,23.7,25.0,1375
2019-07-04,26.7,26.7,22.6,24.75,1196
2019-07-05,25.9,25.9,23.15,24.35,731
2019-07-08,23.05,23.2,22.9,23.05,1615
2019-07-09,23.95,24.0,21.65,21.85,4816
2019-07-10,21.75,22.8,19.05,19.2,22350
2019-07-11,19.95,20.5,18.0,18.95,7435
2019-07-12,20.25,20.75,18.05,20.3,2653
2019-07-15,20.9,20.9,19.0,19.1,2490
2019-07-16,20.75,21.8,18.75,19.7,330
2019-07-17,21.0,21.0,18.8,18.85,6005
2019-07-18,18.9,20.4,18.1,18.45,4419
2019-07-19,18.9,18.9,17.8,17.8,2343
2019-07-22,19.2,19.2,17.5,17.9,4035
2019-07-23,20.0,20.0,17.85,18.45,1162
2019-07-24,19.25,19.25,18.1,18.95,2080
2019-07-25,19.65,20.75,19.5,20.0,1699
2019-07-26,22.15,22.15,20.1,20.8,959
2019-07-29,20.15,22.8,19.55,20.4,604
2019-07-30,22.15,22.15,19.0,19.35,4755
2019-07-31,22.8,22.8,19.75,21.65,2411
2019-08-01,23.05,23.05,19.35,20.95,3414
2019-08-02,18.55,20.85,18.55,20.1,419
2019-08-05,20.5,22.85,18.2,21.15,755
2019-08-06,19.55,21.2,19.55,20.05,438
2019-08-07,20.0,21.75,19.55,19.85,2812
2019-08-08,20.0,21.65,19.5,19.65,4564
2019-08-09,22.15,22.15,19.9,19.9,742
2019-08-13,19.5,21.0,19.5,20.05,1804
2019-08-14,19.7,20.95,19.55,19.75,2352
2019-08-16,20.95,20.95,19.5,19.55,1120
2019-08-19,19.1,20.0,19.1,19.4,4720
2019-08-20,19.35,19.35,19.35,19.35,50
2019-08-22,18.5,18.5,18.5,18.5,500
2019-08-23,19.0,19.0,18.0,18.0,286
2019-08-26,18.0,20.0,17.5,19.95,1705
2019-08-28,21.0,23.55,18.95,21.1,416
2019-08-29,19.1,23.5,19.1,19.35,531
2019-08-30,20.7,22.05,18.65,20.85,1014
2019-09-03,20.9,22.0,18.2,19.8,79
2019-09-04,22.9,22.9,20.5,20.5,1359
2019-09-05,22.3,22.3,19.05,20.1,905
2019-09-06,21.3,21.45,20.5,20.5,15
2019-09-11,22.05,22.2,20.25,22.15,3648
2019-09-12,22.0,22.4,21.5,21.5,701
2019-09-13,21.5,22.5,21.5,22.4,1158
2019-09-16,22.4,22.5,22.25,22.4,755
2019-09-17,20.3,23.8,20.3,21.5,142
2019-09-18,21.05,21.2,21.05,21.2,70
2019-09-19,20.35,22.4,20.3,21.35,652
2019-09-20,22.8,22.8,20.65,21.45,1630
2019-09-23,22.8,22.8,21.0,22.0,366
2019-09-24,22.2,22.2,20.95,22.1,249
2019-09-25,20.25,23.0,20.25,22.55,508
2019-09-26,22.45,22.45,22.45,22.45,5
2019-09-27,20.5,21.0,19.0,20.8,1202
2019-10-01,20.8,20.85,19.5,19.55,1027
2019-10-03,21.7,21.85,18.3,18.3,675
2019-10-04,17.55,19.5,17.55,18.4,644
2019-10-07,20.5,20.5,17.0,17.9,2160
2019-10-09,16.6,18.0,16.55,17.05,10894
2019-10-10,17.3,17.3,16.05,16.95,1111
2019-10-11,16.9,17.35,16.9,17.1,754
2019-10-14,17.0,18.0,17.0,18.0,31
2019-10-15,17.1,19.1,17.1,17.8,3818
2019-10-16,17.35,17.55,16.8,17.0,830
2019-10-17,17.05,18.7,17.0,18.7,4160
2019-10-18,18.75,18.75,17.8,17.8,470
2019-10-23,19.55,19.55,19.25,19.3,6324
2019-10-24,17.8,19.3,17.7,18.15,1968
2019-10-25,19.0,19.1,16.85,18.75,10154
2019-10-29,20.15,20.2,18.1,19.8,1090
2019-10-30,18.8,21.4,18.8,21.1,1806
2019-10-31,19.6,21.0,19.5,20.6,4722
2019-11-01,21.0,21.0,19.6,20.3,252
2019-11-04,19.35,21.85,19.35,21.3,2158
2019-11-05,19.75,21.4,19.2,19.5,6954
2019-11-06,19.85,19.85,19.25,19.5,2150
2019-11-07,18.6,19.95,18.6,19.05,1539
2019-11-08,19.95,19.95,18.75,19.7,2050
2019-11-13,20.65,20.65,19.1,19.15,4201
2019-11-14,18.9,20.95,18.5,19.8,2726
2019-11-15,20.8,20.8,18.0,18.05,5827
2019-11-18,17.75,18.85,17.75,18.8,1017
2019-11-19,17.1,18.8,17.1,18.6,3081
2019-11-20,17.75,18.65,17.75,18.3,2427
2019-11-21,19.25,20.1,18.85,20.0,8828
