Datetime,Open,High,Low,Close,Volume
2019-05-28,39.0,39.9,39.0,39.0,1106
2019-05-29,39.0,39.9,38.1,38.35,670
2019-05-30,38.5,38.5,37.1,38.1,700
2019-06-03,38.25,38.25,36.35,37.7,18635
2019-06-10,37.2,37.2,35.0,35.85,5476
2019-06-11,35.85,36.95,35.4,36.2,1106
2019-06-12,36.7,37.35,36.4,36.4,1274
2019-06-13,36.0,36.45,35.0,35.55,263
2019-06-14,37.0,37.0,35.8,35.8,222
2019-06-17,36.35,36.35,34.85,34.85,260
2019-06-18,35.0,35.75,34.85,35.75,251
2019-06-19,35.0,35.0,32.0,32.3,2171
2019-06-20,31.05,35.0,31.05,34.65,850
2019-06-21,33.0,34.7,31.5,33.5,707
2019-06-24,32.6,32.6,32.3,32.35,154
2019-06-25,32.95,33.5,32.0,33.3,602
2019-06-26,31.5,34.0,30.3,33.6,2023
2019-06-27,34.0,34.1,32.5,34.0,1480
2019-06-28,33.4,34.3,33.25,33.25,678
2019-07-01,32.8,34.35,32.8,33.75,2231
2019-07-02,32.4,33.8,31.4,33.3,2749
2019-07-03,32.7,33.0,32.4,32.5,67
2019-07-04,32.5,32.7,31.2,31.55,490
2019-07-05,31.0,32.0,31.0,31.2,1342
2019-07-08,31.5,31.75,29.5,30.35,1730
2019-07-09,30.05,30.6,29.5,30.55,192
2019-07-10,30.0,30.4,30.0,30.0,2657
2019-07-11,29.6,30.35,28.9,29.8,1004
2019-07-12,30.1,31.5,30.1,31.45,117
2019-07-15,30.0,30.15,29.5,29.5,421
2019-07-16,30.2,30.2,28.9,29.25,489
2019-07-17,29.4,29.55,29.0,29.1,3131
2019-07-18,29.4,29.65,29.4,29.65,1166
2019-07-19,29.05,29.35,28.9,29.35,810
2019-07-22,28.35,28.9,28.0,28.7,1606
2019-07-23,28.4,28.4,28.25,28.25,25
2019-07-24,29.1,29.1,28.05,28.05,354
2019-07-25,28.05,28.05,26.4,27.35,1318
2019-07-26,27.0,27.3,26.8,27.1,262
2019-07-29,27.3,27.3,26.5,26.5,561
2019-07-30,26.4,26.4,26.0,26.0,32
2019-07-31,25.0,26.5,24.4,25.65,1875
2019-08-01,25.05,25.05,24.05,24.7,425
2019-08-02,24.0,27.0,20.05,27.0,302
2019-08-05,26.0,26.0,24.3,24.55,660
2019-08-06,24.9,26.2,24.9,26.2,1053
2019-08-07,25.2,28.0,25.2,25.65,2153
2019-08-08,28.0,28.0,25.2,26.5,150
2019-08-09,27.0,27.6,25.5,25.95,3251
2019-08-13,25.3,26.45,25.05,25.5,2170
2019-08-14,26.2,26.2,26.2,26.2,1000
2019-08-16,25.3,25.65,25.1,25.5,2007
2019-08-19,24.75,25.5,24.75,25.4,2048
2019-08-20,25.9,25.9,24.75,25.3,536
2019-08-21,26.0,26.0,24.5,24.5,1018
2019-08-22,24.0,24.0,23.6,23.6,734
2019-08-23,23.0,24.15,22.5,23.2,840
2019-08-26,24.15,25.15,24.0,24.1,225
2019-08-27,25.6,28.25,25.6,26.95,1215
2019-08-28,26.0,27.95,25.8,25.95,1899
2019-08-29,24.4,27.0,24.3,26.6,1827
2019-08-30,25.5,25.7,24.05,25.7,1084
2019-09-03,25.0,25.7,23.6,24.35,614
2019-09-04,27.0,27.0,23.6,24.2,1097
2019-09-05,23.5,23.5,23.5,23.5,64
2019-09-06,23.05,27.8,23.0,24.3,393
2019-09-11,29.7,29.7,25.55,27.25,4450
