Datetime,Open,High,Low,Close,Volume
2019-05-29,30.65,31.2,30.0,31.2,1191
2019-05-30,35.9,36.8,31.0,32.0,2862
2019-06-10,25.25,27.0,25.25,27.0,114
2019-06-11,25.5,30.0,25.5,25.5,55
2019-06-13,30.5,30.5,23.5,27.05,1163
2019-06-14,29.95,29.95,26.05,29.8,6
2019-06-17,24.55,26.95,24.5,26.95,226
2019-06-21,26.8,26.8,26.8,26.8,10
2019-06-26,23.0,26.0,22.5,26.0,72
2019-06-27,23.0,26.0,21.0,22.75,282
2019-07-04,21.55,21.55,21.55,21.55,20
2019-07-05,20.0,23.0,20.0,23.0,38
2019-07-11,21.0,25.0,21.0,21.05,24
2019-07-12,24.45,24.45,24.45,24.45,15
2019-07-23,22.35,22.75,22.35,22.5,145
2019-08-01,19.05,19.05,19.05,19.05,10
2019-08-06,18.8,18.8,18.8,18.8,1
2019-08-09,18.8,18.8,18.8,18.8,100
2019-08-14,15.6,16.95,15.6,16.95,237
2019-08-16,15.5,15.5,15.5,15.5,12
2019-08-20,17.9,17.9,16.95,16.95,16
2019-08-23,16.0,16.0,16.0,16.0,80
2019-08-26,17.0,17.45,17.0,17.45,12
2019-08-27,17.05,17.05,17.05,17.05,15
2019-08-29,16.6,16.6,16.6,16.6,1
2019-09-04,16.6,16.6,14.5,15.1,147
2019-09-06,14.5,16.5,14.5,16.5,11
2019-09-11,19.65,19.65,19.65,19.65,1
2019-09-13,19.65,19.65,19.65,19.65,2
2019-09-16,19.65,20.0,16.5,19.0,18
2019-09-17,20.9,20.9,20.9,20.9,2
2019-09-18,17.1,20.95,17.1,20.95,60
2019-09-19,18.6,20.0,18.6,20.0,2
2019-09-24,21.0,22.95,17.5,18.8,525
2019-09-25,18.0,20.8,18.0,18.0,146
2019-10-03,15.5,20.0,15.5,19.0,610
2019-10-04,16.25,21.0,16.25,17.2,133
2019-10-07,20.0,20.0,18.0,18.5,34
2019-10-09,20.0,20.0,20.0,20.0,1
2019-10-10,16.25,19.0,16.25,19.0,11
2019-10-11,18.5,18.5,18.5,18.5,1
2019-10-14,20.0,20.0,16.5,16.75,1015
2019-10-16,20.0,20.0,16.0,18.0,27
2019-10-17,18.0,20.0,16.1,16.5,102
2019-10-18,19.0,19.0,19.0,19.0,55
2019-10-22,19.0,22.75,19.0,20.0,86
2019-10-25,16.0,19.0,16.0,19.0,13
2019-10-29,18.8,18.8,18.8,18.8,2
2019-10-31,17.5,19.4,17.5,19.4,82654
2019-11-01,16.55,20.0,16.55,20.0,2
2019-11-04,20.0,22.95,20.0,20.0,300
2019-11-05,16.65,19.9,16.65,19.9,101
2019-11-06,18.95,18.95,18.4,18.4,400
2019-11-07,21.9,22.05,20.55,22.05,488
2019-11-08,26.45,26.45,26.35,26.45,2039
2019-11-13,31.95,31.95,30.0,31.95,2424
2019-11-14,34.0,34.0,28.8,31.95,4146
2019-11-15,33.75,33.75,29.0,32.3,428
2019-11-18,32.9,32.9,31.6,31.6,16
2019-11-19,30.25,30.25,28.45,28.45,145
2019-11-20,27.0,29.05,27.0,29.05,510
2019-12-03,27.6,27.6,27.6,27.6,1
2019-12-06,26.25,26.25,26.25,26.25,1
2019-12-09,24.95,24.95,24.95,24.95,10
2019-12-10,24.85,24.85,24.85,24.85,10
2019-12-12,23.65,23.65,23.65,23.65,1
2019-12-13,22.5,22.5,22.5,22.5,16
2019-12-20,22.65,22.65,22.65,22.65,50
2019-12-31,22.0,22.0,22.0,22.0,6
2020-01-01,20.9,20.9,20.9,20.9,102
2020-01-02,21.45,21.45,20.0,20.0,48
2020-01-03,20.05,20.05,20.05,20.05,1
2020-01-07,20.1,20.1,20.1,20.1,1
2020-01-08,21.1,21.1,19.65,20.75,9
2020-01-09,20.25,20.5,20.25,20.5,13
2020-01-10,20.7,21.35,20.05,21.35,505
2020-01-13,20.35,20.35,20.35,20.35,200
2020-01-14,20.35,20.35,20.35,20.35,1
2020-01-15,19.75,19.75,19.75,19.75,200
2020-01-16,20.0,20.5,20.0,20.5,90
2020-01-17,20.2,21.35,20.1,21.05,545
2020-01-20,20.4,21.45,20.05,21.4,4050
2020-01-21,20.6,20.9,20.55,20.9,151
2020-01-22,20.85,21.75,20.8,21.75,221
2020-01-23,22.0,22.8,22.0,22.8,1908
2020-01-24,22.85,23.9,22.5,23.2,109
2020-01-27,22.95,23.9,22.95,23.85,1052
2020-01-29,23.5,23.5,23.5,23.5,10
2020-01-30,23.05,23.05,23.05,23.05,50
2020-01-31,23.55,23.7,22.75,23.7,79
2020-02-01,24.2,24.2,22.75,22.75,184
2020-02-03,22.45,23.1,22.25,23.1,5
2020-02-04,23.0,23.55,22.3,22.7,692
2020-02-05,23.45,23.45,23.45,23.45,1
2020-02-06,22.75,22.75,22.45,22.45,285
2020-02-10,21.3,22.5,20.55,22.5,1360
2020-02-11,22.25,22.35,20.8,21.85,105
2020-02-12,20.5,20.5,20.05,20.4,700
2020-02-13,20.75,20.75,20.75,20.75,25
2020-02-17,19.15,19.9,19.15,19.25,265
2020-02-19,18.9,18.9,18.9,18.9,50
2020-02-20,19.0,19.0,19.0,19.0,349
2020-03-02,17.5,17.5,17.5,17.5,75
2020-03-05,16.7,16.7,16.7,16.7,63
2020-03-06,16.75,16.75,16.75,16.75,1
2020-03-12,15.95,15.95,15.95,15.95,10
2020-03-26,15.2,15.2,15.2,15.2,1
2020-04-13,13.7,14.9,13.7,14.65,2011
2020-04-15,14.25,14.25,14.25,14.25,30
2020-04-16,14.0,15.2,14.0,15.2,4
2020-04-17,16.6,16.6,14.05,14.15,50
2020-04-22,13.35,15.35,13.3,14.35,329
2020-04-23,15.65,15.65,13.15,14.25,30
2020-04-24,15.45,15.45,13.2,15.2,115
2020-04-27,16.6,16.6,13.75,15.6,65
2020-04-28,15.4,15.4,15.4,15.4,1
2020-04-29,15.3,16.45,13.9,14.4,1801
2020-04-30,14.35,14.35,14.35,14.35,1
2020-05-04,13.21,13.21,13.21,13.21,1
2020-05-05,14.45,14.45,13.22,14.16,33
2020-05-06,14.87,14.87,13.16,13.18,101
2020-05-07,14.25,14.44,13.34,14.41,251
2020-05-08,15.75,15.75,13.25,13.75,924
2020-05-11,12.99,12.99,12.99,12.99,1
2020-05-12,13.25,14.2,11.76,14.0,19
2020-05-13,15.4,15.4,15.4,15.4,1
2020-05-15,15.03,15.03,15.03,15.03,5
2020-05-19,16.39,16.39,14.37,15.0,541
2020-05-21,15.0,15.0,15.0,15.0,50
2020-05-27,14.0,14.0,14.0,14.0,4
2020-06-01,14.16,14.16,14.16,14.16,1
2020-06-02,14.0,14.0,14.0,14.0,5
2020-06-03,13.14,15.4,13.14,15.4,85
2020-06-08,15.4,15.4,13.86,14.89,1834
2020-06-09,15.79,15.79,13.96,14.07,570
2020-06-11,13.9,13.9,13.9,13.9,37
2020-06-12,13.25,14.36,13.25,14.36,31
2020-06-15,14.8,14.8,13.05,14.66,301
2020-06-16,13.42,13.42,13.42,13.42,105
2020-06-17,14.75,14.75,13.36,14.64,258
2020-06-18,14.64,15.2,13.36,14.75,152
2020-06-19,16.19,16.19,16.19,16.19,51
2020-06-22,16.35,17.75,16.35,17.68,5
2020-06-23,16.89,18.56,16.89,17.12,4597
2020-06-24,16.9,16.9,16.9,16.9,30
2020-06-26,16.06,17.56,16.06,17.56,807
2020-07-02,17.8,17.8,17.55,17.8,3
2020-07-16,17.55,17.55,16.95,16.95,9
2020-07-17,16.15,16.95,16.15,16.15,700
2020-07-28,16.7,16.7,16.7,16.7,6
2020-07-29,15.9,15.9,15.9,15.9,1
2020-07-30,15.9,15.9,15.9,15.9,10
2020-08-04,15.9,15.9,15.85,15.85,66
2020-08-11,15.8,15.8,15.8,15.8,10
2020-08-12,15.95,15.95,15.95,15.95,30
2020-08-13,15.75,15.75,15.75,15.75,50
2020-08-14,14.75,16.0,14.75,15.9,1028
2020-08-17,17.0,17.0,14.55,16.05,534
2020-08-18,16.9,16.9,15.25,16.0,220
2020-08-19,16.15,16.3,15.15,16.25,2723
2020-08-20,16.85,17.85,16.85,17.85,1761
2020-08-21,17.5,19.6,17.5,19.6,5087
2020-08-24,20.0,20.5,18.65,18.75,3280
2020-08-25,17.85,19.6,17.85,19.3,302
2020-08-26,19.5,19.5,18.65,18.65,219
2020-08-27,18.7,19.4,18.0,19.4,2077
2020-08-28,18.6,19.8,18.45,19.4,1010
2020-08-31,18.55,18.55,18.45,18.45,250
2020-09-04,18.95,19.05,18.95,19.0,1010
2020-09-07,18.1,19.45,18.05,18.05,505
2020-09-08,18.5,18.5,17.35,17.35,43
2020-09-09,16.65,16.65,16.65,16.65,690
2020-09-14,16.65,16.65,16.65,16.65,100
2020-09-18,16.0,16.7,15.9,15.95,363
2020-09-21,15.95,15.95,15.95,15.95,1
2020-09-22,16.65,16.65,16.55,16.55,10
2020-09-23,17.3,17.3,15.8,17.1,122
2020-10-07,17.0,17.0,17.0,17.0,2
2020-10-16,17.65,17.65,17.65,17.65,1
2020-10-19,18.35,18.35,18.35,18.35,1
2020-10-20,18.0,18.0,18.0,18.0,3
2020-10-26,17.15,18.0,17.1,17.3,9
2020-10-28,16.45,16.45,16.45,16.45,1000
2020-10-29,17.25,17.25,15.7,17.2,8
2020-11-05,17.2,17.2,17.2,17.2,1
2020-11-10,16.9,16.9,16.9,16.9,1
2020-11-12,16.9,16.9,16.75,16.8,5
2020-11-13,17.45,17.45,16.95,16.95,115
2020-11-17,16.9,16.95,16.9,16.95,2
2020-11-24,16.95,16.95,16.2,16.2,410
2020-11-25,15.5,16.2,15.5,16.2,431
2020-11-26,15.5,16.65,15.5,16.65,496
2020-11-27,16.05,17.25,16.05,17.2,310
2020-12-01,18.0,18.0,17.8,17.8,4
2020-12-02,18.6,18.6,18.35,18.35,177
2020-12-03,18.3,18.3,18.3,18.3,2
2020-12-04,18.3,18.3,17.4,18.3,32
2020-12-07,16.55,17.95,16.55,17.9,912
2020-12-08,17.8,18.75,16.5,18.0,1629
2020-12-09,18.3,19.4,18.3,18.45,401
2020-12-10,18.5,19.35,18.5,19.35,513
2020-12-14,19.85,19.85,19.85,19.85,50
2020-12-15,20.3,20.3,20.3,20.3,230
2020-12-16,18.5,20.15,18.5,20.15,63
2020-12-18,21.75,21.75,20.0,20.15,3256
2020-12-21,21.6,21.6,19.0,19.15,5181
2020-12-22,19.9,19.9,19.0,19.75,770
2020-12-23,21.0,21.5,19.0,21.5,635
2020-12-24,22.9,23.4,21.0,23.3,2923
2020-12-28,24.4,24.4,22.05,23.8,6159
2020-12-29,24.4,24.4,22.7,23.5,3915
2020-12-30,25.35,25.4,21.4,23.2,5665
2020-12-31,23.0,24.0,23.0,23.0,1000
2021-01-01,25.25,25.25,22.7,23.65,600
2021-01-04,22.8,25.35,22.25,24.55,2189
2021-01-05,23.8,25.5,23.8,25.5,336
2021-01-06,27.85,27.85,23.3,24.6,1432
2021-01-07,24.1,24.1,24.0,24.0,400
2021-01-08,24.5,26.2,24.35,25.1,5657
2021-01-11,25.1,25.45,22.6,23.0,5650
2021-01-12,22.7,23.0,22.7,23.0,528
2021-01-13,21.1,22.65,20.8,21.9,1050
2021-01-14,22.8,24.05,22.8,24.05,7436
2021-01-15,25.25,26.45,24.1,26.45,11674
2021-01-18,27.55,27.55,23.85,25.9,8516
2021-01-19,26.9,28.0,26.9,27.9,3157
2021-01-20,28.8,30.0,27.0,29.75,6643
2021-01-21,31.0,31.0,28.3,28.3,3975
2021-01-22,27.4,27.5,26.9,27.5,903
2021-01-25,26.95,27.65,26.15,26.15,628
2021-01-27,25.2,25.2,25.2,25.2,50
2021-01-28,24.0,24.0,24.0,24.0,5
2021-02-01,23.15,24.55,23.1,24.55,257
2021-02-02,23.6,24.75,23.6,24.75,111
2021-02-03,25.0,25.85,25.0,25.85,3
2021-02-04,24.6,25.0,24.6,25.0,410
2021-02-05,24.2,24.7,24.15,24.3,191
2021-02-09,23.8,24.7,23.1,23.2,458
2021-02-10,24.3,24.35,22.1,23.0,3513
2021-02-11,22.55,22.75,22.15,22.6,45
2021-02-15,22.55,22.55,21.5,22.55,749
2021-02-16,21.5,22.25,21.5,22.25,55
2021-02-17,21.55,22.5,21.55,22.5,180
2021-02-18,22.9,22.9,22.0,22.0,73
2021-02-22,22.35,23.1,22.35,22.95,355
2021-02-23,23.45,23.55,23.2,23.55,570
2021-02-24,23.55,23.85,22.45,22.5,2572
2021-02-25,23.0,23.6,23.0,23.0,384
2021-02-26,23.05,23.05,22.6,22.6,61
2021-03-03,22.25,22.25,22.25,22.25,179
2021-03-04,21.9,21.9,21.5,21.5,400
2021-03-05,21.85,22.4,21.85,22.4,30
2021-03-08,21.3,21.5,21.3,21.5,459
2021-03-09,21.45,22.0,21.4,21.4,10010
2021-03-10,20.75,22.45,20.7,22.0,166
2021-03-12,21.3,22.55,21.3,22.25,2402
2021-03-15,22.0,22.0,21.5,21.5,10
2021-03-16,21.0,21.0,21.0,21.0,300
2021-03-17,20.85,21.2,20.6,21.2,570
2021-03-18,20.75,21.05,20.15,20.15,346
2021-03-19,19.25,19.8,19.25,19.7,293
2021-03-22,19.8,19.8,19.0,19.0,143
2021-03-23,18.35,19.9,18.35,18.75,2016
2021-03-24,19.55,19.55,18.0,18.35,253
2021-03-25,17.5,18.2,17.5,18.2,150
2021-03-26,18.65,19.0,17.6,17.75,1207
2021-03-30,18.0,18.0,16.9,17.05,222
2021-03-31,16.9,17.6,16.9,16.9,208
2021-04-05,17.7,17.7,17.7,17.7,100
2021-04-06,18.15,18.15,18.15,18.15,100
2021-04-07,18.8,19.05,18.8,19.05,745
2021-04-08,18.95,19.95,18.3,19.95,423
2021-04-09,20.3,20.9,19.25,20.25,1941
2021-04-12,19.25,19.25,19.25,19.25,35
2021-04-15,18.45,20.0,18.45,18.6,110
2021-04-16,18.65,18.65,17.85,17.85,20
2021-04-19,17.1,17.1,17.1,17.1,5
2021-04-20,17.1,17.1,17.1,17.1,15
2021-04-22,17.95,17.95,17.3,17.5,550
2021-04-23,17.5,17.5,17.5,17.5,1
2021-04-26,18.35,18.35,18.35,18.35,10
2021-04-28,18.45,19.25,18.25,19.05,1569
2021-04-29,19.45,19.95,18.55,19.95,23
2021-05-03,19.0,19.0,19.0,19.0,11
2021-05-04,18.05,18.95,18.05,18.95,593
2021-05-05,18.1,18.1,18.1,18.1,40
2021-05-06,17.2,18.2,17.2,17.5,715
2021-05-07,17.1,18.0,17.1,17.95,346
2021-05-10,18.0,18.8,17.2,18.8,1379
2021-05-11,18.5,18.8,18.5,18.8,105
2021-05-12,19.65,19.65,18.1,19.15,1766
2021-05-14,19.25,20.0,18.95,19.7,1505
2021-05-17,19.5,20.2,19.1,19.9,878
2021-05-18,20.8,20.85,19.25,19.6,161
2021-05-19,19.1,20.45,19.1,20.35,13384
2021-05-20,20.0,21.35,20.0,21.35,1996
2021-05-21,22.0,22.35,21.8,22.35,2367
2021-05-24,21.8,23.4,21.35,22.85,2559
2021-05-25,23.9,23.95,22.55,22.75,11953
2021-05-26,22.5,23.85,22.3,22.35,11863
2021-05-27,22.35,22.35,21.25,21.4,1479
2021-05-28,20.4,21.2,20.35,21.1,14892
2021-05-31,21.4,21.95,20.85,21.15,665
2021-06-01,22.1,22.2,21.35,21.75,645
2021-06-02,21.8,21.8,20.7,21.65,964
2021-06-03,21.65,22.7,21.65,22.7,9550
2021-06-04,23.8,23.8,23.8,23.8,12029
2021-06-07,24.95,24.95,24.95,24.95,1676
2021-06-08,26.15,26.15,23.75,26.15,17378
2021-06-09,27.45,27.45,25.05,27.45,8940
2021-06-10,28.8,28.8,28.1,28.8,13028
2021-06-11,30.15,30.2,29.1,30.1,21059
2021-06-14,30.55,31.1,28.6,29.25,5051
2021-06-15,30.65,30.65,28.15,28.45,1756
2021-06-16,28.25,28.4,27.3,27.75,3639
2021-06-17,28.35,29.1,26.6,28.7,2140
2021-06-18,28.35,28.35,27.3,27.3,1521
2021-06-21,28.65,28.65,28.5,28.5,200
2021-06-24,27.95,28.0,27.95,28.0,1000
2021-06-25,27.5,27.5,27.5,27.5,1
2021-06-28,28.75,28.75,27.0,27.85,606
2021-06-29,28.0,28.0,26.5,26.55,3840
2021-06-30,25.3,27.85,25.3,25.75,2256
2021-07-01,25.3,27.0,25.0,27.0,228
2021-07-02,25.65,27.75,25.65,27.5,376
2021-07-05,26.5,26.5,26.5,26.5,100
2021-07-06,25.55,27.4,25.5,27.4,985
2021-07-07,27.4,27.4,26.05,26.05,107
2021-07-08,26.05,26.05,26.05,26.05,18
2021-07-09,26.0,26.0,26.0,26.0,10
2021-07-12,27.0,27.0,27.0,27.0,100
2021-07-14,27.25,27.25,25.65,25.65,1026
2021-07-16,26.9,26.9,26.9,26.9,1092
2021-07-19,25.6,27.5,25.6,25.6,126
2021-07-20,26.75,26.75,24.35,25.4,1580
2021-07-22,24.7,25.4,24.7,25.25,582
2021-07-23,24.6,26.2,24.6,26.2,14
2021-07-26,25.25,26.65,25.1,26.4,6499
2021-07-27,26.55,26.65,25.1,26.1,9591
2021-07-28,26.1,26.6,26.0,26.0,572
2021-07-29,26.6,26.65,25.6,26.55,7691
2021-07-30,25.95,26.7,25.95,26.55,7697
2021-08-02,26.4,27.85,26.35,27.65,5688
2021-08-03,28.0,28.9,27.4,28.2,7292
2021-08-04,28.8,28.8,27.3,27.35,914
2021-08-05,26.05,27.45,26.05,27.0,7966
2021-08-06,26.75,28.3,26.75,28.3,555
2021-08-09,28.9,28.9,26.2,27.35,16053
2021-08-10,26.95,29.0,26.9,28.2,5328
2021-08-11,28.3,28.35,26.4,28.35,11003
2021-08-12,29.3,29.3,27.2,28.55,9866
2021-08-13,29.85,31.25,28.9,29.95,13973
2021-08-16,29.55,30.5,28.35,28.7,11973
2021-08-17,28.05,28.1,26.75,27.5,835
2021-08-18,26.7,27.65,26.25,27.65,8363
2021-08-20,26.0,28.0,25.5,26.5,9093
2021-08-23,26.5,26.5,24.45,26.1,12579
