Datetime,Open,High,Low,Close,Volume
2020-01-01,24.8,24.8,24.8,24.8,10
2020-01-09,24.9,24.9,24.9,24.9,5
2020-02-12,24.0,24.0,24.0,24.0,5
2020-02-14,22.85,22.85,22.85,22.85,30
2020-02-17,21.75,21.75,21.75,21.75,25
2020-02-18,20.7,20.7,20.7,20.7,25
2020-02-24,19.7,19.7,19.7,19.7,10
2020-02-26,18.75,18.75,18.75,18.75,5
2020-02-27,17.9,17.9,17.9,17.9,10
2020-02-28,17.1,17.1,17.1,17.1,4
2020-03-02,16.25,16.25,16.25,16.25,100
2020-03-03,15.45,15.45,15.45,15.45,20
2020-03-04,14.7,14.7,14.7,14.7,10
2020-03-05,14.0,14.0,14.0,14.0,105
2020-03-06,13.35,13.35,13.35,13.35,110
2020-03-12,12.7,12.7,12.7,12.7,10
2020-03-13,12.1,12.1,12.1,12.1,8
2020-03-17,11.5,11.5,11.5,11.5,10
2020-03-19,10.95,10.95,10.95,10.95,10
2020-03-26,10.45,10.45,10.45,10.45,10
2020-03-27,9.95,9.95,9.95,9.95,2
2020-03-30,9.5,9.5,9.5,9.5,10
2020-03-31,9.05,9.05,9.05,9.05,40
2020-04-01,8.6,8.6,8.6,8.6,100
2020-04-03,8.6,8.6,8.6,8.6,10
2020-04-08,9.03,9.03,9.03,9.03,10
2020-04-09,9.48,9.48,9.48,9.48,4
2020-04-17,9.93,9.94,9.93,9.94,101
2020-04-20,10.25,10.43,10.25,10.43,859
2020-04-27,9.91,9.91,9.91,9.91,59
2020-05-05,10.3,10.3,9.42,9.42,101
2020-05-11,9.4,9.4,9.4,9.4,200
2020-05-21,9.86,9.86,9.86,9.86,2150
2020-05-26,10.25,10.25,10.25,10.25,50
2020-06-02,10.6,10.6,10.6,10.6,10
2020-06-05,10.07,10.07,10.07,10.07,60
2020-06-08,10.1,10.1,10.1,10.1,500
2020-06-09,10.1,10.1,10.1,10.1,275
2020-06-10,9.6,9.6,9.6,9.6,250
2020-06-11,9.95,9.95,9.95,9.95,100
2020-06-16,9.46,9.46,9.46,9.46,420
2020-06-17,9.5,9.5,9.5,9.5,1
2020-06-19,9.03,9.03,9.03,9.03,100
2020-06-26,9.03,9.03,9.03,9.03,89
2020-06-29,9.03,9.03,9.03,9.03,1000
2020-06-30,9.03,9.44,9.03,9.44,250
2020-07-01,8.97,9.88,8.97,9.88,1050
2020-07-03,9.99,9.99,9.99,9.99,100
2020-07-06,9.5,9.55,9.5,9.55,128
2020-07-07,9.08,9.95,9.08,9.95,133
2020-07-09,9.46,9.46,9.46,9.46,101
2020-07-14,9.9,9.9,9.9,9.9,1
2020-07-15,10.05,10.05,10.05,10.05,1
2020-07-21,10.0,10.0,10.0,10.0,975
2020-07-22,10.0,10.0,10.0,10.0,110
2020-07-23,10.0,10.2,10.0,10.2,101
2020-07-24,10.0,10.15,9.69,10.15,112
2020-07-27,10.05,10.05,10.05,10.05,9
2020-07-28,10.2,10.2,10.2,10.2,1
2020-07-30,10.25,10.25,10.25,10.25,10
2020-07-31,10.2,10.2,10.2,10.2,11
2020-08-03,10.25,10.25,10.25,10.25,1
2020-08-07,10.76,10.76,10.49,10.49,212
2020-08-10,10.5,10.5,9.97,9.97,826
2020-08-11,10.2,10.2,10.0,10.2,102
2020-08-12,10.15,10.15,10.15,10.15,1
2020-08-13,10.2,10.2,10.2,10.2,1000
2020-08-14,10.25,10.25,10.25,10.25,77
2020-08-18,10.3,10.3,10.3,10.3,1
2020-08-20,10.2,10.2,10.2,10.2,1
2020-08-21,10.25,10.25,10.25,10.25,1
2020-08-24,10.0,10.5,10.0,10.5,4001
2020-08-25,10.5,10.5,10.48,10.48,250
2020-08-26,10.45,10.45,10.45,10.45,1
2020-08-27,9.93,9.93,9.93,9.93,101
2020-08-28,9.44,10.25,9.44,10.25,11
2020-09-02,10.7,10.7,10.7,10.7,1
2020-09-03,10.3,10.3,10.3,10.3,1
