Datetime,Open,High,Low,Close,Volume
2019-06-11,0.38,0.38,0.36,0.36,2773
2019-06-12,0.35,0.35,0.35,0.35,15592
2019-06-27,0.35,0.35,0.34,0.34,4556
2019-06-28,0.34,0.34,0.34,0.34,2334
2019-07-05,0.32,0.32,0.32,0.32,84
2019-07-10,0.31,0.31,0.31,0.31,934
2019-07-11,0.29,0.29,0.29,0.29,401
2019-07-12,0.28,0.28,0.28,0.28,2166
2019-07-17,0.27,0.27,0.27,0.27,598
2019-07-22,0.25,0.25,0.25,0.25,1401
2019-07-23,0.24,0.24,0.24,0.24,2334
2019-07-24,0.23,0.23,0.23,0.23,112
2019-07-25,0.22,0.22,0.22,0.22,2334
2019-07-26,0.21,0.21,0.21,0.21,2334
2019-07-29,0.2,0.2,0.2,0.2,934
2019-07-30,0.19,0.19,0.19,0.19,7544
2019-07-31,0.18,0.18,0.18,0.18,2334
2019-08-01,0.17,0.17,0.17,0.17,4668
2019-08-02,0.17,0.17,0.17,0.17,4668
2019-08-05,0.16,0.16,0.16,0.16,2334
2019-08-07,0.15,0.15,0.15,0.15,401
2019-08-08,0.14,0.14,0.14,0.14,5695
2019-08-09,0.14,0.14,0.14,0.14,9
2019-08-20,0.14,0.14,0.14,0.14,9337
2019-08-23,0.15,0.15,0.15,0.15,18673
2019-08-29,0.15,0.15,0.15,0.15,934
2019-09-03,0.15,0.15,0.15,0.15,23529
2019-09-11,0.15,0.15,0.15,0.15,4005
2019-09-12,0.14,0.14,0.14,0.14,9
2019-09-13,0.14,0.14,0.14,0.14,9337
2019-09-16,0.14,0.14,0.14,0.14,90613
2019-09-25,0.14,0.14,0.14,0.14,93
2019-09-26,0.14,0.14,0.14,0.14,1867
2019-09-27,0.14,0.14,0.14,0.14,115906
2019-10-01,0.14,0.14,0.14,0.14,939658
2019-10-03,0.14,0.14,0.14,0.14,469012
2019-10-04,0.14,0.14,0.14,0.14,9
2019-10-09,0.15,0.15,0.14,0.15,299644
2019-10-11,0.15,0.15,0.15,0.15,18673
2019-10-14,0.15,0.15,0.15,0.15,1765
2019-10-15,0.15,0.15,0.15,0.15,14005
2019-10-16,0.16,0.16,0.16,0.16,93
2019-10-17,0.16,0.16,0.16,0.16,4668
2019-10-23,0.16,0.16,0.16,0.16,467
2019-10-24,0.17,0.17,0.17,0.17,598
2019-10-25,0.17,0.17,0.17,0.17,93
2019-10-29,0.17,0.17,0.17,0.17,2633
2019-10-30,0.18,0.18,0.18,0.18,121
2019-11-04,0.18,0.18,0.18,0.18,93
2019-11-05,0.18,0.18,0.18,0.18,6881
2019-11-06,0.19,0.19,0.19,0.19,233
2019-11-07,0.19,0.19,0.19,0.19,588
2019-11-08,0.19,0.19,0.19,0.19,93
2019-11-15,0.19,0.19,0.19,0.19,934
2019-11-19,0.2,0.2,0.2,0.2,233
2019-11-20,0.2,0.2,0.2,0.2,831
2019-11-21,0.2,0.2,0.2,0.2,149
2019-11-22,0.21,0.21,0.21,0.21,467
2019-11-25,0.21,0.21,0.21,0.21,1690
2019-11-26,0.21,0.21,0.21,0.21,19
2019-11-27,0.22,0.22,0.22,0.22,93
2019-11-28,0.22,0.22,0.22,0.22,9
2019-11-29,0.23,0.23,0.23,0.23,476
2019-12-03,0.23,0.23,0.23,0.23,93
2019-12-05,0.23,0.23,0.23,0.23,233
2019-12-06,0.22,0.24,0.22,0.24,542
2019-12-09,0.26,0.26,0.26,0.26,4202
2019-12-10,0.27,0.27,0.27,0.27,1288
2019-12-11,0.28,0.28,0.28,0.28,3455
2019-12-12,0.3,0.3,0.3,0.3,205
2019-12-13,0.31,0.31,0.31,0.31,233
2019-12-16,0.32,0.32,0.32,0.32,19
2019-12-17,0.34,0.34,0.34,0.34,13071
2019-12-18,0.36,0.36,0.36,0.36,264836
2019-12-19,0.36,0.37,0.36,0.37,2344
2019-12-20,0.37,0.39,0.37,0.39,24275
2019-12-23,0.41,0.41,0.41,0.41,7012
2019-12-24,0.43,0.43,0.43,0.43,15172
2019-12-27,0.44,0.44,0.44,0.44,934
2020-01-03,0.44,0.44,0.44,0.44,140
2020-01-08,0.44,0.44,0.44,0.44,1260
2020-01-09,0.44,0.44,0.44,0.44,943
2020-01-14,0.45,0.45,0.45,0.45,822
2020-01-16,0.44,0.45,0.44,0.45,47468
2020-01-17,0.44,0.46,0.44,0.45,40858
2020-01-20,0.45,0.46,0.45,0.46,887
