Datetime,Open,High,Low,Close,Volume
2019-05-28,72.0,73.5,70.0,73.5,142
2019-05-29,72.0,74.5,70.0,74.45,195
2019-05-30,72.0,74.95,70.0,74.2,567
2019-06-03,72.0,74.0,70.0,74.0,167
2019-06-10,71.5,73.75,69.85,69.85,496
2019-06-11,73.0,74.5,69.75,69.75,324
2019-06-12,73.0,73.95,70.0,70.8,251
2019-06-13,73.0,73.0,66.0,68.5,50227
2019-06-14,70.0,71.0,70.0,71.0,30
2019-06-17,69.0,69.9,67.35,68.3,295
2019-06-18,69.0,70.9,67.5,67.9,159
2019-06-19,67.5,71.5,66.0,69.2,360
2019-06-20,69.0,69.8,66.0,66.0,50112
2019-06-21,60.05,66.75,59.4,59.4,462970
2019-06-24,64.0,64.0,54.8,58.35,1109
2019-06-25,57.0,61.75,53.25,60.05,28141
2019-06-26,59.9,63.0,59.9,62.05,289072
2019-06-27,64.0,64.4,60.05,61.0,1904
2019-06-28,65.1,65.1,58.05,61.0,1940
2019-07-01,57.0,61.0,56.0,59.8,1501
2019-07-02,57.0,61.0,57.0,61.0,269
2019-07-03,63.8,63.8,61.0,61.0,400
2019-07-04,61.0,61.0,59.0,61.0,975
2019-07-05,61.0,61.0,61.0,61.0,200
2019-07-08,57.6,61.0,57.1,59.35,1852
2019-07-09,61.0,61.0,61.0,61.0,360
2019-07-10,56.25,61.0,56.25,61.0,250
2019-07-11,61.0,61.0,61.0,61.0,250
2019-07-12,57.6,60.65,56.0,56.95,3600
2019-07-15,61.0,62.45,57.5,60.35,462
2019-07-16,58.05,60.95,58.05,60.35,250
2019-07-17,60.0,60.0,60.0,60.0,187
2019-07-18,60.0,61.0,60.0,61.0,430
2019-07-19,60.0,60.0,55.0,55.0,172310
2019-07-22,50.05,57.5,50.0,55.45,3000
2019-07-23,55.5,59.6,54.0,58.8,3803
2019-07-24,59.0,61.0,59.0,60.0,271244
2019-07-25,61.0,63.5,60.0,60.0,4523
2019-07-26,60.0,62.5,57.5,60.2,1774
2019-07-29,61.0,61.0,61.0,61.0,158
2019-07-30,60.0,60.0,57.0,59.05,3263
2019-07-31,59.05,59.95,57.5,59.95,834
2019-08-01,57.8,59.95,55.2,55.6,603
2019-08-02,51.1,59.5,51.1,57.0,192
2019-08-05,56.0,58.0,56.0,57.0,65
2019-08-06,59.0,60.0,52.0,52.15,1156
2019-08-07,59.0,59.0,52.5,55.25,650
2019-08-08,46.1,58.7,46.1,55.8,898
2019-08-09,55.0,59.0,52.5,53.8,654
2019-08-13,55.0,55.0,54.0,54.0,1362
2019-08-14,54.0,58.0,54.0,55.2,1335
2019-08-16,59.0,59.0,48.0,49.9,657
2019-08-19,55.0,56.0,50.8,53.75,607
2019-08-20,59.0,59.0,52.55,58.85,574
2019-08-22,55.0,55.0,53.05,53.5,179
2019-08-23,55.0,60.0,47.6,59.0,468
2019-08-26,58.95,58.95,58.95,58.95,1250
2019-08-27,58.95,58.95,50.05,55.25,3007
2019-08-28,59.0,60.0,59.0,60.0,18
2019-08-29,60.0,60.0,60.0,60.0,2
2019-08-30,56.3,59.95,51.2,59.5,1094
2019-09-03,58.7,58.7,55.5,58.15,309
2019-09-04,59.0,59.0,59.0,59.0,4
2019-09-05,59.0,60.55,59.0,60.0,200
2019-09-06,56.2,59.9,56.2,59.85,970
2019-09-12,55.0,60.0,55.0,59.9,20
2019-09-18,60.95,62.0,58.0,58.5,610
2019-09-19,58.0,62.0,58.0,58.0,709
2019-09-20,61.0,61.0,57.0,60.0,744
2019-09-23,56.05,63.0,56.05,60.2,2551
2019-09-26,60.0,60.0,58.45,58.7,100
2019-09-30,60.0,60.0,55.0,55.45,517
2019-10-01,59.95,59.95,58.55,58.55,109
2019-10-03,59.95,59.95,57.6,57.6,8599
2019-10-04,60.0,60.0,58.15,58.15,135
2019-10-07,59.95,59.95,59.0,59.0,51
2019-10-09,60.0,60.0,59.25,59.5,87
2019-10-10,60.0,60.0,58.0,58.5,699
2019-10-11,60.1,62.0,56.55,56.6,1101
2019-10-14,60.0,60.0,59.2,59.35,77
2019-10-15,59.95,59.95,59.75,59.75,52
2019-10-16,59.95,59.95,58.5,58.5,110
2019-10-17,59.95,59.95,53.5,54.05,845
2019-10-18,58.85,58.85,54.15,54.45,170
2019-10-22,53.5,55.0,50.05,52.5,662
2019-10-23,55.0,55.0,53.0,53.0,150
2019-10-24,54.3,55.0,54.3,55.0,45
2019-10-25,55.0,55.0,55.0,55.0,20
2019-10-29,55.05,56.95,54.5,56.95,104
2019-10-30,55.0,59.95,54.0,54.0,94
2019-10-31,55.0,56.9,51.0,56.75,486
2019-11-01,59.95,59.95,53.0,58.5,212
2019-11-04,59.95,59.95,59.85,59.85,101
2019-11-05,62.0,62.0,59.85,59.85,210
2019-11-06,59.9,59.9,59.7,59.8,50
2019-11-07,59.9,59.9,54.0,55.5,124
2019-11-08,59.95,59.95,54.65,54.65,122
2019-11-13,55.05,55.05,52.0,54.9,288
2019-11-14,54.9,59.95,54.9,56.05,104
2019-11-15,58.0,58.0,58.0,58.0,1
2019-11-18,55.0,55.0,54.5,54.5,45
2019-11-21,59.95,59.95,54.25,55.65,174
2019-11-22,58.0,58.0,56.5,56.5,141
2019-11-25,59.95,59.95,57.55,59.9,1140
2019-11-26,59.85,59.85,56.25,57.1,1300
2019-11-27,59.95,59.95,57.2,57.65,91
2019-11-28,69.0,69.0,57.7,57.7,61
2019-11-29,58.0,58.0,46.2,52.35,350
2019-12-02,57.9,60.1,56.0,56.05,175
2019-12-03,58.0,60.95,57.1,57.25,100
2019-12-04,58.0,58.0,57.0,57.0,131
2019-12-05,56.9,58.0,56.9,57.5,72
2019-12-06,57.85,58.0,51.0,53.05,410
2019-12-09,55.0,55.0,51.75,51.75,160396
2019-12-10,53.0,53.0,52.0,52.0,136
2019-12-11,53.0,53.0,52.0,52.0,83
2019-12-12,52.0,52.0,51.4,51.65,111
2019-12-13,53.0,53.0,52.0,52.0,113
2019-12-16,53.0,53.0,52.0,52.0,107
2019-12-17,53.0,53.0,51.0,51.45,2828
2019-12-18,41.5,55.0,41.5,51.25,261
2019-12-19,54.4,54.4,45.25,49.1,504
2019-12-20,54.55,54.75,50.4,51.9,387
2019-12-23,52.75,53.4,50.0,52.0,305
2019-12-24,52.85,53.9,45.2,53.5,449
2019-12-26,53.8,53.8,49.9,50.1,1132
2019-12-27,55.0,55.0,50.45,53.0,254
2019-12-30,54.8,55.8,53.2,55.8,163
2019-12-31,55.0,55.0,52.25,52.25,137
2020-01-01,44.65,54.8,44.65,52.0,169
2020-01-02,55.0,55.0,53.3,53.3,132
2020-01-03,55.0,55.0,53.45,53.45,97
2020-01-06,55.0,55.0,53.25,53.45,169
2020-01-07,46.05,62.0,46.05,57.0,2384
2020-01-08,55.0,55.0,55.0,55.0,2
