Datetime,Open,High,Low,Close,Volume
2019-05-28,11.75,11.75,11.75,11.75,1000
2019-05-29,11.75,11.75,11.75,11.75,102
2019-05-30,11.2,11.2,11.2,11.2,260
2019-06-03,10.65,10.75,10.65,10.65,3200
2019-06-11,10.75,10.75,10.75,10.75,1000
2019-06-13,10.75,10.75,10.75,10.75,1000
2019-06-14,11.28,11.28,10.75,10.75,2183
2019-06-18,10.75,11.25,10.22,10.22,1790
2019-06-19,10.7,10.7,10.2,10.2,1369
2019-06-20,10.7,10.7,10.7,10.7,1000
2019-06-21,11.0,11.2,11.0,11.2,926
2019-06-24,10.7,11.73,10.7,11.73,2592
2019-06-25,11.2,11.35,11.2,11.35,7500
2019-06-26,11.35,11.7,11.25,11.7,3519
2019-06-27,11.7,11.7,11.35,11.35,1700
2019-06-28,11.35,11.75,11.35,11.73,2000
2019-07-01,11.73,11.73,11.73,11.73,100
2019-07-02,11.15,11.15,11.15,11.15,1000
2019-07-03,10.6,10.6,10.6,10.6,1000
2019-07-05,10.6,10.6,10.6,10.6,350
2019-07-09,11.13,11.13,11.13,11.13,100
2019-07-15,11.5,11.55,11.5,11.5,1200
2019-07-17,11.5,11.5,11.5,11.5,5
2019-07-18,11.65,12.07,11.65,12.07,240
2019-07-19,12.07,12.07,12.07,12.07,790
2019-07-22,12.07,12.07,12.07,12.07,55
2019-07-23,12.07,12.07,12.07,12.07,115
2019-07-24,12.0,12.67,11.47,12.5,7434
2019-07-25,12.5,12.5,12.5,12.5,100
2019-07-30,12.5,12.6,12.5,12.6,1000
2019-08-05,12.6,12.6,12.6,12.6,175
2019-08-06,13.23,13.23,13.23,13.23,1500
2019-08-09,12.6,13.0,12.6,13.0,6700
2019-08-13,12.35,12.35,12.35,12.35,175
2019-08-22,11.74,11.74,11.74,11.74,100
2019-08-23,11.16,11.16,11.16,11.16,850
2019-08-26,11.4,11.71,11.4,11.71,946
2019-08-27,11.15,11.15,11.15,11.15,100
2019-08-28,11.17,11.17,11.17,11.17,425
2019-08-29,11.2,11.2,11.2,11.2,855
2019-08-30,11.26,11.75,11.26,11.5,522
2019-09-03,11.4,11.4,11.4,11.4,1752
2019-09-04,10.85,10.85,10.85,10.85,2000
2019-09-05,10.36,10.36,10.36,10.36,1300
2019-09-06,10.4,10.4,10.4,10.4,200
2019-09-11,9.51,9.51,9.51,9.51,200
2019-09-12,9.98,9.98,9.98,9.98,510
2019-09-13,9.98,10.47,9.98,10.47,564
2019-09-20,9.95,10.99,9.95,9.96,780
2019-09-24,10.4,10.4,10.0,10.04,100
2019-09-25,9.8,10.0,9.8,10.0,500
2019-09-27,9.65,9.66,9.65,9.66,465
2019-10-03,9.66,9.66,9.66,9.66,3
2019-10-04,9.18,9.18,9.18,9.18,500
2019-10-07,9.1,9.18,9.1,9.18,672
2019-10-11,9.25,9.25,9.25,9.25,500
2019-10-14,9.7,9.7,9.3,9.32,22
2019-10-15,9.3,9.3,9.3,9.3,200
2019-10-16,9.7,9.7,9.31,9.31,200
