Datetime,Open,High,Low,Close,Volume
2019-05-28,1.32,1.36,1.32,1.36,351120
2019-05-30,1.38,1.42,1.38,1.42,468160
2019-06-03,1.37,1.49,1.37,1.49,351120
2019-06-11,1.5,1.57,1.5,1.54,351120
2019-06-12,1.51,1.59,1.51,1.56,585200
2019-06-13,1.6,1.61,1.6,1.61,351120
2019-06-17,1.57,1.57,1.57,1.57,117040
2019-07-02,1.5,1.5,1.5,1.5,117040
2019-07-03,1.45,1.45,1.45,1.45,117040
2019-07-04,1.49,1.49,1.42,1.42,234080
2019-07-05,1.4,1.4,1.38,1.38,234080
2019-07-08,1.42,1.42,1.27,1.33,1170400
2019-07-09,1.3,1.3,1.3,1.3,117040
2019-07-10,1.32,1.32,1.3,1.3,234080
2019-07-11,1.3,1.32,1.3,1.32,585200
2019-07-12,1.26,1.27,1.26,1.27,351120
2019-07-15,1.26,1.26,1.26,1.26,468160
2019-07-16,1.28,1.28,1.28,1.28,585200
2019-07-17,1.29,1.29,1.29,1.29,468160
2019-07-18,1.32,1.37,1.32,1.37,585200
2019-07-19,1.4,1.4,1.4,1.4,117040
2019-07-22,1.42,1.45,1.42,1.45,234080
2019-07-23,1.42,1.45,1.42,1.45,234080
2019-07-24,1.46,1.46,1.45,1.45,234080
2019-07-25,1.49,1.49,1.49,1.49,117040
2019-07-29,1.52,1.56,1.52,1.54,468160
2019-07-31,1.44,1.53,1.44,1.51,936320
2019-08-01,1.45,1.46,1.45,1.46,234080
2019-08-05,1.51,1.53,1.51,1.53,468160
2019-08-07,1.44,1.45,1.44,1.45,351120
2019-08-08,1.42,1.42,1.42,1.42,117040
2019-08-09,1.42,1.42,1.42,1.42,117040
2019-08-16,1.45,1.45,1.45,1.45,117040
2019-08-19,1.46,1.47,1.46,1.46,585200
2019-08-21,1.45,1.45,1.45,1.45,234080
2019-08-22,1.4,1.49,1.4,1.48,351120
2019-08-26,1.47,1.5,1.47,1.49,351120
2019-08-29,1.47,1.47,1.47,1.47,117040
2019-09-04,1.4,1.4,1.4,1.4,117040
2019-09-05,1.49,1.49,1.49,1.49,234080
2019-09-06,1.44,1.51,1.44,1.5,1170400
2019-09-11,1.53,1.53,1.52,1.53,468160
2019-09-17,1.46,1.52,1.46,1.48,468160
2019-09-27,1.47,1.47,1.47,1.47,117040
2019-09-30,1.51,1.51,1.51,1.51,117040
2019-10-17,1.53,1.53,1.53,1.53,117040
2019-10-18,1.54,1.54,1.54,1.54,117040
2019-10-22,1.52,1.52,1.52,1.52,117040
2019-10-23,1.59,1.6,1.58,1.59,468160
2019-10-24,1.59,1.59,1.59,1.59,117040
2019-10-25,1.61,1.61,1.61,1.61,117040
2019-11-01,1.65,1.65,1.57,1.57,702240
2019-11-04,1.54,1.56,1.54,1.56,234080
2019-11-15,1.52,1.52,1.45,1.49,936320
2019-11-19,1.41,1.44,1.41,1.43,351120
2019-11-26,1.41,1.44,1.4,1.41,585200
2019-11-29,1.37,1.38,1.37,1.38,234080
2019-12-02,1.36,1.38,1.35,1.35,585200
2019-12-05,1.4,1.52,1.4,1.52,351120
2019-12-11,1.5,1.5,1.5,1.5,351120
2019-12-12,1.59,1.59,1.57,1.57,351120
2019-12-13,1.59,1.62,1.57,1.58,702240
2019-12-16,1.61,1.61,1.59,1.61,468160
2019-12-17,1.66,1.66,1.54,1.54,1053360
2019-12-18,1.47,1.47,1.47,1.47,234080
2019-12-19,1.49,1.49,1.49,1.49,117040
2019-12-20,1.51,1.62,1.51,1.59,1404480
2019-12-24,1.61,1.61,1.57,1.58,819280
2020-01-03,1.61,1.64,1.61,1.64,234080
2020-01-07,1.35,1.64,1.35,1.64,234080
2020-01-09,1.61,1.61,1.61,1.61,117040
2020-01-14,1.71,1.78,1.71,1.78,468160
2020-01-22,1.71,1.71,1.64,1.67,468160
2020-01-28,1.57,1.57,1.57,1.57,117040
2020-02-14,1.59,1.59,1.59,1.59,117040
2020-03-11,1.54,1.54,1.54,1.54,117040
2020-03-12,1.67,1.67,1.67,1.67,117040
2020-03-19,1.54,1.54,1.54,1.54,117040
2020-03-20,1.5,1.54,1.45,1.52,1053360
2020-03-26,1.71,1.71,1.71,1.71,117040
2020-03-30,1.78,1.85,1.78,1.82,351120
