Datetime,Open,High,Low,Close,Volume
2024-06-07,76.4,78.0,76.4,78.0,2
2024-06-10,77.9,78.0,77.25,77.25,481
2024-06-14,77.9,78.22,77.9,78.21,4
2024-06-19,78.4,78.5,78.4,78.5,12
2024-06-20,78.5,78.5,77.15,78.5,443
2024-06-21,80.07,80.07,80.07,80.07,1
2024-06-24,77.66,79.4,77.62,78.77,267
2024-06-25,78.4,78.77,78.0,78.15,1656
2024-06-26,79.0,80.0,79.0,80.0,4
2024-06-27,79.9,80.18,79.9,80.15,7
2024-06-28,80.4,80.83,80.4,80.82,22
2024-07-01,80.9,81.4,79.61,80.0,418
2024-07-02,80.8,80.8,80.8,80.8,2
2024-07-03,80.82,80.82,80.15,80.62,1048
2024-07-05,81.3,81.3,80.89,80.89,8
2024-07-08,80.65,81.4,79.68,79.68,34
2024-07-19,82.1,82.1,82.1,82.1,18
2024-07-22,83.74,83.74,81.5,82.1,580
2024-07-24,81.15,81.15,80.21,80.9,7
2024-07-25,81.2,81.2,80.76,80.76,11
2024-07-26,81.4,83.0,81.4,83.0,28
2024-07-30,83.0,83.0,83.0,83.0,1
2024-08-01,83.0,83.0,83.0,83.0,10
2024-08-02,82.65,82.65,82.0,82.0,2
2024-08-05,80.11,80.11,79.81,79.81,2
2024-08-06,80.08,80.94,79.46,79.46,42
2024-08-07,80.4,80.59,80.4,80.59,2
2024-08-08,79.03,80.76,79.03,80.13,38
2024-08-09,81.28,85.0,80.9,85.0,42
2024-08-12,80.9,81.34,80.65,81.04,95
2024-08-13,80.9,81.11,79.94,79.94,14
2024-08-14,80.63,80.69,80.63,80.69,15
2024-08-16,80.69,81.83,80.69,81.83,66
2024-08-19,81.8,82.8,81.8,82.8,14
2024-08-20,81.8,82.88,81.8,82.88,14
2024-08-21,82.54,82.54,82.54,82.54,5
2024-08-22,82.54,82.6,82.22,82.22,1111
2024-08-23,83.86,83.86,82.02,82.19,107
2024-08-26,83.83,85.0,82.4,84.44,27
2024-08-27,84.45,84.45,82.77,83.31,99
2024-08-28,83.3,83.3,83.3,83.3,102
2024-08-29,83.3,83.3,83.3,83.3,399
2024-08-30,83.49,83.91,83.49,83.91,21
2024-09-02,83.91,84.13,83.75,83.75,33
2024-09-04,83.8,84.01,83.45,84.01,5
2024-09-06,83.65,83.65,82.49,82.94,43
2024-09-09,82.65,82.65,82.64,82.64,12
2024-09-12,83.4,84.72,83.4,84.72,4
2024-09-17,84.66,84.66,84.66,84.66,1
2024-09-19,84.8,84.82,84.8,84.82,2
2024-09-20,84.82,85.69,84.82,85.54,351
2024-09-23,85.36,86.88,85.36,86.46,64
2024-09-24,86.4,86.46,86.4,86.46,20
2024-09-25,87.0,87.0,85.94,86.12,6
2024-09-26,86.8,87.1,86.5,87.1,3
2024-09-30,88.84,95.0,85.94,95.0,115
2024-10-01,85.5,85.98,85.5,85.98,122
2024-10-03,87.0,89.0,84.06,86.01,2603
2024-10-04,86.0,87.73,83.48,85.36,2016
2024-10-07,84.0,87.07,83.24,83.52,931
2024-10-08,84.9,86.23,81.64,85.22,1453
2024-10-09,84.05,84.09,83.31,83.43,1905
2024-10-10,85.36,87.18,83.26,83.52,54
2024-10-11,81.85,83.29,81.85,83.07,593
2024-10-14,83.07,83.68,83.03,83.68,294
2024-10-15,82.86,83.68,82.86,82.91,263
2024-10-17,82.44,82.66,82.44,82.66,61
2024-10-18,82.3,83.01,82.3,83.01,60
2024-10-21,82.5,83.11,82.29,82.37,347
2024-10-22,82.41,82.79,82.32,82.42,1404
2024-10-23,83.5,83.5,81.7,81.75,1068
2024-10-24,81.68,81.71,81.13,81.67,281
2024-10-25,80.99,80.99,80.19,80.19,447
2024-10-28,83.8,83.8,79.13,81.34,4629
2024-10-29,81.0,81.52,81.0,81.52,3
2024-10-30,81.76,81.76,81.76,81.76,15
2024-10-31,81.08,81.14,80.87,80.87,22
2024-11-04,82.83,82.83,80.0,80.12,26
2024-11-05,80.49,81.0,80.0,81.0,28
2024-11-06,81.7,90.16,81.7,81.75,316
2024-11-11,79.53,81.88,79.53,80.91,46
2024-11-14,80.91,81.5,80.91,81.5,3
2024-11-21,81.3,83.0,78.02,78.81,335
2024-11-26,81.6,81.6,81.6,81.6,3063
2024-11-27,80.03,81.74,80.03,81.74,87
2024-11-28,80.74,80.74,80.74,80.74,40
2024-11-29,81.0,81.0,81.0,81.0,25
2024-12-02,80.0,81.45,79.73,81.45,30
2024-12-05,84.5,84.5,82.97,82.97,2
2024-12-06,84.63,84.63,83.02,83.55,112
2024-12-09,83.53,83.53,82.74,83.28,337
2024-12-10,83.0,83.28,82.57,83.25,4
2024-12-11,83.24,83.63,82.83,82.83,158
2024-12-13,84.5,84.5,81.97,82.04,22
2024-12-16,83.58,83.73,83.26,83.26,82
2024-12-17,82.21,82.21,82.15,82.15,2
2024-12-18,81.65,81.98,81.65,81.98,151
2024-12-19,81.0,81.0,80.39,80.39,359
2024-12-20,80.08,80.15,79.72,80.15,6
2024-12-24,80.09,80.29,80.09,80.29,6
2024-12-26,78.44,80.55,78.44,79.89,103
2024-12-27,79.91,79.91,79.79,79.79,151
2024-12-30,79.86,79.86,79.57,79.57,3
2025-01-02,80.89,80.89,80.89,80.89,1
2025-01-03,80.75,81.21,79.53,80.85,2505
2025-01-06,81.0,81.0,79.73,79.73,13
2025-01-07,79.85,79.85,79.32,79.32,11
2025-01-08,79.4,79.4,79.4,79.4,2
2025-01-09,79.4,79.4,78.03,78.78,116
2025-01-10,79.19,79.19,78.99,78.99,2
2025-01-13,78.83,78.98,77.72,77.77,130
2025-01-14,77.77,77.86,77.77,77.86,51
2025-01-15,77.86,77.86,77.86,77.86,1
2025-01-16,78.95,78.95,78.61,78.61,6
2025-01-17,77.16,78.67,77.16,77.18,151
2025-01-21,78.99,78.99,78.99,78.99,4
2025-01-23,78.99,78.99,78.99,78.99,1
2025-01-27,76.7,76.7,76.7,76.7,74
2025-01-28,78.23,78.23,78.23,78.23,1
2025-01-30,77.8,77.8,77.8,77.8,1
2025-02-05,78.62,80.15,78.62,79.79,167
2025-02-06,81.28,81.28,78.23,79.52,89
2025-02-07,79.87,79.87,78.94,79.49,20
2025-02-10,79.17,79.17,78.92,78.92,9
2025-02-11,78.21,78.6,78.21,78.6,40
2025-02-12,77.78,78.0,77.78,77.8,9
2025-02-13,76.25,77.92,76.25,77.92,3
2025-02-18,76.03,77.04,76.03,77.04,4
2025-02-19,77.51,77.51,77.51,77.51,10
2025-02-20,77.33,77.33,77.33,77.33,6
2025-02-21,75.78,76.97,75.78,76.97,4
2025-02-24,76.0,76.18,76.0,76.11,52
2025-02-25,76.13,76.13,75.86,75.86,14
2025-02-28,75.39,75.39,75.39,75.39,18
2025-03-03,73.88,75.4,73.88,74.27,866
2025-03-04,74.64,74.64,74.64,74.64,30
2025-03-05,75.16,75.34,75.16,75.34,11
2025-03-06,75.45,76.5,75.45,75.65,7
2025-03-10,76.33,76.34,76.33,76.34,2
2025-03-17,75.93,75.93,75.76,75.76,12
2025-03-18,76.43,77.26,75.86,75.86,5
2025-03-20,77.6,77.66,77.46,77.62,165
2025-04-07,75.86,75.86,74.74,75.86,402
2025-04-08,75.11,76.13,75.11,76.13,13
2025-04-09,75.44,75.44,75.04,75.04,606
2025-04-15,78.8,78.8,78.0,78.0,30
