Datetime,Open,High,Low,Close,Volume
2022-11-23,268.0,268.0,224.4,226.95,1468
2022-11-24,235.15,235.15,220.0,225.25,1982
2022-11-25,227.9,229.2,222.3,224.2,253
2022-11-28,222.75,225.05,221.7,221.7,74
2022-11-29,227.75,227.75,222.2,225.0,160
2022-11-30,222.55,222.55,216.8,221.0,125
2022-12-01,221.0,224.95,218.5,223.0,160
2022-12-02,226.9,226.9,216.65,221.3,1034
2022-12-05,222.85,224.35,217.85,224.35,413
2022-12-06,219.5,229.3,215.0,226.75,1145
2022-12-07,223.4,233.35,223.4,233.2,8
2022-12-08,232.9,269.9,232.9,236.75,1990
2022-12-09,238.0,244.1,235.9,240.2,776
2022-12-12,244.9,244.9,233.45,238.55,1409
2022-12-13,239.25,249.05,236.3,243.15,11252
2022-12-14,251.0,281.85,246.95,260.4,13611
2022-12-15,279.0,279.0,253.75,262.95,4736
2022-12-16,267.4,267.4,255.1,257.3,1904
2022-12-19,260.0,262.95,250.75,259.2,1045
2022-12-20,261.55,261.55,252.0,254.95,5478
2022-12-21,252.0,252.75,235.0,238.05,5985
2022-12-22,236.9,238.65,227.25,232.6,3398
2022-12-23,233.65,235.65,225.3,227.6,3965
2022-12-26,236.6,238.6,228.5,233.05,5300
2022-12-27,236.2,239.75,230.1,230.25,2062
2022-12-28,228.7,236.3,228.55,233.45,2058
2022-12-29,233.45,237.85,230.5,234.85,425
2022-12-30,238.35,238.95,230.8,235.85,6837
2023-01-02,238.05,242.15,227.15,229.2,3051
2023-01-03,229.45,243.15,223.35,236.5,5075
2023-01-04,243.6,269.2,234.0,265.55,3055
2023-01-05,267.05,272.5,251.65,253.45,6703
2023-01-06,249.7,255.35,246.2,247.15,1213
2023-01-09,246.75,258.1,244.95,246.75,462
2023-01-10,250.95,256.15,242.95,252.8,1632
2023-01-11,244.6,253.5,244.35,250.85,276
2023-01-12,251.15,253.45,243.65,245.1,991
2023-01-13,250.3,250.3,242.8,248.15,891
2023-01-16,243.75,260.35,236.45,259.65,4404
2023-01-17,260.0,281.3,260.0,278.7,9130
2023-01-18,279.2,313.6,273.9,292.8,13447
2023-01-19,289.75,307.5,276.05,279.05,11499
2023-01-20,280.9,285.9,265.55,268.5,3215
2023-01-23,269.6,274.1,261.2,269.85,3965
2023-01-24,271.05,279.1,260.5,268.45,2276
2023-01-25,260.65,273.95,260.65,264.5,3308
2023-01-27,270.8,270.8,254.95,256.0,1192
2023-01-30,262.4,268.15,254.5,258.45,1325
2023-01-31,245.5,267.4,245.5,267.05,2072
2023-02-01,263.4,269.6,255.3,257.45,1512
2023-02-02,259.75,261.9,254.85,256.15,1127
2023-02-03,255.9,260.8,255.9,260.0,233
2023-02-06,256.95,261.9,256.75,258.05,197
2023-02-07,246.0,266.35,246.0,262.0,1220
2023-02-08,261.25,267.0,258.0,263.15,1207
2023-02-09,258.65,260.75,257.1,258.15,43
2023-02-10,250.0,260.0,240.5,243.45,242934
2023-02-13,245.0,249.55,243.9,248.3,1722
2023-02-14,250.65,253.0,238.6,239.55,346
2023-02-15,240.25,240.25,224.65,228.5,2769
2023-02-16,244.05,244.05,224.6,226.15,1902
2023-02-17,233.6,233.6,226.2,229.4,361
2023-02-20,229.65,230.55,225.85,229.0,532
2023-02-21,222.8,231.95,222.0,229.75,120
2023-02-22,227.7,230.05,222.75,225.7,975
2023-02-23,230.6,230.6,228.05,229.2,14
2023-02-24,225.25,230.95,225.25,229.1,196
2023-02-27,185.5,229.7,185.5,224.15,1839
2023-02-28,224.85,230.35,216.0,218.8,172527
2023-03-01,220.3,227.8,217.45,219.95,2118
2023-03-02,219.35,223.0,219.0,221.1,474
2023-03-03,230.7,230.7,220.6,220.85,795
2023-03-06,223.8,224.95,217.05,220.3,2228
2023-03-08,226.45,226.45,219.3,222.05,31
2023-03-09,220.1,224.3,220.1,222.75,315
2023-03-10,222.9,225.45,221.8,223.65,736
2023-03-13,222.35,222.35,205.95,211.25,2077
2023-03-14,205.25,208.8,200.65,205.3,2690
2023-03-15,208.1,210.4,205.0,205.05,932
2023-03-16,205.0,208.3,205.0,208.25,13
2023-03-17,208.0,210.4,204.6,206.0,325
2023-03-20,201.75,210.1,200.05,208.3,564
2023-03-21,208.5,217.0,207.45,215.2,116
2023-03-22,215.65,219.5,210.9,218.45,527
2023-03-23,218.35,218.45,210.0,216.7,190
2023-03-24,213.0,215.25,212.05,213.2,996
2023-03-27,212.9,212.9,208.05,210.0,21
2023-03-28,168.0,218.15,168.0,215.0,3193
2023-03-29,211.7,219.2,211.35,219.2,780
2023-03-31,219.2,220.2,212.0,216.65,604
2023-04-03,218.45,239.0,217.75,218.4,1397
2023-04-05,218.2,221.6,215.0,216.95,337
2023-04-06,214.6,239.85,214.55,236.7,469
2023-04-10,232.05,236.15,229.7,229.7,122
2023-04-11,228.7,236.0,225.05,232.5,650
2023-04-12,226.65,234.8,226.65,234.2,471
2023-04-13,232.35,237.0,227.0,227.0,1887
2023-04-17,227.7,228.4,186.1,227.0,1053
2023-04-18,258.0,258.0,216.15,219.1,2275
2023-04-19,216.0,225.6,215.95,224.15,802
2023-04-20,218.45,248.0,215.1,220.85,1153
2023-04-21,222.9,227.25,221.7,224.0,649
2023-04-24,224.75,235.65,224.7,233.75,226
2023-04-25,235.15,235.6,230.5,234.85,777
2023-04-26,234.5,236.7,224.95,225.15,44707
2023-04-27,211.0,233.3,190.0,229.05,432
2023-04-28,227.9,239.95,227.9,234.0,2569
2023-05-02,240.1,242.05,231.65,237.25,1135
2023-05-03,230.0,237.15,211.0,237.1,187
2023-05-04,239.15,239.15,230.0,234.5,24228
2023-05-05,235.85,236.0,231.35,232.85,877
2023-05-08,235.3,239.8,233.45,239.25,602
2023-05-09,241.9,247.85,241.9,247.85,23
2023-05-10,242.35,248.3,237.75,241.6,2219
2023-05-11,242.0,244.5,236.6,237.35,1288
2023-05-12,246.0,246.0,237.0,237.0,327
2023-05-15,240.45,240.45,231.75,233.2,134
2023-05-16,232.5,238.35,226.35,228.45,842
2023-05-17,232.7,233.9,229.65,229.65,447
2023-05-18,234.15,239.05,232.6,236.05,424
2023-05-19,233.6,237.9,233.6,235.15,253
2023-05-22,232.5,238.95,231.0,235.3,1030
2023-05-23,235.3,240.35,235.3,235.85,45
2023-05-24,231.65,240.95,228.5,230.2,1308
2023-05-25,230.2,232.75,230.2,232.55,390
2023-05-26,231.65,234.85,224.65,229.0,3166
2023-05-29,235.15,237.95,229.0,231.05,1656
2023-05-30,234.05,235.35,225.65,227.95,1477
2023-05-31,227.65,228.45,221.0,228.45,234
2023-06-01,226.7,231.1,216.4,231.1,3977
2023-06-02,231.25,231.25,227.85,227.85,18
2023-06-05,230.7,230.7,225.0,225.2,1067
2023-06-06,229.05,229.05,225.0,228.15,218
2023-06-07,224.65,231.75,223.95,225.05,814
2023-06-08,224.95,224.95,222.9,223.0,529
2023-06-09,224.6,230.0,221.0,226.0,2036
2023-06-12,223.35,230.05,223.35,224.4,472
2023-06-13,225.7,240.85,225.7,238.1,1211
2023-06-14,240.0,260.6,236.1,256.05,1748
2023-06-15,254.4,256.55,243.75,244.05,902
2023-06-16,248.7,256.9,248.25,252.9,2240
2023-06-19,252.75,290.4,243.35,262.5,7051
2023-06-20,255.05,265.0,249.0,252.75,1299
2023-06-21,251.2,259.15,247.95,250.9,339
2023-06-22,252.1,252.1,235.0,242.2,3236
2023-06-23,242.2,246.05,233.65,234.05,431
2023-06-26,233.65,233.65,231.1,233.35,89
2023-06-27,231.55,239.0,231.5,235.25,1349
2023-06-28,236.05,240.8,235.2,235.75,194
2023-06-30,246.35,248.4,228.5,231.5,13468
2023-07-03,231.5,235.3,226.0,228.45,697
2023-07-04,228.8,263.9,228.8,256.65,1602
2023-07-05,264.55,264.55,235.0,243.6,2606
2023-07-06,243.5,248.5,243.0,244.85,390
2023-07-07,243.0,243.3,235.0,239.3,820
2023-07-10,225.0,244.0,225.0,234.95,2494
2023-07-11,236.2,241.95,231.0,235.3,1663
2023-07-12,237.8,239.8,231.6,236.0,25081
2023-07-13,236.95,244.0,230.0,231.3,93598
2023-07-14,231.2,240.35,230.9,236.25,4003
2023-07-17,237.05,243.05,235.0,237.7,9877
2023-07-18,234.35,241.6,230.0,232.35,2974
2023-07-19,230.0,241.75,230.0,238.65,4198
2023-07-20,231.5,239.0,231.5,236.9,13596
2023-07-21,233.45,237.85,228.35,231.6,27132
2023-07-24,226.65,236.15,226.65,231.55,2396
2023-07-25,232.75,234.1,231.15,231.6,1436
2023-07-26,231.8,231.9,224.95,230.25,207
2023-07-27,231.5,232.9,230.0,232.05,731
2023-07-28,244.0,244.0,225.0,231.5,4712
2023-07-31,233.05,234.8,229.75,231.05,3653
2023-08-01,233.75,236.8,226.35,227.8,37218
2023-08-02,226.85,235.85,226.85,229.0,119
2023-08-03,227.4,235.0,227.0,234.6,1247
2023-08-04,234.35,236.05,230.9,235.3,2939
2023-08-07,235.4,239.8,235.4,235.4,364
2023-08-08,236.2,245.35,233.35,241.8,1671
2023-08-09,240.2,243.05,234.15,236.55,1422
2023-08-10,236.7,238.0,236.0,236.6,389
2023-08-11,237.5,245.85,233.5,236.85,1440
2023-08-14,234.75,236.4,229.35,235.95,9681
2023-08-16,237.5,237.5,231.0,233.15,1361
2023-08-17,235.9,236.2,230.95,232.6,805
2023-08-18,235.9,235.95,227.15,230.05,4924
2023-08-21,232.95,232.95,228.95,229.0,1107
2023-08-22,231.85,265.85,231.85,257.6,3258
2023-08-23,282.8,300.05,258.7,262.0,33296
