Datetime,Open,High,Low,Close,Volume
2022-03-24,40.0,42.0,40.0,42.0,70400
2022-03-25,44.1,44.1,44.1,44.1,6400
2022-03-28,46.3,46.3,46.3,46.3,4800
2022-03-29,48.6,48.6,47.0,47.3,1953600
2022-03-30,45.25,47.0,44.95,44.95,54400
2022-03-31,42.75,42.75,42.75,42.75,4800
2022-04-01,40.65,44.85,40.65,43.5,129600
2022-04-04,45.65,45.65,43.05,44.4,128000
2022-04-05,44.05,46.2,44.05,46.2,14400
2022-04-06,45.9,46.95,45.35,45.35,99200
2022-04-07,45.15,53.0,45.0,52.4,54400
2022-04-08,54.0,60.0,53.0,59.9,24000
2022-04-11,60.5,67.0,60.0,61.8,52800
2022-04-12,61.6,62.8,57.05,58.05,84800
2022-04-13,57.0,57.0,53.0,56.0,24000
2022-04-18,54.9,54.9,53.05,53.05,9600
2022-04-19,52.05,54.9,52.0,52.1,49600
2022-04-21,50.55,50.55,50.0,50.0,9600
2022-04-22,49.0,51.55,49.0,50.8,8000
2022-04-25,50.05,50.15,48.5,48.9,9600
2022-04-26,48.0,48.0,46.75,47.0,56000
2022-04-27,47.4,48.5,47.4,47.75,16000
2022-04-28,47.4,47.4,47.4,47.4,8000
2022-04-29,46.05,46.05,46.0,46.0,3200
2022-05-02,45.0,45.0,45.0,45.0,1600
2022-05-04,44.0,44.0,43.0,43.8,19200
2022-05-05,43.0,43.5,43.0,43.1,17600
2022-05-06,42.5,42.5,41.0,41.0,16000
2022-05-09,43.0,48.0,43.0,47.35,57600
2022-05-10,46.0,53.0,46.0,53.0,49600
2022-05-11,51.5,57.0,47.0,52.5,62400
2022-05-12,52.0,57.0,51.95,56.4,56000
2022-05-13,55.5,56.0,52.0,56.0,54400
2022-05-16,52.0,54.0,48.0,54.0,64000
2022-05-17,52.0,53.5,49.85,53.5,80000
2022-05-18,52.0,53.5,52.0,53.45,120000
2022-05-19,50.55,52.45,50.25,52.4,40000
2022-05-20,53.5,54.95,51.0,51.0,51200
2022-05-23,51.5,54.9,51.25,51.25,54400
2022-05-24,51.5,53.0,49.0,53.0,57600
2022-05-25,53.25,53.25,50.25,52.85,72000
2022-05-26,51.9,51.9,51.9,51.9,48000
2022-05-27,52.0,52.0,52.0,52.0,48000
2022-05-30,53.4,53.4,53.4,53.4,48000
2022-05-31,51.0,51.0,51.0,51.0,48000
2022-06-01,51.5,51.5,51.5,51.5,48000
2022-06-02,50.25,50.25,50.25,50.25,1600
2022-06-08,51.25,51.25,51.05,51.05,8000
2022-06-09,49.0,49.45,49.0,49.45,11200
2022-06-10,49.55,49.55,49.55,49.55,6400
2022-06-13,47.5,47.5,47.0,47.4,9600
2022-06-14,45.5,51.0,44.1,48.25,27200
2022-06-15,47.95,50.0,45.55,49.5,49600
2022-06-16,49.5,50.1,45.0,46.0,88000
2022-06-17,46.95,46.95,44.15,45.75,43200
2022-06-20,46.5,48.3,45.5,45.5,51200
2022-06-21,47.0,48.15,46.05,47.55,104000
2022-06-22,47.5,48.0,45.0,45.0,60800
2022-06-23,45.1,45.35,44.75,44.9,25600
2022-06-24,45.0,48.5,43.0,43.25,59200
2022-06-27,43.35,45.0,43.0,44.9,46400
2022-06-28,44.5,45.2,44.5,45.2,46400
2022-06-29,46.0,46.0,44.75,45.5,32000
2022-06-30,45.25,45.25,45.25,45.25,4800
2022-07-01,46.0,46.0,46.0,46.0,16000
2022-07-04,43.0,43.75,43.0,43.75,6400
2022-07-05,42.35,42.35,42.25,42.25,3200
2022-07-06,43.95,43.95,43.95,43.95,1600
2022-07-07,44.0,44.75,44.0,44.75,17600
2022-07-08,44.75,44.75,44.5,44.5,20800
2022-07-11,44.95,44.95,44.5,44.5,12800
2022-07-12,42.1,42.1,42.0,42.0,4800
2022-07-13,42.8,42.8,42.8,42.8,8000
2022-07-14,42.0,42.0,40.0,40.0,3200
2022-07-15,41.0,44.75,41.0,44.3,12800
2022-07-18,44.5,44.5,42.0,42.0,8000
2022-07-19,40.0,40.0,40.0,40.0,1600
2022-07-20,39.25,39.4,39.25,39.4,3200
2022-07-22,39.15,39.2,39.15,39.2,3200
2022-07-27,40.0,41.0,40.0,41.0,3200
2022-08-01,40.0,40.0,40.0,40.0,1600
2022-08-11,40.05,40.05,40.05,40.05,1600
2022-08-12,40.05,41.5,40.05,40.9,8000
2022-08-17,40.0,41.0,40.0,40.5,62400
2022-08-19,41.0,41.1,41.0,41.1,4800
2022-08-22,41.0,41.0,40.4,40.6,4800
2022-08-24,41.0,41.3,41.0,41.3,6400
2022-08-26,41.45,41.45,39.05,41.0,8000
2022-08-29,39.0,39.5,39.0,39.5,3200
2022-08-30,40.5,40.5,40.0,40.0,4800
2022-09-01,41.5,42.35,41.5,42.35,3200
2022-09-02,43.0,50.8,43.0,50.8,56000
2022-09-05,52.0,52.0,45.0,48.05,11200
2022-09-06,47.0,47.0,45.5,45.5,4800
2022-09-07,44.5,45.75,44.5,45.75,4800
2022-09-08,45.0,45.0,45.0,45.0,3200
2022-09-09,46.0,50.5,45.5,46.0,43200
2022-09-12,47.0,49.0,46.5,49.0,6400
2022-09-13,48.0,48.75,48.0,48.75,3200
2022-09-14,44.2,44.2,41.1,41.25,59200
2022-09-15,42.0,48.0,42.0,45.0,76800
2022-09-16,46.3,50.0,45.9,49.9,83200
2022-09-19,53.9,56.0,52.0,56.0,36800
2022-09-20,57.5,67.2,53.0,57.85,137600
2022-09-21,59.9,59.9,46.5,48.45,112000
2022-09-22,47.0,48.0,44.0,48.0,17600
2022-09-23,46.05,48.5,46.05,48.5,3200
2022-09-26,48.0,48.0,39.1,44.45,718400
2022-09-27,45.0,45.75,43.6,45.75,11200
2022-09-28,45.0,46.95,44.0,45.05,16000
2022-09-29,47.0,47.0,45.0,45.05,6400
2022-09-30,45.0,45.0,43.0,43.65,11200
2022-10-03,45.5,51.5,45.5,49.1,36800
2022-10-04,49.9,52.5,49.15,52.5,22400
2022-10-06,51.0,58.85,49.05,54.0,28800
2022-10-07,52.0,62.0,52.0,60.3,28800
2022-10-10,61.5,71.0,61.5,70.4,70400
2022-10-11,74.0,77.4,73.05,77.4,104000
2022-10-12,83.8,85.1,70.0,74.0,92800
2022-10-13,76.45,76.45,66.6,66.85,65600
2022-10-14,64.0,64.75,60.2,60.2,72000
