Datetime,Open,High,Low,Close,Volume
2019-05-28,6.75,6.75,6.75,6.75,11360
2019-05-29,7.08,7.08,7.08,7.08,6180
2019-05-30,7.43,7.43,6.73,6.73,9080
2019-06-03,6.75,6.75,6.46,6.46,7300
2019-06-10,6.48,6.48,6.48,6.48,4040
2019-06-11,6.25,6.25,6.25,6.25,220
2019-06-12,6.26,6.26,6.26,6.26,3000
2019-06-13,6.55,6.55,6.55,6.55,20
2019-06-14,6.26,6.26,6.26,6.26,2000
2019-06-17,6.26,6.26,6.26,6.26,1100
2019-06-19,6.26,6.26,6.2,6.2,5320
2019-06-24,6.2,6.2,6.2,6.2,2040
2019-06-26,6.2,6.2,6.2,6.2,2000
2019-06-27,6.2,6.2,6.2,6.2,1000
2019-06-28,5.89,6.51,5.89,6.51,1400
2019-07-01,6.45,6.51,6.45,6.51,59500
2019-07-02,6.5,6.6,6.3,6.5,9540
2019-07-04,6.8,6.8,6.8,6.8,20
2019-07-09,6.46,6.72,6.46,6.72,3080
2019-07-10,6.39,6.39,6.39,6.39,60
2019-07-12,6.07,6.07,6.07,6.07,200
2019-07-16,6.37,6.37,6.37,6.37,60
2019-07-19,6.06,6.6,6.06,6.6,1020
2019-07-24,6.28,6.28,6.28,6.28,1000
2019-07-25,6.55,6.55,6.55,6.55,20
2019-07-26,6.22,6.22,6.22,6.22,200
2019-07-29,6.05,6.25,5.91,6.1,720
2019-08-02,6.35,6.35,6.35,6.35,1000
2019-08-07,6.04,6.5,6.04,6.5,700
2019-08-16,6.25,6.83,6.18,6.83,5040
2019-08-27,6.49,7.08,6.49,7.03,44100
2019-08-28,6.68,6.68,6.68,6.68,8600
2019-08-29,6.34,7.01,6.34,7.0,1320
2019-09-03,6.9,6.9,6.9,6.9,60
2019-09-04,7.2,7.2,7.2,7.2,2200
2019-09-13,7.18,7.2,7.18,7.2,10000
2019-09-16,6.98,6.98,6.84,6.84,1040
2019-09-17,6.5,6.5,6.5,6.5,200
2019-09-26,6.83,6.83,6.21,6.21,4040
2019-09-27,5.9,5.9,5.9,5.9,2000
2019-10-03,5.61,5.61,5.61,5.61,100
2019-10-04,5.33,5.33,5.33,5.33,1020
2019-10-07,5.1,5.59,5.1,5.13,4000
2019-10-10,5.38,5.38,5.38,5.38,60
2019-10-14,5.38,5.38,5.38,5.38,200
2019-10-15,5.65,5.65,5.65,5.65,20
2019-10-17,5.65,5.65,5.65,5.65,40
2019-10-23,5.64,5.65,5.64,5.65,11000
2019-10-24,5.37,5.93,5.37,5.37,3220
2019-11-01,5.1,5.1,5.1,5.1,180
2019-11-04,5.0,5.36,4.85,5.36,10500
2019-11-13,5.9,5.9,5.9,5.9,200
2019-11-14,6.1,6.1,6.1,6.1,400
2019-11-18,6.1,6.1,5.8,5.81,440
2019-11-19,5.55,5.95,5.55,5.95,1020
2019-12-05,5.65,5.65,5.65,5.65,220
2019-12-06,5.37,5.37,5.37,5.37,640
2019-12-09,5.1,5.1,5.1,5.1,1160
2019-12-16,5.0,5.0,5.0,5.0,20
2019-12-31,4.85,5.25,4.75,4.75,26940
2020-01-01,4.99,4.99,4.93,4.93,2700
2020-01-02,5.17,5.17,4.8,4.8,4100
2020-01-06,5.04,5.04,4.56,4.56,22400
2020-01-09,4.79,4.79,4.79,4.79,40
2020-01-10,5.03,5.03,5.03,5.03,13160
2020-01-15,5.18,5.2,5.18,5.2,260
2020-01-16,5.46,5.46,5.0,5.0,180
2020-01-17,5.2,5.23,5.2,5.23,2000
2020-01-21,5.25,5.25,5.25,5.25,180
2020-01-22,5.25,5.25,5.25,5.25,2000
2020-01-23,5.5,5.5,5.0,5.0,540
2020-01-29,4.75,4.75,4.75,4.75,2000
2020-01-30,4.95,4.95,4.95,4.95,60
2020-01-31,4.95,4.95,4.95,4.95,40
2020-02-06,4.95,4.95,4.95,4.95,7000
