Datetime,Open,High,Low,Close,Volume
2019-05-28,62.05,63.0,61.15,61.85,10783
2019-05-29,62.0,62.35,60.0,60.3,6183
2019-05-30,61.0,61.5,60.2,60.55,4836
2019-06-03,59.0,61.15,58.65,59.0,5025
2019-06-10,54.65,55.55,49.4,49.8,20703
2019-06-11,50.3,53.25,50.0,51.6,17360
2019-06-12,51.5,52.25,49.8,50.65,7064
2019-06-13,51.35,51.85,47.9,48.2,11283
2019-06-14,49.45,50.55,48.5,49.45,10635
2019-06-17,48.65,50.0,47.8,49.0,6465
2019-06-18,49.0,49.25,47.6,47.8,7039
2019-06-19,48.3,49.0,42.3,44.05,28941
2019-06-20,42.6,46.95,42.6,46.7,14773
2019-06-21,45.85,50.45,45.75,49.45,17761
2019-06-24,49.5,50.5,48.95,49.95,8041
2019-06-25,49.2,52.2,47.9,51.2,5755
2019-06-26,51.7,52.2,49.4,51.45,10133
2019-06-27,51.0,51.45,50.5,51.4,4437
2019-06-28,51.1,51.2,49.85,50.25,3694
2019-07-01,51.0,51.9,50.05,50.85,6933
2019-07-02,51.4,55.8,51.4,54.6,28359
2019-07-03,54.6,54.85,52.0,52.5,16771
2019-07-04,53.0,53.95,52.55,53.0,5740
2019-07-05,52.65,53.3,50.1,50.45,11612
2019-07-08,49.05,49.6,48.0,48.2,5424
2019-07-09,48.7,50.8,48.15,50.25,10508
2019-07-10,50.25,50.5,48.2,48.8,22916
2019-07-11,48.8,49.65,48.4,48.7,2638
2019-07-12,48.95,48.95,48.15,48.45,2385
2019-07-15,48.9,48.95,47.25,47.7,4345
2019-07-16,47.45,47.85,47.0,47.35,3546
2019-07-17,47.1,49.55,46.9,48.25,7491
2019-07-18,47.95,48.85,47.5,48.0,10824
2019-07-19,48.1,48.1,45.5,46.0,11587
2019-07-22,45.0,45.9,44.5,44.9,4471
2019-07-23,45.1,46.3,45.05,45.55,1601
2019-07-24,45.25,46.0,43.9,44.8,10340
2019-07-25,45.0,45.3,44.05,44.85,2685
2019-07-26,44.1,46.35,44.1,45.45,5539
2019-07-29,45.5,45.5,43.75,44.1,2570
2019-07-30,44.4,44.7,42.1,42.75,12170
2019-07-31,42.1,42.2,40.2,40.85,12078
2019-08-01,41.0,41.45,40.05,40.5,9831
2019-08-02,40.05,40.15,37.9,39.95,6988
2019-08-05,38.6,39.1,37.6,38.75,4272
