Datetime,Open,High,Low,Close,Volume
2019-05-28,1025.0,1075.0,1025.0,1075.0,16
2019-05-30,1124.5,1128.75,1023.5,1023.5,26
2019-06-03,1022.5,1022.5,974.3,974.3,10
2019-06-10,925.5,969.95,925.5,947.73,10
2019-06-11,905.5,956.0,905.5,956.0,22
2019-06-12,999.98,1003.8,999.98,1003.8,36
2019-06-13,1053.97,1053.97,955.0,956.63,154
2019-06-14,994.9,995.0,994.9,995.0,10
2019-06-17,945.75,945.75,945.53,945.53,4
2019-06-18,900.0,952.5,900.0,924.6,54
2019-06-19,899.5,906.0,899.5,900.0,54
2019-06-20,945.0,945.0,945.0,945.0,2
2019-06-21,992.25,992.25,992.25,992.25,100
2019-06-24,1041.85,1041.85,1041.85,1041.85,8
2019-06-25,1093.93,1093.93,1093.93,1093.93,2
2019-06-26,1148.6,1148.6,1148.6,1148.6,118
2019-06-27,1206.03,1206.03,1205.95,1206.03,844
2019-06-28,1266.32,1266.32,1213.0,1250.0,306
2019-07-01,1292.5,1312.5,1275.03,1312.5,218
2019-07-02,1312.5,1378.0,1308.0,1375.25,294
2019-07-03,1377.5,1429.5,1377.5,1417.47,88
2019-07-04,1399.0,1399.0,1399.0,1399.0,4
2019-07-08,1399.0,1399.0,1329.05,1385.0,32
2019-07-09,1318.05,1347.47,1315.75,1346.97,66
2019-07-10,1348.93,1348.95,1280.0,1280.0,12
2019-07-11,1335.0,1335.0,1274.97,1275.0,24
2019-07-12,1225.0,1292.5,1225.0,1292.5,174
2019-07-15,1262.5,1332.5,1262.5,1325.0,90
2019-07-16,1330.0,1330.0,1300.0,1300.0,44
2019-07-17,1300.55,1300.55,1300.0,1300.1,52
2019-07-18,1301.0,1301.0,1237.8,1263.3,158
2019-07-19,1201.53,1262.5,1201.53,1262.5,8
2019-07-22,1205.0,1205.0,1205.0,1205.0,8
2019-07-24,1244.47,1244.47,1244.47,1244.47,10
2019-07-25,1185.5,1246.5,1182.5,1246.5,14
2019-07-26,1185.0,1185.0,1185.0,1185.0,2
2019-07-30,1150.0,1241.5,1126.0,1136.88,24
2019-07-31,1193.68,1193.7,1193.68,1193.7,20
2019-08-01,1253.18,1253.38,1143.05,1225.0,184
2019-08-02,1284.5,1284.5,1200.0,1256.57,100
2019-08-05,1317.68,1317.68,1270.5,1315.0,100
2019-08-06,1349.5,1349.5,1249.25,1250.0,312
2019-08-07,1237.95,1319.97,1194.0,1227.0,254
2019-08-08,1275.1,1325.0,1275.0,1296.75,398
2019-08-09,1325.0,1422.5,1322.0,1378.8,508
2019-08-13,1500.0,1515.0,1330.0,1378.5,237
2019-08-14,1449.0,1449.0,1340.1,1340.5,28
2019-08-16,1260.05,1395.0,1260.05,1350.0,7
2019-08-19,1225.1,1400.0,1225.1,1348.2,102
2019-08-20,1255.05,1290.0,1216.0,1220.0,71
2019-08-21,1200.0,1200.0,1100.0,1100.05,104
2019-08-22,1152.0,1155.0,1100.0,1104.55,45
2019-08-23,1049.5,1150.0,1049.5,1067.1,61
2019-08-26,1090.0,1098.0,1040.0,1065.1,11
2019-08-27,1065.1,1100.0,1012.0,1021.0,53
2019-08-28,976.05,1044.0,970.0,1018.2,42
2019-08-29,970.0,987.0,970.0,987.0,4
2019-08-30,1030.0,1036.0,966.0,1035.9,23
2019-09-03,1087.65,1087.65,1035.9,1035.9,26
2019-09-04,1080.0,1080.0,1000.7,1000.7,38
2019-09-05,1050.7,1050.7,1006.0,1049.9,18
2019-09-06,1102.0,1102.0,1006.0,1042.35,47
2019-09-11,1000.0,1000.0,1000.0,1000.0,5
2019-09-12,1050.0,1050.0,1010.0,1010.0,13
2019-09-13,1010.0,1054.9,976.0,982.35,75
2019-09-16,1028.95,1029.95,976.25,976.25,30
2019-09-17,1025.0,1025.0,938.25,999.9,24
2019-09-18,999.95,1024.0,970.0,995.0,43
2019-09-19,956.25,956.25,945.3,945.3,47
2019-09-20,990.0,990.0,980.0,983.0,5
2019-09-23,981.0,1024.9,940.0,999.65,46
2019-09-24,1044.0,1045.95,953.1,999.0,40
