Datetime,Open,High,Low,Close,Volume
2019-05-28,2.24,2.24,2.24,2.24,4125
2019-05-30,2.24,2.24,2.24,2.24,12000
2019-06-03,2.21,2.35,2.21,2.35,1575
2019-06-10,2.79,2.79,2.63,2.79,88193
2019-06-11,2.91,2.92,2.91,2.92,95693
2019-06-12,3.06,3.06,3.06,3.06,65213
2019-06-13,3.2,3.21,3.2,3.21,93285
2019-06-14,3.37,3.37,3.37,3.37,29595
2019-06-17,3.53,3.53,3.53,3.53,70290
2019-06-18,3.71,3.71,3.5,3.64,198525
2019-06-19,3.66,3.82,3.47,3.82,202305
2019-06-20,4.01,4.01,4.01,4.01,184350
2019-06-21,4.21,4.21,4.21,4.21,113843
2019-06-24,4.29,4.29,4.13,4.29,111128
2019-06-25,4.29,4.37,4.21,4.31,158813
2019-06-26,4.37,4.39,4.23,4.39,142733
2019-06-27,4.39,4.47,4.39,4.47,32805
2019-06-28,4.56,4.56,4.56,4.56,54413
2019-07-01,4.65,4.65,4.64,4.65,13200
2019-07-02,4.73,4.73,4.56,4.73,8775
2019-07-03,4.83,4.83,4.64,4.73,31283
2019-07-04,4.73,4.73,4.72,4.72,158
2019-07-05,4.66,4.81,4.63,4.81,148913
2019-07-08,4.91,4.91,4.79,4.89,154763
2019-07-09,4.8,4.99,4.8,4.8,85388
2019-07-10,4.71,4.86,4.71,4.71,88500
2019-07-11,4.71,4.8,4.61,4.61,26160
2019-07-12,4.53,4.55,4.53,4.53,23550
2019-07-16,4.44,4.44,4.44,4.44,38250
2019-07-17,4.38,4.38,4.35,4.35,225
2019-07-19,4.27,4.27,4.27,4.27,3758
2019-07-22,4.19,4.19,4.19,4.19,5265
2019-07-23,4.11,4.11,4.11,4.11,17625
2019-07-24,4.03,4.03,4.03,4.03,15930
2019-07-25,3.95,4.0,3.95,4.0,11790
2019-07-26,3.92,4.08,3.92,4.08,1815
2019-07-29,4.0,4.0,4.0,4.0,14933
2019-07-30,3.92,3.92,3.92,3.92,7500
2019-08-02,3.87,3.87,3.87,3.87,188
2019-08-06,3.87,3.87,3.87,3.87,413
2019-08-09,3.87,3.87,3.87,3.87,4463
2019-08-13,3.87,3.87,3.87,3.87,2250
2019-08-14,3.87,3.87,3.87,3.87,1313
2019-08-22,3.87,3.87,3.87,3.87,38
2019-08-26,3.68,3.68,3.68,3.68,1200
2019-08-27,3.5,3.63,3.5,3.63,848
2019-08-28,3.45,3.45,3.45,3.45,75
2019-08-30,3.29,3.29,3.29,3.29,750
2019-09-03,3.13,3.13,3.13,3.13,75
2019-09-04,2.98,2.98,2.98,2.98,750
2019-09-05,2.98,2.98,2.83,2.83,1125
2019-09-06,2.83,2.83,2.69,2.73,16418
2019-09-11,2.75,2.75,2.75,2.75,300
2019-09-12,2.88,2.88,2.77,2.77,4163
2019-09-16,2.9,2.9,2.63,2.67,1133
2019-09-17,2.54,2.8,2.54,2.67,1110
2019-09-18,2.54,2.54,2.54,2.54,1343
2019-09-19,2.47,2.59,2.47,2.59,3188
2019-09-20,2.47,2.47,2.47,2.47,75
2019-09-23,2.47,2.47,2.47,2.47,8475
2019-09-24,2.47,2.47,2.47,2.47,750
2019-09-25,2.41,2.41,2.41,2.41,75
2019-09-30,2.53,2.53,2.53,2.53,38
2019-10-04,2.43,2.65,2.43,2.65,45
2019-10-07,2.77,2.77,2.54,2.54,1688
2019-10-09,2.67,2.67,2.67,2.67,38
2019-10-10,2.54,2.54,2.53,2.53,112598
2019-10-11,2.41,2.41,2.41,2.41,41250
2019-10-14,2.29,2.29,2.29,2.29,146153
2019-10-15,2.19,2.4,2.19,2.4,383
2019-10-16,2.29,2.51,2.29,2.51,383
2019-10-17,2.51,2.63,2.51,2.51,13538
2019-10-18,2.4,2.63,2.4,2.63,945
2019-10-22,2.6,2.76,2.6,2.6,24780
2019-10-24,2.73,2.73,2.73,2.73,8
2019-10-29,2.76,2.76,2.76,2.76,1200
2019-10-30,2.72,2.72,2.63,2.63,225
2019-10-31,2.5,2.51,2.5,2.51,750
2019-11-13,2.57,2.57,2.57,2.57,4515
2019-11-14,2.49,2.63,2.49,2.63,12750
2019-11-15,2.72,2.76,2.57,2.71,7838
2019-11-18,2.85,2.85,2.85,2.85,8
2019-11-19,2.99,2.99,2.76,2.86,1935
2019-11-20,2.8,3.0,2.73,2.99,6225
2019-11-22,2.92,2.92,2.91,2.91,3750
2019-11-25,2.84,3.04,2.84,3.04,1515
2019-11-26,2.92,3.12,2.9,3.12,18450
2019-11-27,2.99,2.99,2.97,2.97,22695
2019-11-28,2.87,2.87,2.87,2.87,3000
2019-12-04,2.76,2.76,2.76,2.76,570
2019-12-05,2.89,2.89,2.89,2.89,2250
2019-12-06,2.99,2.99,2.76,2.77,7238
2019-12-09,2.76,2.76,2.76,2.76,8
2019-12-10,2.89,2.89,2.63,2.73,2603
2019-12-11,2.63,2.85,2.63,2.81,4500
2019-12-12,2.81,2.81,2.73,2.73,7538
2019-12-13,2.64,2.64,2.64,2.64,83
2019-12-16,2.76,2.76,2.76,2.76,750
