Datetime,Open,High,Low,Close,Volume
2019-05-28,150.0,160.0,150.0,155.95,570
2019-05-29,159.9,159.9,150.0,155.0,221
2019-05-30,147.35,154.0,147.25,151.2,741
2019-06-03,138.0,149.9,138.0,149.9,21
2019-06-10,146.0,146.0,146.0,146.0,20
2019-06-12,146.0,146.0,146.0,146.0,50
2019-06-13,146.0,146.0,144.0,144.0,600
2019-06-17,140.0,142.0,140.0,142.0,170
2019-06-18,147.95,147.95,147.95,147.95,29
2019-06-20,140.7,140.7,140.7,140.7,1675
2019-06-24,135.05,146.65,135.05,139.95,453
2019-06-25,146.9,146.9,141.0,143.95,485
2019-06-26,149.95,151.0,141.0,148.85,235
2019-06-27,149.9,156.0,149.9,155.0,1100
2019-06-28,154.0,154.0,154.0,154.0,100
2019-07-01,150.0,152.0,147.55,152.0,376
2019-07-02,145.05,153.9,145.0,152.85,1398
2019-07-03,153.0,154.0,153.0,154.0,300
2019-07-04,157.7,158.0,152.0,157.5,208
2019-07-05,164.9,164.9,150.0,156.0,666
2019-07-08,160.0,160.0,150.0,153.0,427
2019-07-09,159.9,159.9,147.5,147.85,562
2019-07-10,155.0,155.0,146.0,146.8,1611
2019-07-11,142.0,154.0,142.0,154.0,26
2019-07-12,147.3,147.3,147.3,147.3,26
2019-07-15,140.4,149.0,139.95,149.0,86
2019-07-19,141.6,141.6,141.6,141.6,150
2019-07-22,134.55,134.55,134.55,134.55,50
2019-07-24,128.1,128.1,128.1,128.1,1
2019-07-26,130.0,130.0,130.0,130.0,207
2019-07-29,133.0,133.0,130.0,130.0,2300
2019-07-31,123.5,136.5,123.5,136.5,434
2019-08-05,129.7,129.7,129.7,129.7,28
2019-08-09,135.0,135.9,123.3,135.9,83
2019-08-13,141.75,141.8,141.75,141.8,40
2019-08-14,134.75,138.0,134.75,137.9,564
2019-08-16,144.4,144.4,133.1,143.5,310
2019-08-19,137.0,137.0,137.0,137.0,25
2019-08-20,143.85,143.85,138.0,140.0,776
2019-08-21,133.6,133.6,133.6,133.6,9
2019-08-22,137.95,138.0,128.0,132.0,4
2019-08-23,125.4,138.6,125.4,138.6,14
2019-08-26,131.7,131.7,131.7,131.7,21
2019-08-27,138.25,138.25,134.1,138.25,425
2019-08-28,140.0,140.0,134.1,134.1,1301
2019-08-29,133.0,140.0,133.0,139.8,4660
2019-09-03,133.2,133.2,133.2,133.2,40
2019-09-04,129.75,129.75,129.75,129.75,200
2019-09-05,131.0,135.0,131.0,135.0,15
2019-09-06,138.0,141.5,138.0,141.5,815
2019-09-11,136.6,145.0,136.6,145.0,8030
2019-09-13,145.0,145.0,145.0,145.0,44
2019-09-16,137.75,145.0,137.75,145.0,103
2019-09-18,137.75,152.25,137.75,152.25,257
2019-09-19,159.0,159.0,149.9,155.0,42
2019-09-20,158.5,158.5,147.25,147.25,100
2019-09-23,150.5,150.5,148.5,148.5,55
2019-09-24,150.0,150.0,150.0,150.0,30
2019-09-27,143.1,143.1,142.5,142.5,422
2019-09-30,142.55,148.7,135.9,143.0,1686
2019-10-03,136.0,137.0,136.0,137.0,40
2019-10-04,130.2,136.0,130.15,134.95,1500
2019-10-10,130.25,135.0,130.2,134.95,1171
2019-10-11,135.0,141.65,135.0,141.65,25
2019-10-14,135.0,147.7,135.0,138.35,363
2019-10-16,144.9,145.25,141.0,145.05,1066
2019-10-17,148.0,151.5,138.35,148.9,166
2019-10-22,141.5,141.5,141.5,141.5,25
2019-10-23,141.5,147.0,134.45,147.0,110
2019-10-24,140.0,150.0,139.65,150.0,100
2019-10-29,153.0,153.0,146.65,152.0,125
2019-10-31,144.4,151.75,144.4,150.0,583
2019-11-01,150.0,150.0,142.5,142.5,220
2019-11-04,142.5,142.5,142.5,142.5,1
2019-11-05,136.2,149.0,135.55,145.0,1205
2019-11-06,151.0,152.25,144.25,152.2,2352
2019-11-07,145.3,150.0,144.6,144.65,301
2019-11-13,137.0,143.85,130.6,134.9,1053
2019-11-14,131.0,135.0,128.2,128.55,1343
2019-11-15,129.0,129.0,123.05,124.0,279
2019-11-18,123.0,124.0,123.0,124.0,102
2019-11-19,123.1,125.0,118.0,122.5,650
2019-11-20,117.35,125.0,117.25,124.35,642
2019-11-21,129.0,130.55,120.25,130.55,1649
2019-11-22,136.95,136.95,132.0,135.0,284
2019-11-28,128.95,132.0,128.9,132.0,2340
2019-11-29,125.45,134.85,125.4,125.4,463
2019-12-02,127.5,128.0,127.5,128.0,719
2019-12-03,124.05,124.05,124.0,124.0,12
2019-12-04,118.15,127.75,118.0,127.75,4289
2019-12-06,139.9,139.9,120.05,129.4,1504
2019-12-09,130.0,135.95,119.0,127.3,452
2019-12-10,130.0,133.95,125.1,133.75,339
2019-12-11,122.6,127.95,122.55,123.3,54
2019-12-12,116.45,124.0,116.45,124.0,149
2019-12-13,124.0,133.8,124.0,124.05,502
2019-12-16,129.4,132.0,126.0,131.2,809
2019-12-17,135.95,136.0,135.95,135.95,180
2019-12-19,125.25,140.0,125.25,129.75,345
2019-12-20,125.05,138.95,125.05,132.55,20
2019-12-23,123.4,139.95,123.4,134.05,205
2019-12-27,143.4,143.4,122.25,134.0,23
2019-12-30,122.75,134.0,122.75,133.95,51
2019-12-31,124.1,129.0,121.05,127.0,1917
2020-01-01,120.0,134.6,120.0,131.45,165
2020-01-02,123.75,135.0,123.7,124.65,104
2020-01-03,134.6,134.6,114.0,125.0,10395
2020-01-06,130.0,130.0,125.0,126.0,13101
2020-01-07,125.0,125.0,124.0,125.0,5822
2020-01-13,125.0,125.0,121.0,121.0,271
2020-01-15,123.0,123.0,123.0,123.0,538
2020-01-16,122.0,131.95,122.0,122.4,27
2020-01-17,111.1,132.75,111.1,125.3,292
2020-01-21,125.25,134.0,113.2,125.0,894
2020-01-22,121.0,125.0,119.1,124.15,551
2020-01-23,131.0,131.0,119.05,125.0,17
2020-01-24,129.8,129.8,119.0,119.7,70
2020-01-28,124.0,124.0,120.0,120.0,259
2020-01-29,120.5,120.5,120.5,120.5,15
2020-01-30,120.0,120.0,120.0,120.0,300
2020-02-01,128.9,128.9,119.0,119.0,201
2020-02-04,126.95,130.0,126.45,128.7,1057
2020-02-06,128.0,128.6,128.0,128.1,510
2020-02-07,114.0,125.0,105.5,110.6,9
2020-02-10,129.9,129.9,120.05,123.6,8
2020-02-11,127.0,127.0,107.55,117.55,12
2020-02-12,120.0,120.0,120.0,120.0,900
2020-02-13,109.15,129.95,109.15,120.0,29
2020-02-17,129.0,129.0,110.0,120.0,713
2020-02-19,129.0,129.0,125.95,129.0,56
2020-02-24,128.0,128.0,107.15,126.0,912
2020-02-26,120.0,120.0,120.0,120.0,26
2020-02-27,124.0,124.0,124.0,124.0,147
2020-02-28,124.0,130.0,101.0,110.0,254
2020-03-02,104.05,116.0,103.1,112.85,258
2020-03-03,110.0,111.0,110.0,111.0,260
2020-03-04,110.0,112.1,108.0,108.0,839
2020-03-06,107.0,118.0,100.0,118.0,1001
2020-03-09,117.95,117.95,115.0,115.0,11
2020-03-11,115.0,115.0,115.0,115.0,202
2020-03-12,102.0,109.0,92.1,92.9,506
2020-03-13,104.0,104.9,80.0,82.6,834
2020-03-16,91.0,99.1,80.8,99.1,1351
2020-03-17,112.9,112.9,88.4,88.8,123
2020-03-18,104.9,104.9,83.7,86.0,560
2020-03-20,97.8,97.8,97.8,97.8,10
2020-03-23,90.0,90.0,78.55,79.5,354
2020-03-24,95.2,95.2,78.55,89.8,55
2020-03-25,89.8,93.7,89.8,90.0,46
2020-03-27,89.0,89.95,74.05,89.95,203
2020-04-01,74.7,98.95,74.7,82.3,122
2020-04-03,97.95,97.95,73.35,84.95,100
2020-04-07,90.0,90.0,83.35,85.45,243
2020-04-08,84.0,99.0,73.7,81.4,5602
2020-04-09,85.25,85.3,83.95,84.0,480
2020-04-13,84.0,87.95,81.0,83.8,1712
2020-04-15,84.5,85.0,84.5,85.0,1057
2020-04-16,89.0,89.0,86.0,86.0,206
2020-04-17,86.5,86.5,86.0,86.0,199
2020-04-20,83.15,87.0,83.15,85.75,3
2020-04-21,84.5,87.5,82.1,83.15,531
2020-04-22,86.45,86.95,81.0,82.4,95
2020-04-23,86.0,86.0,80.05,80.55,17
2020-04-24,80.0,84.4,80.0,81.0,357
2020-04-27,85.0,85.05,80.2,83.1,233
2020-04-28,83.1,84.8,80.3,80.95,388
2020-04-29,81.0,81.0,77.0,79.1,238
2020-04-30,80.05,81.9,79.15,79.55,495
2020-05-04,83.0,83.0,82.95,83.0,113
2020-05-05,86.15,86.15,78.85,79.0,610
2020-05-06,82.95,82.95,79.55,79.65,128
2020-05-07,80.0,81.0,77.2,80.9,75
2020-05-12,80.1,84.25,80.05,82.65,577
2020-05-13,83.0,83.0,79.0,80.2,424
2020-05-14,82.0,82.0,78.05,79.9,173
2020-05-15,80.0,80.0,80.0,80.0,44
2020-05-18,84.0,84.0,79.0,79.0,463
2020-05-19,82.7,82.7,78.0,82.65,47
2020-05-20,78.55,80.1,78.55,80.1,20
2020-05-21,80.0,80.0,80.0,80.0,112
2020-05-22,76.3,83.95,76.25,80.1,635
2020-05-26,77.15,84.1,77.15,83.45,1128
2020-05-27,80.05,80.05,79.35,79.4,50
2020-05-28,76.0,83.35,75.45,83.35,4383
2020-05-29,80.55,87.0,80.55,83.0,457
2020-06-01,83.0,83.05,83.0,83.0,514
2020-06-02,85.95,85.95,83.0,83.0,504
2020-06-03,82.0,83.0,80.1,80.2,600
2020-06-04,82.0,82.5,81.9,81.9,106
2020-06-05,83.0,84.0,83.0,84.0,701
2020-06-08,80.95,90.0,80.0,89.4,1124
2020-06-09,93.85,93.85,91.8,91.8,784
2020-06-10,94.95,94.95,91.0,91.0,146
2020-06-11,91.0,91.0,91.0,91.0,4
2020-06-12,81.9,99.85,81.9,99.05,709
2020-06-15,108.9,108.95,95.0,102.5,1381
2020-06-16,103.0,112.7,103.0,103.1,5083
2020-06-17,103.1,111.3,103.1,111.15,576
2020-06-18,111.0,111.0,103.0,103.0,743
2020-06-19,111.0,111.0,96.0,98.0,1301
2020-06-22,93.55,102.8,93.55,102.0,363
2020-06-23,100.0,112.1,100.0,111.9,2920
2020-06-24,112.0,115.0,107.0,115.0,810
2020-06-25,111.0,120.0,111.0,119.0,4082
2020-06-26,113.7,113.7,113.05,113.35,412
2020-06-29,108.0,115.9,107.7,111.0,197
2020-06-30,111.0,111.0,105.55,105.65,69
2020-07-01,100.7,110.9,100.7,110.9,2025
2020-07-02,116.25,116.25,115.9,115.95,25
2020-07-03,110.2,110.2,110.2,110.2,50
2020-07-06,115.55,115.55,110.2,114.3,23
2020-07-07,114.0,114.0,114.0,114.0,22
2020-07-09,109.0,112.0,108.3,112.0,734
2020-07-10,110.0,110.0,109.9,109.95,100
2020-07-13,110.0,110.0,104.5,104.5,273
2020-07-14,104.95,104.95,99.55,100.35,222
2020-07-15,104.0,104.0,98.0,98.0,61
2020-07-16,102.9,102.9,98.2,98.75,218
2020-07-17,103.65,103.65,103.65,103.65,20
2020-07-20,99.0,100.0,99.0,100.0,3
2020-07-21,104.9,105.0,95.0,95.45,396
2020-07-23,100.0,100.0,99.5,99.5,267
2020-07-24,95.1,104.25,95.1,99.1,528
2020-07-27,96.1,96.25,95.0,95.0,944
2020-07-28,91.15,96.0,91.0,94.05,1042
2020-07-29,95.0,98.75,95.0,98.7,457
2020-07-30,103.3,103.3,94.5,103.05,128
2020-07-31,102.0,102.0,97.9,98.9,1225
2020-08-03,102.9,102.9,100.0,102.2,169
2020-08-04,106.55,106.55,104.85,104.85,286
2020-08-05,99.75,106.5,99.65,99.95,578
2020-08-06,99.0,99.0,95.15,96.7,426
2020-08-07,101.4,101.5,101.4,101.5,75
2020-08-10,103.8,103.85,102.5,102.5,45
2020-08-11,103.0,103.0,100.05,102.95,117
2020-08-12,102.0,102.0,102.0,102.0,50
2020-08-13,103.35,103.35,100.0,100.55,54
2020-08-14,102.55,102.55,99.0,100.0,152
2020-08-17,100.5,100.5,100.5,100.5,10
2020-08-18,100.6,100.6,100.6,100.6,19
2020-08-19,100.6,103.0,100.6,101.0,148
2020-08-20,100.0,101.5,96.0,101.5,360
2020-08-21,101.5,102.9,96.45,101.05,701
2020-08-24,98.55,98.55,98.55,98.55,20
2020-08-25,100.0,100.0,100.0,100.0,20
2020-08-26,99.0,104.9,99.0,104.0,94
2020-08-27,103.9,103.9,99.0,99.0,137
2020-08-28,100.0,103.95,99.5,103.95,26
2020-08-31,99.0,103.95,99.0,99.5,176
2020-09-01,103.7,103.75,103.7,103.75,20
2020-09-02,99.75,103.7,99.75,100.0,105
2020-09-03,100.0,100.0,95.2,99.4,313
2020-09-04,99.4,102.0,99.4,102.0,39
2020-09-07,107.1,107.1,97.5,97.6,301
2020-09-08,98.0,98.0,95.0,95.0,127
2020-09-09,90.8,94.0,90.65,91.7,464
2020-09-10,96.0,96.25,92.75,92.75,391
2020-09-11,91.0,96.95,91.0,96.95,300
2020-09-14,100.95,100.95,93.4,99.45,360
2020-09-15,99.45,99.95,94.5,96.05,320
2020-09-16,93.5,100.0,93.5,99.8,193
2020-09-17,96.0,98.0,95.0,98.0,129
2020-09-18,96.0,96.0,96.0,96.0,146
2020-09-21,93.05,96.0,93.0,93.0,338
2020-09-22,93.0,97.0,91.15,97.0,137
2020-09-24,93.05,97.9,93.0,95.45,657
2020-09-25,94.5,94.5,94.0,94.0,129
2020-09-30,94.0,95.0,94.0,95.0,47
2020-10-01,90.9,95.1,90.9,95.1,100
2020-10-06,90.9,93.15,90.9,93.1,402
2020-10-07,93.1,93.1,92.0,92.65,100
2020-10-08,92.0,92.0,92.0,92.0,500
2020-10-09,96.6,96.6,93.7,93.7,12
2020-10-12,92.05,92.05,92.0,92.0,249
2020-10-13,91.05,93.9,91.05,92.35,107
2020-10-15,92.0,92.0,92.0,92.0,182
2020-10-16,90.55,90.55,87.4,88.35,867
2020-10-19,88.0,90.0,88.0,90.0,105
2020-10-20,88.0,88.0,87.5,88.0,388
2020-10-22,88.0,88.0,88.0,88.0,100
2020-10-23,85.6,92.4,85.6,92.4,164
2020-10-26,87.9,88.0,87.8,87.85,455
2020-10-27,83.7,92.2,83.7,92.2,23
2020-10-28,87.9,96.8,87.9,88.55,45
2020-10-30,88.0,92.85,88.0,92.85,123
2020-11-02,94.5,94.5,94.45,94.45,24
2020-11-03,90.0,90.0,89.75,89.75,546
2020-11-05,91.0,91.0,91.0,91.0,1
2020-11-06,95.5,95.5,88.1,94.05,385
2020-11-09,89.55,93.95,89.55,91.95,201
2020-11-12,92.05,96.15,90.55,96.15,602
2020-11-13,96.0,96.0,96.0,96.0,40
2020-11-17,91.3,95.0,91.3,91.6,182
2020-11-18,91.65,96.15,91.65,96.1,210
2020-11-19,96.15,97.5,92.55,97.5,133
2020-11-20,97.0,98.95,92.65,92.95,1414
2020-11-23,96.45,97.55,94.6,97.55,577
2020-11-25,98.0,102.4,93.0,98.5,919
2020-11-26,93.6,102.95,93.6,94.2,56
2020-11-27,98.75,98.8,98.75,98.8,322
2020-12-02,100.95,100.95,99.5,99.5,110
2020-12-03,99.85,99.85,99.85,99.85,1
2020-12-04,99.85,101.25,95.0,100.95,819
2020-12-07,96.0,102.0,96.0,96.5,493
2020-12-08,99.0,99.8,96.0,99.8,533
2020-12-09,100.0,100.0,96.05,97.65,380
2020-12-10,101.0,101.0,93.5,99.85,762
2020-12-11,95.2,100.05,95.2,95.8,161
2020-12-14,98.0,98.0,97.0,97.0,425
2020-12-15,97.0,100.5,97.0,100.0,459
2020-12-16,97.2,99.95,97.0,99.0,911
2020-12-17,99.0,99.0,99.0,99.0,50
2020-12-18,95.45,99.45,94.05,98.2,358
2020-12-21,95.15,99.85,95.1,95.1,314
2020-12-23,95.0,98.75,95.0,97.1,574
2020-12-24,101.9,101.95,99.0,101.95,3312
2020-12-28,105.9,107.0,103.0,107.0,3611
2020-12-29,112.35,112.35,110.0,112.35,3411
2020-12-30,116.85,117.0,110.8,112.3,1830
2021-01-01,117.75,117.75,107.6,112.4,417
2021-01-04,117.45,118.0,107.65,112.6,1089
2021-01-05,107.5,115.95,107.0,110.9,630
2021-01-06,108.05,114.95,108.05,112.9,1858
2021-01-08,117.0,117.0,108.65,108.8,498
2021-01-11,103.4,114.15,103.4,107.3,823
2021-01-12,112.65,112.65,103.15,110.0,6
2021-01-13,114.0,114.0,108.0,108.0,1282
2021-01-14,111.95,111.95,108.0,108.0,27
2021-01-15,102.95,112.9,102.95,112.0,222
2021-01-18,111.95,111.95,106.4,109.75,1660
2021-01-19,105.05,108.95,105.05,105.5,712
2021-01-20,110.75,110.75,105.0,105.05,380
2021-01-21,102.45,104.05,102.45,103.5,578
2021-01-22,98.55,108.55,98.55,99.35,231
2021-01-25,104.25,104.25,98.55,103.1,1028
2021-01-27,105.0,106.0,97.95,99.4,1239
2021-01-28,94.6,103.95,94.45,94.5,2341
2021-01-29,95.0,95.1,93.0,95.0,96
2021-02-01,90.85,99.75,90.85,97.55,643
2021-02-02,101.9,101.9,92.7,95.05,426
2021-02-03,99.75,99.8,92.35,99.8,3072
2021-02-04,99.5,99.5,94.95,94.95,121
2021-02-05,93.05,96.1,93.05,96.0,92
2021-02-08,100.85,100.85,95.0,95.0,511
2021-02-09,103.0,103.0,91.4,91.4,64
2021-02-10,91.4,100.5,91.4,100.05,630
2021-02-11,100.5,100.5,95.1,95.1,347
2021-02-12,93.65,94.05,93.65,93.8,305
2021-02-15,102.85,103.15,94.5,102.5,961
2021-02-16,112.7,112.7,94.5,98.25,1074
2021-02-17,98.3,102.9,96.0,99.9,3290
2021-02-18,99.95,99.95,95.85,99.9,946
2021-02-19,99.9,99.9,99.9,99.9,10
2021-02-22,100.0,100.0,96.0,96.65,1181
2021-02-23,97.05,104.45,97.05,104.45,84
2021-02-24,100.8,109.95,100.8,109.5,32
2021-02-25,102.6,104.9,99.25,99.5,242
2021-02-26,101.0,102.95,94.8,95.15,146
2021-03-01,104.0,104.0,99.5,102.15,557
2021-03-02,99.55,110.5,99.55,107.95,8357
2021-03-03,102.05,107.95,101.95,103.15,351
2021-03-04,105.0,105.0,102.6,104.25,612
2021-03-05,107.95,107.95,103.0,104.0,620
2021-03-08,107.0,107.0,98.15,107.0,818
2021-03-09,100.9,117.0,100.9,105.8,11678
2021-03-10,98.0,114.95,96.6,101.35,8787
2021-03-12,109.35,109.8,97.0,100.2,642
2021-03-15,108.9,108.9,100.0,100.7,867
2021-03-16,96.0,107.9,95.25,104.2,1042
2021-03-17,98.0,104.1,96.15,100.0,421
2021-03-18,97.5,101.3,97.5,99.45,1026
2021-03-22,99.45,101.5,95.7,97.65,635
2021-03-23,98.0,100.4,94.5,96.2,266
2021-03-24,101.0,105.5,94.7,95.45,173
2021-03-25,103.9,103.9,95.1,100.7,529
2021-03-26,104.5,104.5,95.0,95.95,623
2021-03-30,96.0,99.0,94.0,94.25,1762
2021-03-31,98.9,100.0,98.75,100.0,1793
2021-04-01,104.95,110.0,97.1,109.95,2637
2021-04-05,110.0,110.0,100.25,103.7,780
2021-04-06,109.0,109.0,103.6,104.1,576
2021-04-07,109.95,109.95,104.0,104.0,1443
2021-04-08,108.45,112.0,106.05,111.35,772
2021-04-09,115.0,115.0,104.1,113.5,217
2021-04-12,105.0,110.0,98.4,103.0,192
2021-04-13,108.0,108.0,100.1,100.1,76
2021-04-15,100.1,111.45,96.6,102.05,32
2021-04-16,114.4,114.4,103.35,103.35,78
2021-04-19,105.45,110.0,95.0,108.65,461
2021-04-20,107.8,109.95,107.75,107.8,517
2021-04-22,106.0,115.0,102.0,105.0,213
2021-04-23,105.0,105.0,105.0,105.0,29
2021-04-26,99.0,120.0,99.0,107.0,1038
2021-04-27,112.9,120.0,110.95,118.75,4765
2021-04-28,112.55,117.95,112.55,117.85,239
2021-04-29,112.5,121.0,112.5,118.6,629
2021-04-30,120.0,125.0,117.5,121.25,4000
2021-05-03,121.25,121.25,110.5,111.45,2070
2021-05-04,119.95,119.95,111.5,113.0,1536
2021-05-05,112.0,112.0,109.0,111.9,605
2021-05-06,111.0,134.25,110.0,134.25,9104
2021-05-07,117.0,147.0,117.0,136.35,8186
2021-05-10,136.0,136.0,125.75,126.75,1665
2021-05-11,126.0,130.0,126.0,128.0,499
2021-05-12,148.0,153.6,140.25,145.7,28929
2021-05-14,151.0,174.8,145.0,174.05,22701
2021-05-17,183.75,191.45,170.0,186.8,30438
2021-05-18,198.0,198.0,170.0,173.45,22142
2021-05-19,184.9,184.9,156.15,162.15,30563
2021-05-20,169.0,169.0,155.0,164.9,2341
2021-05-21,173.1,173.1,160.0,173.1,5852
2021-05-24,172.0,181.75,168.0,180.45,8553
2021-05-25,181.0,186.0,172.25,185.2,2495
2021-05-26,185.35,187.0,180.55,182.15,452
2021-05-27,185.0,185.0,175.55,181.9,1620
2021-05-28,181.9,186.7,175.0,175.0,1439
2021-05-31,175.1,177.0,166.7,173.0,1387
2021-06-01,168.0,173.0,166.0,167.25,1807
2021-06-02,173.0,175.6,166.0,174.9,5209
2021-06-03,175.0,181.9,170.0,179.95,2795
2021-06-04,180.0,185.9,174.0,181.55,1992
2021-06-07,181.55,181.55,174.0,179.75,2690
2021-06-08,171.2,183.9,171.2,179.5,382
2021-06-09,179.5,179.5,172.0,177.3,2533
2021-06-10,172.1,179.95,168.45,171.7,1243
2021-06-11,171.0,179.9,171.0,176.0,1555
2021-06-14,167.25,178.95,167.2,174.95,1154
2021-06-15,180.0,180.0,166.5,169.3,4514
2021-06-16,161.0,176.95,161.0,170.5,303
2021-06-17,162.1,175.95,162.1,169.5,1111
2021-06-18,162.0,175.0,161.05,164.5,1467
2021-06-21,167.0,172.0,165.0,169.0,132
2021-06-22,169.0,169.0,166.5,167.0,1117
2021-06-23,160.1,170.0,160.1,166.9,367
2021-06-24,166.0,166.0,160.0,166.0,2874
2021-06-25,169.0,169.0,160.0,168.0,344
2021-06-28,160.0,165.0,160.0,162.2,594
2021-06-29,158.0,168.0,158.0,167.7,804
2021-06-30,160.0,167.0,159.35,160.7,2788
2021-07-01,161.0,161.0,154.05,157.15,386
2021-07-02,159.95,159.95,154.05,156.75,1180
2021-07-05,156.75,164.0,154.5,158.05,1326
2021-07-06,161.5,161.5,151.0,159.0,2150
2021-07-07,158.6,158.6,155.5,158.6,334
2021-07-08,158.6,160.95,152.05,154.75,2137
2021-07-09,154.0,160.0,152.0,159.0,306
2021-07-12,159.0,160.0,151.05,158.45,1201
2021-07-13,151.15,156.95,151.15,156.4,1066
2021-07-14,156.4,156.4,151.15,154.5,378
2021-07-15,151.0,154.95,151.0,152.2,282
2021-07-16,152.0,156.0,148.05,155.0,2497
2021-07-19,147.25,155.0,147.25,154.45,769
2021-07-20,154.45,154.45,146.75,147.15,2180
2021-07-22,154.0,154.0,146.8,151.0,172
2021-07-23,154.5,154.5,143.65,151.95,939
2021-07-26,157.0,157.0,144.5,152.5,5402
2021-07-27,150.0,153.0,145.2,150.6,301
2021-07-28,150.0,150.0,145.0,147.95,448
2021-07-29,140.7,148.0,140.7,147.95,277
2021-07-30,142.05,147.9,142.05,145.45,273
2021-08-02,152.65,152.7,148.15,150.05,596
2021-08-03,142.6,157.0,142.6,148.2,765
2021-08-04,154.5,155.6,149.4,151.75,1365
2021-08-05,151.7,155.0,151.7,152.0,1118
2021-08-06,159.0,159.0,152.0,152.0,944
2021-08-09,158.95,167.2,149.0,167.2,5244
2021-08-10,170.55,183.0,151.2,158.85,2010
2021-08-11,151.0,156.95,147.0,147.15,4241
