Datetime,Open,High,Low,Close,Volume
2019-05-28,242.15,249.3,241.4,245.5,6551
2019-05-29,245.0,253.85,244.9,252.55,5363
2019-05-30,253.95,256.8,250.0,253.55,5217
2019-06-03,248.55,249.15,243.15,243.9,1501
2019-06-10,250.0,250.9,232.1,232.9,1954
2019-06-11,233.2,233.2,228.3,229.95,3186
2019-06-12,229.0,235.0,225.8,226.5,4945
2019-06-13,226.65,227.25,225.25,225.6,1750
2019-06-14,226.0,228.0,225.1,225.35,56464
2019-06-17,225.5,226.05,220.45,220.8,5308
2019-06-18,221.8,223.0,219.7,220.05,2987
2019-06-19,220.8,221.2,210.3,213.4,4871
2019-06-20,214.95,220.3,214.85,218.9,279845
2019-06-21,217.5,219.1,215.3,217.25,905
2019-06-24,215.1,217.5,214.0,216.5,493
2019-06-25,217.45,218.2,215.0,215.65,5901
2019-06-26,215.8,232.6,213.75,224.0,9659
2019-06-27,239.3,249.95,229.0,232.1,90882
2019-06-28,235.15,235.2,227.8,229.65,18483
2019-07-01,236.6,236.6,227.5,228.2,4333
2019-07-02,226.6,227.65,218.0,225.0,8501
2019-07-03,224.0,224.9,220.05,222.8,7806
2019-07-04,224.85,231.6,224.85,226.35,4920
2019-07-05,226.2,234.65,226.2,230.6,21823
2019-07-08,230.6,230.6,220.8,225.05,4371
2019-07-09,222.6,224.3,218.85,221.65,5050
2019-07-10,218.15,220.8,216.75,218.25,6624
2019-07-11,218.8,219.15,215.25,216.55,1652
2019-07-12,217.05,218.4,216.8,217.05,2761
2019-07-15,217.55,219.75,217.55,218.95,4707
2019-07-16,220.0,220.0,216.55,218.05,4480
2019-07-17,219.4,219.6,216.0,216.2,858
2019-07-18,216.45,216.8,212.3,213.0,29850
2019-07-19,213.5,214.7,200.35,204.75,29961
2019-07-22,200.75,202.05,189.25,199.85,14366
2019-07-23,195.05,208.9,195.05,199.9,3816
2019-07-24,198.5,199.25,194.5,196.95,2387
2019-07-25,195.65,197.4,194.6,195.2,3776
2019-07-26,195.9,195.9,193.5,194.5,771
2019-07-29,193.65,194.3,190.0,192.55,5270
2019-07-30,154.05,154.05,154.05,154.05,10284
2019-07-31,123.25,123.25,123.25,123.25,15987
2019-08-01,110.95,110.95,110.95,110.95,13839
2019-08-02,99.9,99.9,99.9,99.9,52924
2019-08-05,89.95,89.95,89.95,89.95,5182
2019-08-06,85.5,85.5,85.5,85.5,32438
2019-08-07,81.25,81.25,81.25,81.25,2475
2019-08-08,77.2,77.2,77.2,77.2,5195
2019-08-09,73.35,73.35,73.35,73.35,6397
2019-08-13,69.7,69.7,69.7,69.7,2503
2019-08-14,66.5,66.5,66.25,66.25,8739
2019-08-16,62.95,62.95,62.95,62.95,7607
2019-08-19,66.05,66.05,66.05,66.05,1851872
2019-08-20,69.35,69.35,69.35,69.35,1158
2019-08-21,72.8,72.8,68.65,72.8,2388251
2019-08-22,76.4,76.4,75.0,76.4,730863
2019-08-23,79.0,80.2,76.5,80.2,1542062
2019-08-26,83.35,84.2,83.1,84.2,112897
2019-08-27,88.4,88.4,82.1,87.1,967533
2019-08-28,89.0,89.0,82.75,82.75,207053
2019-08-29,78.65,78.65,78.65,78.65,187083
2019-08-30,74.75,75.15,74.75,74.75,591175
2019-09-03,71.05,71.05,71.05,71.05,172951
2019-09-04,67.5,67.5,67.5,67.5,16013
2019-09-05,64.15,64.15,64.15,64.15,36306
2019-09-06,60.95,60.95,60.95,60.95,373643
2019-09-11,67.1,67.1,67.1,67.1,1207
2019-09-12,70.45,70.45,70.45,70.45,45348
