Datetime,Open,High,Low,Close,Volume
2019-05-29,1.06,1.06,1.06,1.06,43
2019-06-11,1.06,1.06,1.06,1.06,50
2019-06-28,1.01,1.01,1.01,1.01,100
2019-07-05,0.96,0.96,0.96,0.96,50
2019-07-08,0.92,0.92,0.92,0.92,100
2019-07-15,0.88,0.88,0.88,0.88,108
2019-08-27,0.84,0.84,0.84,0.84,100
2019-08-28,0.84,0.84,0.84,0.84,1000
2019-08-29,0.84,0.84,0.84,0.84,1000
2019-08-30,0.8,0.8,0.8,0.8,2000
2019-09-03,0.84,0.84,0.84,0.84,100
2019-09-17,0.84,0.84,0.84,0.84,200
2019-09-24,0.84,0.84,0.84,0.84,20
2019-09-27,0.8,0.8,0.8,0.8,10
2019-10-03,0.76,0.76,0.76,0.76,10
2019-10-04,0.73,0.73,0.73,0.73,1550
2019-10-07,0.7,0.7,0.7,0.7,2000
2019-10-09,0.67,0.67,0.67,0.67,110
2019-10-15,0.67,0.67,0.64,0.67,410
2019-10-16,0.67,0.67,0.67,0.67,301
2019-10-22,0.7,0.7,0.7,0.7,200
2019-10-23,0.7,0.7,0.7,0.7,100
2019-10-30,0.7,0.73,0.7,0.73,65
2019-11-06,0.7,0.7,0.7,0.7,100
2019-11-07,0.7,0.7,0.7,0.7,20
2019-11-08,0.73,0.73,0.67,0.67,1459
2019-11-15,0.64,0.64,0.64,0.64,2000
2019-11-18,0.64,0.64,0.64,0.64,250
2019-11-19,0.61,0.61,0.61,0.61,300
2019-11-20,0.6,0.6,0.58,0.58,965
2019-11-21,0.57,0.57,0.56,0.56,1670
2019-11-22,0.54,0.54,0.54,0.54,2931
2019-11-25,0.52,0.52,0.52,0.52,835
2019-11-26,0.5,0.52,0.5,0.5,1450
2019-11-27,0.48,0.48,0.48,0.48,2236
2019-11-28,0.46,0.46,0.46,0.46,463
2019-11-29,0.46,0.46,0.44,0.44,616
2019-12-02,0.44,0.44,0.42,0.44,4394
2019-12-03,0.44,0.44,0.42,0.44,3560
2019-12-04,0.44,0.44,0.44,0.44,1510
2019-12-05,0.44,0.44,0.44,0.44,2000
2019-12-06,0.42,0.42,0.42,0.42,325
2019-12-09,0.42,0.42,0.4,0.4,1212
2019-12-10,0.38,0.38,0.38,0.38,1073
2019-12-11,0.38,0.38,0.37,0.37,709
2019-12-13,0.36,0.37,0.36,0.37,1100
2019-12-16,0.36,0.36,0.36,0.36,349
2019-12-17,0.35,0.36,0.35,0.36,5050
2019-12-18,0.35,0.35,0.35,0.35,310
2019-12-19,0.35,0.35,0.34,0.34,220
2019-12-20,0.34,0.34,0.34,0.34,3000
2019-12-23,0.34,0.34,0.34,0.34,465
2019-12-26,0.34,0.34,0.34,0.34,20
2019-12-27,0.33,0.33,0.33,0.33,1320
2019-12-30,0.32,0.32,0.32,0.32,1200
2019-12-31,0.32,0.32,0.31,0.31,2475
2020-01-01,0.31,0.31,0.3,0.31,20220
2020-01-02,0.31,0.31,0.31,0.31,2800
2020-01-03,0.31,0.31,0.3,0.3,4610
2020-01-06,0.3,0.31,0.29,0.31,2368
2020-01-07,0.32,0.32,0.3,0.32,11300
2020-01-08,0.32,0.32,0.32,0.32,111
2020-01-09,0.32,0.32,0.32,0.32,50
2020-01-10,0.31,0.32,0.31,0.32,202
2020-01-13,0.32,0.32,0.32,0.32,100
2020-01-14,0.32,0.32,0.31,0.32,675
2020-01-15,0.32,0.32,0.31,0.31,2510
2020-01-16,0.3,0.32,0.3,0.3,1060
2020-01-17,0.3,0.3,0.29,0.3,1541
2020-01-20,0.3,0.3,0.29,0.29,1200
2020-01-21,0.3,0.3,0.29,0.3,4223
2020-01-22,0.31,0.31,0.3,0.3,2675
2020-01-23,0.31,0.31,0.31,0.31,10
2020-01-24,0.32,0.32,0.32,0.32,11312
2020-01-27,0.33,0.33,0.31,0.31,2190
2020-01-29,0.32,0.32,0.32,0.32,1320
2020-01-30,0.33,0.33,0.31,0.33,1763
2020-01-31,0.32,0.34,0.32,0.34,2946
2020-02-01,0.35,0.35,0.35,0.35,505
2020-02-03,0.36,0.36,0.36,0.36,2410
2020-02-04,0.35,0.37,0.35,0.37,4823
2020-02-05,0.36,0.36,0.36,0.36,229
2020-02-07,0.37,0.37,0.37,0.37,500
2020-02-10,0.37,0.37,0.36,0.36,1700
2020-02-12,0.36,0.36,0.36,0.36,2000
2020-02-13,0.36,0.36,0.36,0.36,200
2020-02-14,0.37,0.37,0.36,0.36,1170
2020-02-18,0.37,0.37,0.37,0.37,1000
2020-02-19,0.36,0.36,0.36,0.36,1420
2020-02-20,0.36,0.37,0.35,0.37,3600
2020-02-25,0.37,0.38,0.37,0.38,4130
2020-02-26,0.37,0.37,0.37,0.37,1000
2020-02-27,0.38,0.38,0.38,0.38,1010
2020-02-28,0.39,0.39,0.39,0.39,100
2020-03-05,0.4,0.4,0.4,0.4,567
2020-03-06,0.38,0.38,0.38,0.38,1100
2020-03-09,0.37,0.37,0.37,0.37,1000
2020-03-11,0.37,0.37,0.37,0.37,1100
2021-03-01,0.37,0.38,0.37,0.38,7073
2021-03-08,0.39,0.39,0.39,0.39,6977
2021-03-15,0.4,0.4,0.4,0.4,10454
2021-03-22,0.42,0.42,0.4,0.4,3302
2021-04-05,0.42,0.42,0.42,0.42,602
2021-04-12,0.4,0.44,0.4,0.44,6874
2021-04-19,0.46,0.46,0.46,0.46,1866
2021-04-26,0.48,0.48,0.48,0.48,600
2021-05-03,0.46,0.5,0.46,0.5,108
