Datetime,Open,High,Low,Close,Volume
2024-05-10,100.0,100.0,100.0,100.0,6400000
2024-09-19,120.0,120.0,120.0,120.0,162000000
2024-09-20,120.4,122.5,120.0,121.75,2000000
2024-09-23,121.5,121.5,121.5,121.5,200000
2024-09-24,121.25,121.25,120.0,120.0,6800000
2024-09-25,120.0,123.5,120.0,120.0,3800000
2024-09-26,120.0,120.0,120.0,120.0,11600000
2024-09-30,121.5,121.5,121.5,121.5,200000
2024-10-01,122.0,122.0,122.0,122.0,200000
2024-10-03,120.65,120.65,120.65,120.65,600000
2024-10-07,120.0,120.0,120.0,120.0,400000
2024-10-09,120.5,120.5,120.5,120.5,1800000
2024-10-14,120.8,120.8,120.8,120.8,1400000
2024-10-15,120.55,120.55,120.55,120.55,200000
2024-10-17,120.05,120.05,120.05,120.05,1000000
2024-10-23,120.0,120.0,120.0,120.0,200000
2024-10-24,120.5,120.5,120.5,120.5,600000
2024-10-29,120.25,121.95,120.25,121.95,400000
2024-10-31,125.0,125.0,125.0,125.0,200000
2024-11-04,120.0,120.0,120.0,120.0,200000
2024-11-05,120.0,120.0,120.0,120.0,200000
2024-11-06,120.0,120.0,120.0,120.0,200000
2024-11-22,120.6,120.6,120.6,120.6,400000
2024-12-17,120.6,120.6,120.6,120.6,200000
2024-12-18,120.0,120.0,120.0,120.0,25000
2024-12-26,120.5,120.5,120.5,120.5,6500000
2024-12-27,120.6,120.6,120.6,120.6,25000
2025-03-12,122.0,122.0,122.0,122.0,550000
2025-03-17,123.0,123.0,123.0,123.0,4250000
2025-03-18,123.0,123.0,123.0,123.0,600000
2025-03-20,122.0,122.05,122.0,122.05,525000
2025-03-25,123.0,123.0,123.0,123.0,400000
2025-03-26,125.0,125.0,125.0,125.0,400000
2025-05-06,120.0,120.0,120.0,120.0,400000
2025-06-26,127.5,127.5,126.0,127.5,28325000
2025-06-27,127.5,127.5,127.5,127.5,3900000
2025-07-02,130.0,132.6,130.0,130.0,200000
2025-07-03,131.25,131.25,130.0,130.0,375000
2025-07-07,131.1,131.1,128.5,128.5,200000
2025-07-09,131.25,131.25,131.25,131.25,75000
2025-07-11,134.0,134.0,130.0,130.0,125000
2025-07-14,133.0,133.0,130.0,132.0,575000
2025-07-16,130.5,130.5,129.0,130.0,2375000
2025-07-18,129.0,130.0,129.0,130.0,200000
2025-07-22,132.6,132.6,131.0,131.0,50000
2025-07-23,132.6,132.6,129.0,129.0,325000
2025-07-24,131.25,131.25,131.25,131.25,225000
2025-07-29,130.5,130.5,130.5,130.5,200000
2025-07-30,130.5,130.5,130.5,130.5,25000
2025-07-31,131.0,131.0,131.0,131.0,25000
2025-08-01,130.5,130.5,130.5,130.5,25000
2025-08-04,131.25,131.25,131.25,131.25,75000
2025-08-06,132.6,132.6,132.6,132.6,75000
2025-08-12,129.0,129.0,129.0,129.0,1950000
2025-08-13,132.0,132.0,128.84,129.0,5375000
2025-08-19,130.95,130.95,130.95,130.95,25000
2025-08-21,130.5,130.5,130.5,130.5,25000
2025-08-25,131.0,131.0,131.0,131.0,25000
2025-08-26,132.0,132.0,132.0,132.0,375000
2025-08-28,132.0,132.0,132.0,132.0,25000
2025-08-29,132.0,132.0,132.0,132.0,50000
2025-09-01,132.0,132.0,131.0,131.0,100000
2025-09-02,131.0,131.0,131.0,131.0,75000
2025-09-05,130.0,130.0,130.0,130.0,25000
2025-09-12,130.5,130.5,130.5,130.5,25000
2025-09-16,133.0,133.0,133.0,133.0,75000
2025-09-17,133.0,135.0,133.0,135.0,100000
2025-09-24,133.0,133.0,133.0,133.0,175000
2025-09-25,135.0,135.0,133.0,133.0,3675000
2025-09-29,133.0,136.0,133.0,136.0,275000
2025-09-30,135.95,135.95,133.0,133.0,175000
2025-10-01,133.0,133.0,133.0,133.0,75000
2025-10-03,136.5,136.5,134.0,134.0,150000
2025-10-07,136.0,136.0,135.7,135.89,650000
2025-10-08,135.94,135.94,135.94,135.94,425000
2025-10-09,135.88,135.88,135.88,135.88,1075000
2025-10-10,136.0,136.0,136.0,136.0,200000
2025-10-13,135.9,136.0,135.9,136.0,2450000
2025-10-14,136.0,136.0,135.99,135.99,175000
2025-10-15,135.99,135.99,135.99,135.99,100000
2025-10-16,135.0,135.97,135.0,135.97,3750000
2025-10-17,135.98,135.98,135.0,135.94,1950000
2025-10-20,135.94,135.94,135.94,135.94,50000
2025-10-28,135.5,136.0,135.5,135.87,375000
2025-10-29,135.49,135.5,135.49,135.49,675000
2025-10-30,135.4,135.45,135.4,135.4,500000
2025-10-31,135.4,135.5,135.4,135.4,250000
2025-11-03,135.5,135.5,135.5,135.5,500000
2025-11-04,135.0,135.0,135.0,135.0,25000
2025-11-07,135.5,135.5,135.5,135.5,100000
2025-11-10,135.5,135.5,135.5,135.5,100000
2025-11-11,135.5,135.5,135.5,135.5,725000
2025-11-13,135.5,135.5,135.5,135.5,25000
2025-11-17,136.3,136.3,136.3,136.3,500000
2025-11-18,143.0,143.25,143.0,143.08,75000
2025-11-20,136.5,136.5,136.5,136.5,50000
2025-12-19,139.0,139.0,139.0,139.0,100000
2025-12-23,139.0,139.0,139.0,139.0,75000
2026-02-10,139.25,139.25,139.25,139.25,250000
2026-02-11,139.5,139.5,139.5,139.5,75000
2026-02-12,140.0,140.0,139.0,140.0,400000
2026-02-13,139.0,139.0,139.0,139.0,25000
2026-02-16,139.5,140.9,139.5,140.9,100000
2026-02-17,139.0,139.0,139.0,139.0,25000
2026-02-18,140.0,140.0,140.0,140.0,10575000
2026-03-17,141.25,141.25,141.25,141.25,3050000
2026-03-27,141.0,146.0,141.0,146.0,6250000
2026-03-30,145.99,146.0,145.99,146.0,9625000
2026-04-06,146.85,148.0,146.85,146.85,1325000
2026-04-07,148.0,148.0,146.85,146.85,525000
2026-04-08,148.0,148.0,146.85,148.0,2175000
2026-04-09,146.85,148.0,146.85,146.85,1125000
2026-04-10,148.0,148.0,146.5,146.85,2875000
2026-04-13,148.0,148.0,147.0,147.0,775000
2026-04-15,148.0,148.0,148.0,148.0,750000
2026-04-16,148.0,148.0,148.0,148.0,525000
2026-04-17,148.0,148.0,147.1,147.21,4525000
2026-04-20,147.35,148.0,147.35,147.35,825000
2026-04-21,148.0,148.0,147.35,147.35,650000
2026-04-23,148.01,148.03,148.01,148.03,625000
2026-04-24,148.1,148.1,148.1,148.1,25000
2026-05-04,148.1,148.1,148.1,148.1,0
2026-05-05,148.1,148.1,148.1,148.1,0
2026-05-06,148.01,148.02,148.0,148.0,4400000
