Datetime,Open,High,Low,Close,Volume
2019-05-28,566.35,568.0,563.0,564.05,4240
2019-05-29,566.0,566.0,558.1,560.0,5160
2019-05-30,552.0,567.75,543.75,551.9,13819
2019-06-03,556.1,566.6,555.65,557.9,2568
2019-06-10,568.9,568.9,557.1,564.2,1872
2019-06-11,562.25,565.15,557.3,563.5,1070
2019-06-12,562.0,565.95,560.5,562.6,1107
2019-06-13,562.6,562.65,554.45,556.2,1656
2019-06-14,555.05,555.25,535.0,535.6,3876
2019-06-17,536.0,539.55,520.3,534.6,6537
2019-06-18,537.0,546.0,531.55,542.35,7041
2019-06-19,542.0,554.4,542.0,549.05,2847
2019-06-20,550.0,562.5,544.75,560.5,2332
2019-06-21,562.5,573.0,561.6,564.75,5357
2019-06-24,558.8,564.65,553.6,555.65,2678
2019-06-25,554.7,554.7,547.45,549.8,1639
2019-06-26,549.8,550.4,545.25,546.1,889
2019-06-27,545.55,546.85,541.4,543.3,1061
2019-06-28,543.8,545.25,540.55,542.7,1672
2019-07-01,549.0,549.0,529.2,534.9,4448
2019-07-02,535.55,543.7,535.05,539.1,1592
2019-07-03,538.1,547.3,537.55,540.5,857
2019-07-04,541.2,543.2,539.35,539.8,1354
2019-07-05,537.25,544.6,535.2,536.15,1827
2019-07-08,538.0,538.0,525.1,526.75,3301
2019-07-09,525.05,544.45,524.0,539.7,1600
2019-07-10,539.7,543.55,534.8,537.95,404
2019-07-11,534.8,539.9,530.05,537.7,511
2019-07-12,536.6,541.45,531.8,538.3,1115
2019-07-15,544.0,553.85,540.0,546.85,2111
2019-07-16,547.05,557.0,534.05,541.9,6326
2019-07-17,540.0,545.7,529.4,537.4,3445
2019-07-18,540.5,550.0,538.0,544.15,2849
2019-07-19,524.0,524.0,468.65,481.95,114020
2019-07-22,484.0,488.0,444.8,460.55,49944
2019-07-23,462.85,493.4,460.0,476.55,24693
2019-07-24,475.0,491.95,474.95,487.1,12554
2019-07-25,487.0,493.9,483.85,487.15,3600
2019-07-26,483.5,486.6,468.5,471.2,13771
2019-07-29,470.0,479.4,468.0,469.95,3590
2019-07-30,472.2,473.25,433.0,448.1,12896
2019-07-31,448.1,466.65,441.0,462.8,8034
2019-08-01,460.0,460.0,428.6,433.35,11357
2019-08-02,440.0,443.65,435.05,437.65,3901
2019-08-05,435.0,448.95,428.6,440.15,7445
2019-08-06,435.8,445.0,434.0,443.1,2299
2019-08-07,440.0,450.75,440.0,447.65,3061
2019-08-08,443.0,450.0,441.55,443.45,1206
2019-08-09,443.45,449.85,434.55,437.45,3270
2019-08-13,441.75,448.0,438.0,441.95,3044
2019-08-14,440.25,442.8,435.45,437.55,1684
2019-08-16,437.3,437.3,420.2,430.65,6536
2019-08-19,437.9,437.9,417.45,425.0,2323
2019-08-20,427.05,450.0,426.85,428.85,5177
2019-08-21,430.9,442.55,429.4,438.05,5291
2019-08-22,437.7,443.5,436.3,440.0,3079
2019-08-23,442.0,444.0,437.85,439.0,1235
2019-08-26,440.05,444.65,436.25,438.9,3652
2019-08-27,441.6,441.6,435.0,438.25,2071
2019-08-28,439.0,439.0,433.0,434.05,1387
2019-08-29,432.05,434.7,428.0,430.05,2524
2019-08-30,430.75,430.75,414.0,421.15,6780
2019-09-03,420.0,424.7,414.35,421.0,4291
2019-09-04,421.15,431.05,421.05,430.2,2381
2019-09-05,428.2,436.0,424.6,432.1,3342
2019-09-06,436.0,438.5,429.0,436.6,2126
2019-09-11,445.1,458.0,441.25,450.35,5439
2019-09-12,450.1,452.4,445.15,446.9,1204
2019-09-13,448.8,449.95,446.45,449.15,2742
2019-09-16,444.0,464.0,444.0,448.7,2359
2019-09-17,452.45,454.75,445.3,448.65,4036
2019-09-18,450.0,453.6,447.2,450.2,721
2019-09-19,452.0,452.0,436.7,444.7,2691
2019-09-20,444.0,453.55,439.8,451.4,4215
2019-09-23,456.4,476.4,449.95,467.95,11405
2019-09-24,468.9,479.7,463.9,465.9,1966
2019-09-25,465.3,467.2,445.2,447.65,2358
2019-09-26,447.7,460.95,446.0,458.95,1630
2019-09-27,456.6,460.5,447.65,453.8,655
2019-09-30,453.8,469.0,453.0,465.05,3935
2019-10-01,465.0,475.1,460.3,464.0,1501
2019-10-03,455.7,470.0,455.7,465.9,1497
2019-10-04,466.4,469.0,457.65,459.0,604
2019-10-07,458.45,458.8,446.1,450.95,1244
2019-10-09,449.0,453.85,445.0,447.85,1589
2019-10-10,454.95,462.8,453.4,455.05,6302
2019-10-11,458.05,470.9,451.35,454.6,1021
2019-10-14,464.95,466.65,454.0,457.15,1221
2019-10-15,457.0,463.0,440.0,455.6,22009
2019-10-16,456.0,460.0,445.65,453.2,15394
2019-10-17,459.95,460.0,441.55,446.45,8565
2019-10-18,459.9,459.9,439.95,447.75,16238
2019-10-22,450.0,450.0,414.0,421.7,20631
2019-10-23,426.0,427.65,421.3,422.65,10648
2019-10-24,425.95,425.95,400.0,406.1,8687
2019-10-25,409.35,409.35,397.4,403.25,10849
2019-10-29,408.5,409.55,399.05,405.2,6271
2019-10-30,403.0,405.0,392.85,398.1,12317
