Datetime,Open,High,Low,Close,Volume
2019-05-28,19.7,20.95,19.0,20.35,201742
2019-05-29,21.0,21.05,19.9,20.15,83057
2019-05-30,20.15,20.7,19.8,20.15,29755
2019-06-03,19.3,19.3,18.7,18.75,21981
2019-06-10,18.1,18.1,17.45,17.5,12519
2019-06-11,17.45,17.6,16.65,17.55,35720
2019-06-12,17.6,18.3,17.6,18.0,33624
2019-06-13,18.05,18.15,17.5,17.6,24842
2019-06-14,17.7,17.7,17.05,17.05,13171
2019-06-17,17.05,17.15,16.3,16.35,39587
2019-06-18,16.45,16.7,16.15,16.35,21761
2019-06-19,16.6,16.6,15.3,15.65,30783
2019-06-20,15.45,15.55,14.8,15.4,45628
2019-06-21,15.65,16.0,15.55,15.65,125646
2019-06-24,15.75,15.85,15.5,15.7,16388
2019-06-25,15.6,15.65,15.3,15.35,12809
2019-06-26,15.5,15.65,15.35,15.55,29859
2019-06-27,15.5,17.35,14.9,17.05,143779
2019-06-28,17.0,17.0,16.45,16.55,51643
2019-07-01,16.5,17.05,15.7,15.95,53997
2019-07-02,16.0,16.6,16.0,16.4,11024
2019-07-03,16.35,16.6,16.3,16.45,12650
2019-07-04,16.6,16.75,16.25,16.55,7424
2019-07-05,16.5,16.55,16.3,16.35,16335
2019-07-08,15.7,16.95,15.6,16.65,46038
2019-07-09,16.3,17.0,16.3,16.7,147344
2019-07-10,16.6,17.0,16.4,16.5,36088
2019-07-11,16.55,16.75,16.45,16.55,13003
2019-07-12,16.45,16.45,15.8,16.1,24123
2019-07-15,16.05,16.75,15.8,16.05,55135
2019-07-16,16.05,16.1,15.65,15.85,14317
2019-07-17,15.9,16.25,15.9,16.15,14125
2019-07-18,16.0,16.45,15.75,15.95,57140
2019-07-19,16.0,16.0,15.1,15.25,28554
2019-07-22,15.2,15.35,15.0,15.3,20447
2019-07-23,15.25,15.4,15.05,15.1,16402
2019-07-24,15.05,15.8,15.0,15.05,20861
2019-07-25,15.25,15.25,14.3,14.4,34214
2019-07-26,14.2,14.75,14.0,14.7,33076
2019-07-29,14.8,14.9,14.25,14.3,19953
2019-07-30,14.4,14.4,13.7,13.75,36644
2019-07-31,13.7,15.8,13.7,15.4,95515
2019-08-01,15.55,15.55,14.5,15.1,36053
2019-08-02,14.55,15.2,14.45,15.05,25498
2019-08-05,14.6,14.7,14.3,14.4,10706
2019-08-06,14.45,15.35,14.45,15.3,11838
2019-08-07,15.3,15.45,14.5,14.55,9505
