Datetime,Open,High,Low,Close,Volume
2019-05-28,236.2,236.2,227.05,228.85,41504
2019-05-29,227.8,232.0,224.2,225.4,37936
2019-05-30,224.55,229.5,222.3,228.45,54919
2019-06-03,226.5,227.85,224.4,226.5,56068
2019-06-10,222.45,223.25,214.8,215.6,23755
2019-06-11,215.55,216.5,212.1,213.15,21176
2019-06-12,216.0,216.35,211.3,212.2,34818
2019-06-13,210.3,213.95,210.25,211.8,19614
2019-06-14,211.25,215.65,208.0,209.6,34845
2019-06-17,209.2,209.25,194.95,196.05,42476
2019-06-18,196.9,201.6,192.0,194.95,51408
2019-06-19,198.55,202.4,186.4,190.95,58257
2019-06-20,191.0,191.85,178.6,186.8,78850
2019-06-21,189.75,194.5,187.5,189.0,74133
2019-06-24,192.5,192.5,187.0,187.85,31083
2019-06-25,188.0,189.0,182.4,183.15,30906
2019-06-26,183.85,188.1,183.15,184.9,33074
2019-06-27,189.0,193.35,188.95,189.8,60708
2019-06-28,190.95,191.8,185.0,189.0,25747
2019-07-01,198.45,198.45,189.0,191.7,68465
2019-07-02,185.7,192.1,185.7,190.6,30846
2019-07-03,190.55,191.75,189.1,189.65,18604
2019-07-04,189.95,203.0,189.0,200.0,57284
2019-07-05,201.55,204.45,194.0,196.0,75395
2019-07-08,193.0,193.55,186.25,187.05,32270
2019-07-09,186.0,193.2,185.0,190.2,42969
2019-07-10,190.0,191.0,186.25,187.05,22433
2019-07-11,188.0,188.75,180.8,182.25,24230
2019-07-12,183.1,194.3,180.85,193.3,105805
2019-07-15,191.4,194.0,185.65,186.85,47084
2019-07-16,189.7,193.0,188.15,191.0,92685
2019-07-17,190.55,192.3,186.4,187.45,27354
2019-07-18,187.75,188.4,176.65,180.6,31314
2019-07-19,182.75,183.4,171.2,172.9,109579
2019-07-22,173.0,174.3,166.2,169.85,54685
2019-07-23,170.35,185.0,170.2,181.25,112991
2019-07-24,184.5,185.6,177.75,179.1,77989
2019-07-25,180.75,181.65,173.7,174.55,29413
2019-07-26,175.2,178.8,174.0,174.45,12568
2019-07-29,175.5,175.95,167.5,168.5,53151
2019-07-30,169.65,169.65,150.0,154.55,54140
2019-07-31,154.55,161.55,148.65,160.15,68531
2019-08-01,157.5,164.4,157.5,161.2,64696
2019-08-02,161.2,166.7,156.0,158.95,70118
2019-08-05,155.0,156.7,148.2,150.45,42086
2019-08-06,150.0,160.25,149.85,158.05,41559
2019-08-07,158.5,160.0,152.25,153.5,77036
2019-08-08,153.4,153.4,147.7,149.05,36368
2019-08-09,151.2,154.3,144.0,145.95,51897
2019-08-13,144.75,145.9,134.3,135.3,45835
2019-08-14,136.3,152.3,135.55,148.6,71177
2019-08-16,144.6,160.0,144.5,156.5,121938
2019-08-19,157.0,162.6,128.0,158.65,79617
2019-08-20,161.85,163.7,156.35,157.3,55042
2019-08-21,156.2,158.6,148.2,149.0,35091
2019-08-22,150.0,150.0,143.25,144.55,27995
2019-08-23,142.0,147.6,139.0,143.5,45716
2019-08-26,147.2,147.5,138.5,142.25,31697
2019-08-27,145.4,153.0,142.9,152.2,94086
2019-08-28,153.0,153.7,146.85,149.35,73741
2019-08-29,151.0,153.5,145.9,147.6,76150
